‘ Then a shot of glucose should do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN
‘ Nourishin ' stews, that 'll do the trick!’ bawled Mr Beavis from the passage.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	dashes	PUNCT PROPN PART NOUN DET VERB VERB DET NOUN VERB PROPN PROPN ADP DET NOUN
That did the trick —‘Of course,’ recalls the director, ‘ I didn't show him that I had cut my hand in the process.’	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET VERB DET NOUN NOUN NOUN VERB DET NOUN PUNCT PRON VERB VERB PRON ADP PRON VERB VERB ADJ NOUN ADP DET NOUN
We 're looking for all types of dog — well - known and exotic breeds of dog, crossbreeds, mixtures, dogs that can do tricks … you name it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	do the trick	literal	deletion-determiner	PRON VERB VERB ADP DET NOUN ADP NOUN PUNCT ADV PUNCT VERB CCONJ ADJ NOUN ADP NOUN NOUN NOUN NOUN ADJ VERB VERB NOUN VERB PRON VERB PRON
Formentera might do the trick.	0 0 1 0 1	do the trick	figurative	identical	NOUN VERB VERB DET NOUN
But he cleverly avoided being specific about the geography, Preston noted, obviously not convinced that the late baptism had done the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	CCONJ PRON ADV VERB VERB ADJ ADP DET NOUN PROPN VERB ADV ADV ADJ ADP DET ADJ NOUN VERB VERB DET NOUN
That did the trick!	0 1 0 1	do the trick	figurative	inflection	DET VERB DET NOUN
Within a week Little Chef was running the yard, bringing in the ponies from the fields, doing tricks for pony nuts, retrieving lost balls from the undergrowth, then running on to the field and dropping them when there was a pause in play.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	ADP DET NOUN PROPN PROPN VERB VERB DET NOUN VERB PART DET NOUN ADP DET NOUN VERB NOUN ADP NOUN NOUN VERB ADJ NOUN ADP DET NOUN ADV VERB PART ADP DET NOUN CCONJ VERB PRON ADV ADV VERB DET NOUN ADP NOUN
So we got Rose out here and did as he said and by gaw it did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV PRON VERB PROPN ADV ADV CCONJ VERB ADP PRON VERB CCONJ ADP NOUN PRON VERB DET NOUN
But it did the trick.	0 0 1 0 1	do the trick	figurative	inflection	CCONJ PRON VERB DET NOUN
We 've been doing our tricks ain't we?	0 0 0 1 0 1 0 0	do the trick	literal	combined-inflection	PRON VERB VERB VERB ADJ NOUN VERB PRON
' You tested me as if I were some wretched little circus dog at the Carnival, doing tricks to please you?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	do the trick	literal	combined-inflection	PUNCT PRON VERB PRON ADP ADP PRON VERB DET ADJ ADJ NOUN NOUN ADP DET PROPN VERB NOUN PART VERB PRON
The free Trade Agreement will do the trick … a situation in which the old - fashioned Unionist intransigence which served Britain so well in the past will also be outdated as no longer so convenient to imperialism.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	DET ADJ PROPN PROPN VERB VERB DET NOUN VERB DET NOUN ADP ADJ DET ADJ PUNCT ADJ PROPN NOUN ADJ VERB PROPN ADV ADV ADP DET NOUN VERB ADV VERB VERB ADP ADV ADV ADV ADJ ADP NOUN
Ensis fluid, however, does the trick nicely apart from the unfortunate side effect of turning everything treated with it a rather rusty colour!	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	NOUN NOUN ADV VERB DET NOUN ADV ADV ADP DET ADJ NOUN NOUN ADP VERB NOUN VERB ADP PRON DET ADV ADJ NOUN
If the spiritual foundations of the drug culture ever needed to be proved again in the twentieth century, its great introductory fanfare in the 1960s surely did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADP DET ADJ NOUN ADP DET NOUN NOUN ADV VERB PART VERB VERB ADV ADP DET ADJ NOUN ADJ ADJ ADJ NOUN ADP DET NOUN ADV VERB DET NOUN
This may do the trick, but if you are unable to find a fitting of the correct size, you would be best advised to get a plumber in to fit a new stopcock which will involve turning off the water at the water company's stopcock outside your house.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	DET VERB VERB DET NOUN CCONJ ADP PRON VERB ADJ PART VERB DET NOUN ADP DET ADJ NOUN PRON VERB VERB ADV VERB PART VERB DET NOUN ADP PART VERB DET ADJ NOUN ADJ VERB VERB VERB PART DET NOUN ADP DET NOUN NOUN NOUN ADP ADJ NOUN
' When they have a problem, they give him the ball and he does a few tricks.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	do the trick	literal	combined-inflection	PUNCT ADV PRON VERB DET NOUN PRON VERB PRON DET NOUN CCONJ PRON VERB DET ADJ NOUN
A few more rabbits out of the hat could have done the trick.	0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	DET ADJ ADJ NOUN ADP ADP DET NOUN VERB VERB VERB DET NOUN
‘ This heavy - duty polythene should do the trick if I can wedge it across the gaps.’	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	do the trick	figurative	identical	PUNCT DET ADJ PUNCT NOUN NOUN VERB VERB DET NOUN ADP PRON VERB VERB PRON ADP DET NOUN
For a while I believed the bust - up had done the trick.	0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADP DET NOUN PRON VERB DET NOUN PUNCT NOUN VERB VERB DET NOUN
Like many distance runners in the eighties, Solly experimented with altitude training, and discovered too late that it takes more than thin air to do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADP ADJ NOUN NOUN ADP DET NOUN ADV VERB ADP NOUN NOUN CCONJ VERB ADV ADV ADP PRON VERB ADJ ADP ADJ NOUN PART VERB DET NOUN
His voice was low, for her alone, but it did the trick.	0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADJ NOUN VERB ADJ ADP PRON ADJ CCONJ PRON VERB DET NOUN
If you had not so stupidly bade me keep quiet, I should have done the trick long since, and you would not have had to leave the place at all.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	ADP PRON VERB ADV ADV ADV VERB PRON VERB ADJ PRON VERB VERB VERB DET NOUN ADV ADV CCONJ PRON VERB ADV VERB VERB PART VERB DET NOUN ADV ADV
So, so your new leader did the trick.	0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV ADV ADJ ADJ NOUN VERB DET NOUN
We took Ben to the vet and he was given a course of antibiotics, which seemed to do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PRON VERB PROPN ADP DET NOUN CCONJ PRON VERB VERB DET NOUN ADP NOUN ADJ VERB PART VERB DET NOUN
But solipsism is intuitively unacceptable ; and nobody seems to be able to come up with an argument from analogy that will do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ NOUN VERB ADV ADJ PUNCT CCONJ NOUN VERB PART VERB ADJ PART VERB PART ADP DET NOUN ADP NOUN ADJ VERB VERB DET NOUN
A book perhaps ; that might do the trick — she could read a while.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	identical	DET NOUN ADV PUNCT DET VERB VERB DET NOUN PUNCT PRON VERB VERB DET NOUN
Should do the trick, eh?’	0 1 0 1 0	do the trick	figurative	identical	VERB VERB DET NOUN ADV
It certainly seemed to do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	PRON ADV VERB PART VERB DET NOUN
But that should do the trick Mary	0 0 0 1 0 1 0	do the trick	figurative	identical	CCONJ DET VERB VERB DET NOUN PROPN
A heavily US - financed campaign did the trick and Blaize, with a 14 - 1 majority, took over and thanked God for sending the Americans to save Grenada.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET ADV PROPN PUNCT VERB NOUN VERB DET NOUN CCONJ PROPN ADP DET NUM SYM NUM NOUN VERB PART CCONJ VERB PROPN ADP VERB DET PROPN PART VERB PROPN
‘ Becoming better at what we do and widening the gap between selling price and manufacturing cost is the only target that will do the trick for us,’ he declared.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	do the trick	figurative	identical	PUNCT VERB ADV ADP NOUN PRON VERB CCONJ VERB DET NOUN ADP VERB NOUN CCONJ NOUN NOUN VERB DET ADJ NOUN ADJ VERB VERB DET NOUN ADP NOUN PRON VERB
He said : ‘ I 've had a miserable two years with injuries, but this latest op should do the trick.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	dashes	PRON VERB PUNCT PUNCT PRON VERB VERB DET ADJ NUM NOUN ADP NOUN CCONJ DET ADJ NOUN VERB VERB DET NOUN
‘ That should do the trick!’	0 0 0 1 0 1	do the trick	figurative	dashes	PUNCT DET VERB VERB DET NOUN
Apparently, its rationale is that if expanding reserves by more than $ 2~trillion has not produced the desired results, adding $ 85~billion more monthly – another $ 1~trillion this year – might do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADV ADJ NOUN VERB ADP ADP VERB NOUN ADP ADJ ADP SYM NUM VERB ADV VERB DET VERB NOUN VERB SYM NUM ADJ ADV PUNCT DET SYM NUM DET NOUN PUNCT VERB VERB DET NOUN
Secret To do this trick you need to choose a month with five Wednesdays in it.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	determiner-narrow	ADJ PART VERB DET VERB PRON VERB PART VERB DET NOUN ADP NUM NOUN ADP PRON
And apparently they believed it, as it did the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	CCONJ ADV PRON VERB PRON ADP PRON VERB DET NOUN
Keep hair smelling clean and fresh — subtly perfumed shampoos do the trick beautifully!	0 0 0 0 0 0 0 0 0 0 1 0 1 0	do the trick	figurative	identical	VERB NOUN VERB ADJ CCONJ ADJ PUNCT ADV VERB NOUN VERB DET NOUN ADV
It becomes oh well you you do some little tricks on numbers and you shuffle them about and that's the answer they want.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	PRON VERB INTJ INTJ PRON PRON VERB DET ADJ NOUN ADP NOUN CCONJ PRON VERB PRON ADV CCONJ DET DET NOUN PRON VERB
But you do the trick and get him out?	0 0 1 0 1 0 0 0 0	do the trick	figurative	identical	CCONJ PRON VERB DET NOUN CCONJ VERB PRON PART
It did the trick.	0 1 0 1	do the trick	figurative	inflection	PRON VERB DET NOUN
The wonder drug was duly acquired and miraculously did the trick.	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	DET NOUN NOUN VERB ADV VERB CCONJ ADV VERB DET NOUN
Of course, in open economy models of temporary equilibrium, alterations in the nominal exchange rate might do the trick of reducing real wages through their impact on the terms of trade ; but, in the case of a devaluation, this would succeed only to the extent that the phenomenon of real wage resistance were not encountered.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	ADV ADV ADP ADJ NOUN NOUN ADP ADJ NOUN NOUN ADP DET ADJ NOUN NOUN VERB VERB DET NOUN ADP VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP NOUN PUNCT CCONJ ADP DET NOUN ADP DET NOUN DET VERB VERB ADV ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN VERB ADV VERB
Now the housing industry hopes that the reduced rates — which go as low as 6.25 per cent for first - time buyers — will do the trick and revive the deeply troubled market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	identical	ADV DET NOUN NOUN VERB ADP DET VERB NOUN PUNCT ADJ VERB ADV ADJ ADP NUM ADP NOUN ADP ADJ PUNCT NOUN NOUN PUNCT VERB VERB DET NOUN CCONJ VERB DET ADV ADJ NOUN
Had his violent loss of temper done the trick after all?	0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	inflection	VERB ADJ ADJ NOUN ADP NOUN VERB DET NOUN ADV ADV
Seles switch does the trick	0 0 1 0 1	do the trick	figurative	inflection	NOUN VERB VERB DET NOUN
Near the end, he does a magic trick for a lady, using a fake thumb.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	ADP DET NOUN PRON VERB DET ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN
I 've kept touching you because I still have the greatest difficulty keeping my hands off you, but I was also doing Simon's trick, attempting to nudge fate along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	do the trick	literal	combined-inflection	PRON VERB VERB VERB PRON ADP PRON ADV VERB DET ADJ NOUN VERB ADJ NOUN ADP PRON CCONJ PRON VERB ADV VERB PROPN NOUN VERB PART VERB NOUN ADV
Cosmetic companies are always seeking new ways to solve our problems, and it seems we 're always willing to hand over our money in the hope that these products and their magic ingredients will do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADJ NOUN VERB ADV VERB ADJ NOUN PART VERB ADJ NOUN CCONJ PRON VERB PRON VERB ADV ADJ PART VERB PART ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ ADJ ADJ NOUN VERB VERB DET NOUN
One day soon, Dr Kepepwe would do the trick — with luck before the war - damaged moved in to supplant me in her attentions.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	NUM NOUN ADV PROPN PROPN VERB VERB DET VERB PUNCT ADP NOUN ADP DET NOUN PUNCT VERB VERB ADV PART VERB PRON ADP ADJ NOUN
But if your need is for anything other than that, that is to say something a little more complex, then the functionality built into Designer Labels is probably powerful enough to do the trick for you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	identical	CCONJ ADP ADJ NOUN VERB ADP NOUN ADJ ADP DET DET VERB PART VERB NOUN DET ADV ADV ADJ ADV DET NOUN VERB ADP PROPN PROPN VERB ADV ADJ ADV PART VERB DET NOUN ADP PRON
And hopefully that 'll do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ ADV DET VERB VERB DET NOUN
That did the trick.	0 1 0 1	do the trick	figurative	inflection	DET VERB DET NOUN
And Prozac did the trick for me, erm it won't work for everybody, it's not a happiness pill, it just restores you to to some sort of normality.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	CCONJ PROPN VERB DET NOUN ADP PRON INTJ PRON VERB VERB ADP NOUN PRON ADV DET NOUN NOUN PRON ADV VERB PRON ADP ADP DET NOUN ADP NOUN
The tools have to be looked after which means, in particular, preventing them from rusting ( a thin smearing of oil does the trick ) ; tools with cutting edges should be kept sharp with their blades protected against damage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET NOUN VERB PART VERB VERB ADP ADJ VERB ADP ADJ VERB PRON ADP VERB PUNCT DET ADJ NOUN ADP NOUN VERB DET NOUN PUNCT PUNCT NOUN ADP VERB NOUN VERB VERB VERB ADJ ADP ADJ NOUN VERB ADP NOUN
Measures such as increasing the amount of natural light, and relying more on ‘ local’ fittings could do the trick, the establishment believes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	do the trick	figurative	identical	NOUN ADJ ADP VERB DET NOUN ADP ADJ NOUN CCONJ VERB ADJ ADP PUNCT NOUN NOUN VERB VERB DET NOUN DET NOUN VERB
No well she had this special thing so it's done the trick so she hasn't worn it yet though, I think she's doing it for the wedding ain't she?	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	ADV INTJ PRON VERB DET ADJ NOUN ADP PRON VERB DET NOUN ADP PRON VERB VERB PRON ADV ADV PRON VERB PRON VERB PRON ADP DET NOUN VERB PRON
The water and the Juicy Fruit seemed to have done the trick because she felt great.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	do the trick	figurative	inflection	DET NOUN CCONJ DET PROPN PROPN VERB PART VERB VERB DET NOUN ADP PRON VERB ADJ
Behbehanian sincerely and deeply believed this would do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADJ ADV CCONJ ADV VERB DET VERB VERB DET NOUN
A doctored ball should do the trick for both at the same time.	0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	identical	DET VERB NOUN VERB VERB DET NOUN ADP DET ADP DET ADJ NOUN
Scented by infusion with wild tarragon, like no other sorbet I have ever tasted, a mere thimbleful did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	VERB ADP NOUN ADP ADJ NOUN ADP DET ADJ NOUN PRON VERB ADV VERB DET ADJ NOUN VERB DET NOUN
Fiscal consolidation in the Mediterranean countries might just do the trick, and allow – at great cost – a return to normal financing arrangements.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	ADJ NOUN ADP DET PROPN NOUN VERB ADV VERB DET NOUN CCONJ VERB PUNCT ADP ADJ NOUN PUNCT DET NOUN ADP ADJ NOUN NOUN
Mrs. O'Brien said that she believed what her husband told her about the company doing well and having good potential, but she was concerned for her son and felt that it was only for three weeks, and if it would do the trick, she would sign.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	do the trick	figurative	identical	PROPN PROPN VERB ADP PRON VERB NOUN ADJ NOUN VERB PRON ADP DET NOUN VERB ADV CCONJ VERB ADJ NOUN CCONJ PRON VERB VERB ADP ADJ NOUN CCONJ VERB ADP PRON VERB ADV ADP NUM NOUN CCONJ ADP PRON VERB VERB DET NOUN PRON VERB VERB
Having a ticket should do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	VERB DET NOUN VERB VERB DET NOUN
Football Round - Up : Thomas quick to do the trick	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PROPN PROPN PUNCT NOUN PUNCT PROPN ADJ PART VERB DET NOUN
‘ I got Nell to tell his father that if Sheridan came to breakfast we wouldn't be putting on our scene, and it did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	PUNCT PRON VERB PROPN PART VERB ADJ NOUN ADP ADP PROPN VERB PART NOUN PRON VERB VERB VERB PART ADJ NOUN CCONJ PRON VERB DET NOUN
‘ If only I could have made one more birdie at the last, that might have done the trick.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	combined-inflection	PUNCT ADP ADV PRON VERB VERB VERB NUM ADJ NOUN ADP DET ADJ ADJ VERB VERB VERB DET NOUN
Garfield Sobers did the trick two matches later.	0 0 1 0 1 0 0 0	do the trick	figurative	inflection	PROPN PROPN VERB DET NOUN NUM NOUN ADV
So I decided to get really fit this season before pre - season training, and Avrel seems to have done the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV PRON VERB PART VERB ADV ADJ DET NOUN ADP NOUN PUNCT NOUN NOUN CCONJ PROPN VERB PART VERB VERB DET NOUN
But I 'd very surprised if that doesn't do the trick.	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ PRON VERB ADV ADJ ADP DET VERB VERB DET NOUN
It did the trick.	0 1 0 1	do the trick	figurative	inflection	PRON VERB DET NOUN
In the event, some of the consequences of the solution have proved as irksome as the problem, but they have done the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADP DET NOUN DET ADP DET NOUN ADP DET NOUN VERB VERB ADV ADJ ADP DET NOUN CCONJ PRON VERB VERB DET NOUN
Dies are you back on Diesiodinate doing the trick	0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	NOUN VERB PRON ADV ADP PROPN VERB DET NOUN
You, if you get that stuff that 'll keep doing the trick for you.	0 0 0 0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	inflection	PRON ADP PRON VERB DET NOUN ADJ VERB VERB VERB DET NOUN ADP PRON
And we can easily see that an external contingent relation, no matter how regular a contingent relation it is, won't do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ PRON VERB ADV VERB ADP DET ADJ NOUN NOUN ADV ADV ADV ADJ DET ADJ NOUN PRON VERB VERB VERB DET NOUN
Wouldn't DRIVE do the trick?	0 0 1 0 1	do the trick	figurative	identical	VERB VERB VERB DET NOUN
And changing the washers usually does the trick.	0 0 0 0 0 1 0 1	do the trick	figurative	inflection	CCONJ VERB DET NOUN ADV VERB DET NOUN
Bloomsbury House made soothing noises which seem to have done the trick.	0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	PROPN PROPN VERB VERB NOUN ADJ VERB PART VERB VERB DET NOUN
I think he's doing tricks and that, cos he's got hankies and playing cards and that.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	PRON VERB PRON VERB NOUN CCONJ DET ADP PRON VERB NOUN CCONJ VERB NOUN CCONJ DET
Well that did the trick.	0 0 1 0 1	do the trick	figurative	inflection	INTJ DET VERB DET NOUN
‘ If you only snore on your back,’ he advises, ‘ then a tennis ball sewn into your pyjamas may do the trick.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	dashes	PUNCT ADP PRON ADV VERB ADP ADJ NOUN PRON VERB PUNCT ADV DET NOUN NOUN VERB ADP ADJ NOUN VERB VERB DET NOUN
But … between you, you 've done the trick.	0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	CCONJ PUNCT ADP PRON PRON VERB VERB DET NOUN
