‘ He's done us proud, as well,’ says Granville.	0 0 1 1 1 0 0 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB PRON ADJ ADP PRON VERB PROPN
And some of the connections are quite revealing, and the actions of the Italians in getting very very frustrated and angry now, and having the Christian Democrats and the Mafia and the and the establishment ruling them for many many years, I think does them proud and er maybe a little bit of anger here, about the same issues, would go down quite well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	CCONJ DET ADP DET NOUN VERB ADV ADJ CCONJ DET NOUN ADP DET PROPN ADP VERB ADV ADV ADJ CCONJ ADJ ADV CCONJ VERB DET PROPN PROPN CCONJ DET PROPN CCONJ DET CCONJ DET NOUN VERB PRON ADP ADJ ADJ NOUN PRON VERB VERB PRON ADJ CCONJ INTJ ADV DET ADJ NOUN ADP NOUN ADV ADP DET ADJ NOUN VERB VERB ADV ADV ADV
Derry's recent injury problems have been well emanating from the county today is quite simple — the fifteen players selected for duty on Sunday will be expected to do us proud!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	objective	ADJ ADJ NOUN NOUN VERB VERB ADV VERB ADP DET NOUN NOUN VERB ADV ADJ PUNCT DET NUM NOUN VERB ADP NOUN ADP PROPN VERB VERB VERB PART VERB PRON ADJ
The Taysiders will be playing their first competitive outdoor match of the year for, unlike their domestic rivals, they were on international duty last week in Basle, doing Scotland proud in winning the B Division of the European Indoor Championship.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	DET PROPN VERB VERB VERB ADJ ADJ ADJ ADJ NOUN ADP DET NOUN ADP ADP ADJ ADJ NOUN PRON VERB ADP ADJ NOUN ADJ NOUN ADP PROPN VERB PROPN ADJ ADP VERB DET PROPN PROPN ADP DET PROPN PROPN PROPN
LOCAL runners did Alton proud in the gruelling London Marathon on Sunday.	0 0 1 1 1 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	ADJ NOUN VERB PROPN ADJ ADP DET VERB PROPN PROPN ADP PROPN
I know I could win the title again and I know that I could do Britain proud.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-other	PRON VERB PRON VERB VERB DET NOUN ADV CCONJ PRON VERB ADP PRON VERB VERB PROPN ADJ
Uxbridge did me proud, however.	0 1 1 1 0	do someone proud	figurative	combined-inflection	PROPN VERB PRON ADJ ADV
And you 've done me proud too. ‘	0 0 0 1 1 1 0 0	do someone proud	figurative	combined-inflection	CCONJ PRON VERB VERB PRON ADJ ADV PUNCT
In the end, J7 HPC did us proud.	0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	ADP DET NOUN PROPN PROPN VERB PRON ADJ
But he's done us proud and you could say he's an improving nine - year - old and there aren't many of those about.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	CCONJ PRON VERB PRON ADJ CCONJ PRON VERB VERB PRON DET VERB NUM PUNCT NOUN PUNCT ADJ CCONJ ADV VERB ADJ ADP DET ADP
Miss Macdonald had done me proud.	0 0 0 1 1 1	do someone proud	figurative	combined-inflection	PROPN PROPN VERB VERB PRON ADJ
