But, at end of the day, no currency can defy the laws of economic gravity.	0 1 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	deletion-determiner	CCONJ ADP NOUN ADP DET NOUN DET NOUN VERB VERB DET NOUN ADP ADJ NOUN
I think what you say is quite true Chairman, but I still I think the bottom line to it is, at the end of the day, to do away with a strategic authority, such as the County Council, in my opinion, if you look at what's happened in the metropolitan areas, er in the country, Tyneside, Manchester, the West Midlands, areas like that, West Yorkshire, South Yorkshire, and er London itself, the er the doing away with a strategic authority.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB NOUN PRON VERB VERB ADV ADJ PROPN CCONJ PRON ADV PRON VERB DET ADJ NOUN ADP PRON VERB ADP DET NOUN ADP DET NOUN PART VERB ADV ADP DET ADJ NOUN ADJ ADP DET PROPN PROPN ADP ADJ NOUN ADP PRON VERB ADP NOUN VERB ADP DET ADJ NOUN INTJ ADP DET NOUN PROPN PROPN DET PROPN PROPN NOUN ADP DET PROPN PROPN PROPN PROPN CCONJ INTJ PROPN PRON DET INTJ DET VERB ADV ADP DET ADJ NOUN
Women who had been forced, in the name of Victory, to return to work in shops and factories, yet still found time at the end of the day to brew tea and serve hot meat pies, and smile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	identical	NOUN NOUN VERB VERB VERB ADP DET NOUN ADP NOUN PART VERB ADP NOUN ADP NOUN CCONJ NOUN CCONJ ADV VERB NOUN ADP DET NOUN ADP DET NOUN PART VERB NOUN CCONJ VERB ADJ NOUN NOUN CCONJ NOUN
The process of deciding where you are taking your business is the opportunity to get the involvement and commitment of others, which actually forms the motive power that at the end of the day will make it happen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0	at the end of the day	figurative	identical	DET NOUN ADP VERB ADV PRON VERB VERB ADJ NOUN VERB DET NOUN PART VERB DET NOUN CCONJ NOUN ADP NOUN ADJ ADV VERB DET ADJ NOUN ADP ADP DET NOUN ADP DET NOUN VERB VERB PRON VERB
As a technical achievement Castle Master is a work of art, but at the end of the day you either like Freescape games or you don't If you 're into this sort of thing, check it out — it's the best yet!	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP DET ADJ NOUN PROPN PROPN VERB DET NOUN ADP NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON CCONJ INTJ PROPN NOUN CCONJ PRON VERB ADP PRON VERB ADP DET NOUN ADP NOUN VERB PRON PART PUNCT PRON DET ADJ ADV
The only question that remains is whether, at the end of the day, the public has really had what professional educators would describe as ‘ a good learning experience’.	0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	DET ADJ NOUN ADJ VERB VERB ADP ADP DET NOUN ADP DET NOUN DET NOUN VERB ADV VERB NOUN ADJ NOUN VERB VERB ADP PUNCT DET ADJ NOUN VERB
That individual was responsible for using hand skills and producing a result at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	DET NOUN VERB ADJ ADP VERB NOUN NOUN CCONJ VERB DET NOUN ADP DET NOUN ADP DET NOUN
At the end of the day, there are experiences to be shared, new friends to be introduced and tans to be compared over a convivial drink.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN ADV VERB NOUN PART VERB VERB ADJ NOUN PART VERB VERB CCONJ NOUN PART VERB VERB ADP DET ADJ NOUN
At the end of the day it is a case of choosing what one's faith will be about — a point which Christians are reluctant to acknowledge.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON VERB DET NOUN ADP VERB NOUN NOUN NOUN VERB VERB ADP PUNCT DET NOUN ADJ PROPN VERB ADJ PART VERB
So at the end of the day it must be for the courts to decide how to classify particular functions, and this can only be done on the basis of some normative judgment about the desirable scope of judicial review.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB ADP DET NOUN PART VERB ADV PART VERB ADJ NOUN CCONJ DET VERB ADV VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN
You to buy back however many years you buy back will count in your pension and lump sum calculation at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	PRON PART VERB ADV ADV ADJ NOUN PRON VERB ADV VERB VERB ADP ADJ NOUN CCONJ NOUN NOUN NOUN ADP DET NOUN ADP DET NOUN
right and there why, why, I mean I 'm not saying, at the end of the day its all taxed up towards you making money	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	INTJ CCONJ ADV ADV ADV PRON VERB PRON VERB ADV VERB ADP DET NOUN ADP DET NOUN ADJ DET VERB PART ADP PRON VERB NOUN
They invest them in various ways and at the end of the day you can use that erm policy to actually top up your pension or provide for increased family benefits and because it's a the administration costs er costs are sort of less than than you get with erm you know sort of taking out a policy with an individual company, on a one off basis.	0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB PRON ADP ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB DET NOUN NOUN PART ADV VERB PART ADJ NOUN CCONJ VERB ADP VERB NOUN NOUN CCONJ ADP PRON DET DET NOUN VERB INTJ NOUN VERB ADV ADV ADJ ADP ADP PRON VERB ADP NOUN PRON VERB ADV ADV VERB PART DET NOUN ADP DET ADJ NOUN ADP DET NUM ADP NOUN
But at the end of the day, they 're more concerned about the money.	0 1 0 1 1 0 1 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN PRON VERB ADV ADJ ADP DET NOUN
Indeed at the end of a day, this would be bacteriologically impossible. )	0 1 0 1 1 0 1 0 0 0 0 0 0	at the end of the day	figurative	determiner-narrow	ADV ADP DET NOUN ADP DET NOUN DET VERB VERB ADV ADJ PUNCT
Erm if words can resolve the problem, then at the end of the day, there's no need for a man or a body of men to lose money.	0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	NOUN ADP NOUN VERB VERB DET NOUN ADV ADP DET NOUN ADP DET NOUN ADV DET NOUN ADP DET NOUN CCONJ DET NOUN ADP NOUN PART VERB NOUN
Ken's job in the library often leaves him tired and touchy at the end of a day.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	literal	determiner-narrow	PROPN NOUN ADP DET NOUN ADV VERB PRON ADJ CCONJ ADJ ADP DET NOUN ADP DET NOUN
If at the end of the day once we have gone through the goo the good housekeena keeping exercise and he has been put into an M S three post that you think he is not capable of, then you 've got two options.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP ADP DET NOUN ADP DET NOUN ADV PRON VERB VERB ADP DET NOUN DET ADJ NOUN VERB NOUN CCONJ PRON VERB VERB VERB ADP DET PROPN PROPN NUM NOUN ADJ PRON VERB PRON VERB ADV ADJ ADP ADV PRON VERB VERB NUM NOUN
without protest from a parent, without a protest from a hunter without a protest from er a anyone else, that is a shame, because I tell you what, if you go drag hunting, you can keep the jobs the people are still going to have to shoe the horses traders and people like that are still going to have to produce the carriages to take the horses with them and the only people job jobs are in jeopardy are not the kennel staff it's the terrier men and to be quite honest, ladies and gentlemen, it's the terrier men who have actually ruined your sport, cos of what they get up to in nineteen ninety three is a disgust and at the end of the day your P R has been absolutely wrong and I hope this afternoon that Conservatives and Liberals can join with us and I 've got to thank a certain Liberal because he's he's put his head on the block on several occasions on this when we stood on the platform as individuals, not as politicians, as individuals on this and I think that this afternoon we 've got a way forward, we can say to the hunt, come and talk you change, we 'll give you access.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP INTJ DET NOUN ADV DET VERB DET NOUN ADP PRON VERB PRON NOUN ADP PRON VERB NOUN NOUN PRON VERB VERB DET NOUN DET NOUN VERB ADV VERB PART VERB PART VERB DET NOUN NOUN CCONJ NOUN ADP DET VERB ADV VERB PART VERB PART VERB DET NOUN PART VERB DET NOUN ADP PRON CCONJ DET ADJ NOUN NOUN NOUN VERB ADP NOUN VERB ADV DET NOUN NOUN PRON DET ADJ NOUN CCONJ PART VERB ADV ADJ NOUN CCONJ NOUN PRON DET ADJ NOUN NOUN VERB ADV VERB ADJ NOUN ADP ADP NOUN PRON VERB PART ADP ADP NUM NUM NUM VERB DET NOUN CCONJ ADP DET NOUN ADP DET NOUN ADJ NOUN NOUN VERB VERB ADV ADJ CCONJ PRON VERB DET NOUN ADP PROPN CCONJ PROPN VERB VERB ADP PRON CCONJ PRON VERB VERB PART VERB DET ADJ ADJ ADP PRON PRON VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADP DET ADV PRON VERB ADP DET NOUN ADP NOUN ADV ADP NOUN ADP NOUN ADP DET CCONJ PRON VERB ADP DET NOUN PRON VERB VERB DET NOUN ADV PRON VERB VERB ADP DET NOUN VERB CCONJ VERB PRON VERB PRON VERB VERB PRON NOUN
So that was the journey waybill and that was handed in at the end of the day and from that and a visual check of the tickets that were returned by him to the ticket office, they could tell which tickets were missing and therefore they were sold to him and er there be, there was the odd shortages but in those days if anybody was short in his takings by, I think it was about sixpence in those days, he was the subject of a another warning by letter and if he persisted, well then he was brought in to see the Traffic Superintendent who erm, could suspend him for two or three days, so he lost pay for two or three days.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	identical	ADV DET VERB DET NOUN NOUN CCONJ DET VERB VERB PART ADP DET NOUN ADP DET NOUN CCONJ ADP DET CCONJ DET ADJ NOUN ADP DET NOUN ADJ VERB VERB ADP PRON ADP DET NOUN NOUN PRON VERB VERB ADJ NOUN VERB VERB CCONJ ADV PRON VERB VERB ADP PRON CCONJ INTJ ADV VERB ADV VERB DET ADJ NOUN CCONJ ADP DET NOUN ADP NOUN VERB ADJ ADP ADJ NOUN ADP PRON VERB PRON VERB ADP NOUN ADP DET NOUN PRON VERB DET NOUN ADP DET DET NOUN ADP NOUN CCONJ ADP PRON VERB INTJ ADV PRON VERB VERB PART PART VERB DET PROPN PROPN NOUN NOUN VERB VERB PRON ADP NUM CCONJ NUM NOUN ADV PRON VERB NOUN ADP NUM CCONJ NUM NOUN
But at the end of the day they have a life.	0 1 0 1 1 0 1 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN PRON VERB DET NOUN
I appreciate that sir, but you may feel at the end of the day that you need to hear conducts from the case and if he is still present obviously whatever the court wishes to do.	0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB ADP NOUN CCONJ PRON VERB VERB ADP DET NOUN ADP DET NOUN ADJ PRON VERB PART VERB NOUN ADP DET NOUN CCONJ ADP PRON VERB ADV ADJ ADV ADJ DET NOUN VERB PART VERB
‘ But John calmed down and things were settled amicably at the end of the day,’ he said.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0	at the end of the day	figurative	dashes	PUNCT CCONJ PROPN VERB PART CCONJ NOUN VERB VERB ADV ADP DET NOUN ADP DET NOUN PRON VERB
‘ You haven't exactly had a peaceful birthday!’ she 'd reminded Laura, who 'd smiled as she had recalled the twins ' boundless energy, which had left the two adults feeling quite exhausted at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	literal	identical	PUNCT PRON VERB ADV VERB DET ADJ NOUN PRON VERB VERB PROPN NOUN VERB VERB ADP PRON VERB VERB DET NOUN PART ADJ NOUN ADJ VERB VERB DET NUM NOUN VERB ADV ADJ ADP DET NOUN ADP DET NOUN
I don't actually really believe at the end of the day that that is something you that is rightly called business.	0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB ADV ADV VERB ADP DET NOUN ADP DET NOUN ADP DET VERB NOUN PRON ADJ VERB ADV VERB NOUN
But I 'm very concerned obviously as a representative of Shropshire on that Committee, I don't really want to support something which at the end of the day is going to have a detrimental impact on our own service here.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ PRON VERB ADV ADJ ADV ADP DET NOUN ADP PROPN ADP DET PROPN PRON VERB ADV VERB PART VERB NOUN ADJ ADP DET NOUN ADP DET NOUN VERB VERB PART VERB DET ADJ NOUN ADP ADJ ADJ NOUN ADV
At the end of the day, who cares if they 're boogie boarding off Newquay or riding big waves in Scarborough?	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN NOUN VERB ADP PRON VERB ADJ VERB PART PROPN CCONJ VERB ADJ NOUN ADP PROPN
Furthermore, although you are losing weight without hunger, feeling better and enjoying increased energy and vigour, you look forward to more food freedom at the end of the fourteen days …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0	at the end of the day	literal	combined-inflection	ADV ADP PRON VERB VERB NOUN ADP NOUN VERB ADJ CCONJ VERB VERB NOUN CCONJ NOUN PRON VERB ADV ADP ADJ NOUN NOUN ADP DET NOUN ADP DET NUM NOUN PUNCT
Phil : Well I would say that if I had my life over again I wish and hope that everything happens the same, and I think at the end of the day Becky had been the cream on top of the cake …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PROPN PUNCT INTJ PRON VERB VERB ADP ADP PRON VERB ADJ NOUN ADV ADV PRON VERB CCONJ VERB ADP NOUN VERB DET ADJ CCONJ PRON VERB ADP DET NOUN ADP DET NOUN PROPN VERB VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT
At the end of the day it's the animals that lose out. '	1 0 1 1 0 1 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON DET NOUN ADJ VERB PART PUNCT
When Auntie Jean slammed Uncle Ted's tea on the table at the end of each day — a meat pie and chips, or a nice bit of rump steak and tartar sauce ( he hadn't the nerve yet to go vegetarian ) — she sat opposite him with a stiff drink and demanded facts about Eva and Dad.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	determiner-broad	ADV PROPN PROPN VERB PROPN PROPN NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT DET NOUN NOUN CCONJ NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN PUNCT PRON VERB DET NOUN ADV PART VERB ADJ PUNCT PUNCT PRON VERB ADP PRON ADP DET ADJ NOUN CCONJ VERB NOUN ADP PROPN CCONJ PROPN
Though Minton did not begin until the class was all set up and working, the forcefulness of his example meant that at the end of the day there were eight Mintons instead of one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP PROPN VERB ADV VERB ADP DET NOUN VERB DET VERB PART CCONJ VERB DET NOUN ADP ADJ NOUN VERB ADP ADP DET NOUN ADP DET NOUN ADV VERB NUM PROPN ADV ADP NUM
Well, you don't wanna worry about them because at the end of the day, I mean if if that was absolutely desperate I shall turn round and say well I 'm sorry I 've bloody got to and that's it!	0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	INTJ PRON VERB VERB VERB ADP PRON ADP ADP DET NOUN ADP DET NOUN PRON VERB ADP ADP DET VERB ADV ADJ PRON VERB VERB ADV CCONJ VERB INTJ PRON VERB ADJ PRON VERB ADJ VERB PART CCONJ DET PRON
The whole purpose of a conference is about disagreeing with each other and then agreeing a statement as a compromise for whatever is reached at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	DET ADJ NOUN ADP DET NOUN VERB ADP VERB ADP DET ADJ CCONJ ADV VERB DET NOUN ADP DET NOUN ADP ADJ VERB VERB ADP DET NOUN ADP DET NOUN
