My father had bought the farm at an auction, at what turned out to be an inflated price.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	inflection	ADJ NOUN VERB VERB DET NOUN ADP DET NOUN ADP NOUN VERB PART PART VERB DET ADJ NOUN
However carefully you are prepared, buying a farm can be an exciting and hectic experience, and there is always the danger of making a subjective judgement or acting on impulse ; it is here that experienced friends are invaluable.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	ADV ADV PRON VERB ADJ VERB DET NOUN VERB VERB DET ADJ CCONJ ADJ NOUN CCONJ ADV VERB ADV DET NOUN ADP VERB DET ADJ NOUN CCONJ VERB ADP NOUN PUNCT PRON VERB ADV ADJ ADJ NOUN VERB ADJ
She had bought a farm at Willowdale, Ontario.	0 0 1 0 1 0 0 0	buy the farm	literal	combined-inflection	PRON VERB VERB DET NOUN ADP PROPN PROPN
It is possible to jump in at the deep end, buy a farm, and teach yourself, learning by your mistakes.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	buy the farm	literal	determiner-narrow	PRON VERB ADJ PART VERB PART ADP DET ADJ NOUN VERB DET NOUN CCONJ VERB PRON VERB ADP ADJ NOUN
It is therefore prudent for a newcomer to spend considerable time and effort acquiring the skills before taking the plunge by buying a farm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	buy the farm	literal	combined-inflection	PRON VERB ADV ADJ ADP DET NOUN PART VERB ADJ NOUN CCONJ NOUN VERB DET NOUN ADP VERB DET NOUN ADP VERB DET NOUN
Just bought the farm and	0 1 0 1 0	buy the farm	literal	inflection	ADV VERB DET NOUN CCONJ
The rich shrimp cultivators then buy the farms at throwaway prices, creating widespread landlessness and unemployment ( as shrimp farming requires fewer workers than rice ).	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	inflection	DET ADJ NOUN NOUN ADV VERB DET NOUN ADP NOUN NOUN VERB ADJ ADJ CCONJ NOUN PUNCT ADP NOUN NOUN VERB ADJ NOUN ADP NOUN PUNCT
In March of that year he sailed back to Ontario where he bought a farm, the land of which is now part of the city of Brantford.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	ADP PROPN ADP DET NOUN PRON VERB ADV ADP PROPN ADV PRON VERB DET NOUN DET NOUN ADP ADJ VERB ADV NOUN ADP DET NOUN ADP PROPN
The popular fantasy ambitions focus on this conflict : one is to run one's own business and the second is to manage or buy a farm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	buy the farm	literal	determiner-narrow	DET ADJ NOUN NOUN VERB ADP DET NOUN PUNCT NOUN VERB PART VERB PRON ADJ NOUN CCONJ DET NOUN VERB PART VERB CCONJ VERB DET NOUN
President Robert Mugabe announced on April 30th that the government is to buy 70 big commercial farms, covering 190,000 hectares, as the first step in a plan to redistribute some 5 m hectares of white - owned land to blacks.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	PROPN PROPN PROPN VERB ADP PROPN NOUN ADP DET NOUN VERB PART VERB NUM ADJ ADJ NOUN VERB NUM NOUN ADP DET ADJ NOUN ADP DET NOUN PART VERB DET NUM NOUN NOUN ADP ADV PUNCT VERB NOUN ADP NOUN
Oh yes, this is what the big business people, why they run far why one of the big business people used to buy farms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	buy the farm	literal	deletion-determiner	INTJ INTJ DET VERB NOUN DET ADJ NOUN NOUN ADV PRON VERB ADV ADV NUM ADP DET ADJ NOUN NOUN VERB PART VERB NOUN
Leviticus Cauldhame, my father's eldest brother, emigrated to South Africa and bought a farm there in 1954.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	buy the farm	literal	combined-inflection	PROPN PROPN ADJ NOUN ADJ NOUN VERB ADP PROPN PROPN CCONJ VERB DET NOUN ADV ADP NUM
