‘ You mean, you knew all along, but you let me make a fool of myself?’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB PRON VERB ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV
Well it actually doesn't very, it doesn't touch the actual fence it erm all along the concrete poles they 've got holes through them where you can put some wire different higher of fence you see	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	INTJ PRON ADV VERB ADV PRON VERB VERB DET ADJ NOUN PRON ADV ADV ADP DET ADJ NOUN PRON VERB VERB NOUN ADP PRON ADV PRON VERB VERB DET NOUN ADJ ADJ ADP NOUN PRON VERB
As Ari and Nathan went through the shop, Roirbak remembered with mixed feelings that Zambia and Tammuz might still be in there, and then wondered if some evil part of him had been aware of that all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	ADP PROPN CCONJ PROPN VERB ADP DET NOUN PROPN VERB ADP ADJ NOUN ADJ PROPN CCONJ PROPN VERB ADV VERB ADV ADV CCONJ ADV VERB ADP DET ADJ NOUN ADP PRON VERB VERB ADJ ADP DET DET ADP
Richard was still not allowed to speak — he was not recovering quite so fast as had been expected — and he could make little reply when Laura told him that this was exactly the kind of thing she had expected all along, and that she would see about disposing of Lord Jim immediately.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN VERB ADV ADV VERB PART VERB PUNCT PRON VERB ADV VERB ADV ADV ADV ADP VERB VERB VERB PUNCT CCONJ PRON VERB VERB ADJ NOUN ADV PROPN VERB PRON ADP DET VERB ADV DET NOUN ADP NOUN PRON VERB VERB DET ADV CCONJ ADP PRON VERB VERB ADP VERB ADP PROPN PROPN ADV
She 'd known all along she 'd be made to stay and watch.	0 0 0 1 1 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB DET ADP PRON VERB VERB VERB PART VERB CCONJ VERB
Among the Tories there are one or two rampant hindsighters who claim they knew what they were doing all along, and that the tax strategy was bound to pay off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADP DET PROPN ADV VERB NUM CCONJ NUM ADJ NOUN NOUN VERB PRON VERB NOUN PRON VERB VERB ADV ADV CCONJ ADP DET NOUN NOUN VERB VERB PART VERB PART
Weak all along in terms of commitment, doubt now shows its colours and acts true to form by refusing to shoulder any responsibility for the unreality it has caused.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADJ ADV ADV ADP NOUN ADP NOUN NOUN ADV VERB ADJ NOUN CCONJ VERB ADJ PART VERB ADP VERB PART VERB DET NOUN ADP DET NOUN PRON VERB VERB
We 've said all along that staffing the community centre should be reduced er and that we should be encouraging the community to take more interest in running their community centres.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB ADV ADP DET VERB DET NOUN NOUN VERB VERB VERB INTJ CCONJ ADP PRON VERB VERB VERB DET NOUN PART VERB ADJ NOUN ADP VERB ADJ NOUN NOUN
And then, at 4 am one pitch - dark morning, I found myself where all along I had planned to be : standing on a steep hillside on a clifftop, waiting for the sun to rise on the world's first dawn of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	CCONJ ADV ADP NUM VERB NUM NOUN PUNCT ADJ NOUN PRON VERB PRON ADV DET ADP PRON VERB VERB PART VERB PUNCT VERB ADP DET ADJ NOUN ADP DET NOUN VERB ADP DET NOUN PART VERB ADP DET NOUN ADJ NOUN ADP DET NOUN
Its headlights came on full beam, and it accelerated away with a rising roar which brought heads to windows all along the street.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	ADJ NOUN VERB ADP ADJ NOUN CCONJ PRON VERB ADV ADP DET VERB NOUN ADJ VERB NOUN ADP NOUN ADV ADP DET NOUN
She had spoken to her about it, not sharply, of course— she could never do that — but with disappointment to which Gemma had calmly replied,"Mother, I told you all along that I didn't want to live in the country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB ADP PRON ADP PRON ADV ADV ADP NOUN PRON VERB ADV VERB DET PUNCT CCONJ ADP NOUN ADP ADJ PROPN VERB ADV ADJ PRON VERB PRON DET ADP DET PRON VERB VERB PART VERB ADP DET NOUN
It is only when you stop scanning the horizon for monumental shapes that you realise they have been looming unnoticed in the foreground all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB ADV ADV PRON VERB VERB DET NOUN ADP ADJ NOUN ADJ PRON VERB PRON VERB VERB VERB ADJ ADP DET NOUN ADV ADV
Kavner says he assumes Noorda and company had been evaluating their options all along and finally decided to spend their resources on USL.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN VERB PRON VERB PROPN CCONJ NOUN VERB VERB VERB ADJ NOUN ADV ADV CCONJ ADV VERB PART VERB ADJ NOUN ADP PROPN
Yeah I was annoyed, up at Christine's school the other day, I was waiting for Anita, and there's driveways all along that road	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	INTJ PRON VERB VERB ADV ADP PROPN NOUN DET ADJ NOUN PRON VERB VERB ADP PROPN CCONJ ADV NOUN ADV ADP DET NOUN
And for thirty years I and my fellow teachers, as we went back to our classrooms, have said to ourselves, ‘ Well, back to reality ’’, and had gone on doing just what we had been doing all along, which was to try to bribe, scare or shame children into learning what someone else had decided they ought to know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	CCONJ ADP NUM NOUN PRON CCONJ ADJ ADJ NOUN ADP PRON VERB ADV ADP ADJ NOUN VERB VERB ADP PRON PUNCT INTJ ADV ADP NOUN PUNCT CCONJ VERB VERB PART VERB ADV NOUN PRON VERB VERB VERB ADV ADV ADJ VERB PART VERB PART VERB NOUN CCONJ NOUN NOUN ADP VERB NOUN NOUN ADV VERB VERB PRON VERB PART VERB
The quare fella here is Master of the Tipperary and they hunt all along the valley of the Suir — the way the line is to go.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	DET NOUN NOUN ADV VERB PROPN ADP DET PROPN CCONJ PRON VERB DET ADP DET NOUN ADP DET PROPN PUNCT DET NOUN DET NOUN VERB PART VERB
You had no right to be ashamed of me, and I knew that all along, remember, even if you 've only just discovered it, so I didn't see why I should pander to your wish to keep our affair a secret,’ she confessed defiantly.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB DET NOUN PART VERB ADJ ADP PRON CCONJ PRON VERB ADP ADV ADV VERB ADV ADP PRON VERB ADV ADV VERB PRON ADV PRON VERB VERB ADV PRON VERB VERB ADP ADJ NOUN PART VERB ADJ NOUN DET NOUN PRON VERB ADV
All along the quays, for a distance of 200 metres, piles of lumber are burning.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	case	DET ADP DET NOUN ADP DET NOUN ADP NUM NOUN NOUN ADP NOUN VERB VERB
In the end I suppose you 'll get everything, which is what you wanted all along really but haven't dared to say it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	all along	figurative	identical	ADP DET NOUN PRON VERB PRON VERB VERB NOUN ADJ VERB NOUN PRON VERB ADV ADV ADV CCONJ VERB VERB PART VERB PRON
Just look at the leaf colour all along the bank there … ’	0 0 0 0 0 0 1 1 0 0 0 0 0	all along	literal	identical	ADV VERB ADP DET NOUN NOUN DET ADP DET NOUN ADV PUNCT PUNCT
We had telephoned and faxed King Hussein all along, informing him of our progress.	0 0 0 0 0 0 0 1 1 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB CCONJ VERB PROPN PROPN ADV ADV VERB PRON ADP ADJ NOUN
Yet, all along, China continued to insist that Gwadar ’s only role was commercial.	0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADV ADV ADV PROPN VERB PART VERB ADP PROPN PART ADJ NOUN VERB ADJ
There were little spots of cement all along the top, where the railings had been torn out in the war.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	ADV VERB ADJ NOUN ADP NOUN DET ADP DET NOUN ADV DET NOUN VERB VERB VERB PART ADP DET NOUN
Cars were parked all along the grass verge outside the church.	0 0 0 1 1 0 0 0 0 0 0	all along	literal	identical	NOUN VERB VERB ADV ADP DET NOUN VERB ADP DET NOUN
In most of Scotland, most of Wales and Cornwall there was a preference for black or black finchbacks, while solid red cattle dominated Devon, Sussex and Kent, and part - reds were preferred all along the east coast of England down to East Anglia, where there was a mixing of red - and - whites and duns.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	ADP ADJ ADP PROPN ADJ ADP PROPN CCONJ PROPN ADV VERB DET NOUN ADP ADJ CCONJ ADJ NOUN ADP ADJ ADJ NOUN VERB PROPN PROPN CCONJ PROPN CCONJ NOUN PUNCT NOUN VERB VERB ADV ADP DET ADJ NOUN ADP PROPN ADP ADP PROPN PROPN ADV ADV VERB DET NOUN ADP ADJ PUNCT CCONJ PUNCT NOUN CCONJ NOUN
It was as if, the actor now thinks, he hadn't wanted to complain all along, but his professionalism wouldn't allow him not to say it.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADP ADP DET NOUN ADV VERB PRON VERB VERB PART VERB DET ADV CCONJ ADJ NOUN VERB VERB PRON ADV PART VERB PRON
It wouldn't surprise me to hear you 'd planned this all along.	0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB VERB PRON PART VERB PRON VERB VERB DET DET ADP
It suddenly dawned on Tom that he 'd been doing it wrong all along.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON ADV VERB ADP PROPN ADP PRON VERB VERB VERB PRON ADV ADV ADV
Look, I was looking for my pen and it was there all along.	0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	VERB PRON VERB VERB ADP ADJ NOUN CCONJ PRON VERB ADV DET ADV
all along the shore,	1 1 0 0	all along	literal	identical	DET ADP DET NOUN
The benefits, the law and the villages all along the edge of eighty eight are so enormous that we must try and sustain, and I 'm very hopeful that, would, with the good will of the whole of us we can improve the quality of life for everyone.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	DET NOUN DET NOUN CCONJ DET NOUN ADV ADP DET NOUN ADP NUM NUM VERB ADV ADJ ADP PRON VERB VERB CCONJ VERB CCONJ PRON VERB ADV ADJ ADP VERB ADP DET ADJ NOUN ADP DET NOUN ADP PRON PRON VERB VERB DET NOUN ADP NOUN ADP NOUN
It's all along the back isn't it?	0 1 1 0 0 0 0	all along	literal	identical	PRON DET ADP DET NOUN VERB PRON
John Delaney knew now that all along it had been hunting them, that it was still hunting them, waiting for the right moment to pick them off at will, one at a time.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN PROPN VERB ADV ADP DET ADP PRON VERB VERB VERB PRON ADP PRON VERB ADV VERB PRON VERB ADP DET ADJ NOUN PART VERB PRON PART ADP NOUN NUM ADP DET NOUN
‘ I had insisted all along that we could not return until that was the case and that having waited so long, waiting a little longer would not matter.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB VERB ADV ADP ADP PRON VERB ADV VERB ADP DET VERB DET NOUN CCONJ ADP VERB VERB ADV ADV VERB DET ADJ ADJ VERB ADV VERB
Once GM's union agreed to the plan, a bandwagon rolled : within a year 8,000 new plans had been written, all along the same lines.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	all along	literal	identical	ADV PROPN NOUN VERB ADP DET NOUN DET NOUN VERB PUNCT ADP DET NOUN NUM ADJ NOUN VERB VERB VERB ADV ADP DET ADJ NOUN
What's different about it is that we possess, the G M B London Region, possess sworn statements from managers and ex Chief Officers that conclusively demonstrate that what the trade union has been saying all along, what the G M B's been saying all along, about victimization, financial mismanagement and corruption, have in ta in fact taken place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	NOUN ADJ ADP PRON VERB ADP PRON VERB DET NOUN PROPN PROPN PROPN PROPN VERB VERB NOUN ADP NOUN CCONJ NUM PROPN PROPN ADJ ADV VERB ADP NOUN DET NOUN NOUN VERB VERB VERB ADV ADV NOUN DET NOUN PROPN PROPN VERB VERB ADV ADV ADP NOUN ADJ NOUN CCONJ NOUN VERB ADP PART ADP NOUN VERB NOUN
JB : I painted mostly in my own time, and it's been like that all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	NOUN PUNCT PRON VERB ADV ADP ADJ ADJ NOUN CCONJ PRON VERB ADP DET ADV ADV
All along, Astorre had been longing to get the campaign over and done with.	1 1 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	case	ADV ADV PROPN VERB VERB VERB PART VERB DET NOUN ADV CCONJ VERB ADP
Rain said to Maurin, in French now that there was no need to exclude Durance from their conversation : ‘ You 've known all along, haven't you?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	figurative	identical	NOUN VERB ADP PROPN ADP PROPN ADV ADP ADV VERB DET NOUN PART VERB PROPN ADP ADJ NOUN PUNCT PUNCT PRON VERB VERB DET ADV VERB PRON
They 've got a series of almost like ethnic murals that somebody's done all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB VERB DET NOUN ADP ADV ADP ADJ NOUN ADP NOUN VERB ADV ADV
‘ So you were right all along,’ she murmured.	0 0 0 0 0 1 1 0 0	all along	figurative	dashes	PUNCT ADV PRON VERB ADV ADV INTJ PRON VERB
The position would have been very different in the case of a payment made some years before which was sought to be recovered because a court in another case had ruled that the regulation under which the demand had been made had all along been ultra vires.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	all along	figurative	identical	DET NOUN VERB VERB VERB ADV ADJ ADP DET NOUN ADP DET NOUN VERB DET NOUN ADP ADJ VERB VERB PART VERB VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP ADJ DET NOUN VERB VERB VERB VERB ADV ADV VERB ADJ NOUN
The man will swiftly think that the Duke knew all along.	0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	DET NOUN VERB ADV VERB ADP DET PROPN VERB ADV ADV
The reaction function g(U ) then merely becomes a formalization of what Pigou and other classical writers had been saying all along, namely, that downward revisions of the money wage rate would eradicate the phenomenon of general unemployment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	DET NOUN NOUN PROPN PUNCT ADV ADV VERB DET NOUN ADP NOUN PROPN CCONJ ADJ ADJ NOUN VERB VERB VERB ADV ADV ADV ADP ADJ NOUN ADP DET NOUN NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN
Now it turns out that the Government knew all along what they were up to but told them to lie.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADV PRON VERB PART ADP DET PROPN VERB ADV ADP NOUN PRON VERB ADV ADP CCONJ VERB PRON PART VERB
Ford ( 1988 ) by contrast believes that the insights of counselling are needed all along the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	PROPN PUNCT NUM PUNCT ADP NOUN VERB ADP DET NOUN ADP NOUN VERB VERB ADV ADP DET NOUN
But how many people do you know who smile broadly at you, and speak in a calm and controlled manner, when all along they are fuming inside and never show it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	all along	figurative	identical	CCONJ ADV ADJ NOUN VERB PRON VERB NOUN VERB ADV ADP PRON CCONJ VERB ADP DET NOUN CCONJ ADJ NOUN ADV ADV ADP PRON VERB VERB ADV CCONJ ADV VERB PRON
