‘ Burra has not made a song and dance about how it has been affected,’ he said.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	song and dance	figurative	identical	PUNCT PROPN VERB ADV VERB DET NOUN CCONJ NOUN ADP ADV PRON VERB VERB VERB PRON VERB
‘ This person, I thought, is what a woman should look like : this figure sitting opposite me with food and drink and companions manages to represent without acquired coquetry or self - diminishing self - consciousness the very essence of femininity, the quality bestowed in at least some measure upon mother, sister, wife, daughter, the power which in its apparent passivity is most naturally creative and dynamic, the sweetness which belongs to the rhythms of earth and moon and song and dance, the ideal which tempers the brutishness and vulgarity and wanton egotism of man as he plunders our planet, napalms distant villages, pollutes the great oceans and corrupts every healing dream that has ever been wrenched by noble minds out of the bleak absurdities of this brief and cruel existence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	identical	PUNCT DET NOUN PRON VERB VERB NOUN DET NOUN VERB VERB ADP PUNCT DET NOUN VERB ADP PRON ADP NOUN CCONJ NOUN CCONJ NOUN VERB PART VERB ADP VERB NOUN CCONJ NOUN PUNCT VERB NOUN PUNCT NOUN DET ADJ NOUN ADP NOUN DET NOUN VERB ADP ADP ADJ DET NOUN ADP NOUN NOUN NOUN NOUN DET NOUN ADJ ADP ADJ ADJ NOUN VERB ADV ADV ADJ CCONJ ADJ DET NOUN ADJ VERB ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN DET NOUN ADJ VERB DET NOUN CCONJ NOUN CCONJ NOUN NOUN ADP NOUN ADP PRON VERB ADJ NOUN VERB ADJ NOUN VERB DET ADJ NOUN CCONJ NOUN DET NOUN NOUN ADJ VERB ADV VERB VERB ADP ADJ NOUN ADP ADP DET ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN
Pesh Framjee of Binder Hamlyn's Charities Unit agrees that fund managers are making a song and dance about the changes, ‘ but let us say there is no smoke without fire and a lot of wet leaves going round’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	identical	NOUN PROPN ADP PROPN PROPN PROPN PROPN VERB ADP NOUN NOUN VERB VERB DET NOUN CCONJ NOUN ADP DET NOUN PUNCT CCONJ VERB PRON VERB ADV VERB DET NOUN ADP NOUN CCONJ DET NOUN ADP ADJ NOUN VERB PRON
I was going to make a song and dance when we got the 100th subscriber, but 98's near enough.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	identical	PRON VERB VERB PART VERB DET NOUN CCONJ NOUN ADV PRON VERB DET ADJ NOUN CCONJ NUM ADJ ADV
Make a bloody song and dance of it!	0 0 0 1 1 1 0 0	song and dance	figurative	identical	VERB DET ADJ NOUN CCONJ NOUN ADP PRON
In the show, Crawford did a song - and - dance impersonation of Fred Astaire up a lighted stairway.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	song and dance	literal	dashes	ADP DET NOUN PROPN VERB DET NOUN PUNCT CCONJ PUNCT NOUN NOUN ADP PROPN PROPN ADP DET VERB NOUN
Look here, there's no need to make a song and dance of it.	0 0 0 0 0 0 0 0 1 1 1 0 0	song and dance	figurative	identical	VERB ADV ADV DET NOUN PART VERB DET NOUN CCONJ NOUN ADP PRON
What we have done is we have erm been able to utilise some A C T capacity or generate some A C T capacity within one of the subsidiaries within the group um the reason for highlighting it highlighting it is not particularly to make a song and dance about it but is particularly to say that on the cash flow statement there is this in - flood and it is a one off in - flood we 're not going to be seeing that being brought forward every year, but basically what it is is we have profits in previous elements of the group which enabled us to generate A C T capacity enabled us to off set this A C T which we paid on dividends and bringing forward earlier than we would otherwise have done.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	identical	NOUN PRON VERB VERB VERB PRON VERB ADV VERB ADJ PART VERB DET NOUN NOUN NOUN NOUN CCONJ VERB DET NOUN NOUN NOUN NOUN ADP NUM ADP DET NOUN ADP DET NOUN INTJ DET NOUN ADP VERB PRON VERB PRON VERB ADV ADV PART VERB DET NOUN CCONJ NOUN ADP PRON CCONJ VERB ADV PART VERB ADP ADP DET NOUN NOUN NOUN ADV VERB DET ADP PUNCT NOUN CCONJ PRON VERB DET NOUN ADP ADP PUNCT NOUN PRON VERB ADV VERB PART VERB VERB ADP VERB VERB ADV DET NOUN CCONJ ADV NOUN PRON VERB VERB PRON VERB NOUN ADP ADJ NOUN ADP DET NOUN ADJ VERB PRON PART VERB DET NOUN NOUN NOUN VERB PRON ADP ADV VERB DET DET NOUN NOUN ADJ PRON VERB ADP NOUN CCONJ VERB ADV ADV ADP PRON VERB ADV VERB VERB
‘ If any other part of the machine broke the farmer would be down at the dealer causing a song and dance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	song and dance	figurative	identical	PUNCT ADP DET ADJ NOUN ADP DET NOUN VERB DET NOUN VERB VERB ADV ADP DET NOUN VERB DET NOUN CCONJ NOUN
Not much remains of them, not much of their songs and dances and stories, ‘ the things,’ as the Dorman says, ‘ which make human life worth living.’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	inflection	ADV ADJ NOUN ADP PRON ADV ADJ ADP ADJ NOUN CCONJ NOUN CCONJ NOUN PUNCT DET NOUN ADP DET PROPN VERB PUNCT ADJ VERB ADJ NOUN ADJ ADJ
And they, you know, they 're no worse than children anywhere else in the country, and I don't wish to make a big song and dance about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	song and dance	figurative	identical	CCONJ PRON PRON VERB PRON VERB ADV ADJ ADP NOUN ADV ADV ADP DET NOUN CCONJ PRON VERB VERB PART VERB DET ADJ NOUN CCONJ NOUN ADP PRON
‘ The biggest mass art project in the history of the world’ was how the impresario Andre Heller modestly described his plan to stage Body and Soul, an extravaganza of black song and dance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	song and dance	literal	identical	PUNCT DET ADJ NOUN NOUN NOUN ADP DET NOUN ADP DET NOUN VERB ADV DET NOUN PROPN PROPN ADV VERB ADJ NOUN PART VERB PROPN CCONJ PROPN DET NOUN ADP ADJ NOUN CCONJ NOUN
I went to several events in 1989, the last one of which was a delightful evening of music, song and dance, at St James's Palace in the presence of the Duchess of York.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	identical	PRON VERB ADP ADJ NOUN ADP NUM DET ADJ NUM ADP ADJ VERB DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN ADP PROPN PROPN PROPN ADP DET NOUN ADP DET PROPN ADP PROPN
Star of many a West End musical success, Bonnie Langford dances her way through two and a half hours of showstopping song and dance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	song and dance	literal	identical	PROPN ADP ADJ DET PROPN NOUN ADJ NOUN PROPN PROPN VERB ADJ NOUN ADP NUM CCONJ DET ADJ NOUN ADP VERB NOUN CCONJ NOUN
The film's musical score and song and dance numbers are surprisingly its weakest ingredient, though the shooting and editing of Earth Girls Are Easy is often highly original - especially the black and white dream sequence that's a model of its kind and almost a music video in itself.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	identical	DET NOUN ADJ NOUN CCONJ NOUN CCONJ NOUN NOUN VERB ADV ADJ ADJ NOUN ADP DET NOUN CCONJ NOUN ADP PROPN NOUN VERB PROPN VERB ADV ADV ADJ PUNCT ADV DET ADJ CCONJ ADJ NOUN NOUN ADJ DET NOUN ADP ADJ NOUN CCONJ ADV DET NOUN NOUN ADP PRON
If she had wanted to stay she 'd have made a song and dance, but it was better to move.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	song and dance	figurative	identical	ADP PRON VERB VERB PART VERB PRON VERB VERB VERB DET NOUN CCONJ NOUN CCONJ PRON VERB ADJ PART VERB
