Perhaps he could produce chapter and verse evidence of such incidents.	0 0 0 0 1 1 1 0 0 0 0	chapter and verse	figurative	identical	ADV PRON VERB VERB NOUN CCONJ NOUN NOUN ADP ADJ NOUN
The message behind ‘ How to open and operate a small restaurant’— a series of six lectures in Chester organised by Leith's School of Food and Wine — may well be chapter and verse on ‘ how not to’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	chapter and verse	figurative	identical	DET NOUN ADP PRON ADV PART VERB CCONJ VERB DET NOUN NOUN DET NOUN ADP NUM NOUN ADP PROPN VERB ADP PROPN PROPN ADP PROPN CCONJ PROPN PUNCT VERB ADV VERB NOUN CCONJ NOUN ADP PUNCT ADV ADV VERB
Trust the colonel to give him chapter and verse.	0 0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	VERB DET NOUN PART VERB PRON NOUN CCONJ NOUN
The ‘ sources’ give chapter and verse for everything, pre and post marriage : her ambition, his indecision, the clothes, rows, sexual proclivities, confidants et al.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	identical	DET PRON NOUN VERB NOUN CCONJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN PUNCT ADJ NOUN ADJ NOUN DET NOUN NOUN ADJ NOUN NOUN PROPN PROPN
Whenever she felt nervous she had a tendency to chatter, but there was no need to give chapter and verse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	ADV PRON VERB ADJ PRON VERB DET NOUN PART NOUN CCONJ ADV VERB DET NOUN PART VERB NOUN CCONJ NOUN
Certainly we shouldn't re - issue anything until after the next meeting but erm, having the procedures we have finished with so far, in their latest form probably helpful, even if it's only you whose has the master copy Simon right so when we need some reference, we have got that chapter and verse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	ADV PRON VERB VERB PUNCT VERB NOUN ADP ADP DET ADJ NOUN CCONJ NOUN VERB DET NOUN PRON VERB VERB ADP ADV ADV ADP ADJ ADJ NOUN ADV ADJ ADV ADP PRON ADV PRON ADJ VERB DET NOUN NOUN PROPN ADV ADV ADV PRON VERB DET NOUN PRON VERB VERB DET NOUN CCONJ NOUN
Like, for instance, chapter and verse here.	0 0 0 1 1 1 0	chapter and verse	figurative	identical	INTJ ADP NOUN NOUN CCONJ NOUN ADV
He then goes on to list and classify a lengthy and diverse list : visions, dreams, voices, discussions, parables, speeches, proverbs, rituals, laws, songs, drama, poetry, letters, ciphers, anthologies, history, records and stories, and for each he gives chapter and verse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	PRON ADV VERB PART PART VERB CCONJ VERB DET ADJ CCONJ ADJ NOUN PUNCT NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN CCONJ ADP DET PRON VERB NOUN CCONJ NOUN
A couple more re verses er in Two Corinthians, five fifteen, and one John chapter two and verse two.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	chapter and verse	literal	insertion-other	DET NOUN ADJ VERB ADP INTJ ADP NUM PROPN NUM NUM CCONJ NUM PROPN NOUN NUM CCONJ NOUN NUM
They would have dug out his file from the Ministry of Defence, and got chapter and verse on his time in the army.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	chapter and verse	figurative	identical	PRON VERB VERB VERB PART ADJ NOUN ADP DET PROPN ADP PROPN CCONJ VERB NOUN CCONJ NOUN ADP ADJ NOUN ADP DET NOUN
Right at the outset, perhaps we can read a verse from one Timo, er two Timothy, chapter one and verse twelve and Paul says there, he's come almost to the end of his life, he's, he will shortly be, taken out and will be executed and he says, for this reason I also suffer these things.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	ADV ADP DET NOUN ADV PRON VERB VERB DET NOUN ADP NUM PROPN INTJ NUM PROPN NOUN NUM CCONJ NOUN NUM CCONJ PROPN VERB ADV PRON VERB ADV ADP DET NOUN ADP ADJ NOUN PRON PRON VERB ADV VERB VERB PART CCONJ VERB VERB VERB CCONJ PRON VERB ADP DET NOUN PRON ADV VERB DET NOUN
Chapter and Verse is probably most effective with smaller classes — where there is a chance for open discussion — but many of the activities, and of course the texts themselves will be relevant to students in larger classes or those working on their own.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	case	NOUN CCONJ PROPN VERB ADV ADV ADJ ADP ADJ NOUN PUNCT ADV ADV VERB DET NOUN ADP ADJ NOUN PUNCT CCONJ ADJ ADP DET NOUN CCONJ ADP NOUN DET NOUN PRON VERB VERB ADJ ADP NOUN ADP ADJ NOUN CCONJ DET VERB ADP ADJ ADJ
He failed to quote chapter and verse when Apricot asked him to, and then said it was a personal matter, in any case : if he was going into the priesthood he 'd rather do it celibate.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	identical	PRON VERB PART VERB NOUN CCONJ NOUN ADV PROPN VERB PRON ADP CCONJ ADV VERB PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT ADP PRON VERB VERB ADP DET NOUN PRON VERB ADV VERB PRON VERB
yeah, well let me just read you two or three verses from Exodus, chapter forty, this is what it says then the cloud covered the tent of meeting and the glory of the Lord filled the tabernacle and Moses was not able to enter the tent of meeting because the cloud had settled on it and the glory of the Lord filled the tabernacle and throughout all their journeys whenever the cloud was taken up from over the tabernacle the sons of Israel would set out, but if the cloud was not taken up then they did not set out until the day that it was taken up, for throughout all their journeys the cloud of the Lord was on the tabernacle by day and there was fire in it by night, in the sight of all the house in Israel and if you were to turn over to kings you 've got a, you 've got a similar thing there with the dedication of the temple and as Be Ben was saying the power really it's the it's the presence of God, the shine, the glory, that cloud of, and so what, what, what catches the Lord Jesus up is really the glory of God here he is, the, the riseness, the glorified Christ being called up into heaven in the, in the glory, what he's been glorified, so he withdraws his physical, physical presence from one place here on earth to present there on the throne and yet by the holy spirit to be every where now Jesus then, he didn't cease to be truly man at either his resurrection or at his ascension, he stays man, God, the God man all the way through and it's still true today he is the God man today and that's important for you and me, think of the very worse experience that you have ever had in your life, think of the very worse experience that could happen to you, with the exception of you know that of, of say total failure of some awful sin, the worse thing, maybe a loss of someone dear to you, someone very close to you, er, er, a bereavement, the most awful experience you have had well he has gone through, he has known that experience, he has, has tempted in all points like as we are he knows our frame, he remembers were dust and he has been there and it is a man who has experienced those same experiences that you and I experience day by day, year after year, it is a man who has gone that, who has walked that path, who is in heaven interceding and praying for us, we 'll stop there cos time has gone erm we 'll stop there, we won't go on otherwise I 'll get into trouble During this past month some of the questions in the New Testament, the first one we looked at you remember was that question that Jesus asked of his disciples, do you believe that I am able to do this, then we looked at a question which the disciples asked of Jesus, why could we not cast it out last week we looked at another question, are only a few people going to be saved and this morning I 'd like us it's the final one of these questions not that there aren't other questions in the New Testament and scores, scores of others but were just looking at four er throughout this month, I 'd like us to look this morning for one at, for a few minutes, at one that Jesus asked of a man who confronted him, I 'd like to read a few verses from Luke chapter eighteen, Luke chapter eighteen I 'm gon na read from verse thirty five, it's the well known account of blind Bartimaeus, Luke chapter eighteen and verse thirty five and he came about that as Jesus was approaching Jericho a certain blind man was sitting by the road begging, now hearing a multitude going by he began to inquire	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	INTJ INTJ VERB PRON ADV VERB PRON NUM CCONJ NUM NOUN ADP PROPN NOUN NOUN DET VERB NOUN PRON VERB ADV DET NOUN VERB DET NOUN ADP NOUN CCONJ DET NOUN ADP DET PROPN VERB DET NOUN CCONJ PROPN VERB ADV ADJ PART VERB DET NOUN ADP NOUN ADP DET NOUN VERB VERB ADP PRON CCONJ DET NOUN ADP DET PROPN VERB DET NOUN CCONJ ADP ADJ ADJ NOUN ADV DET NOUN VERB VERB PART ADP ADP DET NOUN DET NOUN ADP PROPN VERB VERB PART CCONJ ADP DET NOUN VERB ADV VERB PART ADV PRON VERB ADV VERB PART ADP DET NOUN ADP PRON VERB VERB PART ADP ADP ADJ ADJ NOUN DET NOUN ADP DET PROPN VERB ADP DET NOUN ADP NOUN CCONJ ADV VERB NOUN ADP PRON ADP NOUN ADP DET NOUN ADP ADJ DET NOUN ADP PROPN CCONJ ADP PRON VERB PART VERB PART ADP NOUN PRON VERB VERB DET PRON VERB VERB DET ADJ NOUN ADV ADP DET NOUN ADP DET NOUN CCONJ ADP VERB PROPN VERB VERB DET NOUN ADV PRON DET PRON DET NOUN ADP PROPN DET NOUN DET NOUN DET NOUN ADP CCONJ ADV NOUN NOUN NOUN VERB DET PROPN PROPN PART VERB ADV DET NOUN ADP PROPN ADV PRON VERB DET DET NOUN DET ADJ PROPN VERB VERB PART ADP PROPN ADP DET ADP DET NOUN NOUN PRON VERB VERB ADV PRON VERB ADJ ADJ ADJ NOUN ADP NUM NOUN ADV ADP NOUN PART VERB ADV ADP DET NOUN CCONJ ADV ADP DET ADJ NOUN PART VERB DET ADV ADV PROPN ADV PRON VERB VERB PART VERB ADV NOUN ADP CCONJ ADJ NOUN CCONJ ADP ADJ NOUN PRON VERB NOUN PROPN DET PROPN NOUN ADJ DET NOUN ADV CCONJ PRON ADV ADJ NOUN PRON VERB DET PROPN NOUN NOUN CCONJ DET ADJ ADP PRON CCONJ PRON VERB ADP DET ADV ADJ NOUN ADJ PRON VERB ADV VERB ADP ADJ NOUN VERB ADP DET ADV ADJ NOUN ADJ VERB VERB ADP PRON ADP DET NOUN ADP PRON VERB DET ADP ADP VERB ADJ NOUN ADP DET ADJ NOUN DET ADJ NOUN ADV DET NOUN ADP NOUN ADJ ADP PRON NOUN ADV ADV ADP PRON INTJ INTJ DET NOUN DET ADV ADJ NOUN PRON VERB VERB INTJ PRON VERB VERB ADV PRON VERB VERB DET NOUN PRON VERB VERB VERB ADP DET NOUN ADP ADP PRON VERB PRON VERB ADJ NOUN PRON VERB VERB NOUN CCONJ PRON VERB VERB ADV CCONJ PRON VERB DET NOUN NOUN VERB VERB DET ADJ NOUN ADJ PRON CCONJ PRON VERB NOUN ADP NOUN NOUN ADP NOUN PRON VERB DET NOUN NOUN VERB VERB ADP NOUN VERB VERB DET NOUN NOUN VERB ADP PROPN NOUN CCONJ VERB ADP PRON PRON VERB VERB ADV ADP NOUN VERB VERB ADV PRON VERB VERB ADV PRON VERB VERB PART ADV PRON VERB VERB ADP NOUN ADP DET ADJ NOUN DET ADP DET NOUN ADP DET PROPN PROPN DET ADJ NOUN PRON VERB ADP PRON VERB VERB DET NOUN ADP PROPN VERB ADP ADJ NOUN VERB PRON VERB ADP PRON VERB ADJ PART VERB DET ADV PRON VERB ADP DET NOUN ADJ DET NOUN VERB ADP PROPN ADV VERB PRON ADV VERB PRON PART ADJ NOUN PRON VERB ADP DET NOUN VERB ADV DET ADJ NOUN VERB PART VERB VERB CCONJ DET NOUN PRON VERB VERB PRON PRON DET ADJ NUM ADP DET NOUN ADV ADP ADV VERB ADJ NOUN ADP DET PROPN PROPN CCONJ NOUN NOUN ADP NOUN CCONJ VERB ADV VERB ADP NUM INTJ ADP DET NOUN PRON VERB VERB PRON PART VERB DET NOUN ADP NUM ADP ADP DET ADJ NOUN ADP NUM ADJ PROPN VERB ADP DET NOUN NOUN VERB PRON PRON VERB VERB PART VERB DET ADJ NOUN ADP PROPN NOUN NUM PROPN NOUN NUM PRON VERB VERB PART VERB ADP NOUN NUM NUM PRON DET ADV VERB NOUN ADP ADJ PROPN PROPN NOUN NUM CCONJ NOUN NUM NUM CCONJ PRON VERB ADP DET ADP PROPN VERB VERB PROPN DET ADJ ADJ NOUN VERB VERB ADP DET NOUN NOUN ADV VERB DET NOUN VERB ADP PRON VERB PART VERB
‘ Don't ask me for chapter and verse.	0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	PUNCT VERB VERB PRON ADP NOUN CCONJ NOUN
‘ If you must have chapter and verse — you remember that piece I did for the Statesman?	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	identical	PUNCT ADP PRON VERB VERB NOUN CCONJ NOUN PUNCT PRON VERB DET NOUN PRON VERB ADP DET PROPN
A series of brief telephone calls put me in touch with the keeper of the Chalice Well at Glastonbury who was able to give me chapter and verse on the well cover.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	chapter and verse	figurative	identical	DET NOUN ADP ADJ NOUN NOUN VERB PRON ADP NOUN ADP DET NOUN ADP DET PROPN PROPN ADP PROPN NOUN VERB ADJ PART VERB PRON NOUN CCONJ NOUN ADP DET ADJ NOUN
I absorbed chapter and verse of nationally - negotiated settlements.	0 0 1 1 1 0 0 0 0 0	chapter and verse	figurative	identical	PRON VERB NOUN CCONJ NOUN ADP ADV PUNCT VERB NOUN
‘ My grandfather could probably have taken you unerringly to the chapter and verse which said exactly that,’ she averred.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	chapter and verse	figurative	identical	PUNCT ADJ NOUN VERB ADV VERB VERB PRON ADV ADP DET NOUN CCONJ NOUN ADJ VERB ADV PROPN PRON VERB
