Cuts and capping have sadly put paid to that.	0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	NOUN CCONJ NOUN VERB ADV VERB VERB ADP DET
But the glint of mockery in his dark eyes put paid to that fantasy.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	CCONJ DET NOUN ADP NOUN ADP ADJ ADJ NOUN VERB VERB ADP DET NOUN
Of course, the advent of the remote controlled boat may even put paid to any drifter development.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	put paid to	figurative	identical	ADV ADV DET NOUN ADP DET ADJ VERB NOUN VERB ADV VERB VERB ADP DET NOUN NOUN
Hitler's assault in the summer of 1940 put paid to the agitation for peace negotiations.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	PROPN NOUN ADP DET NOUN ADP NUM VERB VERB ADP DET NOUN ADP NOUN NOUN
Unemployment problems put paid to Labour's political prospects in the early 1930s just as much as it had helped the party to rise to political power in the 1920s.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NOUN NOUN VERB VERB ADP PROPN ADJ NOUN ADP DET ADJ NOUN ADV ADV ADV ADP PRON VERB VERB DET NOUN PART VERB ADP ADJ NOUN ADP DET NUM
A grim report from the CBI put paid to excitement in the stores sector.	0 0 0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	DET ADJ NOUN ADP DET PROPN VERB VERB PART VERB ADP DET NOUN NOUN
Now, high interest rates and recession have put paid to many such schemes.	0 0 0 0 0 0 0 1 1 1 0 0 0	put paid to	figurative	identical	ADV ADJ NOUN NOUN CCONJ NOUN VERB VERB VERB ADP ADJ ADJ NOUN
Their manager, Graham Turner, had said before the game that Wolves could still make it into the play - offs, but this result has put paid to those hopes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	ADJ NOUN PROPN PROPN VERB VERB ADP DET NOUN ADJ PROPN VERB ADV VERB PRON ADP DET NOUN PUNCT NOUN CCONJ DET NOUN VERB VERB VERB ADP DET NOUN
Near hurricane force winds and free - roaming sheep put paid to early attempts at planting flowers and shrubs.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	put paid to	figurative	identical	ADP NOUN NOUN NOUN CCONJ ADV PUNCT VERB NOUN VERB VERB ADP ADJ NOUN ADP VERB NOUN CCONJ NOUN
In 1787 Goethe ( then artistic director of the Weimar theatre, and author of a few similar plays ) remarked ruefully that Die Entführung had put paid to all his efforts to keep the Singspiel simple and modest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADP NUM PROPN PUNCT ADV ADJ NOUN ADP DET PROPN NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN PUNCT VERB ADV ADP PROPN PROPN VERB VERB VERB ADP ADJ ADJ NOUN PART VERB DET PROPN ADJ CCONJ ADJ
The Koblenz ~ Regional ~ Court ordered the company to pay 1~million marks in fines and put paid to one of the biggest wine - lacing trials in Germany.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET PROPN SYM PROPN PUNCT PROPN VERB DET NOUN PART VERB NUM NOUN ADP NOUN CCONJ VERB VERB ADP NUM ADP DET ADJ NOUN PUNCT VERB NOUN ADP PROPN
Foul weather with squally winds put paid to an immediate start on the building so it was several months before the engine strip - down could begin under the new roof.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADJ NOUN ADP ADV NOUN VERB VERB ADP DET ADJ NOUN ADP DET NOUN ADP PRON VERB ADJ NOUN ADP DET NOUN NOUN PUNCT NOUN VERB VERB ADP DET ADJ NOUN
He may be a bit ropey at times but he plays his best for us and don't forget the goals he scored, including one which put paid to the scouse red shite in 1991.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	put paid to	figurative	identical	PRON VERB VERB DET NOUN ADJ ADP NOUN CCONJ PRON VERB ADJ ADJ ADP PRON CCONJ VERB VERB DET NOUN PRON VERB VERB NUM ADJ VERB VERB ADP DET NOUN ADJ NOUN ADP NUM
It has been known for Goblins to get so ambitious that the entire catapult springs from its mounts and hits the Goblin splat in the face, putting paid to the whole device.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	put paid to	figurative	inflection	PRON VERB VERB VERB ADP NOUN PART VERB ADV ADJ ADP DET ADJ NOUN NOUN ADP ADJ NOUN CCONJ VERB DET PROPN NOUN ADP DET NOUN VERB VERB ADP DET ADJ NOUN
But the October 1987 crash put paid to many ambitions.	0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	CCONJ DET PROPN NUM NOUN VERB VERB ADP ADJ NOUN
This was the cause of his deafness, which put paid to a planned career in the army and in politics.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET VERB DET NOUN ADP ADJ NOUN ADJ VERB VERB ADP DET VERB NOUN ADP DET NOUN CCONJ ADP NOUN
There was a dreadful swirling wind last night complete with lashing rain that probably put paid to what would have been a very good match ( even so it was adequate ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADV VERB DET ADJ NOUN NOUN ADJ NOUN ADJ ADP VERB NOUN ADJ ADV VERB VERB ADP NOUN VERB VERB VERB DET ADV ADJ NOUN PUNCT ADV ADP PRON VERB ADJ PUNCT
The weather's put pay to other events.	0 0 1 1 1 0 0	put paid to	figurative	inflection	DET NOUN VERB NOUN ADP ADJ NOUN
If we find that we have no right of access over that road, that puts paid to Shilton.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	put paid to	figurative	inflection	ADP PRON VERB ADP PRON VERB DET NOUN ADP NOUN ADP DET NOUN ADJ VERB VERB ADP PROPN
The miners ' strike put paid to that stage of the project and Peter returned to the Operations Support Group in London to prepare operating procedures and training manuals for the Ula platform.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN PART NOUN VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PROPN VERB ADP DET PROPN PROPN PROPN ADP PROPN PART VERB VERB NOUN CCONJ NOUN NOUN ADP DET PROPN NOUN
Half an hour with a drum of selective weed killer and a spray and you 'd put paid to that lot for good and all.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	put paid to	figurative	identical	ADJ DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN CCONJ DET NOUN CCONJ PRON VERB VERB VERB ADP DET NOUN ADP ADJ CCONJ NOUN
But a German aeroplane put paid to that and crippled my mother into the bargain.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	put paid to	figurative	identical	CCONJ DET ADJ NOUN VERB VERB ADP DET CCONJ VERB ADJ NOUN ADP DET NOUN
Goals from Jimmy Quinn and Philip Gray — his first for the international team — were enough to see of the Baltic challenge although Denmark's victory over Albania earlier in the day put paid to our last fading hopes of qualifying for the World Cup finals in America.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NOUN ADP PROPN PROPN CCONJ PROPN PROPN PUNCT ADJ ADJ ADP DET ADJ NOUN PUNCT VERB ADJ PART VERB ADP DET ADJ NOUN ADP PROPN NOUN ADP PROPN ADV ADP DET NOUN VERB VERB ADP ADJ ADJ ADJ NOUN ADP VERB ADP DET PROPN PROPN NOUN ADP PROPN
This dire short - term market squeeze has at least temporarily put paid to the idea that the building society industry is making a graceful adaptation to the 1980s ' deregulation of the financial services market.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET ADJ ADJ PUNCT NOUN NOUN NOUN VERB ADP ADV ADV VERB VERB ADP DET NOUN ADP DET VERB NOUN NOUN VERB VERB DET ADJ NOUN ADP DET NOUN PART NOUN ADP DET ADJ NOUN NOUN
Then, putting paid to any ideas he might have, she added, ‘ On condition that that is how it remains : a friendly environment purely for working purposes.’	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	inflection	ADV VERB VERB ADP DET NOUN PRON VERB VERB PRON VERB PUNCT ADP NOUN ADP DET VERB ADV PRON VERB PUNCT DET ADJ NOUN ADV ADP VERB NOUN
But thieves almost put paid to his invalid car, by stealing the battery and then trying to smash the car when they couldn't get it started.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	CCONJ NOUN ADV VERB VERB ADP ADJ ADJ NOUN ADP VERB DET NOUN CCONJ ADV VERB PART VERB DET NOUN ADV PRON VERB VERB PRON VERB
Skiing in November is not unheard of in Scotland : last year it snowed heavily in the west Highlands in October but the warmer weather in December and January put paid to any hopes of building up a decent depth of snow pack.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	VERB ADP PROPN VERB ADV ADJ ADV ADP PROPN PUNCT ADJ NOUN PRON VERB ADV ADP DET NOUN PROPN ADP PROPN CCONJ DET ADJ NOUN ADP PROPN CCONJ PROPN VERB VERB ADP DET NOUN ADP VERB PART DET ADJ NOUN ADP NOUN NOUN
‘ It's OUR H - Bomb!’ screamed the Daily Express headline after the British test at Christmas Island, which put paid to the still lively hope that the nuclear club would not extend beyond the two super - powers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PUNCT PRON ADJ NOUN PUNCT NOUN VERB DET PROPN PROPN NOUN ADP DET ADJ NOUN ADP PROPN PROPN ADJ VERB VERB ADP DET ADV ADJ NOUN ADP DET ADJ NOUN VERB ADV VERB ADP DET NUM ADJ PUNCT NOUN
He said the combination of bars in the Beaumont Street area of Darlington would put paid to the profits of similar areas in the town.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PRON VERB DET NOUN ADP NOUN ADP DET PROPN PROPN NOUN ADP PROPN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN
The recession has put paid to PRCS achieving that value, although, until last year, it had a 13-year unbroken record of increasing profits.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN VERB VERB VERB ADP PROPN VERB DET NOUN ADP ADP ADJ NOUN PRON VERB DET NUM ADJ NOUN ADP VERB NOUN
Sadly, the low cloud base put paid to any jumping today, but weather permitting, they 'll be packing their chutes again tomorrow.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADV DET ADJ NOUN NOUN VERB VERB ADP DET VERB NOUN CCONJ NOUN VERB PRON VERB VERB VERB ADJ NOUN ADV NOUN
There was a plan once to supply our place and the Fawcetts ' at West Birk Hatt from a source within the boundaries of High Birk Hatt, but the Fawcetts had to leave when their farm disappeared under the waters of Balderhead Reservoir which, ironically, put paid to that enterprise.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	ADV VERB DET NOUN ADV PART VERB ADJ NOUN CCONJ DET PROPN PUNCT ADP PROPN PROPN PROPN ADP DET NOUN ADP DET NOUN ADP ADJ PROPN PROPN CCONJ DET PROPN VERB PART VERB ADV ADJ NOUN VERB ADP DET NOUN ADP PROPN PROPN ADJ ADV VERB VERB ADP DET NOUN
It rather put paid to any idea she 'd had of motoring around and discovering more of the area though.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PRON ADV VERB VERB ADP DET NOUN PRON VERB VERB ADP VERB ADV CCONJ VERB ADJ ADP DET NOUN ADV
The collapse of appeasement put paid to Baldwin's isolationist patriotism, and.opened the way for the Left.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN ADP NOUN VERB VERB ADP PROPN ADJ NOUN VERB DET NOUN ADP DET NOUN
This put paid to British hopes that Burma would stay in the Commonwealth as a Dominion owing allegiance to the Crown.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET VERB VERB ADP ADJ NOUN ADP PROPN VERB VERB ADP DET PROPN ADP DET PROPN VERB NOUN ADP DET PROPN
A well aimed flower bomb soon put paid to the battling vegies, but only for a few seconds to give you time to pass, save the children and leave quickly.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET ADV VERB NOUN NOUN ADV VERB VERB ADP DET VERB NOUN CCONJ ADV ADP DET ADJ NOUN PART VERB PRON NOUN PART VERB VERB DET NOUN CCONJ VERB ADV
They reckoned then that anything in the river would have been sent half way across to Norway so that put paid to that search.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	PRON VERB ADV ADP NOUN ADP DET NOUN VERB VERB VERB VERB DET NOUN ADP ADP PROPN ADP DET VERB VERB ADP DET NOUN
In Spain, the concern with the public sector deficit put paid to the extremely ambitious ‘ general railways plan’ of 1980.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADP PROPN DET NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP DET ADV ADJ ADJ ADJ NOUN NOUN ADP NUM
I have taken and passed the IAM test, and have finally put paid to any more irritating jokes about female from my husband and my four sons.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PRON VERB VERB CCONJ VERB DET PROPN NOUN CCONJ VERB ADV VERB VERB ADP DET ADJ NOUN NOUN ADP NOUN ADP ADJ NOUN CCONJ ADJ NUM NOUN
I thanked him in my head for so thoroughly putting paid to the past, at least for the moment.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	put paid to	figurative	inflection	PRON VERB PRON ADP ADJ NOUN ADP ADV ADV VERB VERB ADP DET NOUN ADP ADJ ADP DET NOUN
That put paid to ‘ democratic diplomacy’ as anything other than‘the plaything of Governments’.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET VERB VERB ADP ADJ ADJ NOUN ADP NOUN ADJ DET NOUN ADP PROPN
The defence argument put paid to yet another proposal in 1924 but in 1929 the Labour Government set up a Committee of Inquiry which concluded that a ‘ double barrelled’ rail tunnel could probably be built although it would be necessary to drive a pilot tunnel to demonstrate its feasibility beyond doubt.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN NOUN VERB VERB ADP ADV DET NOUN ADP NUM CCONJ ADP NUM DET PROPN PROPN VERB PART DET PROPN ADP PROPN ADJ VERB ADP DET PUNCT ADJ ADJ NOUN NOUN VERB ADV VERB VERB ADP PRON VERB VERB ADJ PART VERB DET ADJ NOUN PART VERB ADJ NOUN ADP NOUN
‘ That ought to put paid to your demands that I —’	0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	PUNCT DET VERB PART VERB VERB ADP ADJ NOUN ADP PRON ADV
Apparently the climb to the top of the Glenshane Pass had put paid to their radiator.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	ADV DET NOUN ADP DET NOUN ADP DET PROPN PROPN VERB VERB VERB ADP ADJ NOUN
The accident put paid to Blues ' thoughts of racing, but also rekindled his interest in the guitar.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN VERB VERB ADP NOUN PART NOUN ADP NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN
Toby Bourne, a London eighteen year - old, was shocked when his C grade in A level French last summer put paid to his chances of reading French at university — he had been expected to do well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PROPN PROPN DET PROPN NUM NOUN PUNCT ADJ VERB ADJ ADV ADJ PROPN NOUN ADP DET NOUN ADJ ADJ NOUN VERB VERB ADP ADJ NOUN ADP VERB PROPN ADP NOUN PUNCT PRON VERB VERB VERB PART VERB ADV
The Delacroix date put paid to that idea.	0 0 0 1 1 1 0 0	put paid to	figurative	identical	DET PROPN NOUN VERB VERB ADP DET NOUN
The Upper House ( Bundesrat ) put a stop to government's plans to cut social benefits, and they also shot down a draft on reducing payments for people looking for asylum, putting paid to both laws.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	inflection	DET PROPN PROPN PUNCT PROPN PUNCT VERB DET NOUN ADP NOUN NOUN PART VERB ADJ NOUN CCONJ PRON ADV VERB PART DET NOUN ADP VERB NOUN ADP NOUN VERB ADP NOUN VERB VERB ADP DET NOUN
Yes it was, and I think it also er really put paid to the journalists that came along expecting to write our political obituary, because what did come over in all the workshops er and in the main plenary sessions, was that, that local, local parties are doing very well indeed and are getting a very good reception on the doorstep, in fact some other polls on, on er the Green strategy to the environment show that people actually do still trust the Greens far more than any other party.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	INTJ PRON VERB CCONJ PRON VERB PRON ADV INTJ ADV VERB VERB ADP DET NOUN ADJ VERB PART VERB PART VERB ADJ ADJ NOUN ADP NOUN VERB VERB PART ADP ADJ DET NOUN INTJ CCONJ ADP DET ADJ ADJ NOUN VERB ADP ADP ADJ ADJ NOUN VERB VERB ADV ADV ADV CCONJ VERB VERB DET ADV ADJ NOUN ADP DET NOUN ADP NOUN DET ADJ NOUN ADP ADP INTJ DET PROPN NOUN ADP DET NOUN VERB ADP NOUN ADV VERB ADV VERB DET PROPN ADV ADJ ADP DET ADJ NOUN
But the windy conditions put paid to that, and he had to be content with finishing the 26 miles 385 yards ( 42.195 kilometres ) course in 2 hours 46 minutes 51 seconds.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	CCONJ DET ADJ NOUN VERB VERB ADP DET CCONJ PRON VERB PART VERB ADJ ADP VERB DET NUM NOUN NUM NOUN PUNCT NUM NOUN PUNCT NOUN ADP NUM NOUN NUM NOUN NUM NOUN
The rain put paid to our next day's match and consequently we didn't play until towards the end of the tour against the Jonor Rhinos, a team containing four Malaysian internationals, coached by a First Grade Australian ( who also played ).	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN VERB VERB ADP ADJ ADJ NOUN NOUN CCONJ ADV PRON VERB VERB ADP ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN DET NOUN VERB NUM ADJ NOUN VERB ADP DET PROPN PROPN PROPN PUNCT NOUN ADV VERB PUNCT
City's unbeaten run went crashing down today when Shenley and Leyton put paid to their chances of further progress in the South Midland League's Challenge Trophy.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PROPN ADJ NOUN VERB VERB PART NOUN ADV PROPN CCONJ PROPN VERB VERB ADP ADJ NOUN ADP ADJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN
This put paid to Baldwin's attempt to pose as a champion of collective security.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET VERB VERB ADP PROPN NOUN PART VERB ADP DET NOUN ADP ADJ NOUN
