So I mean, we 're just going through the motions at the moment, I mean, quite hone	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADV PRON VERB PRON VERB ADV VERB ADP DET NOUN ADP DET NOUN PRON VERB ADV NOUN
yes it's more it's just going through the motions of a story at the moment rather than	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	INTJ PRON ADJ PRON ADV VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN ADV ADP
Then still holding it, she went to the toilet and, just as she was, she sat down on the edge of the seat and, bending forward, she went through the motion of wringing out the cloth once again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADV ADV VERB PRON PRON VERB ADP DET NOUN CCONJ ADV ADP PRON VERB PRON VERB PART ADP DET NOUN ADP DET NOUN CCONJ VERB ADV PRON VERB ADP DET NOUN ADP VERB PART DET NOUN ADV ADV
Er then election day we were out all day with, with a driver of a car getting people out and for them or going through the motions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go through the motions	figurative	inflection	INTJ ADV NOUN NOUN PRON VERB ADV DET NOUN ADP ADP DET NOUN ADP DET NOUN VERB NOUN PART CCONJ ADP PRON CCONJ VERB ADP DET NOUN
More intense review than that provided by a test of arbitrariness will be necessary in order to ensure that the agency does not just go through the motions of listening to people.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	go through the motions	figurative	identical	ADV ADJ NOUN ADP DET VERB ADP DET NOUN ADP NOUN VERB VERB ADJ ADP NOUN PART VERB ADP DET NOUN VERB ADV ADV VERB ADP DET NOUN ADP VERB ADP NOUN
Tonight Mr Deputy Speaker, the Conservatives have gone through the motions.	0 0 0 0 0 0 0 1 1 0 1	go through the motions	figurative	inflection	NOUN PROPN PROPN PROPN DET PROPN VERB VERB ADP DET NOUN
The choice that is left is to go through the motions either with counterfeit conviction, or with subversion and disdain.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	DET NOUN ADJ VERB VERB VERB PART VERB ADP DET NOUN CCONJ ADP ADJ NOUN CCONJ ADP NOUN CCONJ NOUN
Mark Twain was so impressed he included a description in his work The Innocents Abroad : ' I watched the Silver Swan which had a living grace about his movements and a living intelligence in his eyes — watched him swimming about as comfortably and unconcernedly as if he had been born in a morass instead of a jewellers ' shop — watched him seize a silver fish from under the water and hold up his head and go through all the customary and elaborate motions of swallowing it '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0	go through the motions	figurative	insertion-other	PROPN PROPN VERB ADV ADJ PRON VERB DET NOUN ADP ADJ NOUN DET PROPN ADV PUNCT PUNCT PRON VERB DET PROPN PROPN ADJ VERB DET VERB NOUN ADP ADJ NOUN CCONJ DET VERB NOUN ADP ADJ NOUN PUNCT VERB PRON VERB ADP ADV ADV CCONJ ADV ADP ADP PRON VERB VERB VERB ADP DET NOUN ADV ADP DET NOUN PART NOUN PUNCT VERB PRON VERB DET ADJ NOUN ADP ADP DET NOUN CCONJ VERB PART ADJ NOUN CCONJ VERB ADP ADJ DET ADJ CCONJ ADJ NOUN ADP VERB PRON PUNCT
' Go through the motions of searching for the ship.	0 1 1 0 1 0 0 0 0 0	go through the motions	figurative	case	PUNCT VERB ADP DET NOUN ADP VERB ADP DET NOUN
On this occasion congress exercised its constitutional right to declare war, but, in retrospect, this seems to have been no more than a case of going through the motions — the age of crisis was well underway and the constitutional balance of powers would never be the same again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADP DET NOUN NOUN VERB ADJ ADJ NOUN PART VERB NOUN CCONJ ADP NOUN DET VERB PART VERB VERB DET ADJ ADP DET NOUN ADP VERB ADP DET NOUN PUNCT DET NOUN ADP NOUN VERB ADV ADJ CCONJ DET ADJ NOUN ADP NOUN VERB ADV VERB DET ADJ ADV
Call them A — F. Three groups ( A — C ) would be trained on water, three ( D — F ) on the methylanthranilate, and amongst both water and methylanthranilate birds, one group ( A and D ) would be unshocked ( or rather, to be sure, ‘ sham’ shocked — I would go through the motions of shocking them but with the current turned off ), one group shocked immediately after training ( B and E ) and one shocked after a delay ( C and F ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	VERB PRON DET PUNCT PROPN NUM NOUN PUNCT DET PUNCT PROPN PUNCT VERB VERB VERB ADP NOUN NUM PUNCT PROPN PUNCT PROPN PUNCT ADP DET NOUN CCONJ ADP DET NOUN CCONJ ADJ NOUN NUM NOUN PUNCT NOUN CCONJ NOUN PUNCT VERB VERB ADJ PUNCT CCONJ ADV PART VERB ADJ PUNCT ADP VERB PUNCT PRON VERB VERB ADP DET NOUN ADP VERB PRON CCONJ ADP DET NOUN VERB PART PUNCT NUM NOUN VERB ADV ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT CCONJ NUM VERB ADP DET NOUN PUNCT PROPN CCONJ PROPN PUNCT
you 're going through the motions	0 0 1 1 0 1	go through the motions	figurative	inflection	PRON VERB VERB ADP DET NOUN
Players just go through the motions and their lack of pleasure is conveyed to the crowds.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	NOUN ADV VERB ADP DET NOUN CCONJ ADJ NOUN ADP NOUN VERB VERB ADP DET NOUN
His creator had fashioned him from clockwork and set him to go through the motions of living without giving him the actual breath of life.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	ADJ NOUN VERB VERB PRON ADP NOUN CCONJ VERB PRON PART VERB ADP DET NOUN ADP VERB ADP VERB PRON DET ADJ NOUN ADP NOUN
He went on going through the motions of being a poet until the very end, and inevitably, because he kept in practice, hit upon some successes —‘gleams like the flashing of a shield’ occur in unexpected places.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	PRON VERB PART VERB ADP DET NOUN ADP VERB DET NOUN ADP DET ADJ NOUN CCONJ ADV ADP PRON VERB ADP NOUN VERB ADP DET NOUN NOUN ADP DET NOUN ADP DET NOUN VERB ADP ADJ NOUN
Because if you if you if that's all it is then you 're just going through the motions, you 're not actually going ahead and receiving the Sacrament of Confirmation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADP ADP PRON ADP PRON ADP DET DET PRON VERB ADV PRON VERB ADV VERB ADP DET NOUN PRON VERB ADV ADV VERB ADV CCONJ VERB DET PROPN ADP PROPN
At any rate he applied his tongue to the wood, and then went through all the motions of an expert tea - taster — even to that final feat of expectorating through the clenched teeth with precision and gusto.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	combined-inflection	ADP DET NOUN PRON VERB ADJ NOUN ADP DET NOUN CCONJ ADV VERB ADP ADJ DET NOUN ADP DET ADJ NOUN PUNCT NOUN PUNCT ADV ADP DET ADJ NOUN ADP VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN
pic in mind As you go through the motions Of	0 0 0 0 0 1 1 0 1 0	go through the motions	figurative	identical	VERB ADP NOUN ADP PRON VERB ADP DET NOUN ADP
( I may have gone through the verbal motions once or twice, but that's all. )	0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0	go through the motions	figurative	combined-inflection	PUNCT PRON VERB VERB VERB ADP DET ADJ NOUN ADV CCONJ ADV CCONJ DET DET PUNCT
We just give up and go through the motions and we let our negativity harden inside us.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	PRON ADV VERB PART CCONJ VERB ADP DET NOUN CCONJ PRON VERB ADJ NOUN VERB ADP PRON
Though he had gone through the motions of caring she saw now with the painful wisdom of hindsight that, despite all his assurances of love and respect for her, he had really only been interested in his own pleasure, pursuing it with all the subtlety of a bulldozer.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADP PRON VERB VERB ADP DET NOUN ADP VERB PRON VERB ADV ADP DET ADJ NOUN ADP NOUN ADP ADP ADJ ADJ NOUN ADP NOUN CCONJ NOUN ADP PRON PRON VERB ADV ADV VERB ADJ ADP ADJ ADJ NOUN VERB PRON ADP ADJ DET NOUN ADP DET NOUN
Ballymena's stay in Section I ended after five years when Bangor landed a double victory last week - end and they 'll merely be going through the motions at Ballygomartin Road against Woodvale.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	go through the motions	figurative	inflection	PROPN NOUN ADP NOUN PRON VERB ADP NUM NOUN ADV PROPN VERB DET ADJ NOUN ADJ NOUN PUNCT NOUN CCONJ PRON VERB ADV VERB VERB ADP DET NOUN ADP PROPN PROPN ADP PROPN
In the novel he stays polarized, but without bulk and in a tragic sense without force ; he goes through the motions ( ‘ the habits of a decent man’ and so forth ) while his great - sinner infamies are unloaded upon a past which he can not even renounce.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADP DET NOUN PRON VERB VERB CCONJ ADP NOUN CCONJ ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB ADP DET NOUN PUNCT PUNCT DET NOUN ADP DET ADJ NOUN CCONJ ADV ADV PUNCT ADP ADJ ADJ PUNCT NOUN NOUN VERB VERB ADP DET NOUN ADJ PRON VERB ADV ADV VERB
But of course it would be possible to go through the behavioural motions of requesting without having any of the requisite beliefs and intentions.	0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	insertion-other	CCONJ ADP NOUN PRON VERB VERB ADJ PART VERB ADP DET ADJ NOUN ADP VERB ADP VERB DET ADP DET ADJ NOUN CCONJ NOUN
After that he and Paul trudged from office to office, going through the motions, expecting nothing.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	go through the motions	figurative	inflection	ADP DET PRON CCONJ PROPN VERB ADP NOUN ADP NOUN VERB ADP DET NOUN VERB NOUN
As Pollitt notes ( 1986a, p. 165)'a government can force its employees to go through the motions, but it can not mandate enthusiasm and commitment '.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	ADP PROPN NOUN PUNCT NUM NOUN NUM NOUN VERB VERB ADJ NOUN PART VERB ADP DET NOUN CCONJ PRON VERB ADV VERB NOUN CCONJ NOUN PUNCT
And although the bureaucratic mice were invisibly at work, he still went through the motions of shifting hands and improving his grip on the branch.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	CCONJ ADP DET ADJ NOUN VERB ADV ADP NOUN PRON ADV VERB ADP DET NOUN ADP VERB NOUN CCONJ VERB ADJ NOUN ADP DET NOUN
The person who is justified, the church which believes this, Christians who believe in a God who changes lives, can not just simply go through the motions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go through the motions	figurative	identical	DET NOUN NOUN VERB VERB DET NOUN ADJ VERB DET PROPN NOUN VERB ADP DET PROPN NOUN VERB NOUN VERB ADV ADV ADV VERB ADP DET NOUN
Even quite senior figures in the system just went through the motions of working and fulfilling the crazy plan laid down from a great height without taking local conditions into account.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADV ADV ADJ NOUN ADP DET NOUN ADV VERB ADP DET NOUN ADP VERB CCONJ VERB DET ADJ NOUN VERB PART ADP DET ADJ NOUN ADP VERB ADJ NOUN ADP NOUN
Shit on their memory and we 'll go through the motions.	0 0 0 0 0 0 0 1 1 0 1	go through the motions	figurative	identical	VERB ADP ADJ NOUN CCONJ PRON VERB VERB ADP DET NOUN
It seems the Colchester team are in a phase of ‘ going through the motions’ and are certainly guilty of an unacceptable number of turnovers and missed shots.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	combined-inflection	PRON VERB DET PROPN NOUN VERB ADP DET NOUN ADP PRON VERB ADP DET NOUN CCONJ VERB ADV ADJ ADP DET ADJ NOUN ADP NOUN CCONJ VERB NOUN
If we daydream while going through the motions of reading we can still recognise words, and perhaps even convince ourselves that we are reading.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADP PRON VERB ADP VERB ADP DET NOUN ADP VERB PRON VERB ADV VERB NOUN CCONJ ADV ADV VERB PRON ADP PRON VERB VERB
He managed only 1.91 metres ( his best is 2.14 ), went through the motions in the final event of the first day, and quit.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	PRON VERB ADV NUM NOUN PUNCT ADJ ADJ VERB NUM PUNCT VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN CCONJ VERB
Jonathan's inbuilt circuitry went through its magical motions.	0 0 0 1 1 0 0 1	go through the motions	figurative	combined-inflection	PROPN ADJ NOUN VERB ADP ADJ ADJ NOUN
While on his own home ground he knows how to do things, or how to get them done, beyond the boundaries of his home ground he knows, at best, only that he should comply with the rules without necessarily understanding why or precisely what all of the relevant rules are : he may simply go through the motions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go through the motions	figurative	identical	ADP ADP ADJ ADJ NOUN NOUN PRON VERB ADV PART VERB NOUN CCONJ ADV PART VERB PRON VERB ADP DET NOUN ADP ADJ NOUN NOUN PRON VERB ADP ADJ ADV ADP PRON VERB VERB ADP DET NOUN ADP ADV VERB ADV CCONJ ADV NOUN DET ADP DET ADJ NOUN VERB PUNCT PRON VERB ADV VERB ADP DET NOUN
But he had felt that he was still the same Mark Underwood, drearily going through the motions of belief instead of drearily going through the motions of disbelief ; that the searing, galvanic experience men called conversion was like an unexploded bomb ticking away inside him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	CCONJ PRON VERB VERB ADP PRON VERB ADV DET ADJ PROPN PROPN ADV VERB ADP DET NOUN ADP NOUN ADV ADP ADV VERB ADP DET NOUN ADP NOUN PUNCT ADP DET NOUN ADJ NOUN NOUN VERB NOUN VERB ADP DET ADJ NOUN VERB ADV ADP PRON
Yet they went through the motions : bold summaries, joint papers, graphs, maps and a special binder with the scheme title typed on it.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	CCONJ PRON VERB ADP DET NOUN PUNCT ADJ NOUN ADJ NOUN NOUN NOUN CCONJ DET ADJ NOUN ADP DET NOUN NOUN VERB ADP PRON
So we go through the motions of feeding ourselves.	0 0 1 1 0 1 0 0 0	go through the motions	figurative	identical	ADV PRON VERB ADP DET NOUN ADP VERB PRON
Sows in stalls often go through the motions of nest - building, nosing and pawing the floor.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	NOUN ADP NOUN ADV VERB ADP DET NOUN ADP NOUN PUNCT NOUN VERB CCONJ VERB DET NOUN
PAUL Malone today warned his League Cup flops : ' Go through the motions against Linfield and you 're out of my Irish Cup plans! '	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	case	PROPN PROPN NOUN VERB ADJ PROPN PROPN VERB PUNCT PUNCT VERB ADP DET NOUN ADP PROPN CCONJ PRON VERB ADP ADP ADJ PROPN PROPN NOUN PUNCT
For the first time she was really listening, not going through the motions of an argument.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	go through the motions	figurative	inflection	ADP DET ADJ NOUN PRON VERB ADV VERB ADV VERB ADP DET NOUN ADP DET NOUN
Moving like an automaton, she went through all the motions of washing, dressing and putting on make - up.	0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0	go through the motions	figurative	combined-inflection	VERB ADP DET NOUN PRON VERB ADP ADJ DET NOUN ADP NOUN VERB CCONJ VERB PART NOUN PUNCT NOUN
He belongs to a paper society which goes through the motions of life, in the air, notionally.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	go through the motions	figurative	inflection	PRON VERB ADP DET NOUN NOUN ADJ VERB ADP DET NOUN ADP NOUN ADP DET NOUN ADV
' I am not going to spend big money bringing players over from Scotland simply for them to go through the motions. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	go through the motions	figurative	identical	PUNCT PRON VERB ADV VERB PART VERB ADJ NOUN VERB NOUN PART ADP PROPN ADV ADP PRON PART VERB ADP DET NOUN PUNCT
All you need is a well - fed body to go through the motions of life.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	go through the motions	figurative	identical	DET PRON VERB VERB DET ADV PUNCT VERB NOUN PART VERB ADP DET NOUN ADP NOUN
Hooligans go through the motions of violence but relatively little damage is done either to property or to the person.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	NOUN VERB ADP DET NOUN ADP NOUN CCONJ ADV ADJ NOUN VERB VERB CCONJ ADP NOUN CCONJ ADP DET NOUN
In the litter tray they do the same thing, but if it has been used several times without being properly cleaned out this becomes impossible and the cat will then prefer to defecate elsewhere, even if it has to go through the motions of covering its dung with imaginary earth after it has deposited it on a wooden floor or a carpet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	literal	identical	ADP DET NOUN NOUN PRON VERB DET ADJ NOUN CCONJ ADP PRON VERB VERB VERB ADJ NOUN ADP VERB ADV VERB PART DET VERB ADJ CCONJ DET NOUN VERB ADV VERB PART VERB ADV ADV ADP PRON VERB PART VERB ADP DET NOUN ADP VERB ADJ NOUN ADP ADJ NOUN ADP PRON VERB VERB PRON ADP DET ADJ NOUN CCONJ DET NOUN
‘ To me,’ Once More‘sounds like a rock band going through the motions.’	0 0 0 0 0 0 0 0 0 1 1 0 1	go through the motions	figurative	combined-inflection	PUNCT PART VERB ADV PROPN ADP DET NOUN NOUN VERB ADP DET NOUN
What did irritate me was the old crusty - type who went through the motions of standing in front of everyone and asking them if they ‘ had any spare change for an old dosser’.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	NOUN VERB VERB PRON VERB DET ADJ ADJ PUNCT NOUN NOUN VERB ADP DET NOUN ADP VERB ADP NOUN ADP NOUN CCONJ VERB PRON ADP PRON PUNCT VERB DET ADJ NOUN ADP DET ADJ NOUN
