And she still didn't know what was on Luke Hunter's mind.	0 0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ PRON ADV VERB VERB NOUN VERB ADP PROPN PROPN NOUN
Although I seem, I slept alright last night, but I think when you 've got things on your mind no I didn't sleep alright, I was too warm, I tossed and turned most of night!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADP PRON VERB PRON VERB INTJ ADJ NOUN CCONJ PRON VERB ADV PRON VERB VERB NOUN ADP ADJ NOUN INTJ PRON VERB VERB INTJ PRON VERB ADV ADJ PRON VERB CCONJ VERB ADJ ADP NOUN
That was because it enabled the whole rugby fraternity to participate, with financial reward being the last thing on anyone's mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	DET VERB ADP PRON VERB DET ADJ NOUN NOUN PART VERB ADP ADJ NOUN VERB DET ADJ NOUN ADP NOUN NOUN
It's been on my mind since Bruges.’	0 0 1 1 1 0 0	on someone's mind	figurative	possessive	PRON VERB ADP ADJ NOUN ADP NOUN
‘ With all you 've just said on my mind?	0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PUNCT ADP DET PRON VERB ADV VERB ADP ADJ NOUN
Egypt on Jordan's Mind	0 1 1 1	on someone's mind	figurative	combined-other	PROPN ADP PROPN PROPN
I can see why nuns wear white when they take the veil, but when you think of the way everyone goes on at the prospect of the wedding night innocence is the last thing on anyone's mind. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	on someone's mind	figurative	combined-other	PRON VERB VERB ADV NOUN VERB ADJ ADV PRON VERB DET NOUN CCONJ ADV PRON VERB ADP DET NOUN NOUN VERB PART ADP DET NOUN ADP DET NOUN NOUN NOUN VERB DET ADJ NOUN ADP NOUN NOUN PUNCT
Only the Sikh men seemed to have other things on their mind as, twirling their moustaches, they downed great tumblers of whisky and tried to lure the prettiest girls on to the dance floor.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV DET PROPN NOUN VERB PART VERB ADJ NOUN ADP ADJ NOUN ADP VERB ADJ NOUN PRON VERB ADJ NOUN ADP NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP ADP DET NOUN NOUN
As Heath went down to electoral defeat in February 1974, the yellowing of the 1970 Reorganisation of Central Government White Paper was the last thing on people's mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	ADP PROPN VERB PART ADP ADJ NOUN ADP PROPN NUM DET NOUN ADP DET NUM NOUN ADP PROPN PROPN PROPN PROPN VERB DET ADJ NOUN ADP NOUN NOUN
In subsequent races this will be on their mind and create a major obstacle to future success.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADP ADJ NOUN DET VERB VERB ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN
Visible ideas are signs and indications of tangible ideas, and have a constant and universal connection with them which was ‘ learnt at our first entrance into the world ; and ever since, almost every moment of our lives, it has been occurring to our thoughts, and fastening and striking deeper on our minds.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-inflection	ADJ NOUN VERB NOUN CCONJ NOUN ADP ADJ NOUN CCONJ VERB DET ADJ CCONJ ADJ NOUN ADP PRON ADJ VERB PUNCT ADJ ADP ADJ ADJ NOUN ADP DET NOUN PUNCT CCONJ ADV ADV ADV DET NOUN ADP ADJ NOUN PRON VERB VERB VERB ADP ADJ NOUN CCONJ VERB CCONJ VERB ADV ADP ADJ NOUN
Napoleon's house of exile, San Martino, is worth a visit, although Boney was quite frugal when it came to buying furniture, clearly having other things on his mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PROPN NOUN ADP NOUN PROPN PROPN VERB ADJ DET NOUN ADP PROPN VERB ADV ADJ ADV PRON VERB ADP VERB NOUN ADV VERB ADJ NOUN ADP ADJ NOUN
Let Lucy say for herself what was on her mind.	0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	VERB PROPN VERB ADP PRON NOUN VERB ADP ADJ NOUN
Most doctors have three things on their mind, ill, pill and bill.	0 0 0 0 0 1 1 1 0 0 0 0	on someone's mind	figurative	possessive	ADJ NOUN VERB NUM NOUN ADP ADJ NOUN ADJ NOUN CCONJ NOUN
Always on my mind	0 1 1 1	on someone's mind	figurative	possessive	ADV ADP ADJ NOUN
Moreover since he did not wish to have preying on his mind any malice or grudge by reason of which his father might later be offended, he revealed that he had pledged himself to support the barons of Aquitaine against his brother Richard and said that he had done this because Richard had fortified the castle of Clairvaux though it really belonged to the Angevin patrimony which he should inherit from his father. "	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV ADP PRON VERB ADV VERB PART VERB VERB ADP ADJ NOUN DET NOUN CCONJ NOUN ADP NOUN ADP ADJ ADJ NOUN VERB ADV VERB VERB PRON VERB ADP PRON VERB VERB PRON PART VERB DET NOUN ADP PROPN ADP ADJ NOUN PROPN CCONJ VERB ADP PRON VERB VERB DET ADP PROPN VERB VERB DET NOUN ADP PROPN ADP PRON ADV VERB ADP DET PROPN NOUN ADJ PRON VERB VERB ADP ADJ NOUN PUNCT
He obviously had impregnation on his mind, but by now Lydia had lost her temper and she told him to get stuffed.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON ADV VERB NOUN ADP ADJ NOUN CCONJ ADP ADV PROPN VERB VERB ADJ NOUN CCONJ PRON VERB PRON PART VERB VERB
What is on your mind?	0 0 1 1 1	on someone's mind	figurative	possessive	NOUN VERB ADP ADJ NOUN
‘ I 've something on my mind,’ the landlord said softly to a concrete wall.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PUNCT PRON VERB NOUN ADP ADJ NOUN DET NOUN VERB ADV ADP DET ADJ NOUN
WASHINGTON, DC – Nearly five years after the worst financial crisis since the 1930s, and three years after the enactment of the Dodd - Frank financial reforms in the United ~ States, one question is on everyone's mind : Why have we made so little progress?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PROPN PROPN PUNCT ADV NUM NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN CCONJ NUM NOUN ADP DET NOUN ADP DET PROPN PUNCT PROPN ADJ NOUN ADP DET PROPN PUNCT PROPN NUM NOUN VERB ADP NOUN NOUN PUNCT ADV VERB PRON VERB ADV ADJ NOUN
There were other topics on people's minds this year, anything from preventing the destruction of cultural property during wartime, a legacy of the Gulf War and Yugoslav civil war, to speculations on what democracy might mean for culture in Eastern Europe.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-inflection	ADV VERB ADJ NOUN ADP NOUN NOUN DET NOUN NOUN ADP VERB DET NOUN ADP ADJ NOUN ADP NOUN DET NOUN ADP DET PROPN PROPN CCONJ ADJ ADJ NOUN ADP NOUN ADP NOUN NOUN VERB VERB ADP NOUN ADP PROPN PROPN
Has that been something that's been on the government's mind, the backhanded benefit of higher prices?	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	on someone's mind	figurative	combined-other	VERB DET VERB NOUN ADJ VERB ADP DET NOUN NOUN DET ADJ NOUN ADP ADJ NOUN
‘ I think they had Wednesday's game too much on their minds.’	0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-inflection	PUNCT PRON VERB PRON VERB PROPN NOUN ADV ADV ADP ADJ NOUN
I 've had it on my mind all week. "	0 0 0 0 1 1 1 0 0 0	on someone's mind	figurative	possessive	PRON VERB VERB PRON ADP ADJ NOUN DET NOUN PUNCT
Almost all of them probably had something else on their minds.	0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-inflection	ADV DET ADP PRON ADV VERB NOUN ADV ADP ADJ NOUN
When Souness admits his players had Spartak on their minds at Spurs on Saturday, and when Ray Clemence says Liverpool are in a transitional period, you know they have problems.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-inflection	ADV PROPN VERB ADJ NOUN VERB PROPN ADP ADJ NOUN ADP PROPN ADP PROPN CCONJ ADV PROPN PROPN VERB PROPN VERB ADP DET ADJ NOUN PRON VERB PRON VERB NOUN
In fact it had always been the last thing on his mind.	0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	ADP NOUN PRON VERB ADV VERB DET ADJ NOUN ADP ADJ NOUN
What will be on their mind is first of all the Prison Authorities are going to isolate them, they 're going to be in solitary confinement for a very long time — six months, maybe a year, that's been the pattern — they 're going to lose a lot of remission, but they also know they 're going to face criminal charges.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	NOUN VERB VERB ADP ADJ NOUN VERB ADV ADP ADJ DET PROPN PROPN VERB VERB PART VERB PRON PRON VERB VERB PART VERB ADP ADJ NOUN ADP DET ADV ADJ NOUN PUNCT NUM NOUN ADV DET NOUN ADJ VERB DET NOUN PUNCT PRON VERB VERB PART VERB DET NOUN ADP NOUN CCONJ PRON ADV VERB PRON VERB VERB PART VERB ADJ NOUN
It could have been Adam on your mind, I suppose, but I 'm beginning to think that there's a little more to it than that.’	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON VERB VERB VERB PROPN ADP ADJ NOUN PRON VERB CCONJ PRON VERB VERB PART VERB ADP ADV DET ADJ ADJ ADP PRON ADP PUNCT
In part out of deference to the sleepers, and in part from his own unease at saying aloud what was on his mind, Estabrook spoke in whispers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	on someone's mind	figurative	possessive	ADP NOUN ADP ADP NOUN ADP DET NOUN CCONJ ADP NOUN ADP ADJ ADJ NOUN ADP VERB ADV NOUN VERB ADP ADJ NOUN PROPN VERB ADP NOUN
‘ The last thing on Peter's mind — and on mine,’ she added for good measure, ‘ is going to bed together!’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PUNCT DET ADJ NOUN ADP PROPN NOUN PUNCT CCONJ ADP PROPN PRON VERB ADP ADJ NOUN PUNCT VERB VERB ADP NOUN VERB
It was extraordinary how many details simultaneously impressed themselves on Dalgliesh's mind.	0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	PRON VERB ADJ ADV ADJ NOUN ADV VERB PRON ADP PROPN NOUN
A giant with three things on his mind, and all of them dangerous.	0 0 0 0 0 1 1 1 0 0 0 0 0	on someone's mind	figurative	possessive	DET NOUN ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADP PRON ADJ
Well, sex was the last thing on my mind when I got out.	0 0 0 0 0 0 1 1 1 0 0 0 0	on someone's mind	figurative	possessive	INTJ NOUN VERB DET ADJ NOUN ADP ADJ NOUN ADV PRON VERB PART
She felt edgy and unsettled, dreading tomorrow and the final show - down over Ryan — for the prospect of breaking her solemn promise to him still lay heavily on her mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADJ CCONJ ADJ VERB NOUN CCONJ DET ADJ NOUN PUNCT NOUN ADP PROPN PUNCT ADP DET NOUN ADP VERB ADJ ADJ NOUN ADP PRON ADV VERB ADV ADP ADJ NOUN
Luke would tire of her, and the answer to her original question already lay like a shadow on her mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PROPN VERB NOUN ADP PRON CCONJ DET NOUN ADP ADJ ADJ NOUN ADV VERB ADP DET NOUN ADP ADJ NOUN
‘ So there is something, then,’ he returned, ‘ something that's on your mind?	0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PUNCT ADV ADV VERB NOUN NOUN PRON VERB PUNCT NOUN ADJ ADP ADJ NOUN
Me and Andy looked all over for you both last night I had a few things on my mind	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON CCONJ PROPN VERB ADV ADV ADP PRON DET ADJ NOUN PRON VERB DET ADJ NOUN ADP ADJ NOUN
‘ It's just that one has so much of importance on one's mind just now.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	on someone's mind	figurative	combined-other	PUNCT PRON ADV ADP PRON VERB ADV ADJ ADP NOUN ADP PRON NOUN ADV NOUN
‘ If you ask me, that story about Gebrec having something on his mind was just a cover - up.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	on someone's mind	figurative	possessive	PUNCT ADP PRON VERB PRON DET NOUN ADP PROPN VERB NOUN ADP ADJ NOUN VERB ADV DET NOUN PUNCT NOUN
He looked, little doubt of it, considerably relieved, but clearly there was something on his mind, for he stood hesitantly beside the table, his eyes scouting around for some object upon which to focus.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON VERB ADJ NOUN ADP PRON ADV VERB CCONJ ADV ADV VERB NOUN ADP ADJ NOUN ADP PRON VERB ADV ADP DET NOUN ADJ NOUN VERB ADV ADP DET NOUN ADP ADJ PART VERB
With this one issue so heavy on his mind, might he not have muttered some confused reference to it in his dreams?	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADP DET NUM NOUN ADV ADJ ADP ADJ NOUN VERB PRON ADV VERB VERB DET ADJ NOUN ADP PRON ADP ADJ NOUN
Probably because he 'd been so much on her mind, she instantly fell into dreaming of Adam, his dark fathomless eyes and granite features dominating her sleep.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV ADP PRON VERB VERB ADV ADJ ADP ADJ NOUN PRON ADV VERB ADP VERB ADP PROPN ADJ ADJ NOUN NOUN CCONJ NOUN NOUN VERB ADJ NOUN
I had much on my mind, and I wanted to ponder over my problems, real or imaginary.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON VERB ADJ ADP ADJ NOUN CCONJ PRON VERB PART VERB ADP ADJ NOUN ADJ CCONJ ADJ
I had other things on my mind.	0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADJ NOUN ADP ADJ NOUN
The problems of bringing up young children on your own will be one of the big questions on Brenda Gooch's mind, according to single mum Mary Lowe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	on someone's mind	figurative	combined-other	DET NOUN ADP VERB PART ADJ NOUN ADP ADJ ADJ VERB VERB NUM ADP DET ADJ NOUN ADP PROPN PROPN NOUN VERB ADP ADJ ADJ PROPN PROPN
' Monsieur Bonard knew that something very serious was on Alain's mind, but he said he had no idea what it was.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PUNCT PROPN PROPN VERB ADP NOUN ADV ADJ VERB ADP PROPN NOUN CCONJ PRON VERB PRON VERB DET NOUN NOUN PRON VERB
What's on your mind?’	0 1 1 1	on someone's mind	figurative	combined-other	NOUN ADP ADJ NOUN
Broomhead Smith had other things on his mind besides the horse.	0 0 0 0 0 1 1 1 0 0 0	on someone's mind	figurative	possessive	PROPN PROPN VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN
Bio - technological concerns are also on Laurel Katz's mind in her show at Postmasters ( 19 March to17 April ).	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PROPN PUNCT ADJ NOUN VERB ADV ADP PROPN PROPN NOUN ADP ADJ NOUN ADP PROPN PUNCT NUM PROPN NOUN PROPN PUNCT
They had been much on Rose Hilaire's mind because the buyer from one store, Morgan's of Leeds, had shown signs of wanting to move away to a manufacturer offering lower costs.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PRON VERB VERB ADJ ADP PROPN PROPN NOUN ADP DET NOUN ADP NUM NOUN PROPN ADP PROPN VERB VERB NOUN ADP VERB PART VERB ADV ADP DET NOUN VERB ADJ NOUN
Things are always on your mind.	0 0 0 1 1 1	on someone's mind	figurative	possessive	NOUN VERB ADV ADP ADJ NOUN
The Duke and Duchess were old by this time and salvation uppermost on the Duke's mind, it would seem.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	on someone's mind	figurative	combined-other	DET PROPN CCONJ PROPN VERB ADJ ADP DET NOUN CCONJ NOUN NOUN ADP DET PROPN NOUN PRON VERB VERB
still I think it's the fact erm you know y you 're not she's got a problem on her mind she's not been well you 're not taking her serious	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV PRON VERB PRON DET NOUN INTJ PRON VERB PRON PRON VERB ADV PRON VERB DET NOUN ADP ADJ NOUN PRON ADV VERB INTJ PRON VERB ADV VERB PRON ADJ
Well and he wrote me this letter saying erm saying I, I realise that there's been something on your mind recently and I hope you can talk to me about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	INTJ CCONJ PRON VERB PRON DET NOUN VERB NOUN VERB PRON PRON VERB ADP ADV VERB NOUN ADP ADJ NOUN ADV CCONJ PRON VERB PRON VERB VERB ADP PRON ADP PRON
The only thing on our minds was getting it over with.	0 0 0 1 1 1 0 0 0 0 0	on someone's mind	figurative	combined-inflection	DET ADJ NOUN ADP ADJ NOUN VERB VERB PRON PART ADP
I listened but if it's of no evidential value there is no point in listening because I 've got so much on my mind at that time erm to to sort out that threat in there that I certainly can't recall what was exactly said or even along the lines of what was said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON VERB CCONJ ADP PRON ADP DET ADJ NOUN ADV VERB DET NOUN ADP NOUN ADP PRON VERB VERB ADV ADJ ADP ADJ NOUN ADP DET NOUN NOUN PART PART VERB PART DET NOUN ADP ADV ADJ PRON ADV VERB VERB NOUN VERB ADV VERB CCONJ ADV ADP DET NOUN ADP NOUN VERB VERB
Samuel was declaiming of the ' grave, pompous and awful being ' with great zest when Sir Thomas himself arrived, clad as Bill Sikes, and with murder on his own mind to judge by his face when he took in Samuel's performance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PROPN VERB VERB ADP DET PUNCT ADJ ADJ CCONJ ADJ NOUN PUNCT ADP ADJ NOUN ADV PROPN PROPN PRON VERB VERB ADP PROPN PROPN CCONJ ADP NOUN ADP ADJ ADJ NOUN PART VERB ADP ADJ NOUN ADV PRON VERB PART PROPN NOUN
That something was weighing on his mind was only too evident, and she quite forgot her own worries in her concern for him.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	DET NOUN VERB VERB ADP ADJ NOUN VERB ADV ADV ADJ CCONJ PRON ADV VERB ADJ ADJ NOUN ADP ADJ NOUN ADP PRON
‘ Just got some stuff on my mind,’ she told Josie, and Josie didn't press her further.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PUNCT ADV VERB DET NOUN ADP ADJ PROPN PRON VERB PROPN CCONJ PROPN VERB VERB PRON ADV
Gently he said, ‘ So I 've got other things on my mind, Gaby.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0	on someone's mind	figurative	possessive	ADV PRON VERB PUNCT ADV PRON VERB VERB ADJ NOUN ADP ADJ NOUN INTJ
The vision of my ghost was playing on my mind.	0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	DET NOUN ADP ADJ NOUN VERB VERB ADP ADJ NOUN
I 'd like to spend a couple of winters in sports PR and marketing, while my name is still on people's minds before I retire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	on someone's mind	figurative	combined-inflection	PRON VERB VERB PART VERB DET NOUN ADP NOUN ADP NOUN NOUN CCONJ NOUN ADP ADJ NOUN VERB ADV ADP NOUN NOUN ADP PRON VERB
But this fog plays strange tricks on a woman's mind.	0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ DET NOUN VERB ADJ NOUN ADP DET NOUN NOUN
AT THE end of a long and exhausting working day Kate retired to her room with one thing only on her mind, and that was a need for a cool shower.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	on someone's mind	literal	possessive	ADP DET NOUN ADP DET ADJ CCONJ ADJ VERB NOUN PROPN VERB ADP ADJ NOUN ADP NUM NOUN ADV ADP ADJ NOUN CCONJ DET VERB DET NOUN ADP DET ADJ NOUN
