Scatter the cheese over the top.	0 0 0 1 0 1	over the top	literal	identical	VERB DET NOUN ADP DET NOUN
Right, I 've just got a, two or three minutes, I 've just wanna get something quickly done before we, we close and I 'm not gon na look up all the references, because your get them for next week any way in, in the house group, but, now, now in a sense it's difficult to understand to take all this in after all his God and were people, how do we understand Jesus, it's, it's difficult, however knowing something about them does help us to understand something important, it helps us to understand what happened when Jesus ascended, when he went back to heaven, you see when Jesus arose from the earth the, the disciples who watch him it says there in Acts chapter one, they saw him go up in to the heaven, up into you know in a cloud, have you ever thought what that really means what on earth was it, they saw him go up in a cloud, can you image a sort of great clouds coming and dropping down over the mountain top there and was suddenly whisking Jesus up and then watching Jesus going up in this cloud into the sky, I don't really think it was quite like that, have you ever wonder why it was that Jesus went up in a cloud, you see what was he doing, he wasn't beginning a journey to some far off place in the universe, some distant corner where God the father was, he wasn't doing that at all, what do you think a cloud can you, give any suggestions of what a cloud might represent because very often a lot of some of the language in the bible is picture language and it, it, it speaks as something else, what do, what do you think a cloud, does any body have suggestions of what a cloud might speak to us about, or speak to us of, sorry, power yeah, any thing else	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	insertion-other	INTJ PRON VERB ADV VERB DET NUM CCONJ NUM NOUN PRON VERB ADV ADV VERB NOUN ADV VERB ADP PRON PRON VERB CCONJ PRON VERB ADV VERB PART VERB PART ADJ DET NOUN ADP ADJ VERB PRON ADP ADJ NOUN DET NOUN ADV ADP DET NOUN NOUN CCONJ ADV ADV ADP DET NOUN PRON ADJ PART VERB PART VERB ADJ DET ADP ADV ADJ ADJ PROPN CCONJ VERB NOUN ADV VERB PRON VERB PROPN PRON PRON ADJ ADV VERB NOUN ADP PRON VERB VERB PRON PART VERB NOUN ADJ PRON VERB PRON PART VERB NOUN VERB ADV PROPN VERB ADV PRON VERB ADV ADP PROPN PRON VERB ADV PROPN VERB ADP DET NOUN DET DET NOUN NOUN VERB PRON PRON VERB ADV ADP PROPN NOUN NUM PRON VERB PRON VERB PART ADP ADP DET PROPN ADV ADP PRON VERB ADP DET NOUN VERB PRON ADV VERB NOUN DET ADV VERB NOUN ADP NOUN VERB PRON PRON VERB PRON VERB PART ADP DET NOUN VERB PRON VERB DET NOUN ADP ADJ NOUN VERB CCONJ VERB PART ADP DET NOUN NOUN ADV CCONJ VERB ADV VERB PROPN PART CCONJ ADV VERB PROPN VERB PART ADP DET NOUN ADP DET NOUN PRON VERB ADV VERB PRON VERB ADV ADP DET VERB PRON ADV VERB ADV PRON VERB ADP PROPN VERB PART ADP DET NOUN PRON VERB NOUN VERB PRON VERB PRON VERB VERB DET NOUN ADP DET ADV ADP NOUN ADP DET NOUN DET ADJ NOUN ADV PROPN DET NOUN VERB PRON VERB VERB DET ADV ADV NOUN VERB PRON VERB DET NOUN VERB PRON VERB DET NOUN ADP NOUN DET NOUN VERB VERB ADP ADV ADV DET NOUN ADP DET ADP DET NOUN ADP DET ADJ VERB NOUN NOUN CCONJ PRON PRON PRON VERB ADP NOUN ADV NOUN VERB NOUN VERB PRON VERB DET NOUN VERB DET NOUN VERB NOUN ADP NOUN DET NOUN VERB VERB ADP PRON ADP CCONJ VERB ADP PRON ADP INTJ NOUN INTJ DET NOUN ADV
I mean she had a picture of him on the headstone and oh, thought she went over the top I 'm afraid and she get loads of support because then that Clifford was very popular and er his was	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	identical	PRON VERB PRON VERB DET NOUN ADP PRON ADP DET NOUN CCONJ INTJ VERB PRON VERB ADP DET NOUN PRON VERB ADJ CCONJ PRON VERB NOUN ADP NOUN ADP ADV ADP PROPN VERB ADV ADJ CCONJ INTJ ADJ VERB
he can be funny but sometimes he just goes over the top.	0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	PRON VERB VERB ADJ CCONJ ADV PRON ADV VERB ADP DET NOUN
Rincewind watched Hrun over the top of his slab of greasy meat.	0 0 0 1 0 1 0 0 0 0 0 0	over the top	literal	identical	NOUN VERB NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN NOUN
The rivers ' safety record is reckoned to be quite good and the authority wants tyo ensure that this wweeekend people don'ty do over the top in case they wind up going under.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	over the top	figurative	identical	DET NOUN PART NOUN NOUN VERB VERB PART VERB ADV ADJ CCONJ DET NOUN VERB PART VERB ADP DET VERB NOUN PART VERB ADP DET NOUN ADP NOUN PRON VERB PART VERB ADV
he's being a zombie, so he's coming downstairs with two sleeping bags over the top of his head and knocking everything over, just look at it	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PRON VERB DET NOUN ADV PRON VERB ADV ADP NUM VERB NOUN ADP DET NOUN ADP ADJ NOUN CCONJ VERB NOUN PART ADV VERB ADP PRON
We 'll just have to tell everybody, she goes, right the way down and straight over the top	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	PRON VERB ADV VERB PART VERB NOUN PRON VERB INTJ DET NOUN ADV CCONJ ADV ADP DET NOUN
Like death he looked, with a handkerchief held up against his face all bloodied, and his black eyes glaring over the top of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	over the top	literal	identical	ADP NOUN PRON VERB ADP DET NOUN VERB PART ADP ADJ NOUN DET VERB CCONJ ADJ ADJ NOUN VERB ADP DET NOUN ADP PRON
‘ What?’ she asked over the top of hers.	0 0 0 0 1 0 1 0 0	over the top	literal	identical	PUNCT INTJ PRON VERB ADP DET NOUN ADP PRON
Paul heads it back over the top — and they 've scored, Oxford United have scored, it's Andy Melville that has put the ball into the net, into injury time.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PROPN VERB PRON ADV ADP DET NOUN PUNCT CCONJ PRON VERB VERB PROPN PROPN VERB VERB PRON PROPN PROPN ADJ VERB VERB DET NOUN ADP DET NOUN ADP NOUN NOUN
I mean the first couple of days, we spent a lot of time just trying to cool people down and and stop them panicking and er and stop them going over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	PRON VERB DET ADJ NOUN ADP NOUN PRON VERB DET NOUN ADP NOUN ADV VERB PART VERB NOUN ADV CCONJ CCONJ VERB PRON VERB CCONJ INTJ CCONJ VERB PRON VERB ADP DET NOUN
Remember, For Sale boards are subject to a maximum legal size, so make sure you don't fall foul of the law by going over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	VERB ADP NOUN NOUN VERB ADJ ADP DET ADJ ADJ NOUN ADV VERB ADJ PRON VERB VERB ADV ADP DET NOUN ADP VERB ADP DET NOUN
Pat Morley, producer of RTE's major youth programme Beatbox, said : ‘ It's a bit over the top for us, it might offend viewers.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	over the top	figurative	identical	PROPN PROPN NOUN ADP PROPN ADJ NOUN NOUN PROPN VERB PUNCT PUNCT PRON DET NOUN ADP DET NOUN ADP PRON PRON VERB VERB NOUN
If so, provide an opening yourself and as the opponent goes for it, rock back and punch over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	ADP ADV VERB DET NOUN PRON CCONJ ADP DET NOUN VERB ADP PRON NOUN ADV CCONJ VERB PART DET NOUN
I think there's a danger that you can go over the top with praise, in that you 're anxious to give quality feedback, the thing that you have to be careful with is that it's not just meaningless like that, because that can be just as bad as giving negative feedback.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	identical	PRON VERB ADV DET NOUN ADP PRON VERB VERB ADP DET NOUN ADP NOUN ADP ADP PRON VERB ADJ PART VERB NOUN NOUN DET NOUN ADJ PRON VERB PART VERB ADJ ADP VERB ADP PRON ADV ADV ADJ ADP DET ADP DET VERB VERB ADV ADV ADJ ADP VERB ADJ NOUN
Over - the - top accessories accompany all her collections, from fake pearl chokers to quilted handbags and gilt belts.	1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	combined-other	ADP PUNCT DET PUNCT ADJ NOUN VERB ADJ ADJ NOUN ADP ADJ ADJ NOUN ADP VERB NOUN CCONJ NOUN NOUN
So, if you have applied the paint using a sponge and there is a lot of detail, successive layers of colour over the top will not dissolve the existing paint.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	over the top	literal	identical	CCONJ ADP PRON VERB VERB DET NOUN VERB DET NOUN CCONJ ADV VERB DET NOUN ADP NOUN ADJ NOUN ADP NOUN ADP DET NOUN VERB ADV VERB DET VERB NOUN
He had forgotten to take off his spectacles and he peered over the top of them.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	over the top	literal	identical	PRON VERB VERB PART VERB PART ADJ NOUN CCONJ PRON VERB ADP DET NOUN ADP PRON
Peppered with infinitely quotable one - liners and featuring some seriously over - the - top set - pieces, Lehmann's film is a relentless attack on the vacuous youth of America, let down by some lame moralising in the last 30 seconds.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	dashes	VERB ADP ADV ADJ NUM PUNCT NOUN CCONJ VERB DET ADV ADP PUNCT DET PUNCT NOUN NOUN PUNCT NOUN PROPN NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN VERB PART ADP DET ADJ NOUN ADP DET ADJ NUM NOUN
The ball from Gascgoine to Ball the other night when he scored his great goal was a little dink just over the top, outside of his fort and it was a little one over the top of there wasn't it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	DET NOUN ADP PROPN ADP VERB DET ADJ NOUN ADV PRON VERB ADJ ADJ NOUN VERB DET ADJ NOUN ADV ADP DET NOUN ADV ADP ADJ NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN ADP ADV VERB PRON
Scatter the mangetouts over the top and cook for a further 1½ — 2 minutes or until brilliant green.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	VERB DET NOUN ADP DET NOUN CCONJ VERB ADP DET ADJ NUM PUNCT NUM NOUN CCONJ ADP ADJ NOUN
To stop the motherboard from melting, the company put a small fan over the top of the chip.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	over the top	literal	identical	PART VERB DET NOUN ADP VERB DET NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN
At Chalton in Hampshire and Cowdery's Down near Basingstoke, the buildings were more regularly laid out but not extensive enough to be called villages, while at Catholme in Staffordshire and Thirlings in Northumberland, the earlier settlements had not only been abandoned, but probably forgotten when areas of ridge and furrow were laid out over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	ADP PROPN ADP PROPN CCONJ PROPN ADV ADP PROPN DET NOUN VERB ADV ADV VERB PART CCONJ ADV ADJ ADV PART VERB VERB NOUN ADP ADP PROPN ADP PROPN CCONJ PROPN ADP PROPN DET ADJ NOUN VERB ADV ADV VERB VERB CCONJ ADV VERB ADV NOUN ADP NOUN CCONJ NOUN VERB VERB PART ADP DET NOUN
But then the skull starts to grow in a strange, asymmetrical, twisted fashion, so that one eye, for instance the left, moves over the top of the head to finish up on the other side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	CCONJ ADV DET NOUN VERB PART VERB ADP DET ADJ ADJ ADJ NOUN ADP ADP NUM NOUN ADP NOUN DET NOUN NOUN ADP DET NOUN ADP DET NOUN PART VERB PART ADP DET ADJ NOUN
The thing is, if they always give you and you, your, nine times out of ten what they do is like, is either, they either put a can over there or a beer or something, they put it over the end of the, the weapon pull the trigger and that, even with a flash that can go like that, and then they show you one with the, the erm flashes right which have more powerful than the and they 've actually got same again same charge as a life grenade in, but it just plain cardboard so, obviously no trap, but if you lay on them ooh er, you get or something you don't throw what they do now is they put one they light one, put the helmet over the top of it and make it lit, it runs like buggery and it 'll go a hundred, a hundred and fifty foot up in the air and inside it looks like its been and where its been in the thing it 'll be like er, six seventy foot off the ground, I mean I laid on one once and I, landed about two foot too my left so I 've rolled over, rolled, rolled, and rolled, as I 've rolled I 've rolled over on my back and I 've had all loads of over, like the, I had a roll there its like the er	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	DET NOUN VERB ADP PRON ADV VERB PRON CCONJ PRON ADJ NUM NOUN ADP ADP NUM NOUN PRON VERB VERB INTJ VERB DET PRON CCONJ VERB DET NOUN ADV ADV CCONJ DET NOUN CCONJ NOUN PRON VERB PRON ADP DET NOUN ADP DET DET NOUN VERB DET NOUN CCONJ ADP ADV ADP DET NOUN ADJ VERB VERB ADP DET CCONJ ADV PRON VERB PRON NUM ADP DET DET NOUN NOUN ADV ADJ VERB ADV ADJ ADP DET CCONJ PRON VERB ADV VERB ADJ ADV ADJ NOUN ADP DET NOUN NOUN ADV CCONJ PRON ADV ADJ NOUN ADV ADV DET NOUN CCONJ ADP PRON VERB ADP PRON INTJ INTJ PRON VERB CCONJ NOUN PRON VERB VERB NOUN PRON VERB ADV VERB PRON VERB NUM PRON VERB NUM VERB DET NOUN ADP DET NOUN ADP PRON CCONJ VERB PRON VERB PRON VERB ADP ADJ CCONJ PRON VERB VERB DET NUM DET NUM CCONJ NUM NOUN PART ADP DET NOUN CCONJ ADP PRON VERB ADP ADJ VERB CCONJ ADV ADJ VERB ADP DET NOUN PRON VERB VERB ADP INTJ NUM NUM NOUN ADP DET NOUN PRON VERB PRON VERB ADP NOUN ADV CCONJ PRON VERB ADV NUM NOUN ADV ADJ NOUN ADV PRON VERB VERB PART VERB VERB CCONJ VERB ADP PRON VERB VERB PRON VERB VERB PART ADP ADJ NOUN CCONJ PRON VERB VERB DET NOUN ADP ADV ADP DET PRON VERB DET NOUN ADV ADJ INTJ DET INTJ
Broad transparent colour was then placed over the top to complete the effect, with minor details added as necessary.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADJ ADJ NOUN VERB ADV VERB ADP DET NOUN PART VERB DET NOUN ADP ADJ NOUN VERB ADP ADJ
and it come over the top!	0 0 0 1 0 1	over the top	literal	identical	CCONJ PRON VERB ADP DET NOUN
Oh yes, now if by any chanc chance you do have a question in the exam where you 're asked you know instead of the wound being on top of the scalp, some clever so and so decides that you 're good at improvising and you 've got a wound over the top of the eyebrow, the eyebrow's split, okay, so there wouldn't be much good of me going a minute, pull that there, trying like this round there	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	INTJ INTJ ADV ADP ADP DET ADJ NOUN PRON VERB VERB DET NOUN ADP DET NOUN ADV PRON VERB VERB PRON VERB ADV ADP DET NOUN VERB ADP NOUN ADP DET NOUN DET ADJ ADV CCONJ ADV VERB ADP PRON VERB ADJ ADP VERB CCONJ PRON VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN DET NOUN NOUN INTJ ADV ADV VERB VERB ADV ADJ ADP PRON VERB DET NOUN VERB ADP ADV VERB ADP DET NOUN ADV
Over the top of the picture, in a white shield, was a title, also in Gothic script : ' In Hell, all wrongs are righted '.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	case	ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN ADV ADP PROPN NOUN PUNCT PUNCT ADP PROPN DET NOUN VERB VERB PUNCT
Her husband lowered his paper and regarded her over the top of it.	0 0 0 0 0 0 0 0 1 0 1 0 0	over the top	literal	identical	ADJ NOUN VERB ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADP PRON
Turn the top 2 cm ( ¾in ) of curtain and lining over the top edge of the buckram, then tack and machine it in place close to the folded edge ( fig. 32 ).	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	VERB DET ADJ NUM NOUN PUNCT VERB PUNCT ADP NOUN CCONJ VERB ADP DET ADJ NOUN ADP DET NOUN ADV NOUN CCONJ VERB PRON ADP NOUN ADV ADP DET VERB NOUN PUNCT NOUN NUM PUNCT
At first he peered over the top of his spectacles, eyeing his visitors severely.	0 0 0 0 1 0 1 0 0 0 0 0 0 0	over the top	literal	identical	ADP ADV PRON VERB ADP DET NOUN ADP ADJ NOUN VERB ADJ NOUN ADV
Les Phillips running the show in mid - field, Steve Foster defending stoutly at the back and the front runners always giving Spurs problems especially when the ball was played over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	PROPN PROPN VERB DET NOUN ADP ADJ PUNCT NOUN PROPN PROPN VERB ADV ADP DET NOUN CCONJ DET ADJ NOUN ADV VERB PROPN NOUN ADV ADV DET NOUN VERB VERB ADP DET NOUN
Like the World ~ War ~ I generals who reacted to every slaughter of their men by sending even more over the top of their trenches in a vain attempt to overwhelm the enemy, “ free money ” types react with “ More! ” if their policy does not seem to be working.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADP DET PROPN PUNCT NOUN PUNCT PRON NOUN NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP VERB ADV ADV ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN PART VERB DET NOUN PUNCT ADJ NOUN PUNCT NOUN VERB ADP PUNCT ADJ PUNCT ADP ADJ NOUN VERB ADV VERB PART VERB VERB
It's a hassle having to stretch over the top of the system box to plug the keyboards in.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PRON DET NOUN VERB PART VERB ADP DET NOUN ADP DET NOUN NOUN PART VERB DET NOUN ADP
So then I 'll need to go and get my pads and my bandages so that I can put this right, you 'll need two of these for this bandage, the first one, you open out so that the pad is going to go into the palm of her hand and that over the top and she is going to grab hold of the other one like that, okay, now we 've got the wad in there and she's hanging on to it, but it was the sterile part of the bandage as I undid it that went on to the wound, there is no time for dressing here is there?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADV ADV PRON VERB VERB PART VERB CCONJ VERB ADJ NOUN CCONJ ADJ NOUN ADP ADP PRON VERB VERB DET NOUN PRON VERB VERB NUM ADP DET ADP DET NOUN DET ADJ NUM PRON VERB PART ADP ADP DET NOUN VERB VERB PART VERB ADP DET NOUN ADP ADJ NOUN CCONJ ADP ADP DET NOUN CCONJ PRON VERB VERB PART VERB NOUN ADP DET ADJ NOUN ADP DET INTJ ADV PRON VERB VERB DET NOUN ADV ADV CCONJ PRON VERB PART ADP PRON CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN ADP PRON VERB PRON ADJ VERB PART ADP DET NOUN ADV VERB DET NOUN ADP NOUN ADV VERB ADV
However over - the - top he may have seemed, it was a vignette I could not have envisaged in Prague.	0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	dashes	ADV ADP PUNCT DET PUNCT NOUN PRON VERB VERB VERB PRON VERB DET NOUN PRON VERB ADV VERB VERB ADP PROPN
This was necessary because the nets were not very high and one rabbit caught midway between stakes would sag the net and allow other rabbits to escape over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	DET VERB ADJ ADP DET NOUN VERB ADV ADV ADJ CCONJ NUM NOUN VERB NOUN ADP NOUN VERB VERB DET NOUN CCONJ VERB ADJ NOUN PART VERB ADP DET NOUN
