' Every sailor has his own way of tying a knot.	0 0 0 0 0 0 0 0 1 0 1	tie the knot	literal	combined-inflection	PUNCT DET NOUN VERB ADJ ADJ NOUN ADP VERB DET NOUN
Many experts argue that the Persian knot makes it easier to produce intricate, curvilinear designs by enabling the weaver to tie more knot to the square inch, but this theory is by no means universally accepted in the carpet trade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	determiner-broad	ADJ NOUN VERB ADP DET ADJ NOUN VERB PRON ADJ PART VERB ADJ ADJ NOUN ADP VERB DET NOUN PART VERB ADJ NOUN ADP DET ADJ NOUN CCONJ DET NOUN VERB ADP DET NOUN ADV VERB ADP DET NOUN NOUN
Tie a knot with end of the pink wool and the beginning of the yellow wool.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	VERB DET NOUN ADP NOUN ADP DET ADJ NOUN CCONJ DET NOUN ADP DET ADJ NOUN
Her prize was a trip to London to see Charles and Diana tying the knot.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	inflection	ADJ NOUN VERB DET NOUN ADP PROPN PART VERB PROPN CCONJ PROPN VERB DET NOUN
Most men have maternal teaching to thank for showing them how to tie knots, said the Guild of British Tie Makers.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	tie the knot	literal	deletion-determiner	ADJ NOUN VERB ADJ NOUN PART VERB ADP VERB PRON ADV PART VERB NOUN VERB DET PROPN ADP PROPN PROPN PROPN
The amount at the top that you need is just enough to tie a reef knot oh I 've forgot to show you a reef knot didn't I?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	DET NOUN ADP DET NOUN ADJ PRON VERB VERB ADV ADJ PART VERB DET NOUN NOUN INTJ PRON VERB VERB PART VERB PRON DET NOUN NOUN VERB PRON
If Midland does tie the knot with Hongkong and Shanghai Bank, it may need some help up the aisle.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	ADP PROPN VERB VERB DET NOUN ADP PROPN CCONJ PROPN PROPN PRON VERB VERB DET NOUN ADP DET NOUN
Crew members can not steer or tie knots.	0 0 0 0 0 0 1 1	tie the knot	literal	deletion-determiner	NOUN NOUN VERB ADV VERB CCONJ VERB NOUN
The end of the halyard goes through the end goes through the end fitting and then we tie a little stopper knot in the end, then we bring the other end of the halyard down and make it up tight on this crease at the bottom of the mast.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	DET NOUN ADP DET NOUN VERB ADP DET NOUN VERB ADP DET NOUN ADJ CCONJ ADV PRON VERB DET ADJ NOUN NOUN ADP DET NOUN ADV PRON VERB DET ADJ NOUN ADP DET NOUN PART CCONJ VERB PRON PART ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN
' There must be a village somewhere, ' she insisted, tying a final knot and stepping back.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	tie the knot	literal	combined-inflection	PUNCT ADV VERB VERB DET NOUN ADV PUNCT PRON VERB VERB DET ADJ NOUN CCONJ VERB ADV
IT 'S now possible to tie the knot in 14 different exotic locations in the new Kuoni Weddings brochure.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	PRON VERB ADV ADJ PART VERB DET NOUN ADP NUM ADJ ADJ NOUN ADP DET ADJ PROPN PROPN NOUN
Father Pat Buckley, from Larne in Northern Ireland, has been to Scotland on three occasions to tie the knot for couples whom the church refuses to marry because one or both have been divorced.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	PROPN PROPN PROPN ADP PROPN ADP PROPN PROPN VERB VERB ADP PROPN ADP NUM NOUN PART VERB DET NOUN ADP NOUN NOUN DET NOUN VERB PART VERB ADP NUM CCONJ DET VERB VERB VERB
If you 're tying the knot at a registry office, this timeless style is ideal.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	ADP PRON VERB VERB DET NOUN ADP DET NOUN NOUN DET NOUN NOUN VERB ADJ
Billy Crystal has a perfect wife and beautiful daughter but feels rattrapped trying to support them, Daniel Stern is having an affair with a teenage supermarket assistant and has been reduced to pretending to sleep at social gatherings in order to avoid his nagging wife, and womanising Bruno Kirby has finally tied the knot with a glamorous bimbo half his age ( ‘ soon he 'll be dating sperm’, observes Crystal ) and agonises over whether he can stay faithful to her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	PROPN PROPN VERB DET ADJ NOUN CCONJ ADJ NOUN CCONJ VERB VERB VERB PART VERB PRON PROPN PROPN VERB VERB DET NOUN ADP DET ADJ NOUN NOUN CCONJ VERB VERB VERB ADP VERB PART VERB ADP ADJ NOUN ADP NOUN PART VERB ADJ ADJ NOUN CCONJ VERB PROPN PROPN VERB ADV VERB DET NOUN ADP DET ADJ NOUN ADJ ADJ NOUN PUNCT PUNCT ADV PRON VERB VERB VERB ADV VERB PROPN PUNCT CCONJ VERB ADP ADP PRON VERB VERB ADJ ADP PRON
Tie a reef knot.	1 0 0 1	tie the knot	literal	combined-other	VERB DET NOUN NOUN
I think you might do better to live with him for a while, before you actually tie the nuptial knot with someone who may be borrowing your knickers for the next 60 years.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	insertion-other	PRON VERB PRON VERB VERB ADJ PART VERB ADP PRON ADP DET NOUN ADP PRON ADV VERB DET ADJ NOUN ADP NOUN NOUN VERB VERB VERB ADJ NOUN ADP DET ADJ NUM NOUN
The King lookalike couldn't help falling in love with Lynn Willoughby and yesterday they tied the knot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	inflection	DET PROPN NOUN VERB VERB VERB ADP NOUN ADP PROPN PROPN CCONJ NOUN PRON VERB DET NOUN
Tie a knot in one end of the cotton, so that it does not get pulled through the cup, and attach the other end to the button.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	VERB DET NOUN ADP NUM NOUN ADP DET NOUN ADP ADP PRON VERB ADV VERB VERB ADP DET NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN
Never mind, they can be matrons of honour when I decide to tie the knot.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	dashes	ADV VERB PRON VERB VERB NOUN ADP NOUN ADV PRON VERB PART VERB DET PROPN
Continue in this way until you have made the required length of band then, by unravelling the cord to this point, you can pull the end of yarn through your last loop and so tie a knot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	literal	determiner-narrow	VERB ADP DET NOUN ADP PRON VERB VERB DET VERB NOUN ADP NOUN ADV ADP VERB DET NOUN ADP DET NOUN PRON VERB VERB DET NOUN ADP NOUN ADP ADJ ADJ NOUN CCONJ ADV VERB DET NOUN
Fiona & Paul had been together for six years before deciding to tie the knot.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	identical	PROPN CCONJ PROPN VERB VERB ADV ADP NUM NOUN ADP VERB PART VERB DET NOUN
Your Majesty wished to remind yourself of something when it pleased Your Majesty to tie this knot in your handkerchief.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	tie the knot	literal	determiner-narrow	ADJ PROPN VERB PART VERB PRON ADP NOUN ADV PRON VERB ADJ PROPN PART VERB DET NOUN ADP ADJ NOUN
) Tie knots in the cords at one end, and if using pencil pleat tape trim the tape only to within 1.5 cm ( ½in ) of knot.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-inflection	PUNCT PROPN NOUN ADP DET NOUN ADP NUM NOUN CCONJ ADP VERB NOUN NOUN NOUN VERB DET NOUN ADV ADP ADP NUM NOUN PUNCT PROPN PUNCT ADP NOUN
I don't think so, th the point is I 'm not going to be called to tie a knot like this again for maybe three weeks and then by then I 'll make things up it was really more for convenience than sitting down trying to work it out myself so you know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	determiner-narrow	PRON VERB VERB ADV X DET NOUN VERB PRON VERB ADV VERB PART VERB VERB PART VERB DET NOUN ADP DET ADV ADP ADV NUM NOUN CCONJ ADV ADP ADV PRON VERB VERB NOUN PART PRON VERB ADV ADJ ADP NOUN ADP VERB PART VERB PART VERB PRON PART PRON ADV PRON VERB
She would tie a knot in two of the four corners of a handkerchief and fix one knot on each of her forefingers, to form puppets.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	determiner-narrow	PRON VERB VERB DET NOUN ADP NUM ADP DET NUM NOUN ADP DET NOUN CCONJ VERB NUM NOUN ADP DET ADP ADJ NOUN PART VERB NOUN
When it pleased Your Majesty to tie this knot in your handkerchief, you wished to -	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	tie the knot	literal	determiner-narrow	ADV PRON VERB ADJ PROPN PART VERB DET NOUN ADP ADJ NOUN PRON VERB PART PUNCT
Your author forgot all about the steam service and has tied a knot in his tie already for the September retreat.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	tie the knot	literal	combined-inflection	ADJ NOUN VERB ADV ADP DET NOUN NOUN CCONJ VERB VERB DET NOUN ADP ADJ NOUN ADV ADP DET PROPN NOUN
They finally tied the knot yesterday at West Derby Register Office in Liverpool.	0 0 1 0 1 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	PRON ADV VERB DET NOUN NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN
Using a polyester line without sleeving allows easy adjustment by re - tying the knot after shortening a line or, in the case of minor differences, adding an overhand knot or two to take up a couple of centimetres.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	inflection	VERB DET NOUN NOUN ADP VERB VERB ADJ NOUN ADP NOUN PUNCT VERB DET NOUN ADP VERB DET NOUN CCONJ ADP DET NOUN ADP ADJ NOUN VERB DET ADJ NOUN CCONJ NUM PART VERB PART DET NOUN ADP NOUN
If Jitters didn't have a wife and kids back in the old country — which, come to think of it, he probably didn't these days — he might just have dragged Fat Old Stinky Juanita up before the padre and tied the old knot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	tie the knot	figurative	combined-inflection	ADP PROPN VERB VERB DET NOUN CCONJ NOUN ADV ADP DET ADJ NOUN PUNCT ADJ VERB PART VERB ADP PRON PRON ADV VERB DET NOUN PUNCT PRON VERB ADV VERB VERB PROPN PROPN PROPN PROPN PART ADP DET NOUN CCONJ VERB DET ADJ NOUN
Pete Goss took a group up to the foredeck to demonstrate a spinnaker hoist, four were dispatched to the leeward rail to induce some heel and to those in the cockpit Nick commanded : ' Well, don't just sit there, get tying knots. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	tie the knot	literal	combined-inflection	PROPN PROPN VERB DET NOUN ADP ADP DET NOUN PART VERB DET NOUN NOUN NUM VERB VERB ADP DET NOUN NOUN PART VERB DET NOUN CCONJ ADP DET ADP DET NOUN PROPN VERB PUNCT PUNCT INTJ VERB ADV VERB ADV VERB VERB NOUN PUNCT
Then tie a reverse Overhand Knot on top.	0 1 0 0 0 1 0 0	tie the knot	literal	combined-other	ADV VERB DET ADJ PROPN PROPN ADP NOUN
Okay, so there you are you see, you 're, you 're a first aider and you come up to the person and you hold it the way you did last time and you think ah, now that's the wrong way round of course, there's my elbow point, there's my injured elbow, so I have to be that way round, mm, so you turn it round the other way, right, your elbow shape goes to the injured elbow and your long line goes straight up and down the line of the body, you arrange it so that you only just covering the forearm there, with just enough above the hand to tie your reef knot that would be too little and that would be too much just enough above the hands to tie your reef knot, the first thing you do is to tuck nice, big bit of material right under the hand and anchor it into position, just keep that resting there and all the rest of this goes under the arm up between the shoulder blades there and you tie your first half of the reef knot just above the fingers in the hollow of the neck here, now that's important because round the back here if you press on that bit of muscle there, there's a big band of muscle, if you 've got a knot on that it gives a great deal of discomfort very quickly so you want to get the knots round in the hollow here that doesn't hurt your casualty, there, draw it up half the knot, is that tight enough?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	INTJ ADV ADV PRON VERB PRON VERB PRON VERB PRON VERB DET ADJ NOUN CCONJ PRON VERB PART ADP DET NOUN CCONJ PRON VERB PRON DET NOUN PRON VERB ADJ NOUN CCONJ PRON VERB INTJ ADV DET DET ADJ NOUN ADV ADP NOUN ADV ADJ NOUN NOUN ADV ADJ ADJ NOUN CCONJ PRON VERB PART VERB DET NOUN ADV NOUN CCONJ PRON VERB PRON ADP DET ADJ NOUN INTJ ADJ NOUN NOUN VERB ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN VERB ADV ADV CCONJ ADP DET NOUN ADP DET NOUN PRON VERB PRON ADP ADP PRON ADV ADV VERB DET NOUN ADV ADP ADV ADV ADP DET NOUN PART VERB ADJ NOUN NOUN ADJ VERB VERB ADV ADJ CCONJ DET VERB VERB ADV ADJ ADV ADV ADP DET NOUN PART VERB ADJ NOUN NOUN DET ADJ NOUN PRON VERB VERB PART VERB ADJ ADJ NOUN ADP NOUN ADV ADP DET NOUN CCONJ VERB PRON ADP NOUN ADV VERB ADP VERB ADV CCONJ ADJ DET NOUN ADP DET VERB ADP DET NOUN PART ADP DET NOUN NOUN ADV CCONJ PRON VERB ADJ ADJ NOUN ADP DET NOUN NOUN ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN ADV ADV DET ADJ ADP ADP DET NOUN ADV ADP PRON VERB ADP DET NOUN ADP NOUN ADV ADV DET ADJ NOUN ADP NOUN ADP PRON VERB VERB DET NOUN ADP ADP PRON VERB DET ADJ NOUN ADP NOUN ADV ADV ADP PRON VERB PART VERB DET NOUN ADV ADP DET NOUN ADV ADJ VERB VERB ADJ NOUN ADV VERB PRON PART ADJ DET NOUN VERB DET ADJ ADV
The knotting process always begins at the side of the rug ( after the selvedges have been secured ) by tying a knot on each pair of warp strands in a horizontal direction across the width of the rug.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	combined-inflection	DET NOUN NOUN ADV VERB ADP DET NOUN ADP DET NOUN PUNCT ADP DET NOUN VERB VERB VERB PUNCT ADP VERB DET NOUN ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN
Bride Laura Browne, 34, arrived to tie the knot with 38-year - old Robbie Carter in Cinderella's glass coach, drawn by six white ponies.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	PROPN PROPN PROPN NUM VERB PART VERB DET NOUN ADP NUM PUNCT ADJ PROPN PROPN ADP PROPN NOUN NOUN VERB ADP NUM ADJ NOUN
