We 'll not allow these unelected faceless Tory supporters to keep the public in the dark.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	keep someone in the dark	figurative	combined-other	PRON VERB ADV VERB DET ADJ NOUN PROPN NOUN PART VERB DET NOUN ADP DET NOUN
' They keep the calves in the dark so that the flesh is whiter. '	0 0 1 0 1 1 0 1 0 0 0 0 0 0 0	keep someone in the dark	literal	combined-other	PUNCT PRON VERB DET NOUN ADP DET NOUN ADP ADP DET NOUN VERB ADJ PUNCT
But why couldn't he rid himself of the eerie sensation that it had already happened, that everyone knew except him, that he was being deliberately kept in the dark?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1	keep someone in the dark	figurative	combined-inflection	CCONJ ADV VERB PRON VERB PRON ADP DET ADJ NOUN ADJ PRON VERB ADV VERB ADP NOUN VERB ADP PRON ADP PRON VERB VERB ADV VERB ADP DET NOUN
BIRMINGHAM CITY manager Terry Cooper yesterday claimed that chairman Samesh Kumar kept him in the dark about the club being put up for sale.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PROPN PROPN NOUN PROPN PROPN NOUN VERB ADP NOUN PROPN PROPN VERB PRON ADP DET NOUN ADP DET NOUN VERB VERB PART ADP NOUN
Holiday Which? says it is concerned that consumers are being kept in the dark about the links between travel agents and the tour operators.	0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PROPN PROPN VERB PRON VERB ADJ ADP NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN NOUN
to find out why she's being kept in the dark and	0 0 0 0 1 0 1 1 0 1 0	keep someone in the dark	figurative	combined-inflection	PART VERB PART ADV PRON VERB VERB ADP DET NOUN CCONJ
‘ The national interest’ was also a rebuff to congressmen, who could not afford to be critical of it, even when they already knew it as grounds to keep them in the dark.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	keep someone in the dark	figurative	objective	PUNCT DET ADJ NOUN VERB ADV DET NOUN ADP NOUN NOUN VERB ADV VERB PART VERB ADJ ADP PRON ADV ADV PRON ADV VERB PRON ADP NOUN PART VERB PRON ADP DET NOUN
So we were kept in the dark about the radiation leaking from the shattered reactor at Chernobyl – and blowing in the winds over northern Europe.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	ADV PRON VERB VERB ADP DET NOUN ADP DET NOUN VERB ADP DET ADJ NOUN ADP PROPN PUNCT CCONJ VERB ADP DET NOUN ADP ADJ PROPN
Sometimes it looked very much as if the Japanese government itself was kept in the dark by officials from the Tokyo Electric ~ Power ~ Company ( TEPCO ), owners of the nuclear power ~ plants that are leaking radiation into land, sea, and sky.	0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	ADV PRON VERB ADV ADV ADP ADP DET ADJ NOUN PRON VERB VERB ADP DET NOUN ADP NOUN ADP DET PROPN PROPN PUNCT NOUN PUNCT PROPN PUNCT PROPN PUNCT NOUN ADP DET ADJ NOUN PUNCT NOUN ADJ VERB VERB NOUN ADP NOUN NOUN CCONJ NOUN
He's disgusted at the way the workforce has been kept in the dark about its future.	0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0	keep someone in the dark	figurative	combined-inflection	PRON VERB ADP DET NOUN DET NOUN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN
Fifth bottom is quite enough for the chairman and the manager to continue their policy of keeping the fans in the dark.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	keep someone in the dark	figurative	combined-inflection	ADJ NOUN VERB ADV ADJ ADP DET NOUN CCONJ DET NOUN PART VERB ADJ NOUN ADP VERB DET NOUN ADP DET NOUN
' Woody tends to keep people in the dark about everything.	0 0 0 0 1 1 1 0 1 0 0	keep someone in the dark	figurative	combined-other	PUNCT NOUN VERB PART VERB NOUN ADP DET NOUN ADP NOUN
People living near the mosque at the junction of Princes Road and Bow Street say they have been kept in the dark about the reasons for recent building work.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	NOUN VERB ADP DET NOUN ADP DET NOUN ADP PROPN PROPN CCONJ PROPN PROPN VERB PRON VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN
He responded to claims that the Shetland public were being kept in the dark about the facts of the Braer grounding by saying that MAIB inquiries were held in private to allow people to speak more freely.	0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PRON VERB ADP NOUN ADP DET PROPN NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP DET PROPN VERB ADP VERB ADP PROPN NOUN VERB VERB ADP ADJ PART VERB NOUN PART VERB ADV ADV
Holiday Which? says it is concerned that consumers are being kept in the dark about the links between travel agents and the tour operators.	0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PROPN PROPN VERB PRON VERB ADJ ADP NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN NOUN
‘ I admit that the family wanted to keep you in the dark.	0 0 0 0 0 0 0 0 1 1 1 0 1	keep someone in the dark	figurative	objective	PUNCT PRON VERB ADP DET NOUN VERB PART VERB PRON ADP DET NOUN
It was true, then : for reasons of her own, Heather had kept Cunningham in the dark.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	keep someone in the dark	figurative	combined-inflection	PRON VERB ADJ ADV PUNCT ADP NOUN ADP ADJ ADJ PROPN VERB VERB PROPN ADP DET NOUN
But the more bizarre fact about the Chernobyl disaster, we now know, is that Mikhail ~ Gorbachev, General ~ Secretary of the Communist ~ Party of the Soviet ~ Union, was also kept in the dark about the magnitude of the disaster.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	CCONJ DET ADV ADJ NOUN ADP DET PROPN NOUN PRON ADV VERB VERB ADP PROPN PUNCT PROPN PROPN PUNCT PROPN ADP DET PROPN PUNCT PROPN ADP DET PROPN PUNCT PROPN VERB ADV VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN
It wasn't right for a man in his position to be kept in the dark.	0 0 0 0 0 1 0 0 0 0 0 1 1 0 1	keep someone in the dark	figurative	combined-inflection	PRON VERB ADJ ADP DET NOUN ADP ADJ NOUN PART VERB VERB ADP DET NOUN
Once the Suez adventure began, and the Americans realized how totally they had been kept in the dark by London, an " anti - British frenzy " developed in Washington.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	ADP DET PROPN NOUN VERB CCONJ DET PROPN VERB ADV ADV PRON VERB VERB VERB ADP DET NOUN ADP PROPN DET PUNCT ADV PUNCT ADJ NOUN PUNCT VERB ADP PROPN
