More job losses are in the pipeline.	0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN NOUN VERB ADP DET NOUN
But a spokesman said there should be no need for further job cuts on top of 1,250 redundancies already in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ DET NOUN VERB ADV VERB VERB DET NOUN ADP ADJ NOUN NOUN ADP NOUN ADP NUM NOUN ADV ADP DET NOUN
This, thanks to the trainers and N.D.O., is all in the pipeline, with Taster Days and leaflets distributed to get a new training course off to a good start in Cambridge, this September.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET NOUN ADP DET NOUN CCONJ PROPN VERB DET ADP DET NOUN ADP PROPN PROPN CCONJ NOUN VERB PART VERB DET ADJ NOUN NOUN ADV ADP DET ADJ NOUN ADP PROPN DET PROPN
Other plans in the pipeline at that time included two new cutters, longer and beamier than Venturous, capable of high speeds and suitable for working the stormy waters of the north.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ NOUN ADP DET NOUN ADP DET NOUN VERB NUM ADJ NOUN ADV CCONJ ADJ ADP PROPN ADJ ADP ADJ NOUN CCONJ ADJ ADP VERB DET ADJ NOUN ADP DET NOUN
It is important to note that amendments to the UK's insider dealing laws are in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PRON VERB ADJ PART VERB ADP NOUN ADP DET PROPN NOUN VERB NOUN VERB ADP DET NOUN
Administrator Denise Gilgallon said many exciting projects were in the pipeline.	0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN PROPN PROPN VERB ADJ ADJ NOUN VERB ADP DET NOUN
Erm which is points up a weakness there on the public relations side there I mean going back to their post share repurchase they said that they 'd got no new products in the pipeline, no research and development really sort of throwing anything up in the near future.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN ADJ VERB NOUN PART DET NOUN ADV ADP DET ADJ NOUN NOUN ADV PRON VERB VERB ADV ADP ADJ NOUN NOUN VERB PRON VERB ADP PRON VERB VERB DET ADJ NOUN ADP DET NOUN DET NOUN CCONJ NOUN ADV ADV ADV VERB NOUN PART ADP DET ADJ NOUN
Three other superstore applications are in the planning pipeline for Bangor.	0 0 0 0 0 1 0 0 1 0 0	in the pipeline	figurative	insertion-other	NUM ADJ NOUN NOUN VERB ADP DET NOUN NOUN ADP PROPN
The city council has sixty prosecutions in the pipeline, including cases against B and Q and the Reject shop.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET NOUN NOUN VERB NUM NOUN ADP DET NOUN VERB NOUN ADP NOUN CCONJ PROPN CCONJ DET PROPN NOUN
There is no sense in doing this, however, unless there is an order in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV VERB DET NOUN ADP VERB DET ADV ADP ADV VERB DET NOUN ADP DET NOUN
And perhaps to placate Rhinehart before he sues, there is a documentary on the enigmatic American author in the pipeline, as well as Diary Of A Teenage Health Freak and a children's comedy, Jackson Pace.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	CCONJ ADV PART VERB PROPN ADP PRON VERB ADV VERB DET NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN ADV ADV ADP PROPN ADP PROPN PROPN PROPN PROPN CCONJ DET NOUN NOUN PROPN PROPN
Now, they haven't come yet, so erm presumably they 're in the pipeline are they?	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the pipeline	figurative	identical	ADV PRON VERB VERB ADV ADV ADV ADV PRON VERB ADP DET NOUN VERB PRON
MORE BIG collaborative projects involving the government, academic researchers and industry are in the pipeline following the go - ahead given by British ministers this week to a £ 350 million programme in information technology.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ ADJ ADJ NOUN VERB DET NOUN ADJ NOUN CCONJ NOUN VERB ADP DET NOUN VERB DET NOUN PUNCT NOUN VERB ADP ADJ NOUN DET NOUN ADP DET SYM NUM NUM NOUN ADP NOUN NOUN
Penal US duties on European steel, wheat and wine are already in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PROPN PROPN NOUN ADP ADJ NOUN NOUN CCONJ NOUN VERB ADV ADP DET NOUN
In total one can only marvel at the numerous stations opened in the 1980s and it is pleasing to note that many more are in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP ADJ PRON VERB ADV VERB ADP DET ADJ NOUN VERB ADP DET NOUN CCONJ PRON VERB ADJ PART VERB ADP ADJ ADJ VERB ADP DET NOUN
Both the big store and the smaller, independent retailer will assess the stock carried and any national advertising programmes in the pipeline, before deciding what product to promote.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the pipeline	figurative	identical	DET DET ADJ NOUN CCONJ DET ADJ ADJ NOUN VERB VERB DET NOUN VERB CCONJ DET ADJ NOUN NOUN ADP DET NOUN ADP VERB ADJ NOUN PART VERB
We have a very exciting development in the pipeline : a completely new look Today's Horse.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PRON VERB DET ADV ADJ NOUN ADP DET NOUN PUNCT DET ADV ADJ NOUN PROPN NOUN
Djax - Up are currently releasing records faster than most people can note and, with at least another seven in the pipeline over the next two months, they continue to stop anybody standing in their way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PROPN PUNCT PROPN VERB ADV VERB NOUN ADV ADP ADJ NOUN VERB VERB CCONJ ADP ADV ADV DET NUM ADP DET NOUN ADP DET ADJ NUM NOUN PRON VERB PART VERB NOUN VERB ADP ADJ NOUN
With new products such as these in the pipeline, chairman David Parker says the group's future is bright.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADP ADJ NOUN ADJ ADP DET ADP DET NOUN NOUN PROPN PROPN VERB DET NOUN NOUN VERB ADJ
Another 95 were being axed in 51 schools, with a possible 90 further redundancies in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET NUM VERB VERB VERB ADP NUM NOUN ADP DET ADJ NUM ADJ NOUN ADP DET NOUN
Erm, because it seems to, with the changing nature of organisation of authorities, it's used as a comparative purpose, must be er, very doubtful, and we 've always criticised it, er beginning the position snapshot on a particular the day, it doesn't say what's in the pipeline or what's going out of the pipeline at the other end.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	INTJ ADP PRON VERB PART ADP DET VERB NOUN ADP NOUN ADP NOUN PRON VERB ADP DET ADJ NOUN VERB VERB INTJ ADV ADJ CCONJ PRON VERB ADV VERB PRON INTJ VERB DET NOUN ADJ ADP DET ADJ DET NOUN PRON VERB VERB NOUN ADP DET NOUN CCONJ NOUN VERB ADP ADP DET NOUN ADP DET ADJ NOUN
In the pipeline for a while, it now hopes to embrace COSE's anticipated developers ' conference.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	case	ADP DET NOUN ADP DET NOUN PRON ADV VERB PART VERB PROPN ADJ NOUN PART NOUN
All the big groups approached by the magazine Hospitality had big leisure plans in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ DET ADJ NOUN VERB ADP DET NOUN PROPN VERB ADJ NOUN NOUN ADP DET NOUN
BEFORE SIGNING UP FOR ANY OF THE PRESENT CELLNET OR VODAFONE networks, would - be subscribers should consider what's in the cellphone pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the pipeline	figurative	insertion-other	ADP VERB PART ADP DET ADP DET ADJ PROPN CCONJ PROPN NOUN VERB PUNCT VERB NOUN VERB VERB NOUN ADP DET NOUN NOUN
It is a worrying time for the Cupertino company, but it probably can come through more or less unscathed, simply because people buy Apple kit not for the underlying technology but for what's on top of it, so provided a happy marriage can be arranged between the PowerPC hardware and Apple's software, and the thing ends up looking to the user like a Macintosh that is simply faster, more powerful, more easy to use and in all ways better than the 68040-based models, Apple should be able to scrape through — and there is still a Motorola Inc 68060 in the pipeline that Apple can fall back on if everything in the IBM relationship goes awry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	literal	identical	PRON VERB DET ADJ NOUN ADP DET PROPN NOUN CCONJ PRON ADV VERB VERB PART ADJ CCONJ ADV ADJ ADV ADP NOUN VERB PROPN NOUN ADV ADP DET VERB NOUN CCONJ ADP NOUN ADP NOUN ADP PRON ADV VERB DET ADJ NOUN VERB VERB VERB ADP DET PROPN NOUN CCONJ PROPN NOUN CCONJ DET NOUN VERB PART VERB ADP DET NOUN ADP DET PROPN ADJ VERB ADV ADV ADV ADJ ADV ADJ PART VERB CCONJ ADP DET NOUN ADJ ADP DET VERB NOUN PROPN VERB VERB ADJ PART VERB ADP PUNCT CCONJ ADV VERB ADV DET PROPN PROPN NUM ADP DET NOUN ADP PROPN VERB VERB ADV ADV ADP NOUN ADP DET PROPN NOUN VERB ADJ
He said clients keen to move into Britain have had deals ‘ in the pipeline’ but were delaying them out of concern about a Labour government's competition policies or in the hope of further interest rate cuts.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	dashes	PRON VERB NOUN ADJ PART VERB ADP PROPN VERB VERB NOUN PUNCT ADP DET NOUN CCONJ VERB VERB PRON ADP ADP NOUN ADP DET PROPN NOUN NOUN NOUN CCONJ ADP DET NOUN ADP ADJ NOUN NOUN NOUN
Already, there are further orders in the pipeline as another machine has been bought by Shaw Industries of Dalton.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV ADV VERB ADJ NOUN ADP DET NOUN ADP DET NOUN VERB VERB VERB ADP PROPN PROPN ADP PROPN
And there are plenty of those, there could be dozens more in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ ADV VERB NOUN ADP DET ADV VERB VERB NOUN ADJ ADP DET NOUN
His cutaway heel is world - class stuff, and with a patent in the pipeline I can think of a number of major manufacturers who 'll be after him for a slice of the licensing action.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ NOUN NOUN VERB NOUN PUNCT NOUN NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN VERB VERB ADP PRON ADP DET NOUN ADP DET NOUN NOUN
A stream of new money flowing into the country's stock market from both individual investors — the tax perks are not available to foreign buyers — and reforms also in the pipeline to the French pension industry are prompting hopes of a surge in the Paris bourse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET NOUN ADP ADJ NOUN VERB ADP DET NOUN NOUN NOUN ADP DET ADJ NOUN PUNCT DET NOUN NOUN VERB ADV ADJ ADP ADJ NOUN PUNCT CCONJ NOUN ADV ADP DET NOUN ADP DET ADJ NOUN NOUN VERB VERB NOUN ADP DET NOUN ADP DET PROPN NOUN
There are several interesting new developments in the pipeline which could lead to the introduction of more advanced grades of acrylic plastics, opening up new fields of use to them and increasing the rate of growth appreciably.’	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV VERB ADJ ADJ ADJ NOUN ADP DET NOUN ADJ VERB VERB ADP DET NOUN ADP ADV ADJ NOUN ADP ADJ NOUN VERB PART ADJ NOUN ADP NOUN ADP PRON CCONJ VERB DET NOUN ADP NOUN NOUN
This is a developing area of the law, since there are other cases in the pipeline awaiting the EAT's decision on the effect of what is now s 146 of the 1992 Act.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET VERB DET VERB NOUN ADP DET NOUN ADP ADV VERB ADJ NOUN ADP DET NOUN VERB DET PROPN NOUN ADP DET NOUN ADP NOUN VERB ADV VERB NUM ADP DET NUM PROPN
However, a draft report by a secret ministerial advisory group reviewing ‘ persistent unemployment’ suggests further measures to bring down the jobless tally could be in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV DET NOUN NOUN ADP DET ADJ ADJ ADJ NOUN VERB ADJ ADJ NOUN VERB ADJ NOUN PART VERB PART DET ADJ NOUN VERB VERB ADP DET NOUN
It was in the pipeline weren't it?	0 0 1 0 1 0 0	in the pipeline	figurative	identical	PRON VERB ADP DET NOUN VERB PRON
Number one, I have seen the vehicles in the pipeline, and I really like what I see.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN NUM PRON VERB VERB DET NOUN ADP DET NOUN CCONJ PRON ADV VERB NOUN PRON VERB
In the pipeline.	1 0 1	in the pipeline	figurative	case	ADP DET NOUN
Last night Bowe's manager, Rock Newman, revealed a new deal was in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN PROPN NOUN PROPN PROPN VERB DET ADJ NOUN VERB ADP DET NOUN
Re - lining scheme is in the pipeline	0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP PUNCT NOUN NOUN VERB ADP DET NOUN
Public or private, Amstrad will have to cut back as there are no blockbuster products in the pipeline, Sugar warns.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the pipeline	figurative	identical	ADJ CCONJ ADJ PROPN VERB VERB PART VERB ADV ADP ADV VERB DET ADJ NOUN ADP DET NOUN PROPN VERB
Research in the pipeline would be mentioned.	0 1 0 1 0 0 0	in the pipeline	figurative	identical	NOUN ADP DET NOUN VERB VERB VERB
Also in the pipeline is a health and safety video which forms part of a training package to be sent to branches and departments on 21 June.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV ADP DET NOUN VERB DET NOUN CCONJ NOUN NOUN ADJ VERB NOUN ADP DET NOUN NOUN PART VERB VERB ADP NOUN CCONJ NOUN ADP NUM PROPN
Changes for the better may be in the pipeline but it's clearly going to take some work to convince the sceptics.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN ADP DET ADJ VERB VERB ADP DET NOUN CCONJ PRON ADV VERB PART VERB DET NOUN PART VERB DET NOUN
The creation of air - mobile strategic reserves could lead, they thought, to a reduction in static overseas garrisons ; and the replacement of troop - ships by trooping - aircraft should also save manpower locked up in the trooping pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the pipeline	figurative	insertion-other	DET NOUN ADP NOUN PUNCT ADJ ADJ NOUN VERB VERB PRON VERB ADP DET NOUN ADP ADJ ADJ NOUN PUNCT CCONJ DET NOUN ADP NOUN PUNCT NOUN ADP VERB PUNCT NOUN VERB ADV VERB NOUN VERB PART ADP DET VERB NOUN
For example the head of Craft, Design and Technology had received money to replace inadequate stock and an increase in capitation, whilst the head of Home Economics was in the process of gaining badly - needed equipment — although much of this was still in the ' pipeline ' at the time of the interview.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	in the pipeline	figurative	combined-other	ADP NOUN DET NOUN ADP PROPN PROPN CCONJ PROPN VERB VERB NOUN PART VERB ADJ NOUN CCONJ DET NOUN ADP NOUN ADP DET NOUN ADP PROPN PROPN VERB ADP DET NOUN ADP VERB ADV PUNCT VERB NOUN PUNCT ADP ADJ ADP DET VERB ADV ADP DET PUNCT NOUN PUNCT ADP DET NOUN ADP DET NOUN
By 1987 the UK had 28 EZs, 6 UDCs and 6 Freeports, with several other ‘ mini - UDCs’ in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP NUM DET PROPN VERB NUM NOUN NUM NOUN CCONJ NUM PROPN ADP ADJ ADJ PUNCT ADJ PUNCT NOUN ADP DET NOUN
The excellent Mell'O’, ably assisted by co - rappers Sparkie & Flint and DJ Pogo, bravely plump for an all - new set that indicates a stunning new LP in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET ADJ NOUN ADV VERB ADP NOUN PUNCT NOUN PROPN CCONJ PROPN CCONJ PROPN PROPN ADV VERB ADP DET ADV PUNCT ADJ NOUN ADJ VERB DET ADJ ADJ PROPN ADP DET NOUN
Nevertheless, deregulation only applies to occupation agreements made after 15 January 1989, and many potential cases are still in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV NOUN ADV VERB ADP NOUN NOUN VERB ADP NUM PROPN NUM CCONJ ADJ ADJ NOUN VERB ADV ADP DET NOUN
He is also writing to John McGregor, the Education Secretary, urging him not only to abandon the idea of additional CTCs but to hand over those in the pipeline to local authorities.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the pipeline	figurative	identical	PRON VERB ADV VERB ADP PROPN PROPN DET PROPN PROPN VERB PRON ADV ADV PART VERB DET NOUN ADP ADJ NOUN CCONJ PART VERB PART DET ADP DET NOUN ADP ADJ NOUN
City Lives may eventually generate income as material is published — a book based on the interviews is already in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN NOUN VERB ADV VERB NOUN ADP NOUN VERB VERB PUNCT DET NOUN VERB ADP DET NOUN VERB ADV ADP DET NOUN
The Sri Lankan presidential adviser Bradman Weerakoon said on July 6 that UK aid " in the pipeline " was continuing without interruption.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the pipeline	figurative	identical	DET PROPN PROPN ADJ NOUN PROPN PROPN VERB ADP PROPN NUM ADP PROPN NOUN PUNCT ADP DET NOUN PUNCT VERB VERB ADP NOUN
In our medical blocks oxygen was laid on in pipelines, but as surgical patients seldom needed continuous oxygen for long periods, the surgical side still used cylinders.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	literal	deletion-determiner	ADP ADJ ADJ NOUN NOUN VERB VERB PART ADP NOUN CCONJ ADP ADJ NOUN ADV VERB ADJ NOUN ADP ADJ NOUN DET ADJ NOUN ADV VERB NOUN
However, union officials believed more merger proposals were in the pipeline.	0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV NOUN NOUN VERB ADJ NOUN NOUN VERB ADP DET NOUN
Today, this business has a turnover of only £ 10 m a year but there are some interesting new products in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN DET NOUN VERB DET NOUN ADP ADV SYM NUM NOUN DET NOUN CCONJ ADV VERB DET ADJ ADJ NOUN ADP DET NOUN
A computerised version is in the pipeline along with a training pack.	0 0 0 0 1 0 1 0 0 0 0 0	in the pipeline	figurative	identical	DET ADJ NOUN VERB ADP DET NOUN ADP ADP DET NOUN NOUN
When does the right hon. Gentleman expect the next tranche of type 23 orders, to which he did not refer in his statement, to be in the pipeline and when can we expect the next round of tendering to start for those?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV VERB DET ADJ NOUN PROPN VERB DET ADJ NOUN ADP NOUN NUM NOUN PART ADJ PRON VERB ADV VERB ADP ADJ NOUN PART VERB ADP DET NOUN CCONJ ADV VERB PRON VERB DET ADJ NOUN ADP VERB PART VERB ADP DET
Somehow he always managed to play off one creditor against another, claiming he was just awaiting payment for some big deal or other that was in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV PRON ADV VERB PART VERB PART NUM NOUN ADP DET VERB PRON VERB ADV VERB NOUN ADP DET ADJ NOUN CCONJ ADJ ADJ VERB ADP DET NOUN
On Feb. 6 the World Bank for the first time made major loans to Poland for structural adjustment purposes, totalling $ 360,000,000, while indicating that loans in the pipeline could total five times that amount in 1990.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADP PROPN NUM DET PROPN PROPN ADP DET ADJ NOUN VERB ADJ NOUN ADP PROPN ADP ADJ NOUN NOUN VERB SYM NUM ADP VERB ADP NOUN ADP DET NOUN VERB VERB NUM NOUN DET NOUN ADP NUM
Yes, yes, our intelligence is that erm planned meetings, in other words, planned violence is in the pipeline for Sardinia, which means the Dutch and English fans.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	INTJ INTJ ADJ NOUN VERB ADP NOUN VERB NOUN ADP ADJ NOUN VERB NOUN VERB ADP DET NOUN ADP PROPN ADJ VERB DET ADJ CCONJ ADJ NOUN
And that's where we need to contact what is in the pipeline	0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ DET ADV PRON VERB PART VERB NOUN VERB ADP DET NOUN
