There was nothing quite like a fast and furious game of cards, she thought, to ease a situation.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	ADV VERB NOUN ADV ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON VERB PART VERB DET NOUN
This whole experience had been so fast and furious for me I didn't know what I was doing any more.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	DET ADJ NOUN VERB VERB ADV ADV CCONJ ADJ ADP PRON PRON VERB VERB NOUN PRON VERB VERB DET ADV
Despite the conditions, play was fast and furious in the opening stages.	0 0 0 0 0 1 1 1 0 0 0 0	fast and furious	figurative	identical	ADP DET NOUN NOUN VERB ADJ CCONJ ADJ ADP DET NOUN NOUN
Play around the centre spot was fast and furious, though the ground was in total darkness everywhere else.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	VERB ADP DET NOUN NOUN VERB ADJ CCONJ ADJ ADP DET NOUN VERB ADP ADJ NOUN ADV ADV
It was an old number, fast and furious, and he held her hand and twirled her around, pulling her in close, propelling her away, looking relaxed and so unlike the Luke Denner that she had come to love to hate that she wondered if she wasn't hallucinating.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	PRON VERB DET ADJ NOUN ADJ CCONJ ADJ CCONJ PRON VERB ADJ NOUN CCONJ VERB PRON ADV VERB PRON ADP ADV VERB PRON ADV VERB ADJ CCONJ ADV ADP DET PROPN PROPN ADP PRON VERB VERB PART VERB PART VERB ADP PRON VERB ADP PRON VERB VERB
Two goals from Milton's leading scorer Nigel Mott and one from Neil Allen put this game beyond doubt, the opening encounter was fast and furious with bone jarring tackles from both sets of players, and referee, Mr Merchant from Newbury did well to keep it from boiling over.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	NUM NOUN ADP PROPN VERB NOUN PROPN PROPN CCONJ NUM ADP PROPN PROPN VERB DET NOUN ADP NOUN DET NOUN NOUN VERB ADJ CCONJ ADJ ADP NOUN VERB NOUN ADP DET NOUN ADP NOUN CCONJ NOUN PROPN PROPN ADP PROPN VERB ADV PART VERB PRON ADP VERB PART
For most of the game between Bristol and Coventry the play was, to quote one contemporary news report, ' fast and often furious ', an exciting ( if you like that sort of thing ) ding - dong battle.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	insertion-other	ADP ADJ ADP DET NOUN ADP PROPN CCONJ PROPN DET NOUN VERB PART VERB NUM ADJ NOUN NOUN PUNCT ADV CCONJ ADV ADJ PUNCT DET ADJ PUNCT ADP PRON VERB DET NOUN ADP NOUN PUNCT VERB PUNCT ADJ NOUN
Meon ran out winners of a fast and furious contest by 58–37.	0 0 0 0 0 0 1 1 1 0 0 0	fast and furious	figurative	identical	PROPN VERB PART NOUN ADP DET ADJ CCONJ ADJ NOUN ADP NUM
The work was fast and furious ; working up in the top of buildings in January and February made this easy.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	DET NOUN VERB ADJ CCONJ ADJ PUNCT VERB PART ADP DET NOUN ADP NOUN ADP PROPN CCONJ PROPN VERB DET ADJ
Rough, tough, fast and furious, it has no comparison on the Continent, and many such teams have suffered when pitted against it.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	ADJ ADJ ADJ CCONJ ADJ PRON VERB DET NOUN ADP DET NOUN CCONJ ADJ ADJ NOUN VERB VERB ADV VERB ADP PRON
The fire that engulfed the main stand, devouring some 56 lives in the process, was both fast and furious.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	fast and furious	figurative	identical	DET NOUN ADJ VERB DET ADJ NOUN VERB DET NUM NOUN ADP DET NOUN VERB CCONJ ADJ CCONJ ADJ
It matters not ; within a few years and many fast and furious films later, he was being heralded not as the king of exploitation but as something of a genius, to which description he again did not object.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	PRON VERB ADV PUNCT ADP DET ADJ NOUN CCONJ ADJ ADJ CCONJ ADJ NOUN ADV PRON VERB VERB VERB ADV ADP DET NOUN ADP NOUN CCONJ ADP NOUN ADP DET NOUN PART ADJ NOUN PRON ADV VERB ADV VERB
Yes, but the cross country course was ideal, er if you wanted to get round carefully and slowly, you could, and if you wanted to go fast and furious, we did.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	fast and furious	figurative	identical	INTJ CCONJ DET NOUN NOUN NOUN VERB ADJ INTJ ADP PRON VERB PART VERB ADV ADV CCONJ ADV PRON VERB CCONJ ADP PRON VERB PART VERB ADV CCONJ ADJ PRON VERB
Ben Matthews says that it's fast and furious.	0 0 0 0 0 1 1 1	fast and furious	figurative	identical	PROPN PROPN VERB ADP PRON ADJ CCONJ ADJ
