Through the window beside him Owen could see a large rat sunning itself on a mooring rope.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the ropes	literal	combined-inflection	ADP DET NOUN ADP PRON PROPN VERB VERB DET ADJ NOUN VERB PRON ADP DET NOUN NOUN
The bags are usually made of leather or canvas and hung from the ceiling on a rope or chain so that they may be easily raised or lowered.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	DET NOUN VERB ADV VERB ADP NOUN CCONJ NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN CCONJ NOUN ADP ADP PRON VERB VERB ADV VERB CCONJ VERB
Comfortable Government majorities on two key motions followed a searing fightback by the Chancellor, Norman Lamont, during raucous exchanges which saw him at one stage on the ropes in the face of a furious tirade by, alternately, the Labour leader, John Smith, and the shadow chancellor, Gordon Brown.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	figurative	identical	PROPN PROPN VERB ADP NUM ADJ NOUN VERB DET ADJ NOUN ADP DET PROPN PROPN PROPN ADP ADJ NOUN ADJ VERB PRON ADP NUM NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN ADV ADV DET PROPN NOUN PROPN PROPN CCONJ DET NOUN NOUN PROPN PROPN
His body swayed gently back and forth on the ropes.	0 0 0 0 0 0 0 1 0 1	on the ropes	literal	identical	ADJ NOUN VERB ADV ADV CCONJ ADV ADP DET NOUN
Then Messrs. Gwynne's proposal for equalizing the strain on each inidividual rope by means of connected Hydraulic Rams is most satisfactory, as also is their suggestion for actuating the lift up gates by means of Hydraulic pressure utilising the engine for pumping up the accumulator.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	ADV PROPN PROPN NOUN ADP VERB DET NOUN ADP DET ADJ NOUN ADP NOUN ADP ADJ PROPN PROPN VERB ADV ADJ ADP ADV VERB ADJ NOUN ADP VERB DET NOUN PART NOUN ADP NOUN ADP PROPN NOUN VERB DET NOUN ADP VERB PART DET NOUN
Walker on the ropes as bankers lose patience	0 1 0 1 0 0 0 0	on the ropes	figurative	identical	PROPN ADP DET NOUN ADP NOUN VERB NOUN
The German was hanging helpless on his rope.	0 0 0 0 0 1 0 1	on the ropes	literal	combined-inflection	DET PROPN VERB VERB ADJ ADP ADJ NOUN
JUST AS THE PANTING CYCLIST drew ahead of the London to St Alban's coach the guard hurled an iron ball on a rope into the spokes of the bicycle wheel and felled the rider.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	ADV ADP DET NOUN PROPN VERB ADV ADP DET PROPN ADP PROPN PROPN NOUN DET NOUN VERB DET NOUN NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB DET NOUN
He leaned the chair back on two legs and put the sole of one shoe against the bedrails, then pulled on the rope of nylon until his biceps began to crack.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the ropes	literal	inflection	PRON VERB DET NOUN ADV ADP NUM NOUN CCONJ VERB DET NOUN ADP NUM NOUN ADP DET NOUN ADV VERB ADP DET NOUN ADP NOUN ADP ADJ NOUN VERB PART VERB
Me hanging, on a rope.	0 0 1 0 1	on the ropes	literal	combined-inflection	PRON VERB ADP DET NOUN
Freddie smiled and began pulling on the rope.	0 0 0 0 0 1 0 1	on the ropes	literal	inflection	PROPN VERB CCONJ VERB VERB ADP DET NOUN
He sighed and set off up the stairs again, pulling himself up by his hands on the thick, frozen rope fixed to the outside of the staircase, the castle's concession to their earlier request for a handhold on the often ice - slicked steps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	PRON VERB CCONJ VERB PART PART DET NOUN ADV VERB PRON PART ADP ADJ NOUN ADP DET ADJ ADJ NOUN VERB ADP DET NOUN ADP DET NOUN DET NOUN NOUN ADP ADJ ADJ NOUN ADP DET NOUN ADP DET ADV NOUN PUNCT VERB NOUN
The assistant cooks heaved on the rope and the cook pot lurched slowly backwards.	0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the ropes	literal	inflection	DET ADJ NOUN VERB ADP DET NOUN CCONJ DET NOUN NOUN VERB ADV ADV
There are single ropes to curl around and seats on single ropes.	0 0 0 0 0 0 0 0 0 1 0 1	on the ropes	literal	determiner-broad	ADV VERB ADJ NOUN PART VERB PART CCONJ NOUN ADP ADJ NOUN
Moving together on the rope in such conditions offers very little security because the leader has no decent footing on which to hold a slip.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	inflection	VERB ADV ADP DET NOUN ADP ADJ NOUN VERB ADV ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN ADP ADJ PART VERB DET NOUN
Athelstan went to gaze out of the window, staring absentmindedly at the great tocsin bell which hung so silently on its icy rope above the snow - covered green.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	on the ropes	literal	combined-inflection	PROPN VERB PART VERB ADP ADP DET NOUN VERB ADV ADP DET ADJ NOUN NOUN ADJ VERB ADV ADV ADP ADJ NOUN NOUN ADP DET NOUN PUNCT VERB NOUN
They got the feeling that we were on the ropes and I, I mean if	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the ropes	figurative	identical	PRON VERB DET NOUN ADP PRON VERB ADP DET NOUN CCONJ PRON PRON VERB ADP
Stephen had gone out first, scrambling up the shaft, putting all his weight this time on the rope and wondering what would happen, whether they would ever be found alive, if the rope came unfastened from the spur of rock to which they had tied it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	inflection	PROPN VERB VERB ADV ADV VERB PART DET NOUN VERB ADJ ADJ NOUN DET NOUN ADP DET NOUN CCONJ VERB NOUN VERB VERB ADP PRON VERB ADV VERB VERB ADJ ADP DET NOUN VERB VERB ADP DET NOUN ADP NOUN ADP ADJ PRON VERB VERB PRON
By 1914 the Liberal party was on the ropes and the Unionists could look forward confidently to the election that could not be long delayed.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	figurative	identical	ADP NUM DET ADJ NOUN VERB ADP DET NOUN CCONJ DET PROPN VERB VERB ADV ADV ADP DET NOUN ADJ VERB ADV VERB ADV VERB
Hook - nosed hero on the ropes	0 0 0 0 1 0 1	on the ropes	figurative	identical	PROPN PUNCT ADJ NOUN ADP DET NOUN
The gatherers descend the sheer cliff - face on coconut - fibre ropes to an overhang some thirty feet above the water where a rickety bamboo platform has been built.	0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-other	DET NOUN VERB DET ADJ NOUN PUNCT NOUN ADP NOUN PUNCT NOUN NOUN ADP DET NOUN DET NUM NOUN ADP DET NOUN ADV DET NOUN NOUN NOUN VERB VERB VERB
I followed it on a snug rope and pronounced it ' gripping but mild ', but then again, it's always easy on the blunt end.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	PRON VERB PRON ADP DET NOUN NOUN CCONJ VERB PRON PUNCT VERB CCONJ ADJ PUNCT CCONJ ADV ADV PRON ADV ADJ ADP DET ADJ NOUN
He had reached Blakemere, which was only two miles further on, when he pondered if he should take another direction and make his way to the river, but the thought that even this far out there 'd be a number of people on the banks today, mostly youngsters, he guessed, swimming or playing the usual dangerous game of swinging out over the river on a rope attached to a tree branch, deterred him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	PRON VERB VERB PROPN ADJ VERB ADV NUM NOUN ADV ADV ADV PRON VERB ADP PRON VERB VERB DET NOUN CCONJ VERB ADJ NOUN ADP DET NOUN CCONJ DET NOUN ADP ADV DET ADV ADV ADV VERB VERB DET NOUN ADP NOUN ADP DET NOUN NOUN ADV NOUN PRON VERB NOUN CCONJ VERB DET ADJ ADJ NOUN ADP VERB PART ADP DET NOUN ADP DET NOUN VERB ADP DET NOUN NOUN VERB PRON
But behind the apparent success, the company was on the ropes.	0 0 0 0 0 0 0 0 1 0 1	on the ropes	figurative	identical	CCONJ ADP DET ADJ NOUN DET NOUN VERB ADP DET NOUN
When the statement had been issued, Mr Telford allowed his pistol to be hauled up on a rope.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the ropes	literal	combined-inflection	ADV DET NOUN VERB VERB VERB PROPN PROPN VERB ADJ NOUN PART VERB VERB PART ADP DET NOUN
' They lined the rapids when they could, lowering down the boats on a rope.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the ropes	literal	combined-inflection	PUNCT PRON VERB DET NOUN ADV PRON VERB VERB PART DET NOUN ADP DET NOUN
Fears that the staging might be a little too picturesque are quickly dispelled as realistic dummies drop from the ceiling on ropes and dangle above the actors ' heads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	on the ropes	literal	deletion-determiner	NOUN ADP DET NOUN VERB VERB DET ADJ ADV ADJ VERB ADV VERB ADP ADJ NOUN VERB ADP DET NOUN ADP NOUN CCONJ VERB ADP DET NOUN PART NOUN
Anyone who is leaning into the pit ( e.g., hauling people up on a rope ) must make an I test or be knocked into it, suffering falling and spike damage as above.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	NOUN NOUN VERB VERB ADP DET NOUN PUNCT ADV VERB NOUN PART ADP DET NOUN PUNCT VERB VERB DET PRON NOUN CCONJ VERB VERB ADP PRON VERB VERB CCONJ ADJ NOUN ADP ADV
Erm I like it when the cats erm was balancing on the rope.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the ropes	literal	inflection	INTJ PRON VERB PRON ADV DET NOUN NOUN VERB VERB ADP DET NOUN
The next is Celebrant, the Silverlode which they can not ford but have to cross on ropes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	on the ropes	literal	deletion-determiner	DET ADJ VERB ADJ DET PROPN ADJ PRON VERB ADV VERB CCONJ VERB PART VERB ADP NOUN
To his left three guards had taken the strain on a rope that ran tight and stretched to the building.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	ADP ADJ VERB NUM NOUN VERB VERB DET NOUN ADP DET NOUN ADJ VERB ADV CCONJ VERB ADP DET NOUN
He hung some fifteen feet below Kurz, on the same rope ; and their joint weight thrust their remaining comrade against a piton.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	PRON VERB DET NUM NOUN ADP PROPN ADP DET ADJ NOUN PUNCT CCONJ ADJ ADJ NOUN VERB ADJ VERB NOUN ADP DET NOUN
Climbing steep snow in a series of zigzags as in ( Fig. 2b ), the axe is held in the uphill hand and the rope goes on the downhill side direct to the next person on the rope.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the ropes	literal	inflection	VERB ADJ NOUN ADP DET NOUN ADP NOUN ADP ADP PUNCT PROPN NUM PUNCT DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ DET NOUN VERB ADP DET NOUN NOUN ADV ADP DET ADJ NOUN ADP DET NOUN
Grant's heart leapt into his mouth and he was convinced Larsen was going to lose his nerve, then his grip on the rope, to plummet down to an unthinkable death.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the ropes	literal	inflection	NOUN NOUN NOUN ADP ADJ NOUN CCONJ PRON VERB VERB PROPN VERB VERB PART VERB ADJ NOUN ADV ADJ NOUN ADP DET NOUN PART VERB PART ADP DET ADJ NOUN
You liked the cat on the rope?	0 0 0 0 1 0 1	on the ropes	literal	inflection	PRON VERB DET NOUN ADP DET NOUN
Trent turned his body slowly so that he could get his hands on the rope.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the ropes	literal	inflection	NOUN VERB ADJ NOUN ADV ADP ADP PRON VERB VERB ADJ NOUN ADP DET NOUN
Why water luxuriant canna lilies and fast - flowering, even faster - fading, roses, trained on ropes to make living swags around the croquet lawn?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	on the ropes	figurative	deletion-determiner	ADV NOUN ADJ NOUN NOUN CCONJ ADV PUNCT NOUN ADV ADV PUNCT ADJ NOUN VERB ADP NOUN PART VERB NOUN NOUN ADP DET ADJ NOUN
Gone are the days when the average man would be happy with soap on a rope in his Christmas stocking.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the ropes	literal	combined-inflection	VERB VERB DET NOUN ADV DET ADJ NOUN VERB VERB ADJ ADP NOUN ADP DET NOUN ADP ADJ PROPN NOUN
Placing a foot against the wall, Grant leaned back on the rope.	0 0 0 0 0 0 0 0 0 1 0 1	on the ropes	literal	inflection	VERB DET NOUN ADP DET NOUN PROPN VERB PART ADP DET NOUN
Then, Messrs. Gwynne's proposal for equalising the strain on each individual rope by means of connected hydraulic rams is most satisfactory, as also is their suggesting for actuating the lift - up gates by means of hydraulic pressure utilising the engine for pumping up the accumulator. '	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	ADV PROPN PROPN NOUN ADP VERB DET NOUN ADP DET ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN VERB ADV ADJ ADP ADV VERB ADJ VERB ADP VERB DET NOUN PUNCT PART NOUN ADP NOUN ADP ADJ NOUN VERB DET NOUN ADP VERB PART DET NOUN PUNCT
The rock - climber is held on a rope by clipping himself on to a harness thingy ( if you 've come to this book for technical information, boy are you going to be disappointed ) that straps round his thighs and crotch, so as a quick guide to who the climbers are in the pub, just watch for those who seem to be constantly fiddling around in their genital area.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	DET NOUN PUNCT NOUN VERB VERB ADP DET NOUN ADP VERB PRON PART ADP DET NOUN NOUN PUNCT ADP PRON VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN VERB PRON VERB PART VERB VERB PUNCT DET NOUN VERB ADJ NOUN CCONJ NOUN ADP ADP DET ADJ NOUN ADP NOUN DET NOUN VERB ADP DET NOUN ADV VERB ADP DET NOUN VERB PART VERB ADV VERB PART ADP ADJ ADJ NOUN
And it was very very poor holding ground and there was a man on the anchor rope or there was a man on the three ropes on the crews on the three ropes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the ropes	literal	insertion-other	CCONJ PRON VERB ADV ADV ADJ VERB NOUN CCONJ ADV VERB DET NOUN ADP DET NOUN NOUN CCONJ ADV VERB DET NOUN ADP DET NUM NOUN ADP DET NOUN ADP DET NUM NOUN
Thankfully he went up to it, getting a grip on its side ropes as he surfaced.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	on the ropes	literal	combined-other	ADV PRON VERB PART ADP PRON VERB DET NOUN ADP ADJ NOUN NOUN ADP PRON VERB
Anderson has Kelly on the ropes with the telephone chat - up technique he started on radio.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the ropes	figurative	identical	PROPN VERB PROPN ADP DET NOUN ADP DET NOUN NOUN PUNCT PART NOUN PRON VERB ADP NOUN
He was given a questionable standing count in the second of three thrilling rounds, but he spent too much time battling rather than boxing and too much time on the ropes instead of using his footwork.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the ropes	literal	identical	PRON VERB VERB DET ADJ NOUN NOUN ADP DET NOUN ADP NUM NOUN NOUN CCONJ PRON VERB ADV ADJ NOUN VERB ADV ADP VERB CCONJ ADV ADJ NOUN ADP DET NOUN ADV ADP VERB ADJ NOUN
However, unless you are climbing on a single 50 metre rope, it's preferable to abseil direct down to the couloir rather than take the pendulum of the normal route.	0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	ADV ADP PRON VERB VERB ADP DET ADJ NUM NOUN NOUN PRON ADJ PART VERB VERB PART ADP DET NOUN ADV ADP VERB DET NOUN ADP DET ADJ NOUN
Clad in a coat which was so stiff with gold wire and seed pearls that he could scarcely bend his arms he rode with his escort beneath a line of arches which were suspended on ropes between houses on opposite sides of one of the main streets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	deletion-determiner	VERB ADP DET NOUN ADJ VERB ADV ADJ ADP ADJ NOUN CCONJ NOUN NOUN ADP PRON VERB ADV VERB ADJ NOUN PRON VERB ADP ADJ NOUN ADP DET NOUN ADP NOUN ADJ VERB VERB ADP NOUN ADP NOUN ADP ADJ NOUN ADP NUM ADP DET ADJ NOUN
He could see that Longhi, the lowest on the rope, was in a bad way ; his hands kept slipping.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	inflection	PRON VERB VERB ADP PROPN DET ADJ ADP DET NOUN VERB ADP DET ADJ NOUN PUNCT ADJ NOUN VERB VERB
She plunged forward, skirts dragging, heaving on the tow rope.	0 0 0 0 0 0 1 0 0 1	on the ropes	literal	combined-inflection	PRON VERB ADV NOUN VERB VERB ADP DET NOUN NOUN
Ramsay was interested to note, in the passing, how as a couple of boats entered the harbour ahead of them from the fishing, under the bridge between the two outermost towers, they each provided a basket of new - caught fish to be hoisted up on ropes to men on the bridge, this seemingly how they paid their rents and harbour dues to their lord.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	deletion-determiner	PROPN VERB ADJ PART VERB ADP DET NOUN ADV ADP DET NOUN ADP NOUN VERB DET NOUN ADV ADP PRON ADP DET NOUN ADP DET NOUN ADP DET NUM ADJ NOUN PRON DET VERB DET NOUN ADP ADV PUNCT VERB NOUN PART VERB VERB PART ADP NOUN ADP NOUN ADP DET NOUN DET ADV ADV PRON VERB ADJ NOUN CCONJ VERB NOUN ADP ADJ NOUN
Sometimes the King orders his lords to dance on the rope, to show that they can still do it.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the ropes	literal	inflection	ADV DET PROPN VERB ADJ NOUN PART VERB ADP DET NOUN PART VERB ADP PRON VERB ADV VERB PRON
It felt like hauling on a rope that ran half round the world.	0 0 0 0 1 0 1 0 0 0 0 0 0	on the ropes	literal	combined-inflection	PRON VERB ADP VERB ADP DET NOUN ADJ VERB ADV ADP DET NOUN
The petrol ignited immediately, a loud whump filling the room as it consumed Connelly's body, which twisted insanely on the ropes as he screamed in uncontrollable agony.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the ropes	literal	identical	DET NOUN VERB ADV DET ADJ NOUN VERB DET NOUN ADP PRON VERB PROPN NOUN ADJ VERB ADV ADP DET NOUN ADP PRON VERB ADP ADJ NOUN
With powerful leg strokes, moving just beneath the surface he closed with the raft, and got his hand on the rope grab handles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	on the ropes	literal	inflection	ADP ADJ NOUN NOUN VERB ADV ADP DET NOUN PRON VERB ADP DET NOUN CCONJ VERB ADJ NOUN ADP DET NOUN NOUN NOUN
‘ What are you doing?’ he shrieked, twisting about madly on the ropes that suspended him.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the ropes	literal	identical	PUNCT NOUN VERB PRON NOUN PRON VERB VERB ADP ADV ADP DET NOUN ADJ VERB PRON
It was hard for the men not to lose their footing on jagged or slippery stones : harder still, leaning right back on the ropes, to counteract the relentless downward pull of the current and keep the tree on course for the opposite bank.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	identical	PRON VERB ADJ ADP DET NOUN ADV PART VERB ADJ NOUN ADP ADJ CCONJ ADJ NOUN PUNCT ADV ADV VERB ADV ADV ADP DET NOUN PART VERB DET ADJ ADJ NOUN ADP DET NOUN CCONJ VERB DET NOUN ADP NOUN ADP DET ADJ NOUN
And it was going downhill over the hard packed snow which was the worst bit, with me acting as a brake, hauling on a rope to keep the sledge from running forward into the horse's heels.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	CCONJ PRON VERB VERB ADV ADP DET ADJ ADJ NOUN ADJ VERB DET ADJ NOUN ADP PRON VERB ADP DET NOUN VERB ADP DET NOUN PART VERB DET NOUN ADP VERB ADV ADP DET NOUN NOUN
The idea of this is for all the people to pull on the rope as hard as possible.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the ropes	literal	inflection	DET NOUN ADP DET VERB ADP ADJ DET NOUN PART VERB ADP DET NOUN ADV ADV ADP ADJ
Some then leaned on the rope, hauling the boar through the water, while others stayed behind to guide it round rocks and counteract the drag of the current.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	inflection	DET ADV VERB ADP DET NOUN VERB DET NOUN ADP DET NOUN ADP NOUN VERB ADV PART VERB PRON ADJ NOUN CCONJ VERB DET NOUN ADP DET NOUN
He took the strain like the anchor - man on a rope, pushing hard against his own backward pull — all the power in his leg and all the power in his arms — his face a rictus of effort, his lips drawn back like someone enduring pain.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the ropes	literal	combined-inflection	PRON VERB DET NOUN ADP DET NOUN PUNCT NOUN ADP DET NOUN VERB ADV ADP ADJ ADJ ADJ NOUN PUNCT ADJ DET NOUN ADP ADJ NOUN CCONJ ADJ DET NOUN ADP ADJ NOUN PUNCT ADJ NOUN DET NOUN ADP NOUN ADJ NOUN VERB ADV ADP NOUN VERB NOUN
A large marquee was being erected and everywhere men seemed to be pulling and heaving on large ropes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the ropes	literal	determiner-broad	DET ADJ NOUN VERB VERB VERB CCONJ ADV NOUN VERB PART VERB VERB CCONJ VERB ADP ADJ NOUN
