This in no way limited the cut - and - thrust of political disagreement.	0 0 0 0 0 0 1 0 1 0 1 0 0 0	cut and thrust	figurative	dashes	DET ADP DET NOUN VERB DET NOUN PUNCT CCONJ PUNCT NOUN ADP ADJ NOUN
Last night Brian Walsh, the Yorkshire chairman, did his best to put a block on the whole sorry business, but not before enterprising Guardian hacks were able to obtain a leaked copy of a classic example of the high - class cut and thrust of the debate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADJ NOUN PROPN PROPN DET PROPN NOUN VERB ADJ ADJ PART VERB DET NOUN ADP DET ADJ ADJ NOUN CCONJ ADV ADP ADJ PROPN NOUN VERB ADJ PART VERB DET VERB NOUN ADP DET ADJ NOUN ADP DET ADJ PUNCT NOUN NOUN CCONJ NOUN ADP DET NOUN
Don't worry about some Strangelove of a character turning your innocent little toy into a satellite vaporiser, theory has it that military research is second rate because you can not do good research behind screens of secrecy and away from the cut and thrust of peer review.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	VERB VERB ADP DET PROPN ADP DET NOUN VERB ADJ ADJ ADJ NOUN ADP DET NOUN NOUN NOUN VERB PRON ADP ADJ NOUN VERB ADJ NOUN ADP PRON VERB ADV VERB ADJ NOUN ADP NOUN ADP NOUN CCONJ ADV ADP DET NOUN CCONJ NOUN ADP NOUN NOUN
Cut and thrust.	1 1 1	cut and thrust	figurative	case	VERB CCONJ NOUN
Though we find him joining the cut and thrust of conference debate, or delivering polemical lectures, we also glimpse a man apart, and in an intellect of such stature, it is tempting to describe him as aloof.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	ADP PRON VERB PRON VERB DET NOUN CCONJ NOUN ADP NOUN NOUN CCONJ VERB ADJ NOUN PRON ADV VERB DET NOUN ADV CCONJ ADP DET NOUN ADP ADJ NOUN PRON VERB ADJ PART VERB PRON ADP ADJ
Their ability to produce a full - sized poster in less than four hours gave an unprecedented flexibility to the two big parties in the cut and thrust of the campaign.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADJ NOUN PART VERB DET ADJ PUNCT ADJ NOUN ADP ADJ ADP NUM NOUN VERB DET ADJ NOUN ADP DET NUM ADJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN
Such cut - and - thrust politicking has always been Mr Brown's speciality.	0 1 0 1 0 1 0 0 0 0 0 0 0	cut and thrust	figurative	dashes	ADJ VERB PUNCT CCONJ PUNCT NOUN NOUN VERB ADV VERB PROPN PROPN NOUN
‘ In the cut and thrust of the film world?’ she queried bitterly.	0 0 0 1 1 1 0 0 0 0 0 0 0	cut and thrust	figurative	identical	PUNCT ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP PRON VERB ADV
Hillary will be called the Presidential Partner — and she intends to make her own mark in the cut and thrust of American political and national life.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	cut and thrust	figurative	identical	PROPN VERB VERB VERB DET PROPN PROPN PUNCT CCONJ PRON VERB PART VERB ADJ ADJ NOUN ADP DET NOUN CCONJ NOUN ADP ADJ ADJ CCONJ ADJ NOUN
The steering is direct and precise, enabling you to hustle along briskly without effort, qualities which help to disguise the lack of power at your disposal in cut and thrust traffic.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	cut and thrust	figurative	identical	DET NOUN VERB ADJ CCONJ ADJ VERB PRON PART VERB ADV ADV ADP NOUN NOUN ADJ VERB PART VERB DET NOUN ADP NOUN ADP ADJ NOUN ADP NOUN CCONJ VERB NOUN
Oo ar, Jim me lad, it's cut - and - thrust duelling onboard the pirate ship	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	cut and thrust	figurative	dashes	INTJ ADP PROPN PRON VERB PRON VERB PUNCT CCONJ PUNCT NOUN VERB ADP DET NOUN NOUN
He has thus learned what qualities are necessary to run a business both under the bureaucratic yoke of government red tape and in the cut and thrust of the world of international competition.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	cut and thrust	figurative	identical	PRON VERB ADV VERB ADJ NOUN VERB ADJ PART VERB DET NOUN CCONJ ADP DET ADJ NOUN ADP NOUN ADJ NOUN CCONJ ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP ADJ NOUN
After all, he 'd always clearly preferred the ruthless cut and thrust of the business world to that of marriage and domesticity — his freedom to that of commitment.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	ADV ADV PRON VERB ADV ADV VERB DET ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN ADP DET ADP NOUN CCONJ NOUN PUNCT ADJ NOUN ADP DET ADP NOUN
The cut and thrust of debate and the pressures of executive responsibility, the essential features of open and responsible government, are not always conducive to a clear and unbiased explanation of the meaning of statutory language.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	DET NOUN CCONJ NOUN ADP NOUN CCONJ DET NOUN ADP ADJ NOUN DET ADJ NOUN ADP ADJ CCONJ ADJ NOUN VERB ADV ADV ADJ ADP DET ADJ CCONJ ADJ NOUN ADP DET NOUN ADP ADJ NOUN
Indeed, this sort of campaigning has given rise to a certain newspaper image — that Mr Kinnock is being protected from real people, shepherded into a succession of carefully - staged photo - opportunities designed to look good on television but a million miles away from the real cut and thrust of the hustings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADV DET NOUN ADP NOUN VERB VERB NOUN ADP DET ADJ NOUN NOUN PUNCT ADP PROPN PROPN VERB VERB VERB ADP ADJ NOUN VERB ADP DET NOUN ADP ADV PUNCT VERB NOUN PUNCT NOUN VERB PART VERB ADJ ADP NOUN CCONJ DET NUM NOUN ADV ADP DET ADJ NOUN CCONJ NOUN ADP DET NOUN
You could say this for the new position : it took us back a way from the medical cut and thrust.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	cut and thrust	figurative	identical	PRON VERB VERB DET ADP DET ADJ NOUN PUNCT PRON VERB PRON ADV DET NOUN ADP DET ADJ NOUN CCONJ NOUN
The fight is less cut - and - thrust, much more a game of patient positioning.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	cut and thrust	figurative	dashes	DET NOUN VERB ADV VERB PUNCT CCONJ PUNCT NOUN ADV ADJ DET NOUN ADP NOUN NOUN
Fair enough, I can take the honest cut and thrust of intellectual debate.	0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADJ ADV PRON VERB VERB DET ADJ NOUN CCONJ NOUN ADP ADJ NOUN
More than an hour of cut - and - thrust football followed, and both goalkeepers, especially Simon Taylor of Clitheroe and Lancashire, were kept busy before David Mason sealed his team's first victory of the season.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	dashes	ADJ ADP DET NOUN ADP NOUN PUNCT CCONJ PUNCT NOUN NOUN VERB CCONJ DET NOUN ADV PROPN PROPN ADP PROPN CCONJ PROPN VERB VERB ADJ ADP PROPN PROPN VERB ADJ NOUN ADJ NOUN ADP DET NOUN
This is a cut - and - thrust spectacle where as many as 24 kites out of 25 have been cast off, their lines to float down in defeat within twenty minutes.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	dashes	DET VERB DET NOUN PUNCT CCONJ PUNCT ADJ NOUN ADV ADV ADJ ADP NUM NOUN ADP ADP NUM VERB VERB VERB PART ADJ NOUN PART VERB PART ADP NOUN ADP NUM NOUN
It has all the cut and thrust of an ideological conflict.	0 0 0 0 1 1 1 0 0 0 0	cut and thrust	figurative	identical	PRON VERB ADJ DET NOUN CCONJ NOUN ADP DET ADJ NOUN
She 'd known its cut and thrust on and off for years now.	0 0 0 0 1 1 1 0 0 0 0 0 0	cut and thrust	figurative	identical	PRON VERB VERB ADJ NOUN CCONJ VERB PART CCONJ ADV ADP NOUN ADV
Yet it also signified, at another level, how pop music was responding to the undercurrents of the new mood of the country, and the pronouncements of an insistent, steely - haired woman in a blue twin - set about a sleeker, leaner Britain, built on the cut and thrust of the free market ; unfettered competition ; standing, as it was frequently said, on one's own two feet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	CCONJ PRON ADV VERB ADP DET NOUN ADV NOUN NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ DET NOUN ADP DET ADJ ADJ PUNCT ADJ NOUN ADP DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADJ PROPN VERB ADP DET NOUN CCONJ NOUN ADP DET ADJ NOUN PUNCT ADJ NOUN PUNCT VERB ADP PRON VERB ADV VERB ADP PRON ADJ NUM NOUN
