But Walsh got stuck into the project with typical determination.	0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	inflection	CCONJ PROPN VERB VERB ADP DET NOUN ADP ADJ NOUN
So we 're gon na catch every traffic light on red now there was something I wanted to go into Wisbech for but I can't think for the life of me what it was, I must get stuck into this Christmas shopping again, really must so much to do and such little time to do it in oh he's, he's put that car down five hundred pounds, that price of that car was, that he got for sale on it seven, seven, nine, five,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	ADV PRON VERB VERB PART VERB DET NOUN NOUN ADP ADJ ADV ADV VERB NOUN PRON VERB PART VERB ADP PROPN ADP CCONJ PRON VERB VERB ADP DET NOUN ADP PRON NOUN PRON VERB PRON VERB VERB VERB ADP DET PROPN NOUN ADV ADV VERB ADV ADV PART VERB CCONJ ADJ ADJ NOUN PART VERB PRON PART INTJ PRON PRON VERB DET NOUN ADV NUM NUM NOUN DET NOUN ADP DET NOUN VERB ADP PRON VERB ADP NOUN ADP PRON NUM NUM NUM NUM
He tended to bow out when the other old codgers were getting stuck into tedious reminiscence, clearly lacking the high boredom threshold necessary to keep these dissidents happy.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	inflection	PRON VERB PART VERB PART ADV DET ADJ ADJ NOUN VERB VERB VERB ADP ADJ NOUN ADV VERB DET ADJ NOUN NOUN ADJ PART VERB DET NOUN ADJ
What I 'm doing is getting stuck into erotic literature and pornography : the club has a fascinating, not to say incredible, collection, and I can't imagine the opportunity is likely to arise again.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	inflection	NOUN PRON VERB VERB VERB VERB VERB ADP ADJ NOUN CCONJ NOUN PUNCT DET NOUN VERB DET ADJ ADV PART VERB ADJ NOUN CCONJ PRON VERB VERB DET NOUN VERB ADJ PART VERB ADV
At night - times I 've got my jobs to get stuck into on the shopfloor as well, just hope that everybody works as a strong team basically.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	ADP NOUN PUNCT NOUN PRON VERB VERB ADJ NOUN PART VERB VERB ADP ADP DET ADJ ADV ADV ADV VERB ADP NOUN VERB ADP DET ADJ NOUN ADV
Starring cast Daniel Day - Lewis as Hawkeye, the legendary hero of Fenimore Cooper's panoramic tale of derring - do set during the French / British wars of 1757 in and around New York State, Michael Mann's production dispenses with any namby - pamby pretence of squeamishness and gets stuck into the gore from the opening scenes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	get stuck into	figurative	inflection	VERB VERB PROPN PROPN PUNCT PROPN ADP PROPN DET ADJ NOUN ADP PROPN PROPN ADJ NOUN ADP NOUN PUNCT VERB NOUN ADP DET ADJ SYM ADJ NOUN ADP NUM ADP CCONJ ADP PROPN PROPN PROPN PROPN PROPN NOUN VERB ADP DET NOUN PUNCT NOUN NOUN ADP NOUN CCONJ VERB VERB ADP DET NOUN ADP DET NOUN NOUN
' Get stuck into each other, you two, ' shouted Trentham, but although Charlie started to jab away at Tommy's chest he made no attempt to inflict any real pain.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	case	PUNCT VERB VERB ADP DET ADJ PRON NUM PUNCT VERB PROPN CCONJ ADP PROPN VERB PART VERB ADV ADP PROPN NOUN PRON VERB DET NOUN PART VERB DET ADJ NOUN
Unfortunately for those of a nervous DOSposition ( rotten pun, I know ) the FastLynx package has no install utility, so setting up the device drivers to enable what amounts to a two machine network involves rolling up the sleeves and getting stuck into editing a file or two.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	inflection	ADV ADP DET ADP DET ADJ PROPN PUNCT ADJ NOUN PRON VERB PUNCT DET PROPN NOUN VERB DET NOUN NOUN ADV VERB PART DET NOUN NOUN PART VERB NOUN VERB ADP DET NUM NOUN NOUN VERB VERB PART DET NOUN CCONJ VERB VERB ADP VERB DET NOUN CCONJ NUM
Let's get stuck into them!’	0 1 1 1 0	get stuck into	figurative	identical	VERB VERB VERB ADP NOUN
You don't have to get stuck into Sky to hear the cry Burn Hollywood Burn.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	PRON VERB VERB PART VERB VERB ADP PROPN PART VERB DET NOUN PROPN PROPN PROPN
In the dressing room before kick - off, Ian won't need anyone to dangle pieces of raw meat in front of him and make him strain at the leash because he 'll be bursting to get stuck into the Turks more than anyone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	identical	ADP DET NOUN NOUN ADP NOUN PUNCT NOUN PROPN VERB VERB NOUN PART VERB NOUN ADP ADJ NOUN ADP NOUN ADP PRON CCONJ VERB PRON VERB ADP DET NOUN ADP PRON VERB VERB VERB PART VERB VERB ADP DET PROPN ADJ ADP NOUN
When their big friends get stuck into close combat the Snotlings throw themselves on the enemy, screaming and yelling crazily, waving their wooden clubs and biting the foes with their sharp teeth.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	ADV ADJ ADJ NOUN VERB VERB ADP ADJ NOUN DET PROPN VERB PRON ADP DET NOUN VERB CCONJ VERB ADV VERB ADJ ADJ NOUN CCONJ VERB DET NOUN ADP ADJ ADJ NOUN
Before you get stuck into the	0 0 1 1 1 0	get stuck into	figurative	identical	ADP PRON VERB VERB ADP DET
The boys and girls brought their buckets and spades and old clothes to get stuck into their task and are finding it a lot of fun.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	DET NOUN CCONJ NOUN VERB ADJ NOUN CCONJ NOUN CCONJ ADJ NOUN PART VERB VERB ADP ADJ NOUN CCONJ VERB VERB PRON DET NOUN ADP NOUN
And we got, he got stuck into it, but, that's, that's how people, if you don't get somebody who's working for you, you 'll get somebody working against you, and that's what I had, a good solicitor with you at the moment is, got ta be vital, I only hope she's doing her job	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	inflection	CCONJ PRON VERB PRON VERB VERB ADP PRON CCONJ DET DET ADV NOUN ADP PRON VERB VERB NOUN NOUN VERB ADP PRON PRON VERB VERB NOUN VERB ADP PRON CCONJ DET NOUN PRON VERB DET ADJ NOUN ADP PRON ADP DET NOUN VERB VERB PART VERB ADJ PRON ADV VERB PRON VERB ADJ NOUN
that have got six months where they want to get in before they get stuck into their studying again.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	get stuck into	figurative	identical	ADJ VERB VERB NUM NOUN ADV PRON VERB PART VERB PART ADP PRON VERB VERB ADP ADJ NOUN ADV
