Much of the humour derives from slips of the tongue, an occupational hazard.	0 0 0 0 0 0 1 1 0 1 0 0 0	slip of the tongue	figurative	inflection	ADJ ADP DET NOUN VERB ADP NOUN ADP DET NOUN DET ADJ NOUN
Troop commanders and the men were briefed from a model with each house's position shown and other fine details except place names, so avoiding the possibility of literally fatal slips of the tongue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip of the tongue	figurative	inflection	PROPN NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN NOUN VERB CCONJ ADJ ADJ NOUN ADP NOUN NOUN ADP VERB DET NOUN ADP ADV ADJ NOUN ADP DET NOUN
' Slip of the tongue.	0 1 1 0 1	slip of the tongue	figurative	case	PUNCT VERB ADP DET NOUN
The general view was that this was a slip of the tongue for ‘ imports’, but Baldwin when questioned persisted in his first statement.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	DET ADJ NOUN VERB ADP DET VERB DET NOUN ADP DET NOUN ADP PUNCT ADJ CCONJ PROPN ADV VERB VERB ADP ADJ ADJ NOUN
I think that my hon. Friend the Member for Tooting displayed the facts well, and it was perverse of Conservative Members to pick him up for a slip of the tongue when he gave an incorrect figure, which it is relatively easy to do.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	PRON VERB ADP ADJ NOUN VERB DET PROPN ADP PROPN VERB DET NOUN ADV CCONJ PRON VERB ADJ ADP ADJ NOUN PART VERB PRON PART ADP DET NOUN ADP DET NOUN ADV PRON VERB DET ADJ NOUN ADJ PRON VERB ADV ADJ PART VERB
A worthwhile person is always competent : he never makes mistakes, slips of the tongue, errors of judgement or loses his thread halfway through a lesson or a meeting.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	inflection	DET ADJ NOUN VERB ADV ADJ PUNCT PRON ADV VERB NOUN NOUN ADP DET NOUN NOUN ADP NOUN CCONJ VERB ADJ NOUN ADV ADP DET NOUN CCONJ DET NOUN
The most painful —’ He paused, corrected a slip of the tongue, and went on, ‘ The most painless way is for us to keep out of each other's way until you can leave.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	DET ADV ADJ ADV PRON VERB VERB DET NOUN ADP DET NOUN CCONJ VERB ADV PUNCT DET ADV ADJ NOUN VERB ADP PRON PART VERB ADP ADP DET ADJ NOUN ADP PRON VERB VERB
If you are going away, tell only those who need to know — a slip of the tongue in the street, pub or corner shop could be overheard by the wrong sort.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	ADP PRON VERB VERB ADV VERB ADV DET NOUN VERB PART VERB PUNCT DET NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ NOUN NOUN VERB VERB VERB ADP DET ADJ NOUN
‘ A slip of the tongue.	0 0 1 1 0 1	slip of the tongue	figurative	identical	PUNCT DET NOUN ADP DET NOUN
This is not simply an incautious and unconsidered statement by Mr Baldwin, a slip of the tongue : it is the settled and deliberate policy of the governing class, who have entered upon a course of action which has for its object the deliberate intensification of unemployment as a method of forcing down wages.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	DET VERB ADV ADV DET ADJ CCONJ ADJ NOUN ADP PROPN PROPN DET NOUN ADP DET NOUN PUNCT PRON VERB DET ADJ CCONJ ADJ NOUN ADP DET VERB NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN ADJ VERB ADP ADJ NOUN DET ADJ NOUN ADP NOUN ADP DET NOUN ADP VERB PART NOUN
A slip of the tongue.’	0 1 1 0 1	slip of the tongue	figurative	dashes	DET NOUN ADP DET NOUN
I also believe that just as an individual ’s dreams and slips of the tongue reveal his or her repressed knowledge, so a culture ’s “ dreamwork ” – its films, pop ~ music, visual arts, and even in the resonant jokes, cartoons and advertising images – reveal the signs of this collective unconscious.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	inflection	PRON ADV VERB ADP ADV ADP DET NOUN PART NOUN CCONJ NOUN ADP DET NOUN NOUN ADJ CCONJ ADJ ADJ NOUN ADP DET NOUN PART PUNCT NOUN PUNCT PUNCT ADJ NOUN VERB PUNCT NOUN ADJ NOUN CCONJ ADV ADP DET ADJ NOUN NOUN CCONJ NOUN NOUN PUNCT VERB DET NOUN ADP DET ADJ NOUN
