Are women welcome there with open arms?	0 0 0 0 1 1 1	with open arms	figurative	identical	VERB NOUN VERB ADV ADP ADJ NOUN
Mind, I welcomed them with open arms because it meant I could stay off school.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PROPN PRON VERB PRON ADP ADJ NOUN ADP PRON VERB PRON VERB VERB PART NOUN
We heard from the Lord d'Aubigny that the Scottish Council is more than prepared to welcome Queen Margaret back with open arms.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	dashes	PRON VERB ADP DET PROPN PROPN ADP DET PROPN PROPN VERB ADJ ADP ADJ PART VERB PROPN PROPN ADV ADP ADJ NOUN
Would you welcome them with open arms?	0 0 0 0 1 1 1	with open arms	figurative	identical	VERB PRON VERB PRON ADP ADJ NOUN
‘ But they 'll welcome him with open arms, bringing them medical aid.	0 0 0 0 0 0 1 1 1 0 0 0 0	with open arms	figurative	identical	PUNCT CCONJ PRON VERB VERB PRON ADP ADJ NOUN VERB PRON ADJ NOUN
Today, it is easy to imagine that Romanians would indeed welcome Soviet forces with open arms as liberators.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	with open arms	figurative	identical	NOUN PRON VERB ADJ PART VERB ADP PROPN VERB ADV VERB ADJ NOUN ADP ADJ NOUN ADP NOUN
Audiences have tired of Danish and German bands, though only three years ago they accepted them with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	NOUN VERB VERB ADP ADJ CCONJ ADJ NOUN ADP ADV NUM NOUN ADV PRON VERB PRON ADP ADJ NOUN
Schools have welcomed such arrangements with open arms.	0 0 0 0 0 1 1 1	with open arms	figurative	identical	NOUN VERB VERB ADJ NOUN ADP ADJ NOUN
He has been welcomed back with open arms by team - mates who appreciate talent, courage and strong character — we will need all three qualities to overcome the Springboks.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PRON VERB VERB VERB PART ADP ADJ NOUN ADP NOUN PUNCT NOUN NOUN VERB NOUN NOUN CCONJ ADJ NOUN PUNCT PRON VERB VERB DET NUM NOUN PART VERB DET PROPN
It seems to me that the trade unions are welcomed with open arms whenever money is needed and yet some don't want us to participate.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PRON VERB ADP PRON ADP DET NOUN NOUN VERB VERB ADP ADJ NOUN ADV NOUN VERB VERB CCONJ CCONJ DET VERB VERB PRON PART VERB
In the event, inhabitants of Štanjel, although they were certainly not unkind to him, did not exactly welcome him with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	ADP DET NOUN NOUN ADP PROPN ADP PRON VERB ADV ADV ADJ ADP PRON VERB ADV ADV VERB PRON ADP ADJ NOUN
He welcomed them with open arms, talked freely, played draughts with the younger and learned tables from the elder.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PRON VERB PRON ADP ADJ NOUN VERB ADV VERB NOUN ADP DET ADJ CCONJ VERB NOUN ADP DET NOUN
When he hesitated Carrie ended, ‘ As your mother greeting me with open arms.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	ADV PRON VERB PROPN VERB PUNCT ADP ADJ NOUN VERB PRON ADP ADJ NOUN
In the early days the communities as well as the state welcomed the mining companies with open arms, expecting to share in the bonanza promised by mining.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADP DET ADJ NOUN DET NOUN ADV ADV ADP DET NOUN VERB DET NOUN NOUN ADP ADJ NOUN VERB PART VERB ADP DET NOUN VERB ADP NOUN
It's also because many standard features on other packages which make repetitive jobs easier — like palettes, layer management and gradient fills — would be welcomed with open arms by Illustrator users.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	with open arms	figurative	identical	PRON ADV ADP ADJ ADJ NOUN ADP ADJ NOUN ADJ VERB ADJ NOUN ADJ PUNCT ADP NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT VERB VERB VERB ADP ADJ NOUN ADP PROPN NOUN
While not everyone welcomed the regime with open arms, it is opportune to reflect on its effectiveness and to weigh up the costs and benefits of regulation of the profession by the profession.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADP ADV NOUN VERB DET NOUN ADP ADJ NOUN PRON VERB ADJ PART VERB ADP ADJ NOUN CCONJ PART VERB PART DET NOUN CCONJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN
So I went and saw a building contractor, friend of me Dads and er he welcomed me with open arms, he 'd just got a contract for building council houses down Dunson Street at Netherfield.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADV PRON VERB CCONJ VERB DET NOUN NOUN NOUN ADP PRON VERB CCONJ INTJ PRON VERB PRON ADP ADJ NOUN PRON VERB ADV VERB DET NOUN ADP VERB NOUN NOUN ADP PROPN PROPN ADP PROPN
‘ This was equally true of the teachers, since they, together with the headmaster, could have decided to stop my research whenever they felt it threaten them ; equally, if they had accepted me with open arms it would have meant that the boys would not have trusted me greatly.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PUNCT DET VERB ADV ADJ ADP DET NOUN ADP PRON ADV ADP DET NOUN VERB VERB VERB PART VERB ADJ NOUN ADV PRON VERB PRON VERB PRON PUNCT ADV ADP PRON VERB VERB PRON ADP ADJ NOUN PRON VERB VERB VERB ADP DET NOUN VERB ADV VERB VERB PRON ADJ
Ms Alexander said : ‘ We would welcome with open arms anyone who would like to join us in our important fund raising work.’	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PROPN PROPN VERB PUNCT PUNCT PRON VERB VERB ADP ADJ NOUN NOUN NOUN VERB VERB PART VERB PRON ADP ADJ ADJ NOUN NOUN PROPN
In the early ' 60s, all of the pop press welcomed with open arms the rather curious emergence of a ‘ trad jazz’ revival.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADP DET ADJ PUNCT NOUN DET ADP DET NOUN NOUN VERB ADP ADJ NOUN DET ADV ADJ NOUN ADP DET ADJ NOUN NOUN NOUN
Now as a traditional climber I find the emergence of these new activities such as sport abseiling and sport climbing somewhat sterilised and regulated, but I suppose there is plenty of room in Britain for all offshoots and variations of the parent activity, and we must accept these developments with open arms as we did bolts and competitions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	with open arms	figurative	identical	ADV ADP DET ADJ NOUN PRON VERB DET NOUN ADP DET ADJ NOUN ADJ ADP NOUN NOUN CCONJ NOUN NOUN ADV VERB CCONJ VERB CCONJ PRON VERB ADV VERB NOUN ADP NOUN ADP PROPN ADP DET NOUN CCONJ NOUN ADP DET NOUN NOUN CCONJ PRON VERB VERB DET NOUN ADP ADJ NOUN ADP PRON VERB NOUN CCONJ NOUN
Secondly, the IBM Agent market does not welcome untried and untested ( new ) products with open arms, and Cognos has been attempting to prove itself in this market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADV DET PROPN PROPN NOUN VERB ADV VERB ADJ CCONJ ADJ PUNCT ADJ PUNCT NOUN ADP ADJ NOUN CCONJ PROPN VERB VERB VERB PART VERB PRON ADP DET NOUN
If Mr. Edwards ' client lived in this area, we would welcome his talents with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	ADP PROPN PROPN PART NOUN VERB ADP DET NOUN PRON VERB VERB ADJ NOUN ADP ADJ NOUN
‘ It is for a constituency Labour Party to welcome Mr Scargill with open arms, or any arms.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	with open arms	figurative	identical	PUNCT PRON VERB ADP DET NOUN PROPN PROPN PART VERB PROPN PROPN ADP ADJ NOUN CCONJ DET NOUN
However, Richard Amos, the youth worker, continues to put considerable effort into the work of the youth club and would welcome with open arms any volunteers to join those already helping.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	with open arms	figurative	identical	ADV PROPN PROPN DET NOUN NOUN VERB PART VERB ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB VERB ADP ADJ NOUN DET NOUN PART VERB DET ADV VERB
Indeed, after another bad summer for British tourism, they were welcomed with open arms.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	ADV ADP DET ADJ NOUN ADP ADJ NOUN PRON VERB VERB ADP ADJ NOUN
The Greenpeace support was welcomed with open arms.	0 0 0 0 0 1 1 1	with open arms	figurative	identical	DET PROPN NOUN VERB VERB ADP ADJ NOUN
Roger Protz welcomes with open arms the rebirth of stout and porter, and Michael Jackson chaperons drinkers who want ale, not lager, when abroad.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PROPN PROPN VERB ADP ADJ NOUN DET NOUN ADP NOUN CCONJ NOUN CCONJ PROPN PROPN NOUN NOUN NOUN VERB NOUN ADV ADJ ADV ADV
The piano works of Igor Stravinsky are not well represented on CD, so the re - issue of Michel Béroff's recordings is to be welcomed with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	DET NOUN NOUN ADP PROPN PROPN VERB ADV ADV VERB ADP PROPN CCONJ DET NOUN PUNCT NOUN ADP PROPN PROPN NOUN VERB PART VERB VERB ADP ADJ NOUN
