Scraping rock bottom	0 1 1	rock bottom	figurative	identical	VERB NOUN NOUN
There are those who believe that hitting a real " rock bottom ", losing absolutely everything and then struggling back solely with the aid of the Anonymous Fellowships, is the only true recovery.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADV VERB DET NOUN VERB ADP VERB DET ADJ PUNCT NOUN NOUN PUNCT VERB ADV NOUN CCONJ ADV VERB ADV ADV ADP DET NOUN ADP DET PROPN PROPN VERB DET ADJ ADJ NOUN
They 're up to their ears in them because the wet summer has produced a glut … and forced prices to rock bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	PRON VERB ADP ADP ADJ NOUN ADP PRON ADP DET ADJ NOUN VERB VERB DET NOUN PUNCT CCONJ VERB NOUN PART VERB NOUN
‘ Your opinion of me is just about rock bottom, isn't it?’	0 0 0 0 0 0 0 0 1 1 0 0	rock bottom	figurative	identical	PUNCT ADJ NOUN ADP PRON VERB ADV ADP NOUN NOUN VERB ADJ
Today, the US Treasury can still borrow unlimited amounts at rock - bottom interest rates.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	rock bottom	figurative	dashes	NOUN DET PROPN PROPN VERB ADV VERB ADJ NOUN ADP NOUN PUNCT NOUN NOUN NOUN
and it's extraordinary to notice to make a note of the fact that from being a defender of the people, a popular character, Jesus now is hitting rock bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	CCONJ PRON ADJ PART VERB PART VERB DET NOUN ADP DET NOUN ADP ADP VERB DET NOUN ADP DET NOUN DET ADJ NOUN PROPN ADV VERB VERB NOUN NOUN
' Rock bottom ' sounds nasty, but in fact the whole experience is rather disappointingly painless.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	case	PUNCT PROPN NOUN PUNCT VERB ADJ CCONJ ADP NOUN DET ADJ NOUN VERB ADV ADV ADJ
But this time he does seem to have hit rock bottom.	0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	CCONJ DET NOUN PRON VERB VERB PART VERB VERB NOUN NOUN
As most of Paterson's book deals with the histories of Ayrshire's leading families, his comment on the shoot may have been coloured by a desire to please the gentry involved in the Society, as by 1870 interest had declined to rock bottom with no entries for the papingo shoot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADP ADJ ADP PROPN NOUN NOUN ADP DET NOUN ADP PROPN VERB NOUN ADJ NOUN ADP DET NOUN VERB VERB VERB VERB ADP DET NOUN PART VERB DET NOUN VERB ADP DET PROPN ADP ADP NUM NOUN VERB VERB PART VERB NOUN ADP DET NOUN ADP DET NOUN NOUN
We now have the lowest rates in Europe and rock bottom inflation.	0 0 0 0 0 0 0 0 0 1 1 0	rock bottom	figurative	identical	PRON ADV VERB DET ADJ NOUN ADP PROPN CCONJ NOUN ADJ NOUN
That setback left Howard Kendall's men just three points off the foot of the table with the game looming against rock - bottom Forest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	DET NOUN VERB PROPN PROPN NOUN ADV NUM NOUN PART DET NOUN ADP DET NOUN ADP DET NOUN VERB ADP NOUN PUNCT NOUN PROPN
In another report, Texaco fixed a ULCC of about 320,000 tonnes out of the Gulf at a rock - bottom rate of W20.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	rock bottom	figurative	dashes	ADP DET NOUN PROPN VERB DET PROPN ADP ADV NUM NOUN ADP ADP DET PROPN ADP DET NOUN PUNCT NOUN NOUN ADP PROPN
Cabinet colleagues back PM as he hits rock bottom in polls	0 0 0 0 0 0 0 1 1 0 0	rock bottom	figurative	identical	NOUN NOUN VERB NOUN ADP PRON VERB NOUN NOUN ADP NOUN
At the time, I thought one had hit rock bottom.	0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	ADP DET NOUN PRON VERB PRON VERB VERB NOUN NOUN
It will, because er in part, under compulsory competitive tendering, the pricing is driven down to rock bottom and below.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	rock bottom	figurative	identical	PRON VERB ADP INTJ ADP NOUN ADP ADJ ADJ NOUN DET NOUN VERB VERB PART ADP NOUN NOUN CCONJ ADV
For decades, developing countries dreamed of a nirvana of sky - high commodity prices and rock - bottom international interest rates.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	rock bottom	figurative	dashes	ADP NOUN VERB NOUN VERB ADP DET NOUN ADP NOUN PUNCT ADJ NOUN NOUN CCONJ NOUN PUNCT ADJ ADJ NOUN NOUN
JOHN Major's Cabinet colleagues yesterday ruled out a leadership challenge this side of the general election, as the Prime Minister's stock remains at rock bottom in new opinion polls.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	rock bottom	figurative	identical	PROPN PROPN PROPN NOUN NOUN VERB PART DET NOUN NOUN DET NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN NOUN VERB ADP NOUN NOUN ADP ADJ NOUN NOUN
On another high - scoring day, Dane Brian Laudrup scored two goals as Fiorentina destroyed rock - bottom Ancona 7 - 1.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock bottom	figurative	dashes	ADP DET ADJ PUNCT NOUN NOUN PROPN PROPN PROPN VERB NUM NOUN ADP PROPN VERB NOUN PUNCT NOUN PROPN NUM SYM NUM
Halifax Building Society, the nation's biggest mortgage lender, and Bradford & Bingley are offering new buyers of repossessed homes a rock - bottom mortgage rate of 4.99 %.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock bottom	figurative	dashes	PROPN PROPN PROPN DET NOUN ADJ NOUN NOUN CCONJ PROPN CCONJ PROPN VERB VERB ADJ NOUN ADP ADJ NOUN DET NOUN PUNCT NOUN NOUN NOUN ADP NUM NOUN
Chris's crossing hits rock bottom	0 0 0 1 1	rock bottom	figurative	identical	PROPN NOUN VERB NOUN NOUN
To revive growth, others must be encouraged to spend – governments that can still borrow should run larger deficits, and rock - bottom interest rates should discourage thrifty households from saving.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	PART VERB NOUN NOUN VERB VERB VERB PART VERB PUNCT NOUN ADJ VERB ADV VERB VERB VERB ADJ NOUN CCONJ NOUN PUNCT NOUN NOUN NOUN VERB VERB ADJ NOUN ADP VERB
With her spirits at rock bottom, Fabia got ready for bed.	0 0 0 0 1 1 0 0 0 0 0	rock bottom	figurative	identical	ADP ADJ NOUN ADP NOUN NOUN PROPN VERB ADJ ADP NOUN
Rock bottom : Ex - con strips off in protest at benefit refusal.	1 1 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	case	NOUN NOUN PUNCT PROPN PUNCT NOUN NOUN PART ADP NOUN ADP NOUN NOUN
At the beginning and end of the season when the resorts are quieter and more relaxed, we can offer special holidays at really rock - bottom prices.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	ADP DET NOUN CCONJ NOUN ADP DET NOUN ADV DET NOUN VERB ADJ CCONJ ADV ADJ PRON VERB VERB ADJ NOUN ADP ADV NOUN PUNCT NOUN NOUN
Birmingham are rock bottom.	0 0 1 1	rock bottom	figurative	identical	PROPN VERB NOUN NOUN
Debate on Southcom's future, which has dragged on for years, was put on hold when American relations with General Noriega reached rock - bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock bottom	figurative	dashes	NOUN ADP PROPN NOUN ADJ VERB VERB PART ADP NOUN VERB VERB ADP NOUN ADV ADJ NOUN ADP PROPN PROPN VERB NOUN PUNCT NOUN
The bad form reached a giggling rock - bottom last year in Sri Lanka's Test match at Lord's when the difficulties of both pronunciation and identification proved insurmountable to most in the box.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	DET ADJ NOUN VERB DET VERB NOUN PUNCT NOUN ADJ NOUN ADP PROPN PROPN PROPN NOUN ADP PROPN ADV DET NOUN ADP DET NOUN CCONJ NOUN VERB ADJ ADP ADJ ADP DET NOUN
It will have to be for us at least twenty one days, that's the absolute rock bottom minimum I would have thought therefore the French I suspect have us over a barrel and we would have to cough up for the enormous expenditure of an extra building at Strasbourg which is not needed erm as I understand it er that er view I savoured I don't erm have the details of that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB VERB PART VERB ADP PRON ADV ADV NUM NUM NOUN DET DET ADJ NOUN ADJ NOUN PRON VERB VERB VERB ADV DET PROPN PRON VERB VERB PRON ADP DET NOUN CCONJ PRON VERB VERB PART VERB PART ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN ADJ VERB ADV VERB NOUN ADP PRON VERB PRON INTJ ADP INTJ NOUN PRON VERB PRON VERB ADV VERB DET NOUN ADP DET
In May 1957, seven years after his wife Hannah had died of a heart attack, Hughie Gallacher hit rock bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	ADP PROPN NUM NUM NOUN ADP ADJ NOUN PROPN VERB VERB ADP DET NOUN NOUN PROPN PROPN VERB NOUN NOUN
Rock bottom in the premier league are swindon town … the side Horton's new team beat on wednesday … still only one point but they 're still full of fighting talk at the County Ground …	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	case	NOUN NOUN ADP DET ADJ NOUN VERB ADJ NOUN PUNCT DET NOUN PROPN ADJ NOUN VERB ADP PROPN PUNCT ADV ADV NUM NOUN CCONJ PRON VERB ADV ADJ ADP VERB NOUN ADP DET PROPN PROPN PUNCT
That s why Bodins rating is nt rock bottom … hes Swindons pen taker ( so their highest scorer:- ) ).	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	DET VERB ADV PROPN NOUN VERB ADV NOUN NOUN PUNCT PRON NOUN NOUN NOUN PUNCT ADV ADJ ADJ NOUN PUNCT PUNCT
At one time, British singers were, dare I say it, almost rock bottom.	0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	ADP NUM NOUN ADJ NOUN VERB VERB PRON VERB PRON ADV NOUN NOUN
They must, they must be going for rock bottom prices at the moment there!	0 0 0 0 0 0 0 1 1 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB PRON VERB VERB VERB ADP NOUN NOUN NOUN ADP DET NOUN ADV
Unlike the other rock - bottom Pilz discs, these do have adequate notes.	0 0 0 1 0 1 0 0 0 0 0 0 0	rock bottom	figurative	dashes	ADP DET ADJ NOUN PUNCT NOUN PROPN NOUN DET VERB VERB ADJ NOUN
Some cuts involved not filling posts left vacant by teachers discouraged by the rock - bottom pay and difficult conditions.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock bottom	figurative	dashes	DET NOUN VERB ADV VERB NOUN VERB ADJ ADP NOUN VERB ADP DET NOUN PUNCT NOUN NOUN CCONJ ADJ NOUN
Central South teams hit rock bottom.	0 0 0 0 1 1	rock bottom	figurative	identical	PROPN PROPN NOUN VERB NOUN NOUN
As government debt has ballooned and policy interest rates have hit rock bottom, central banks have focused on increasingly innovative policy to boost demand.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADP NOUN NOUN VERB VERB CCONJ NOUN NOUN NOUN VERB VERB NOUN NOUN ADJ NOUN VERB VERB ADP ADV ADJ NOUN PART VERB NOUN
I reached rock bottom, which I always said would never happen …	0 0 1 1 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB NOUN NOUN ADJ PRON ADV VERB VERB ADV VERB PUNCT
They 're at rock bottom prices, and the only way is up.	0 0 0 1 1 0 0 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB ADP NOUN NOUN NOUN CCONJ DET ADJ NOUN VERB ADV
After all, at the most basic level, Ireland should be a superb base for establishing a rock - bottom high volume personal computer manufacturing business that could knock spots off Tulip Computers NV with its lower costs and be challenging Elonex Plc and the tartan Americans led by Compaq Computer Corp and IBM Corp, not to mention Ireland's own foster - sons Dell Computer Corp in Limerick, and Apple Computer Inc in Cork.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	ADV ADV ADP DET ADV ADJ NOUN PROPN VERB VERB DET ADJ NOUN ADP VERB DET NOUN PUNCT NOUN ADJ NOUN ADJ NOUN NOUN NOUN ADJ VERB VERB NOUN PART PROPN NOUN PROPN ADP ADJ ADJ NOUN CCONJ VERB VERB PROPN PROPN CCONJ DET NOUN PROPN VERB ADP PROPN PROPN PROPN CCONJ PROPN PROPN ADV PART VERB PROPN ADJ ADJ PUNCT NOUN PROPN PROPN PROPN ADP PROPN CCONJ PROPN PROPN PROPN ADP PROPN
If you take advantage of the sales you 'll be able to save at least 20p in the £ on goods which are already at rock - bottom prices.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	ADP PRON VERB NOUN ADP DET NOUN PRON VERB VERB ADJ PART VERB ADV ADJ NUM ADP DET SYM ADP NOUN ADJ VERB ADV ADP NOUN PUNCT NOUN NOUN
‘ We have the best sailing and the best facilities for boat owners, with prices of waterfront homes here at rock bottom.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	dashes	PUNCT PRON VERB DET ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN ADP NOUN ADP ADJ NOUN ADV ADP NOUN NOUN
Served up as B fodder, at least it provided him with a salary, albeit on rock - bottom union rates of around $ 300 for a full working week, which assured him a place barely above the poverty line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	VERB PART ADP NOUN NOUN ADP ADJ PRON VERB PRON ADP DET NOUN ADP ADP NOUN PUNCT NOUN NOUN NOUN ADP ADV SYM NUM ADP DET ADJ NOUN NOUN ADJ VERB PRON DET NOUN ADV ADP DET NOUN NOUN
Yet again, a piece of the family silver is being sold off at rock - bottom price, at great —	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock bottom	figurative	dashes	ADV ADV DET NOUN ADP DET NOUN NOUN VERB VERB VERB PART ADP NOUN PUNCT NOUN NOUN ADP ADJ PUNCT
The Piper debts were paid in full, even although a severe fall in land values at the time caused his properties and other holdings to be sold for rock - bottom sums.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	DET PROPN NOUN VERB VERB ADP ADJ ADV ADP DET ADJ NOUN ADP NOUN NOUN ADP DET NOUN VERB ADJ NOUN CCONJ ADJ NOUN PART VERB VERB ADP NOUN PUNCT NOUN NOUN
According to this school of thought, excessive savings pushed long - term interest rates down to rock - bottom levels, leading to asset bubbles in the United ~ States and elsewhere.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	VERB ADP DET NOUN ADP NOUN ADJ NOUN VERB ADJ PUNCT NOUN NOUN NOUN PART ADP NOUN PUNCT NOUN NOUN VERB ADP NOUN NOUN ADP DET PROPN PUNCT PROPN CCONJ ADV
But B of course if you did badly in those elections in May the government might have done badly in May, then morale would have been rock bottom of having to go into an election, he would have had to go for an election six weeks later or they 'd run out of time, yeah.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	CCONJ NOUN ADP NOUN ADP PRON VERB ADV ADP DET NOUN ADP PROPN DET NOUN VERB VERB VERB ADV ADP PROPN ADV NOUN VERB VERB VERB NOUN NOUN ADP VERB PART VERB ADP DET NOUN PRON VERB VERB VERB PART VERB ADP DET NOUN NUM NOUN ADV CCONJ PRON VERB VERB ADP ADP NOUN INTJ
Resilience is highest at the beginning of the new school year and hits rock bottom in February.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	rock bottom	figurative	identical	PROPN VERB ADJ ADP DET NOUN ADP DET ADJ NOUN NOUN CCONJ VERB NOUN NOUN ADP PROPN
Rock bottom, but socially secure.	1 1 0 0 0	rock bottom	figurative	case	NOUN NOUN CCONJ ADV ADJ
It was the rock - bottom level of her own self - respect which troubled her.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	PRON VERB DET NOUN PUNCT NOUN NOUN ADP ADJ ADJ NOUN PUNCT NOUN ADJ VERB PRON
Clough's rock - bottom Forest have not won away all season, Coppell's second - to - bottom Palace have not tasted victory at home — but both managers can count on one thing … their jobs are safe as houses.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	PROPN NOUN PUNCT NOUN PROPN VERB ADV VERB ADV DET NOUN PROPN ADJ PUNCT ADP PUNCT NOUN PROPN VERB ADV VERB NOUN ADP NOUN PUNCT CCONJ DET NOUN VERB VERB ADP NUM NOUN PUNCT ADJ NOUN VERB ADJ ADP NOUN
Defeat is unthinkable because if you are rock - bottom, or even joint bottom, players lose confidence, the fear factor comes into it and people start to pass the buck.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	NOUN VERB ADJ ADP ADP PRON VERB NOUN PUNCT NOUN CCONJ ADV ADJ NOUN NOUN VERB NOUN DET NOUN NOUN VERB ADP PRON CCONJ NOUN VERB PART VERB DET NOUN
‘ The nice thing about fighting a seat like this is that we can't lose since we 're coming from rock bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	PUNCT DET ADJ NOUN ADP VERB DET NOUN ADP DET VERB ADP PRON VERB VERB ADP PRON VERB VERB ADP NOUN NOUN
Elver fishing at rock bottom	0 0 0 1 1	rock bottom	figurative	identical	PROPN VERB ADP NOUN NOUN
And what about suggestions that cast morale has hit rock bottom?	0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	CCONJ NOUN ADP NOUN ADJ VERB NOUN VERB VERB NOUN NOUN
Upwardly so, I suppose, since I have now hit rock bottom.	0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	ADV ADV PRON VERB ADP PRON VERB ADV VERB NOUN NOUN
But prolonged recession and high unemployment knocked his popularity down to rock - bottom.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock bottom	figurative	dashes	CCONJ VERB NOUN CCONJ ADJ NOUN VERB ADJ NOUN ADV ADP NOUN PUNCT NOUN
With business confidence in Manila at rock bottom, President Aquino is in a specially weak position ; power shortages and blackouts are crippling manufacturing industry, and oil sanctions because of the Gulf crisis are exacerbating her problems.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADP NOUN NOUN ADP PROPN ADP NOUN NOUN PROPN PROPN VERB ADP DET ADV ADJ NOUN PUNCT NOUN NOUN CCONJ NOUN VERB ADJ NOUN NOUN CCONJ NOUN NOUN ADP ADP DET PROPN NOUN VERB VERB ADJ NOUN
However if rock bottom price matters I would be very satisfied with the CA&G VG1460 or the AOC CM-335.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADV ADP NOUN ADJ NOUN NOUN PRON VERB VERB ADV ADJ ADP DET PROPN PROPN CCONJ DET PROPN PROPN
HOMEBUYERS are flocking to take advantage of cheap mortgages and rock - bottom property prices, says Harry Hill, boss of estate agents Hambro Countrywide.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	NOUN VERB VERB PART VERB NOUN ADP ADJ NOUN CCONJ NOUN PUNCT NOUN NOUN NOUN VERB PROPN PROPN NOUN ADP NOUN NOUN PROPN PROPN
Dickens has an horrific description of it in The Old Curiosity, Shop ( 1841 ), when it had reached the rock bottom of filth and ugliness, and of human degradation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	PROPN VERB DET ADJ NOUN ADP PRON ADP DET PROPN PROPN PROPN PUNCT NUM PUNCT ADV PRON VERB VERB DET NOUN NOUN ADP NOUN CCONJ NOUN CCONJ ADP ADJ NOUN
In the past, however, Russia ’s sharp anti - Western turns were reversed – usually out of simple necessity – after relations reached rock bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	ADP DET NOUN ADV PROPN PART ADJ ADV PUNCT ADJ NOUN VERB VERB PUNCT ADV ADP ADP ADJ NOUN PUNCT ADP NOUN VERB NOUN NOUN
