Carefully he scraped every last vestige of ice - cream from his bowl, then stood up.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADV PRON VERB DET ADJ NOUN ADP NOUN PUNCT NOUN ADP ADJ NOUN ADV VERB PART
I 'm going to clear my mother's name, and the great M 'sieur Rohan —’ she almost spat the name ‘ — is going to eat every last insulting word.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	every last	figurative	identical	PRON VERB VERB PART VERB ADJ NOUN NOUN CCONJ DET ADJ PROPN NOUN PROPN ADV PRON ADV VERB DET NOUN PUNCT PUNCT VERB VERB PART VERB DET ADJ ADJ NOUN
Since it arrived four days ago, every last word was beaten into her brain.	0 0 0 0 0 0 1 1 0 0 0 0 0 0	every last	figurative	identical	ADP PRON VERB NUM NOUN ADV DET ADJ NOUN VERB VERB ADP ADJ NOUN
BILL Clinton used every last drop of his charm and charisma to make the most important conquest of his life.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PROPN PROPN VERB DET ADJ NOUN ADP ADJ NOUN CCONJ VERB PART VERB DET ADV ADJ NOUN ADP ADJ NOUN
The editors revelled in the honour, ate their lunches and went back to their offices to continue publishing every last tit - bit they could find.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	every last	figurative	identical	DET NOUN VERB ADP DET NOUN VERB ADJ NOUN CCONJ VERB ADV ADP ADJ NOUN PART VERB VERB DET ADJ NOUN PUNCT NOUN PRON VERB VERB
Finishing every last morsel on your plate won't make your hair curl or do anything to help the starving children in India.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	VERB DET ADJ NOUN ADP ADJ NOUN VERB VERB ADJ NOUN VERB CCONJ VERB NOUN PART VERB DET VERB NOUN ADP PROPN
I thought I knew everything about you all — every last tiny little, dirty little thing — but now you surprise me.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB PRON VERB NOUN ADP PRON DET PUNCT DET ADJ ADJ ADJ ADJ ADJ NOUN PUNCT CCONJ ADV PRON VERB PRON
The same schemes are celebrated repeatedly with the government squeezing out every last drop of credit from West Belfast projects.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	every last	figurative	identical	DET ADJ NOUN VERB VERB ADV ADP DET NOUN VERB PART DET ADJ NOUN ADP NOUN ADP PROPN PROPN NOUN
He drank every last drop and then announced, ‘ I have finished my last glass.’	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB DET ADJ NOUN CCONJ ADV VERB PUNCT PRON VERB VERB ADJ ADJ NOUN
He watched attentively, noting every frown, every look of puzzlement, every last betraying blink or twitch in the old man's face, anxious to gauge the depth of his feelings.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB ADV VERB DET NOUN DET NOUN ADP NOUN DET ADJ NOUN NOUN CCONJ VERB ADP DET ADJ NOUN NOUN ADJ PART VERB DET NOUN ADP ADJ NOUN
Their unpicking of our trade union law reforms, which would deliberately make strikes easier, longer and more frequent, their support for every last dot and comma of the European Commission's social action programme, just one directive of which could add £ 5 billion to the costs of British employers —	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADJ NOUN ADP ADJ NOUN NOUN NOUN NOUN ADJ VERB ADV VERB NOUN ADJ ADV CCONJ ADV ADJ ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN ADP DET PROPN PROPN ADJ NOUN NOUN ADV NUM NOUN ADP ADJ VERB VERB SYM NUM NUM ADP DET NOUN ADP ADJ NOUN PUNCT
We must not expend every last drop of sympathy on William Titford the cardmaker, for there are others who need some too ; William's brother Thomas was one.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB ADV VERB DET ADJ NOUN ADP NOUN ADP PROPN PROPN DET NOUN ADP ADV VERB NOUN NOUN VERB DET ADV PUNCT PROPN NOUN PROPN VERB NUM
Income tax is not levied on every last penny of your money.	0 0 0 0 0 0 1 1 0 0 0 0	every last	figurative	identical	NOUN NOUN VERB ADV VERB ADP DET ADJ NOUN ADP ADJ NOUN
Not that it had done Oliver Rattrie any good, since he 'd been caught the day after by those same Chartist women who had marched into Halifax singing the One Hundredth Psalm ; sheep no longer but howling Furies who had seized him, puny little thing that he was, and thrown him in the canal where, in his struggle to keep himself from drowning, he had lost every last shilling of the blood - money in his pockets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADV ADP PRON VERB VERB PROPN PROPN DET ADJ ADP PRON VERB VERB VERB DET NOUN ADV ADP DET ADJ ADJ NOUN NOUN VERB VERB ADP PROPN VERB DET NUM PROPN PROPN PUNCT NOUN ADV ADV CCONJ VERB NOUN NOUN VERB VERB PRON ADJ ADJ NOUN ADJ PRON VERB CCONJ VERB PRON ADP DET NOUN ADV ADP ADJ NOUN PART VERB PRON ADP VERB PRON VERB VERB DET ADJ NOUN ADP DET NOUN PUNCT NOUN ADP ADJ NOUN
David and wife Catherine had scraped together every last penny to ensure their sons, Stuart, Richard, baby Thomas and Mark,(from left in picture ) would have the happiest Christmas possible.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PROPN CCONJ NOUN PROPN VERB VERB ADV DET ADJ NOUN PART VERB ADJ NOUN PROPN PROPN NOUN PROPN CCONJ PROPN VERB ADP NOUN PUNCT VERB VERB DET ADJ PROPN ADJ
I 'll pay every last penny.’	0 0 0 1 1 0	every last	figurative	identical	PRON VERB VERB DET ADJ NOUN
Her touch was so persuasive he almost succumbed to the idea of entering her again, taking her anonymity as carte blanche and indulging in the darkness every last desire he could dredge up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	every last	figurative	identical	ADJ NOUN VERB ADV ADJ PRON ADV VERB ADP DET NOUN ADP VERB PRON ADV VERB ADJ NOUN ADP NOUN NOUN CCONJ VERB ADP DET NOUN DET ADJ NOUN PRON VERB VERB PART
Erasing every last trace of the Project.	0 1 1 0 0 0 0	every last	figurative	identical	VERB DET ADJ NOUN ADP DET PROPN
Deliberately ignoring him, she began to pick straw out of her clothes, and only when she was satisfied that she had removed every last one, and had taken in all there was to take in about her immediate surroundings, did she look up at him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	literal	identical	ADV VERB PRON PRON VERB PART VERB NOUN ADP ADP ADJ NOUN CCONJ ADV ADV PRON VERB ADJ ADP PRON VERB VERB DET ADJ NOUN CCONJ VERB VERB ADP DET ADV VERB PART VERB PART ADP ADJ ADJ NOUN VERB PRON VERB PART ADP PRON
They are also useful for reflecting too small a space and exaggerating every last bit of light.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	every last	figurative	identical	PRON VERB ADV ADJ ADP VERB ADV ADJ DET NOUN CCONJ VERB DET ADJ NOUN ADP NOUN
I didn't have the lowdown on every last one of these guys but presumably they were all bigshots.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB VERB DET NOUN ADP DET ADJ NUM ADP DET NOUN CCONJ ADV PRON VERB DET NOUN
‘ They 're all dead, for God's sake, every last one.	0 0 0 0 0 0 0 0 1 1 0	every last	figurative	identical	PUNCT PRON VERB ADV ADJ ADP PROPN NOUN DET ADJ NOUN
Tito, at the age of 87, was forced to stay alive for a few extra weeks by the vigorous application of every last trick of the medical trade, including the use of a kidney machine, long after it was apparent that he had reached the end of a pretty long road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PROPN ADP DET NOUN ADP NUM VERB VERB PART VERB ADJ ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADP DET NOUN NOUN ADV ADP PRON VERB ADJ ADP PRON VERB VERB DET NOUN ADP DET ADV ADJ NOUN
Facing a financially bleak Christmas, he scrimped together every last penny to afford presents for the four boys.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	every last	figurative	identical	VERB DET ADV ADJ PROPN PRON VERB ADV DET ADJ NOUN PART VERB NOUN ADP DET NUM NOUN
Her arms crept around his waist and every last scrap of fight and anger drained fluidly from her body.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADJ NOUN VERB ADP ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN CCONJ NOUN VERB ADV ADP ADJ NOUN
But she couldn't forget, as the lights twinkled on around the entire hillside, that this man owned them all, every last apartment, every cypress, every swimming - pool and tennis court.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	CCONJ PRON VERB VERB ADP DET NOUN VERB PART ADP DET ADJ NOUN ADP DET NOUN VERB PRON DET DET ADJ NOUN DET NOUN DET NOUN PUNCT NOUN CCONJ NOUN NOUN
My hope is to have fish that will reproduce but, so far, all that's happened is the neighbour's cat ate every last one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	every last	figurative	identical	ADJ NOUN VERB PART VERB NOUN ADJ VERB VERB CCONJ ADV ADV DET DET VERB VERB DET NOUN NOUN VERB DET ADJ NOUN
Graham's back arched agonizingly and he used every last ounce of inner strength to keep himself from wrenching his hand off the pad.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PROPN ADV VERB ADV CCONJ PRON VERB DET ADJ NOUN ADP ADJ NOUN PART VERB PRON ADP VERB ADJ NOUN PART DET NOUN
He would not rest until every last parasite was cleared from this ball of rock, and,’ his voice began to rise, ‘ neither will we.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB ADV VERB ADP DET ADJ NOUN VERB VERB ADP DET NOUN ADP NOUN VERB ADJ NOUN VERB PART VERB PUNCT CCONJ VERB PRON
I want every last one of them dead, a month from now.	0 0 1 1 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB DET ADJ NUM ADP PRON ADJ DET NOUN ADP ADV
Don't put yourself in a situation where the treasurer has to come back to the committee to argue over every last penny.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	every last	figurative	identical	VERB VERB PRON ADP DET NOUN ADV DET NOUN VERB PART VERB ADV ADP DET NOUN PART VERB ADP DET ADJ NOUN
For the Nationalists, it was an offensive war of attrition to eradicate every last vestige of liberal democracy, in which they were winning all the way.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADP DET PROPN PRON VERB DET ADJ NOUN ADP NOUN PART VERB DET ADJ NOUN ADP ADJ NOUN ADP ADJ PRON VERB VERB ADJ DET NOUN
Wherever the Labour party detects that there might be someone who could pay more under the rates, it wants every last penny out of that person.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	every last	figurative	identical	ADV DET PROPN NOUN VERB ADP ADV VERB VERB NOUN NOUN VERB VERB ADJ ADP DET NOUN PRON VERB DET ADJ NOUN ADP ADP DET NOUN
It was the final straw ; she could see he knew everything, everything, and that took away every last hidden ace she had ever hoped to possess.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB DET ADJ NOUN PUNCT PRON VERB VERB PRON VERB NOUN NOUN CCONJ DET VERB ADV DET ADJ ADJ NOUN PRON VERB ADV VERB PART VERB
What with the onions and the heat, every last drop of moisture's gone from me.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	every last	figurative	identical	NOUN ADP DET NOUN CCONJ DET NOUN DET ADJ NOUN ADP NOUN VERB ADP PRON
My Lords, erm i legislation is complex and I agree that we should do what we can to keep a clear er, er to keep it clear and simple if it's at all possible and erm er I agree though that one needs a fully up - to - date text of the nineteen sixty four Police Act in order to decipher every last dot and comma.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	every last	figurative	identical	ADJ PROPN NOUN PRON NOUN VERB ADJ CCONJ PRON VERB ADP PRON VERB VERB NOUN PRON VERB PART VERB DET ADJ INTJ INTJ PART VERB PRON ADJ CCONJ ADJ ADP PRON ADV ADV ADJ CCONJ INTJ INTJ PRON VERB ADP DET PRON VERB DET ADV ADV PUNCT ADP PUNCT NOUN NOUN ADP DET NUM NUM NUM PROPN PROPN ADP NOUN PART VERB DET ADJ NOUN CCONJ NOUN
Frankie would be set to work at the big sink, and before he washed each plate and roasting - pan he would scrape it clean with his fingers and eat every last scrap of chicken, sage and onion stuffing, corned beef, sliced Spam and cheese.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PROPN VERB VERB VERB PART VERB ADP DET ADJ NOUN CCONJ ADP PRON VERB DET NOUN CCONJ VERB PUNCT NOUN PRON VERB VERB PRON ADJ ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN ADJ NOUN VERB PROPN CCONJ NOUN
DION Dublin last night came to Alex Ferguson's rescue with the late winner on his full debut — and didn't Fergie love every last minute of it!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	every last	figurative	identical	PROPN PROPN ADJ NOUN VERB ADP PROPN PROPN NOUN ADP DET ADJ NOUN ADP ADJ ADJ NOUN PUNCT CCONJ VERB PROPN VERB DET ADJ NOUN ADP PRON
