She smiled again, which Mark again returned, even though he was not in the running.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB ADV ADJ PROPN ADV VERB ADV ADP PRON VERB ADV ADP DET NOUN
By this is meant young children's explicit knowledge that they and others have mental states which are only ‘ in the running for truth’, that beliefs held by people can be false and yet these false beliefs can determine their thought and behaviour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP DET VERB VERB ADJ NOUN ADJ NOUN ADP PRON CCONJ NOUN VERB ADJ NOUN ADJ VERB ADV PUNCT ADP DET NOUN ADP NOUN ADP NOUN VERB ADP NOUN VERB VERB ADJ CCONJ ADV DET ADJ NOUN VERB VERB ADJ NOUN CCONJ NOUN
It was not only a constitution which really was and is effective in the running of the state, but which was itself the product of the hegemonic culture already established.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON VERB ADV ADV DET NOUN ADJ ADV VERB CCONJ VERB ADJ ADP DET NOUN ADP DET NOUN CCONJ ADJ VERB PRON DET NOUN ADP DET ADJ NOUN ADV VERB
Sun Microsystems Inc has been closed out of a few significant contracts lately because it couldn't tick off the Motif and Distributed Computing Environment boxes on the bids : the Common Open Systems Environment will at least get it back in the running for a $ 20 m deal at Boeing Co that requires Motif and Sun insiders reckon that the company will now include Motif in its price list almost immediately — the best guess is that SunSoft will offer reasonably priced Motif upgrades for Solaris 1.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN PROPN VERB VERB VERB ADP ADP DET ADJ ADJ NOUN ADV ADP PRON VERB VERB PART DET PROPN CCONJ PROPN PROPN PROPN NOUN ADP DET NOUN PUNCT DET PROPN PROPN PROPN PROPN VERB ADP ADJ VERB PRON ADV ADP DET NOUN ADP DET SYM NUM NOUN NOUN ADP PROPN PROPN ADJ VERB PROPN CCONJ PROPN NOUN VERB ADP DET NOUN VERB ADV VERB PROPN ADP ADJ NOUN NOUN ADV ADV PUNCT DET ADJ NOUN VERB ADP PROPN VERB VERB ADV VERB PROPN NOUN ADP PROPN NUM
Rank Xerox Ltd has chosen France for its second European research laboratory ( the first is in Cambridge ), for which Italy, Germany and Spain were also in the running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PROPN PROPN PROPN VERB VERB PROPN ADP ADJ ADJ ADJ NOUN NOUN PUNCT DET ADJ VERB ADP PROPN PUNCT ADP ADJ PROPN PROPN CCONJ PROPN VERB ADV ADP DET NOUN
North Harbour's Peter Thorburn, Otago's Laurie Mains, and Wellington's Earle Kirton are also in the running, as are Andy Leslie, Ross Cooper and Graham Hamer.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP VERB PROPN PROPN PROPN PROPN CCONJ PROPN PROPN
Wendy Huggins, of Ash Hill, Coulby Newham, Middlesbrough, is in the running for a prize in a national competition to find Britain's champion cheese dish with her Northallerton leek pie.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN VERB ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN PART VERB PROPN NOUN NOUN NOUN ADP ADJ PROPN NOUN NOUN
But there was more to it than that : as the only daughter and elder sister to Nathan and Matthew, she had become far more involved in the running of the household, and had been witness to her mother's frequent pregnancies, miscarriages and confinements.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	CCONJ ADV VERB ADJ ADP PRON ADP DET PUNCT ADP DET ADJ NOUN CCONJ ADJ NOUN ADP PROPN CCONJ PROPN PRON VERB VERB ADV ADV ADJ ADP DET NOUN ADP DET NOUN CCONJ VERB VERB NOUN ADP ADJ NOUN ADJ NOUN NOUN CCONJ NOUN
By authorising force, the UN did not get itself a say in the running of the war.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADP VERB NOUN DET PROPN VERB ADV VERB PRON DET NOUN ADP DET NOUN ADP DET NOUN
from north of the border Joe Jordan could be in the running … he's at Celtic at the moment but was looking for a chance to return to English football …	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP NOUN ADP DET NOUN PROPN PROPN VERB VERB ADP DET NOUN PUNCT PRON ADP ADJ ADP DET NOUN CCONJ VERB VERB ADP DET NOUN PART VERB ADP ADJ NOUN PUNCT
Students ' Book develops situations in the running of a small company ; workbook introduces additional practice.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the running	literal	identical	NOUN PART NOUN VERB NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT ADJ NOUN ADJ NOUN
Racing : Shellac still in the running	0 0 0 0 1 0 1	in the running	figurative	identical	VERB PUNCT PROPN ADV ADP DET NOUN
An attempt by Daily Mail journalists to broaden the paper's political coverage of the 1983 election was rejected on the grounds that only the editor was responsible for content and that outside pressure, if only from an organization's own journalists, amounted to interference in the running of that organization.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	DET NOUN ADP PROPN PROPN NOUN PART VERB DET NOUN ADJ NOUN ADP DET NUM NOUN VERB VERB ADP DET NOUN ADP ADV DET NOUN VERB ADJ ADP NOUN CCONJ ADP ADJ NOUN ADP ADV ADP DET NOUN ADJ NOUN VERB ADP NOUN ADP DET NOUN ADP DET NOUN
One can do that if one can identify excessive profits, wage levels which depend on restricting access to labour markets and gross inefficiency in the running of government enterprises.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	PRON VERB VERB DET ADP PRON VERB VERB ADJ NOUN NOUN NOUN ADJ VERB ADP VERB NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN ADP NOUN NOUN
Howard thinks Marler is in the running for his job.’	0 0 0 0 1 0 1 0 0 0	in the running	figurative	identical	PROPN VERB PROPN VERB ADP DET NOUN ADP ADJ NOUN
The central presupposition in this model is not the atomic individual, but a non - human abstracted ruling interest or public policy, for example that of efficiency in the running of a transport system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the running	literal	identical	DET ADJ NOUN ADP DET NOUN VERB ADV DET ADJ NOUN CCONJ DET ADJ PUNCT NOUN VERB VERB NOUN CCONJ ADJ NOUN ADP NOUN DET ADP NOUN ADP DET NOUN ADP DET NOUN NOUN
But it also guaranteed Fields equal say in the running of the company, by the expedient of comprising the board of four directors.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	CCONJ PRON ADV VERB NOUN ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP VERB DET NOUN ADP NUM NOUN
Nevertheless the Foreign Office in London and British diplomats in Washington, unlike those directly involved in the running of the empire, were increasingly persuaded that the Americans might prove less impatient and dogmatic than their rhetoric suggested.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADV DET PROPN PROPN ADP PROPN CCONJ ADJ NOUN ADP PROPN ADP DET ADV VERB ADP DET NOUN ADP DET NOUN VERB ADV VERB ADP DET PROPN VERB VERB ADV ADJ CCONJ ADJ ADP ADJ NOUN VERB
Wolfenden was commissioned not by the state but by the Central Council of Physical Recreation ( CCPR ), which had been set up in 1935 as a co - ordinating body for the many voluntary associations involved in the running of sport.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the running	figurative	identical	PROPN VERB VERB ADV ADP DET NOUN CCONJ ADP DET PROPN PROPN ADP PROPN PROPN PUNCT PROPN PUNCT ADJ VERB VERB VERB PART ADP NUM ADP DET NOUN PUNCT VERB NOUN ADP DET ADJ ADJ NOUN VERB ADP DET NOUN ADP NOUN
Among the aims of school boards, introduced into the Scottish educational system in 1989, was giving parents and other members of the community closer involvement in the running of schools.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the running	literal	identical	ADP DET NOUN ADP NOUN NOUN VERB ADP DET ADJ ADJ NOUN ADP NUM VERB VERB NOUN CCONJ ADJ NOUN ADP DET NOUN ADJ NOUN ADP DET NOUN ADP NOUN
They are also going strong in the running for a League and Irish Cup double.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	figurative	identical	PRON VERB ADV VERB ADJ ADP DET NOUN ADP DET PROPN CCONJ PROPN PROPN ADJ
from north of the border Joe Jordan could be in the running … he's at Celtic at the moment but was looking for a chance to return to English football …	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP NOUN ADP DET NOUN PROPN PROPN VERB VERB ADP DET NOUN PUNCT PRON ADP ADJ ADP DET NOUN CCONJ VERB VERB ADP DET NOUN PART VERB ADP ADJ NOUN PUNCT
There are plans to establish a Duck Raising Association so that local farmers can participate in the running of the plants.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADV VERB NOUN PART VERB DET PROPN PROPN PROPN ADP ADP ADJ NOUN VERB VERB ADP DET NOUN ADP DET NOUN
Statistically, half of them are women, and that third of the world's population is only now beginning to feel that they have a say in the running of their lives.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADV NOUN ADP PRON VERB NOUN CCONJ ADP ADJ ADP DET NOUN NOUN VERB ADV ADV VERB PART VERB ADP PRON VERB DET NOUN ADP DET NOUN ADP ADJ NOUN
Beccaria's ideas had been fated to win great praise but achieve less by way of practical influence in the running of penal systems.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	PROPN NOUN VERB VERB VERB PART VERB ADJ NOUN CCONJ VERB ADJ ADP NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN
They said they were warned yesterday that the Washington area centre would also be privatised if there were any problems in its running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	literal	determiner-broad	PRON VERB PRON VERB VERB NOUN ADP DET PROPN NOUN NOUN VERB ADV VERB VERB ADP ADV VERB DET NOUN ADP ADJ NOUN
Comedians Vic Reeves, Russ Abbot and John Cleese are also in the running for nominations, to be chosen on Monday.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB ADV ADP DET NOUN ADP NOUN PART VERB VERB ADP PROPN
Although Xcelerated Systems Inc may have beaten it to Hewlett - Packard Co's door ( UX No 396 ), now that it has settled its difference with Apple Computer Inc ( UX No 393 ), Quorum Software Systems Inc is back in the running with its Latitude Mac - on - Unix solution.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP PROPN PROPN PROPN VERB VERB VERB PRON ADP PROPN PUNCT PROPN PROPN NOUN PUNCT PROPN DET NUM PUNCT ADV ADP PRON VERB VERB ADJ NOUN ADP PROPN PROPN PROPN PUNCT PROPN INTJ NUM PUNCT PROPN PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP ADJ PROPN PROPN PUNCT ADP PUNCT PROPN NOUN
Dan was not even in the running any more.	0 0 0 0 1 0 1 0 0	in the running	figurative	identical	PROPN VERB ADV ADV ADP DET VERB DET ADV
At the level of the political organization of the state by fostering workers ' democracy and direct participation by the masses in the running of the state.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP VERB NOUN PART NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN
There is a tendency for group leaders to interfere too much in the running of the group, often anxious about the group not going well, with too many silences, or not being sufficiently helpful.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADV VERB DET NOUN ADP NOUN NOUN PART VERB ADV ADJ ADP DET NOUN ADP DET NOUN ADV ADJ ADP DET NOUN ADV VERB ADV ADP ADV ADJ NOUN CCONJ ADV VERB ADV ADJ
Two senior boys have expressed an interest in attending a course to enable them to participate more in the running of the club ( the J.G.V.A. has agreed to pay their fees ) a volunteer Diane Prior has joined the staff, Laura Brown has been given a date for mini bus driving test, two staff members have attended a Youth Work Conference for South West Edinburgh — G. Lightheart has ordered new equipment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	NUM ADJ NOUN VERB VERB DET NOUN ADP VERB DET NOUN PART VERB PRON PART VERB ADV ADP DET NOUN ADP DET NOUN PUNCT DET PROPN VERB VERB PART VERB ADJ NOUN PUNCT DET NOUN PROPN PROPN VERB VERB DET NOUN PROPN PROPN VERB VERB VERB DET NOUN ADP ADJ NOUN NOUN NOUN NUM NOUN NOUN VERB VERB DET PROPN PROPN PROPN ADP PROPN PROPN PROPN PUNCT PROPN PROPN VERB VERB ADJ NOUN
Relocation is bound to cause a certain amount of disruption in the running of the business.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	NOUN VERB VERB PART VERB DET ADJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN
But they very soon did, for within a few days, on October 19, Keith made a speech in Edgbaston which demonstrated almost unbelievable ineptitude for someone in the running for the Leadership.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	figurative	identical	CCONJ PRON ADV ADV VERB ADP ADP DET ADJ NOUN ADP PROPN NUM PROPN VERB DET NOUN ADP PROPN ADJ VERB ADV ADJ NOUN ADP NOUN ADP DET NOUN ADP DET PROPN
Coleridge biography in the running for £ 20,250 prize.	0 0 1 0 1 0 0 0 0	in the running	figurative	identical	NOUN NOUN ADP DET NOUN ADP SYM NUM NOUN
They each had their appointed tasks, and their place in the running of the Castle, and Grainne, unused to being included in such ordinary daily tasks, felt it enfold her gently and naturally.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON DET VERB ADJ VERB NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET PROPN CCONJ PROPN ADJ ADP VERB VERB ADP ADJ ADJ ADJ NOUN VERB PRON ADV PRON ADV CCONJ ADV
Inter - war interior design depended on subtelty and understatement, neither of which are much valued in the running of a pub today.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the running	literal	identical	NOUN PUNCT NOUN ADJ NOUN VERB ADP ADJ CCONJ NOUN DET ADP ADJ VERB ADV VERB ADP DET NOUN ADP DET NOUN NOUN
In any case, as the permanent under - secretary in the Foreign Office philosophically remarked, if the Americans were asked to " underwrite the Empire, they would expect some say in its running ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the running	literal	determiner-broad	ADP DET NOUN ADP DET ADJ ADP PUNCT NOUN ADP DET PROPN PROPN ADV VERB ADP DET PROPN VERB VERB PART PUNCT VERB DET NOUN PRON VERB VERB DET NOUN ADP ADJ NOUN PUNCT
Nan was in the running for that kind of life, and Emily would do everything in her power to get it for her.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN VERB ADP DET NOUN ADP DET NOUN ADP NOUN CCONJ PROPN VERB VERB NOUN ADP ADJ NOUN PART VERB PRON ADP PRON
Goldsmith and M.C. Dobson, could be in the running.	0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PROPN CCONJ PROPN PROPN VERB VERB ADP DET NOUN
Other changes of personnel include the appointment of Ann Dickson as Assistant Preparations Manager to assist Tom Blackburn in the efficient running of Axminster and Wilton preparation, and within the same office, Louise Andrew has been appointed to take the place of recently retired Joan Breckenridge, to record production figures.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	insertion-other	ADJ NOUN ADP NOUN VERB DET NOUN ADP PROPN PROPN ADP PROPN PROPN PROPN PART VERB PROPN PROPN ADP DET ADJ NOUN ADP PROPN CCONJ PROPN NOUN CCONJ ADP DET ADJ NOUN PROPN PROPN VERB VERB VERB PART VERB DET NOUN ADP ADV VERB PROPN PROPN PART VERB NOUN NOUN
Among the " rising stars " were Carlos Aldana and Carlos Lage Dávila, both involved in the running of the Union of Young Communists, and Roberto Robaina González representing the Revolution's third generation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADP DET PUNCT VERB NOUN PUNCT VERB PROPN PROPN CCONJ PROPN PROPN PROPN DET VERB ADP DET NOUN ADP DET PROPN ADP PROPN PROPN CCONJ PROPN PROPN PROPN VERB DET PROPN ADJ NOUN
Annie Jones, who plays Jane, was also in the running.	0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PROPN PROPN NOUN VERB PROPN VERB ADV ADP DET NOUN
After the first ballot they do not have to guess, they know that the leading contenders are Ape and Bear, that Camel may still be in the running but has a lot of ground to make up, and that Donkey and Elephant have very little hope of being elected.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP DET ADJ NOUN PRON VERB ADV VERB PART VERB PRON VERB ADP DET VERB NOUN VERB PROPN CCONJ PROPN ADP PROPN VERB ADV VERB ADP DET NOUN CCONJ VERB DET NOUN ADP NOUN PART VERB PART CCONJ ADP PROPN CCONJ PROPN VERB ADV ADJ NOUN ADP VERB VERB
You can find your nearest one in the running shop directory at the back of the magazine.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON VERB VERB ADJ ADJ NUM ADP DET VERB NOUN NOUN ADP DET NOUN ADP DET NOUN
It also advocated that the local authorities should ‘ maintain their presence in higher education’, adding that it would only be acceptable for them to do so if they could all ‘ restrain themselves from excessive and unreasonable interference in the running of large, developed polytechnics with the skills and competence to look after themselves’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON ADV VERB ADP DET ADJ NOUN VERB PUNCT VERB ADJ NOUN ADP ADJ NOUN VERB ADP PRON VERB ADV VERB ADJ ADP PRON PART VERB ADV ADP PRON VERB ADV PUNCT NOUN PRON ADP ADJ CCONJ ADJ NOUN ADP DET NOUN ADP ADJ ADJ NOUN ADP DET NOUN CCONJ NOUN PART VERB ADP NOUN
