and so oh you really rocked the boat	0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	CCONJ ADV INTJ PRON ADV VERB DET NOUN
So, reluctantly, I joined Jack Hobbs in not rocking the boat, reporting the play and the general uproar with perhaps too much impartiality.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	inflection	ADV ADV PRON VERB PROPN PROPN ADP ADV VERB DET NOUN VERB DET NOUN CCONJ DET ADJ NOUN ADP ADV ADV ADJ NOUN
I hope the work will be interesting, I was a bit disappointed not to have the chance to tackle my own book as the main editor at last but of course one doesn't want to rock the boat too much — there are too many people who 'd happily fill my shoes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	PRON VERB DET NOUN VERB VERB ADJ PRON VERB DET NOUN ADJ ADV PART VERB DET NOUN PART VERB ADJ ADJ NOUN ADP DET ADJ NOUN ADP ADJ CCONJ ADP NOUN PRON VERB VERB PART VERB DET NOUN ADV ADV PUNCT ADV VERB ADV ADJ NOUN NOUN VERB ADV VERB ADJ NOUN
Ms Morrell attempts damage limitation by telling her boss to keep his mouth shut and not rock the boat, but on he goes collecting more enemies and being let down by erstwhile friends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	PROPN PROPN VERB NOUN NOUN ADP VERB ADJ NOUN PART VERB ADJ NOUN VERB CCONJ ADV VERB DET NOUN CCONJ ADP PRON VERB VERB ADJ NOUN CCONJ VERB VERB PART ADP ADJ NOUN
Republic of Ireland international Slaven said : ‘ I don't want to rock the boat.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	PROPN ADP PROPN ADJ PROPN VERB PUNCT PUNCT PRON VERB VERB PART VERB DET NOUN
Therapy has rocked the boat because it's made me much more vulnerable.	0 0 1 0 1 0 0 0 0 0 0 0	rock the boat	figurative	inflection	NOUN VERB VERB DET NOUN ADP PRON VERB PRON ADV ADV ADJ
At just 7 stone 7, Sam Benham won't be rocking the Oxford boat, but her call up as cox has caused a few ripples and waves down on the Thames.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	literal	combined-inflection	ADP ADV NUM NOUN NUM PROPN PROPN VERB VERB VERB DET PROPN NOUN CCONJ ADJ VERB PART ADP NOUN VERB VERB DET ADJ NOUN CCONJ NOUN PART ADP DET PROPN
We could have gotten the hostages out any damn time we wanted to [ Coleman insists ], but nobody was willing to rock the boat with a rescue operation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock the boat	figurative	identical	PRON VERB VERB VERB DET NOUN PART DET ADJ NOUN PRON VERB PART PUNCT PROPN VERB PUNCT CCONJ NOUN VERB ADJ PART VERB DET NOUN ADP DET NOUN NOUN
According to Dr D.W.F. James, the then Director of the Polytechnic of Wales, the government's decision was a reflection of its desire not to rock the boat and was connected with arguments about the Welsh language, arguments which had already saved Bangor Normal College from merging with the University College of North Wales so that it could develop as a Welsh medium teacher - training college.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	VERB ADP PROPN PROPN PROPN DET ADV PROPN ADP DET PROPN ADP PROPN DET NOUN NOUN VERB DET NOUN ADP ADJ NOUN ADV PART VERB DET NOUN CCONJ VERB VERB ADP NOUN ADP DET PROPN NOUN NOUN ADJ VERB ADV VERB PROPN PROPN PROPN ADP VERB ADP DET PROPN PROPN ADP PROPN PROPN ADP ADP PRON VERB VERB ADP DET PROPN ADJ NOUN PUNCT NOUN NOUN
I suppose the reason was one of policy really — they had the youngsters hooked and they wanted to keep them in that position by not rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PRON VERB DET NOUN VERB NUM ADP NOUN ADV PUNCT PRON VERB DET NOUN VERB CCONJ PRON VERB PART VERB PRON ADP DET NOUN ADP ADV VERB DET NOUN
‘ I intend doing it my own way but I won't be rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PUNCT PRON VERB VERB PRON ADJ ADJ NOUN CCONJ PRON VERB VERB VERB DET NOUN
Once it's properly launched, where everyone can see it, you won't have to worry too much about rocking the boat,’ he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	rock the boat	figurative	combined-inflection	ADP PRON ADV VERB ADV NOUN VERB VERB PRON PRON VERB VERB PART VERB ADV ADV ADP VERB DET PROPN PRON VERB
Who the hell would want to rock the boat on a deal like that!	0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock the boat	figurative	identical	NOUN DET NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN ADP DET
Chuter - Ede advocated ‘ no rocking the boat’ ; as deputy to the President at the Board of Education he was heeded by Labour colleagues who wanted a systematic change.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	combined-inflection	PROPN PUNCT PROPN VERB PUNCT DET VERB DET NOUN PUNCT ADP NOUN ADP DET PROPN ADP DET PROPN ADP PROPN PRON VERB VERB ADP PROPN NOUN NOUN VERB DET ADJ NOUN
Don't rock the boat.’	0 1 0 1	rock the boat	figurative	dashes	VERB VERB DET X
Injuries to Strachan and Sterland rocked the boat last year.	0 0 0 0 0 1 0 1 0 0	rock the boat	figurative	inflection	NOUN ADP PROPN CCONJ PROPN VERB DET NOUN ADJ NOUN
Rocking the boat	1 0 1	rock the boat	figurative	combined-inflection	VERB DET NOUN
’ There are enough opposition politicians and media commentators rocking the boat.	0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PUNCT ADV VERB ADJ NOUN NOUN CCONJ NOUN NOUN VERB DET NOUN
As a result, many are eager to postpone any controversial policy decisions rather than rock the German political boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	rock the boat	figurative	insertion-other	ADP DET NOUN ADJ VERB ADJ PART VERB DET ADJ NOUN NOUN ADV ADP VERB DET ADJ ADJ NOUN
The person was older than me and he's a bit higher up the rank than me and it's all about it probably comes with experience he's to stand for yourself really but it's when you 're our age and a bit younger you don't want to be seen to be rocking the boat if there's something that's going on that you don't agree with but you 're asked to do something that you don't want to do valid reasons you haven't got the time or it's not really up to you to do it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	inflection	DET NOUN VERB ADJ ADP PRON CCONJ PRON DET NOUN ADJ ADP DET NOUN ADP PRON CCONJ PRON ADV ADP PRON ADV VERB ADP NOUN PRON PART VERB ADP PRON ADV CCONJ PRON ADV PRON VERB ADJ NOUN CCONJ DET NOUN ADJ PRON VERB VERB PART VERB VERB PART VERB VERB DET NOUN ADP ADV NOUN ADJ VERB PART ADP PRON VERB VERB ADP CCONJ PRON VERB VERB PART VERB NOUN ADJ PRON VERB VERB PART VERB ADJ NOUN PRON VERB VERB DET NOUN CCONJ PRON ADV ADV ADP ADP PRON PART VERB PRON
Here huge surges of Pacific water — sensed as mere vibrations once they had rounded Cape Froward — now rocked their boats from stem to stern.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock the boat	literal	combined-inflection	ADV ADJ NOUN ADP PROPN NOUN PUNCT VERB ADP ADJ NOUN ADP PRON VERB VERB PROPN PROPN PUNCT ADV VERB ADJ NOUN ADP NOUN ADP NOUN
On the one hand we are being told we must deal with the deficit, and on the other that we must not close things and rock the boat with the NHS White Paper around.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	rock the boat	figurative	identical	ADP DET NUM NOUN PRON VERB VERB VERB PRON VERB VERB ADP DET NOUN CCONJ ADP DET ADJ ADP PRON VERB ADV VERB NOUN CCONJ VERB DET NOUN ADP DET PROPN PROPN PROPN NOUN
But now was not the time to rock the boat.	0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	CCONJ ADV VERB ADV DET NOUN PART VERB DET NOUN
Water shares, firm for most of the day, lost ground toward the close on fears that today's Ofwat measures on prices may rock the boat again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock the boat	figurative	identical	NOUN NOUN NOUN ADP ADJ ADP DET NOUN VERB NOUN ADP DET NOUN ADP NOUN ADP NOUN PROPN NOUN ADP NOUN VERB VERB DET NOUN ADV
Despite Chinese official rhetoric about the need for a new global currency to replace the dollar, and US lawmakers ' flirtation with " Buy American " clauses ( which scares everyone, not just the Chinese ), no one will want to rock a boat that has almost capsized.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock the boat	figurative	determiner-narrow	ADP ADJ ADJ NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN PART VERB DET NOUN CCONJ PROPN NOUN PART NOUN ADP PUNCT PROPN ADJ PUNCT NOUN PUNCT ADJ VERB NOUN ADV ADV DET PROPN PUNCT DET NOUN VERB VERB PART VERB DET NOUN ADJ VERB ADV VERB
They are duly grateful to Joseph Kosuth for keeping the ball rolling while not rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PRON VERB ADV ADJ ADP PROPN PROPN ADP VERB DET NOUN VERB ADP ADV VERB DET NOUN
But he was not one to rock the boat, kept his feelings to himself and quietly followed his vocation.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	CCONJ PRON VERB ADV NUM PART VERB DET NOUN VERB ADJ NOUN ADP PRON CCONJ ADV VERB ADJ NOUN
The manager comes out and looks at us, decides not to rock the boat on such a big order.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock the boat	figurative	identical	DET NOUN VERB PART CCONJ VERB ADP PRON VERB ADV PART VERB DET NOUN ADP ADJ DET ADJ NOUN
The boat might be rocked but it would not ship water.	0 1 0 0 1 0 0 0 0 0 0	rock the boat	figurative	misc	DET NOUN VERB VERB VERB CCONJ PRON VERB ADV VERB NOUN
the only way of doing it, except you know, you 're known for, for all the good things, the good things you do just make certain that er we don't rock the boat so you, so you	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock the boat	figurative	identical	DET ADJ NOUN ADP VERB PRON ADP PRON VERB PRON VERB VERB ADP ADP ADJ DET ADJ NOUN DET ADJ NOUN PRON VERB ADV VERB ADJ ADP INTJ PRON VERB VERB DET NOUN ADP PRON ADV PRON
Cautious by nature, Simpkin was not going to rock the boat more than necessary.	0 0 0 0 0 0 0 0 1 0 1 0 0 0	rock the boat	figurative	identical	ADJ ADP NOUN PROPN VERB ADV VERB PART VERB DET NOUN ADJ ADP ADJ
The likeliest explanation of his defeat in the executive's constituency section vote is that party activists wanted to rebuke him for publicly rocking the boat during the passage of the policy review.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	rock the boat	figurative	inflection	DET ADJ NOUN ADP ADJ NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADP NOUN NOUN VERB PART VERB PRON ADP ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN
A few weeks on the job and the Santa Cruz Operation Inc's new boss Lars Turndal is talking about trying to figure out a way to change the company's ‘ old - fashioned distribution model’ without rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	DET ADJ NOUN ADP DET NOUN CCONJ DET PROPN PROPN PROPN PROPN ADJ NOUN PROPN PROPN VERB VERB ADP VERB PART VERB PART DET NOUN PART VERB DET NOUN PUNCT ADJ PUNCT ADJ NOUN PROPN ADP VERB DET NOUN
I suppose now you 're going to get timid, and tell me not to rock the boat.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	dashes	PRON VERB ADV PRON VERB VERB PART VERB ADJ CCONJ VERB PRON ADV PART VERB DET NOUN
What is needed, instead, is a “ stability league ” that includes prominent actors like China, India, and other countries that are more interested in economic growth than in “ rocking the boat ” of the international system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock the boat	figurative	inflection	NOUN VERB VERB ADV VERB DET PUNCT NOUN NOUN PUNCT ADJ VERB ADJ NOUN ADP PROPN PROPN CCONJ ADJ NOUN ADJ VERB ADV ADJ ADP ADJ NOUN ADP ADP PUNCT VERB DET NOUN PUNCT ADP DET ADJ NOUN
Rocking the boat	1 0 1	rock the boat	figurative	combined-inflection	VERB DET NOUN
He had picked up the pieces after the war and it must have come as a total shock to someone with his background to find players in his side who rocked the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PRON VERB VERB PART DET NOUN ADP DET NOUN CCONJ PRON VERB VERB VERB ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN PART VERB NOUN ADP ADJ NOUN NOUN VERB DET NOUN
The intolerance he had shown for free - traders before 1914 was now turned on rebel Unionists who rocked the coalition boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	rock the boat	figurative	combined-inflection	DET NOUN PRON VERB VERB ADP ADJ PUNCT NOUN ADP NUM VERB ADV VERB PART ADJ NOUN NOUN VERB DET NOUN NOUN
out 16 premiers agreed to moving the Upper House ( Bundesrat ) to Berlin, but claimed that Bavaria had rocked the boat not having cleared their proposal with the other premiers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	rock the boat	figurative	inflection	ADV NUM NOUN VERB ADP VERB DET PROPN PROPN PUNCT PROPN PUNCT ADP PROPN CCONJ VERB ADP PROPN VERB VERB DET NOUN ADV VERB VERB ADJ NOUN ADP DET ADJ NOUN
The list itself is secret, although it is a fair bet that it contains only a few genuinely brilliant minds, and fewer still who are likely to rock the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	DET NOUN PRON VERB ADJ ADP PRON VERB DET ADJ NOUN ADP PRON VERB ADV DET ADJ ADV ADJ NOUN CCONJ ADJ ADV NOUN VERB ADJ PART VERB DET NOUN
