Take my words for it.	1 1 1 1 1	take someone's word for it	figurative	combined-inflection	VERB ADJ NOUN ADP PRON
But, take my word for it, beneath this slightly tough façade I 'm a quite exceptionally charming fellow.	0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	CCONJ VERB ADJ NOUN ADP PRON ADP DET ADV ADJ NOUN PRON VERB DET ADV ADV ADJ NOUN
‘ And it is, take my word for it — ‘	0 0 0 0 1 1 1 1 1 0 0	take someone's word for it	figurative	possessive	PUNCT CCONJ PRON VERB VERB ADJ NOUN ADP PRON PUNCT PUNCT
I am not a bad man, take my word for it, but I have done wrong.	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0	take someone's word for it	figurative	possessive	PRON VERB ADV DET ADJ NOUN VERB ADJ NOUN ADP PRON CCONJ PRON VERB VERB NOUN
I said well this is, but yo you can't take my word for it because	0 0 0 0 0 0 0 0 0 1 1 1 1 1 0	take someone's word for it	figurative	possessive	PRON VERB INTJ DET VERB CCONJ INTJ PRON VERB VERB ADJ NOUN ADP PRON ADP
I took his word for it and concentrated on enjoying the substance of Ino ( for Serafino ) Cosson's offerings.	0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	combined-inflection	PRON VERB ADJ NOUN ADP PRON CCONJ VERB ADP VERB DET NOUN ADP PROPN PUNCT ADP PROPN PUNCT PROPN NOUN
DLabel has no idea what kind of paper or labels is in your printer, and takes your word for it that the size you specify is correct.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0	take someone's word for it	figurative	combined-inflection	PROPN VERB DET NOUN ADJ NOUN ADP NOUN CCONJ NOUN VERB ADP ADJ NOUN CCONJ VERB ADJ NOUN ADP PRON ADJ DET NOUN PRON VERB VERB ADJ
Then he continued, his tone scathing, ‘ You can take my word for it, the kind of love your brother feels for my cousin is the selfish kind that demands she spend every moment with him.	0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	ADV PRON VERB ADJ NOUN NOUN PUNCT PRON VERB VERB ADJ NOUN ADP PRON DET NOUN ADP NOUN ADJ NOUN VERB ADP ADJ NOUN VERB DET ADJ NOUN ADJ VERB PRON VERB DET NOUN ADP PRON
‘ I 'll take your word for it, then.’	0 0 0 1 1 1 1 1 0	take someone's word for it	figurative	possessive	PUNCT PRON VERB VERB ADJ NOUN ADP PRON NUM
So they in turn take Les's word for it.	0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	combined-other	ADV PRON ADP NOUN VERB PROPN NOUN ADP PRON
‘ Just take my word for it, Kenny, and don't lose any sleep over it.	0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PUNCT ADV VERB ADJ NOUN ADP PRON PROPN CCONJ VERB VERB DET NOUN ADP PRON
Apart from the very great difficulty of establishing how a couple manage their finances ( in effect one would have to take their word for it ) and the strong incentive they would have to arrange their affairs so as to safeguard the woman's claim to benefit, the fact that she is receiving benefit may itself make it unnecessary for the man to give her more than is required for his own keep.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	ADV ADP DET ADV ADJ NOUN ADP VERB ADV DET NOUN VERB ADJ NOUN PUNCT ADP NOUN PRON VERB VERB PART VERB ADJ NOUN ADP PRON PUNCT CCONJ DET ADJ NOUN PRON VERB VERB PART VERB ADJ NOUN ADP ADP PART VERB DET NOUN NOUN PART VERB DET NOUN ADP PRON VERB VERB NOUN VERB PRON VERB PRON ADJ ADP DET NOUN PART VERB PRON ADJ ADP VERB VERB ADP ADJ ADJ NOUN
‘ I 'll take your word for it.’	0 0 0 1 1 1 1 1	take someone's word for it	figurative	combined-other	PUNCT PRON VERB VERB ADJ NOUN ADP NOUN
But I wouldn't expect you to take my word for it, that's why I 'm drawing on the Department's manual which confirms my own experience.	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	CCONJ PRON VERB VERB PRON PART VERB ADJ NOUN ADP PRON DET ADV PRON VERB VERB ADP DET PROPN NOUN ADJ VERB ADJ ADJ NOUN
I will have to take your word for it that they are a pair — but I wonder how you are so sure, as it isn't all that easy to sex these fish.	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PRON VERB VERB PART VERB ADJ NOUN ADP PRON ADP PRON VERB DET NOUN PUNCT CCONJ PRON VERB ADV PRON VERB ADV ADJ ADP PRON VERB DET ADV ADJ PART VERB DET NOUN
But you 'll just have to take my word for it.	0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	CCONJ PRON VERB ADV VERB PART VERB ADJ NOUN ADP PRON
But, take my word for it, the possibility had never for one moment occurred to me.’	0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	CCONJ VERB ADJ NOUN ADP PRON DET NOUN VERB ADV ADP NUM NOUN VERB ADP NOUN
' ard little bitch she was, take my word for it.	0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PUNCT ADJ ADJ NOUN PRON VERB VERB ADJ NOUN ADP PRON
He annoyed me, it didn't mean anything to him, and he made it clear in his miserable I'll - take - your - word - for - it way that he didn't really care.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0	take someone's word for it	figurative	combined-other	PRON VERB PRON PRON VERB VERB NOUN ADP PRON CCONJ PRON VERB PRON ADJ ADP ADJ ADJ PRON PUNCT VERB PUNCT ADJ PUNCT NOUN PUNCT ADP PUNCT PRON NOUN ADP PRON VERB ADV VERB
Will he take my word for it that my constituents are horrified by Labour party proposals to review the trunk road programme?	0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	VERB PRON VERB ADJ NOUN ADP PRON ADP ADJ NOUN VERB VERB ADP PROPN NOUN NOUN PART VERB DET NOUN NOUN NOUN
