I shall soon lose my own face and character for ever.	0 0 0 1 0 0 1 0 0 0 0	lose face	figurative	insertion-other	PRON VERB ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP ADV
because we int gon na, we haven't got ta worry about what she says about, but he sa, the hospital didn't wanna lose face, but I mean, the hospital said thank you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	lose face	figurative	identical	ADP PRON VERB VERB PART PRON VERB VERB PART VERB ADP NOUN PRON VERB ADP CCONJ PRON VERB DET NOUN VERB ADV VERB NOUN CCONJ PRON VERB DET NOUN VERB VERB PRON
The Japanese may avoid explicit objections because politeness demands that the seller does not lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	DET PROPN VERB VERB ADJ NOUN ADP NOUN NOUN ADP DET NOUN VERB ADV VERB NOUN
Having lost out to the Treasury on training, lost face with the British public by failing to recreate a climate of industrial expansion and lost out politically to his colleagues in Cabinet, he is in need of a political success.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	VERB VERB PART ADP DET PROPN ADP NOUN VERB NOUN ADP DET ADJ NOUN ADP VERB PART VERB DET NOUN ADP ADJ NOUN CCONJ VERB PART ADV ADP ADJ NOUN ADP PROPN PRON VERB ADP NOUN ADP DET ADJ NOUN
He was told about Sutton and Penge depôts which he visited and found well run, particularly Penge for fear of losing face with the Corporation, who maintained high standards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	lose face	figurative	inflection	PRON VERB VERB ADP PROPN CCONJ PROPN NOUN ADJ PRON VERB CCONJ VERB ADV VERB ADV PROPN ADP NOUN ADP VERB NOUN ADP DET PROPN NOUN VERB ADJ NOUN
John's appeal enabled Khrushchev to step down without losing face.	0 0 0 0 0 0 0 0 1 1	lose face	figurative	inflection	PROPN NOUN VERB PROPN PART VERB PART ADP VERB NOUN
They felt that they had a much stronger position than before and that a certain amount of muscle flexing was now unavoidable if they were not to lose face with their supporters.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	lose face	figurative	identical	PRON VERB ADP PRON VERB DET ADV ADJ NOUN ADP ADP CCONJ ADP DET ADJ NOUN ADP NOUN NOUN VERB ADV ADJ ADP PRON VERB ADV PART VERB NOUN ADP ADJ NOUN
Better to lose face and be open about not understanding the cryptic message, than to lose sleep at night over it.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	ADJ PART VERB NOUN CCONJ VERB ADJ ADP ADV VERB DET ADJ NOUN ADP PART VERB NOUN ADP NOUN ADP PRON
Peer pressure is a factor, but not necessarily in a coercive way ; a teenager who isn't sure how to smoke a joint will be more worried about losing face from doing it wrong than not doing it at all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	NOUN NOUN VERB DET NOUN CCONJ ADV ADV ADP DET ADJ NOUN PUNCT DET NOUN NOUN VERB ADJ ADV PART VERB DET NOUN VERB VERB ADV ADJ ADP VERB NOUN ADP VERB PRON ADV ADP ADV VERB PRON ADV ADV
With relief Suzi had departed back to Hochhauser, feeling she hadn't altogether lost face amongst her fellow students after all, her choice of career was still quite artistic and adventurous, it was still ‘ show business’ in a way — but also overjoyed to be going home.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	ADP NOUN PROPN VERB VERB ADV ADP PROPN VERB PRON VERB ADV VERB NOUN ADP ADJ ADJ NOUN ADV ADV ADJ NOUN ADP NOUN VERB ADV ADV ADJ CCONJ ADJ PRON VERB ADV PUNCT NOUN VERB ADP DET NOUN PUNCT CCONJ ADV ADJ PART VERB VERB ADV
Crying for the stranger, crying for the lost face — She was so beautiful — crying again.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	lose face	figurative	inflection	VERB ADP DET NOUN VERB ADP DET VERB NOUN PUNCT PRON VERB ADV ADJ PUNCT VERB ADV
Having stated in March that the United ~ States would “ not tolerate the use of chemical weapons against the Syrian people, ” and having spoken last year about a “ red line ” that could not be crossed, he will lose face if he fails to react forcefully to the murder, allegedly by the Syrian regime, of more than 1,000 civilians by sarin gas.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	VERB VERB ADP PROPN ADP DET PROPN PUNCT PROPN VERB PUNCT ADV VERB DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN PUNCT CCONJ VERB VERB ADJ NOUN ADP DET PUNCT ADJ NOUN PUNCT ADJ VERB ADV VERB VERB PRON VERB VERB NOUN ADP PRON VERB PART VERB ADV ADP DET NOUN ADV ADP DET ADJ NOUN ADP ADJ ADP NUM NOUN ADP ADJ NOUN
Be polite, but a reserved dignity when dealing with those of good position will not lose you any face or business, and it will strengthen your professional status.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	lose face	figurative	insertion-other	VERB ADJ CCONJ DET ADJ NOUN ADV VERB ADP DET ADP ADJ NOUN VERB ADV VERB PRON DET NOUN CCONJ NOUN CCONJ PRON VERB VERB ADJ ADJ NOUN
It is hard to see how the system can be deformed further without losing both face and more cases at the European Court of Human Rights.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	lose face	figurative	combined-inflection	PRON VERB ADJ PART VERB ADV DET NOUN VERB VERB VERB ADV ADP VERB DET NOUN CCONJ ADJ NOUN ADP DET PROPN PROPN ADP PROPN PROPN
Senior managers can not afford to lose face too often and will bide their time to re - assert their authority.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	ADJ NOUN VERB ADV VERB PART VERB NOUN ADV ADV CCONJ VERB VERB ADJ NOUN PART VERB PUNCT VERB ADJ NOUN
Criticism should never cause the recipient to lose face, inner dignity or self - respect.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	lose face	figurative	identical	NOUN VERB ADV VERB DET NOUN PART VERB NOUN ADJ NOUN CCONJ NOUN PUNCT NOUN
No government likes to lose face like that.	0 0 0 0 1 1 0 0	lose face	figurative	identical	DET NOUN VERB PART VERB NOUN ADP DET
we all, we 'll lose face with the patient	0 0 0 0 1 1 0 0 0	lose face	figurative	identical	PRON DET PRON VERB VERB NOUN ADP DET NOUN
Worst for Mr Clinton, he might jilt California only to see the Supreme Court decide for state over federal rights, thus losing face for nothing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	lose face	figurative	inflection	ADJ ADP PROPN PROPN PRON VERB VERB PROPN ADV PART VERB DET PROPN PROPN VERB ADP NOUN ADP ADJ NOUN ADV VERB NOUN ADP NOUN
Long famed for its masterly handling of the markets, the Bank lost face when sterling was forced out of the European exchange - rate mechanism in September.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	ADV VERB ADP ADJ ADV NOUN ADP DET NOUN DET PROPN VERB NOUN ADV NOUN VERB VERB ADP ADP DET ADJ NOUN PUNCT NOUN NOUN ADP PROPN
