Good riddance to her. '	1 1 0 0 0	good riddance	figurative	case	ADJ NOUN ADP PRON PUNCT
But on the other hand we thought I suppose oh good riddance you know er rather than have a few er namby - pamby people you know sitting on the fence, we might be better off without them.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	CCONJ ADP DET ADJ NOUN PRON VERB PRON VERB INTJ ADJ NOUN PRON VERB INTJ ADV ADP VERB DET ADJ INTJ NOUN PUNCT VERB NOUN PRON VERB VERB ADP DET NOUN PRON VERB VERB ADJ PART ADP PRON
And a good riddance too!	0 0 1 1 0	good riddance	figurative	identical	CCONJ DET ADJ NOUN ADV
If they can't accept me as I am, good riddance.	0 0 0 0 0 0 0 0 1 1	good riddance	figurative	identical	ADP PRON VERB VERB PRON ADP PRON VERB ADJ NOUN
' Good riddance! '	0 1 1 0	good riddance	figurative	case	PUNCT ADJ NOUN PUNCT
As for the ' 70s, good riddance.	0 0 0 0 0 1 1	good riddance	figurative	identical	ADP ADP DET PUNCT NUM ADJ NOUN
Good riddance, thought Harry.	1 1 0 0	good riddance	figurative	case	ADJ NOUN VERB PROPN
' Good riddance, I say.	0 1 1 0 0	good riddance	figurative	case	PUNCT ADJ NOUN PRON VERB
The job is to purge the good - riddance - to - Quebec attitude among Reform Party supporters, and to get backing in the western provinces for a further set of constitutional changes, incorporating Quebec's insistent claim to be recognised as a distinct society.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	dashes	DET NOUN VERB PART VERB DET ADJ PUNCT NOUN PUNCT ADP PUNCT PROPN NOUN ADP PROPN PROPN NOUN CCONJ PART VERB NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN VERB PROPN ADJ NOUN PART VERB VERB ADP DET ADJ NOUN
" Good riddance, " said Faye, smartly, laughing.	0 1 1 0 0 0 0 0	good riddance	figurative	case	PUNCT ADJ NOUN PUNCT VERB PROPN ADV VERB
In ‘ All change’(April 27th ), the Reform Party of Canada, led by Preston Manning, is represented as separatist, and its supporters as having ‘ a good riddance to Quebec’ attitude which must be purged.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	good riddance	figurative	identical	ADP PUNCT DET NOUN NOUN PUNCT DET PROPN PROPN ADP PROPN VERB ADP PROPN PROPN VERB VERB ADP NOUN CCONJ ADJ NOUN ADP VERB PRON DET ADJ NOUN ADP NOUN NOUN ADJ VERB VERB VERB
' Good riddance, ' shouted Sheila.	0 1 1 0 0 0	good riddance	figurative	case	PUNCT ADJ NOUN PUNCT VERB PROPN
Once the outer door had banged shut, Matey said, violently for her, ' Good riddance to bad rubbish!	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	good riddance	figurative	case	ADP DET ADJ NOUN VERB VERB VERB PROPN VERB ADV ADP PRON PUNCT ADJ NOUN ADP ADJ NOUN
Although one can say good riddance to it, I do not wish there to be a return to the past, as the Opposition propose.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	ADP PRON VERB VERB ADJ NOUN ADP PRON PRON VERB ADV VERB ADV PART VERB DET NOUN ADP DET NOUN ADP DET PROPN NOUN
As I told Denny d'Arcy, the Sidcombe manager, when I rang up to say good riddance, ‘ We are just the amoeba on the European footer lake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	ADP PRON VERB PROPN NOUN DET PROPN NOUN ADV PRON VERB PART PART VERB ADJ NOUN PUNCT PRON VERB ADV DET NOUN ADP DET ADJ NOUN NOUN
So any docks, dandelions and creeping buttercup go straight to the tip and good riddance to them too.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	good riddance	figurative	identical	ADV DET NOUN NOUN CCONJ VERB NOUN VERB ADV ADP DET NOUN CCONJ ADJ NOUN ADP PRON ADV
