When we were moving or when he thought a search was in the offing he 'd hide it in his underpants.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the offing	figurative	identical	ADV PRON VERB VERB CCONJ ADV PRON VERB DET NOUN VERB ADP DET NOUN PRON VERB VERB PRON ADP ADJ NOUN
In December 1969, after Conservative protests had been disposed of that Parliament was being asked to reach a decision at an unnecessarily early stage ( a General Election was in the offing ), both Houses agreed that the 1965 Act should not expire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADP PROPN NUM ADP ADJ NOUN VERB VERB VERB ADP DET PROPN VERB VERB VERB PART VERB DET NOUN ADP DET ADV ADJ NOUN PUNCT DET PROPN PROPN VERB ADP DET NOUN PUNCT DET PROPN VERB ADP DET NUM PROPN VERB ADV VERB
Thornaby by - pass has also been in the offing for a number of years, but is now not expected to be completed until 1996 or 1997.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADJ ADP PUNCT NOUN VERB ADV VERB ADP DET NOUN ADP DET NOUN ADP NOUN CCONJ VERB ADV ADV VERB PART VERB VERB ADP NUM CCONJ NUM
It seemed likely that a second ‘ hundred flowers’ movement was in the offing, thirty years after the original one had ended in disaster for thousands of Chinese intellectuals.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	PRON VERB ADJ ADP DET ADJ ADJ NUM NOUN NOUN VERB ADP DET NOUN NUM NOUN ADP DET ADJ NOUN VERB VERB ADP NOUN ADP NOUN ADP ADJ NOUN
The other design in the offing was the two - axle railbus which had started life as a Research Division project aimed at combining high - speed freightvehicle technology with that of the standard Leyland road bus in order to produce a low cost diesel train.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	DET ADJ NOUN ADP DET NOUN VERB DET NUM PUNCT NOUN NOUN ADJ VERB VERB NOUN ADP DET PROPN PROPN NOUN VERB ADP VERB ADJ PUNCT NOUN NOUN NOUN ADP DET ADP DET ADJ PROPN NOUN NOUN ADP NOUN PART VERB DET ADJ NOUN NOUN NOUN
In the mid-1990 ’s, and again in 2002 - 2003, reconciliation between Suu ~ Kyi ’s National ~ League ~ for ~ Democracy ( NLD ) and the military ~ junta seemed to be in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADP DET NOUN PART CCONJ ADV ADP NUM SYM NUM NOUN ADP NOUN PUNCT PROPN PART PROPN PUNCT PROPN PUNCT ADP PUNCT PROPN PUNCT PROPN PUNCT CCONJ DET ADJ PUNCT NOUN VERB PART VERB ADP DET NOUN
When nookey is in the offing bosoms do not so much swell as burst over the lace like a pair of dumplings rising to the surface of a casserole pot.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADV NOUN VERB ADP DET VERB NOUN VERB ADV ADV ADV NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADP NOUN VERB ADP DET NOUN ADP DET ADJ NOUN
A major exchange between the French science body, the Centre National de la Recherche Scientifique, and its Vietnamese counterpart is in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	DET ADJ NOUN ADP DET ADJ NOUN NOUN DET PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADJ ADJ NOUN VERB ADP DET NOUN
'Cos I think another thing, where a lot of pressure comes on scientists, is where, it says a lot of cases, where profit is in the offing, this is a thing,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the offing	figurative	identical	NOUN PRON VERB DET NOUN ADV DET NOUN ADP NOUN VERB ADP NOUN VERB ADV PRON VERB DET NOUN ADP NOUN ADV NOUN VERB ADP DET NOUN DET VERB DET NOUN
At the same time, Intel Corp and Motorola Inc are also in the offing with their versions of chips for X - terminals.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADP DET ADJ NOUN PROPN PROPN CCONJ PROPN PROPN VERB ADV ADP DET NOUN ADP ADJ NOUN ADP NOUN ADP NOUN PUNCT NOUN
As it happens, there is a substantial engine refurbishment contract in the offing which ( although tenders have not yet been invited ) promises to bring someone several tens of millions of pounds in revenue over a period of a few years.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADP PRON VERB ADV VERB DET ADJ NOUN NOUN NOUN ADP DET NOUN ADJ PUNCT ADP NOUN VERB ADV ADV VERB VERB PUNCT NOUN PART VERB NOUN ADJ NOUN ADP NOUN ADP NOUN ADP NOUN ADP DET NOUN ADP DET ADJ NOUN
‘ I suspect that some devious ploy of yours is in the offing.’	0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	dashes	PUNCT PRON VERB ADP DET ADJ NOUN ADP PRON VERB ADP DET NOUN
In the subsequent show report, I proclaimed that it was love at first sight and when I heard that a new model was in the offing which would, the company told me, prove to be their most eye - catching to date, I pestered them for weeks until they sent me one for review.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADP DET ADJ NOUN NOUN PRON VERB ADP PRON VERB NOUN ADP ADJ NOUN CCONJ ADV PRON VERB ADP DET ADJ NOUN VERB ADP DET NOUN ADJ VERB DET NOUN VERB PRON VERB PART VERB ADJ ADJ NOUN PUNCT VERB ADP NOUN PRON VERB PRON ADP NOUN ADP PRON VERB PRON NUM ADP NOUN
After the price of Dixons shares staged a strong rise on Tuesday, Kingfisher felt obliged to broadcast a statement to the Stock Exchange first thing yesterday morning saying a bid was in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADP DET NOUN ADP PROPN NOUN VERB DET ADJ NOUN ADP PROPN PROPN VERB VERB PART VERB DET NOUN ADP DET PROPN PROPN ADJ NOUN NOUN NOUN VERB DET NOUN VERB ADP DET NOUN
Thus, a second green revolution may be in the offing hereby big energy production increases, but the energy - poor still starve.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADV DET ADJ ADJ NOUN VERB VERB ADP DET NOUN ADV ADJ NOUN NOUN NOUN CCONJ DET NOUN PUNCT ADJ ADV VERB
Finally, and even as I write, new and deeper understandings of the Lorenz system are in the offing{12}.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	insertion-determiner	ADV CCONJ ADV ADP PRON VERB ADJ CCONJ ADJ NOUN ADP DET PROPN NOUN VERB ADP DET NOUN
And, since no one has ordered a new nuclear plant since 1978 and none are in the offing, the decision is academic, say industry spokesmen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the offing	figurative	identical	CCONJ ADP DET NOUN VERB VERB DET ADJ ADJ NOUN ADP NUM CCONJ NOUN VERB ADP DET NOUN DET NOUN VERB ADJ VERB NOUN NOUN
In particular Peterson of Utah reportedly claimed that ‘ there are billions of dollars at stake and Nobels in the offing’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	dashes	ADP ADJ PROPN ADP PROPN ADV VERB ADP PRON ADV VERB NOUN ADP NOUN ADP NOUN CCONJ PROPN ADP DET NOUN
New products are, however, in the offing as Zoladex for prostate cancer and the intravenous anaesthetic Diprivan are soon to be launched in the key US market.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADJ NOUN VERB ADV ADP DET NOUN ADP PROPN ADP NOUN NOUN CCONJ DET ADJ ADJ PROPN VERB ADV PART VERB VERB ADP DET ADJ PROPN NOUN
You, you, I 'm sure you read about the twenty two million pound deal with er, B B C and er, and there are, there are other deals in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	PRON PRON PRON VERB ADJ PRON VERB ADP DET NUM NUM NUM NOUN NOUN ADP INTJ PROPN PROPN PROPN CCONJ INTJ CCONJ ADV VERB ADV VERB ADJ NOUN ADP DET NOUN
Her third novel, Another Sort of is due on the shelves by September and she has plenty more ideas in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADJ ADJ NOUN DET NOUN ADV VERB ADJ ADP DET NOUN ADP PROPN CCONJ PRON VERB ADV ADJ NOUN ADP DET NOUN
Safi was obviously excited by something, but his usual bonhomie was so much in evidence that we couldn't imagine that he knew of anything ghastly in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	PROPN VERB ADV VERB ADP NOUN CCONJ ADJ ADJ NOUN VERB ADV ADJ ADP NOUN ADP PRON VERB VERB ADP PRON VERB ADP NOUN ADV ADP DET NOUN
Did I think I would be able to manage for a while on my own?(with Mena, and Mr James in the offing ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the offing	figurative	identical	VERB PRON VERB PRON VERB VERB ADJ PART VERB ADP DET NOUN ADP ADJ NOUN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT
As Tom and Mary's one - year dating anniversary passed, Tom's mother began to be cautiously optimistic that a wedding might soon be in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADP PROPN CCONJ PROPN NUM PUNCT NOUN VERB NOUN VERB PROPN NOUN VERB PART VERB ADV ADJ ADP DET NOUN VERB ADV VERB ADP DET NOUN
In due course he was told that a short three hour trip was in the offing so he collected his parachute and went with the crew to the aircraft.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADP ADJ NOUN PRON VERB VERB ADP DET ADJ NUM NOUN NOUN VERB ADP DET NOUN ADV PRON VERB ADJ NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN
Any more holidays in the offing?	0 0 0 1 0 1	in the offing	figurative	identical	DET ADJ NOUN ADP DET NOUN
Probably with two juvenile delinquents ( now aged five and eight ) in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADV ADP NUM ADJ NOUN PUNCT ADV ADJ NUM CCONJ NUM PUNCT ADP DET NOUN
Phillip Thorpe, the AFBD's chief executive, felt obliged to circulate to his staff a denial of reports that a merger with The Securities Association was in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	PROPN PROPN DET PROPN ADJ NOUN VERB VERB PART VERB ADP ADJ NOUN DET NOUN ADP NOUN ADP DET NOUN ADP DET PROPN PROPN VERB ADP DET NOUN
After the 22nd, the spotlight falls on travel and projects which have been in the offing since around June.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the offing	figurative	identical	ADP DET NOUN DET NOUN VERB ADP NOUN CCONJ NOUN ADJ VERB VERB ADP DET NOUN ADP ADP PROPN
The employer was forced to admit that no replacement had been engaged, which tended to indicate that a redundancy might have been in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	DET NOUN VERB VERB PART VERB ADP DET NOUN VERB VERB VERB ADJ VERB PART VERB ADP DET NOUN VERB VERB VERB ADP DET NOUN
