‘ All right, I 'll take you out to lunch one day.’	0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	PUNCT ADV ADV PRON VERB VERB PRON PART ADP NOUN NUM ADJ
Just because out - to - lunch Morrissey is dropping in references to ' Ride A White Swan ' and because Pulp's singer wears David Essex - type attire and lampoons a ' camp stance'and just because the current guitar rock scene is useless ( except Sugar ), do not fob this glitter - rock crap off on our gullible pop nation.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	figurative	dashes	ADV ADP ADV PUNCT ADP PUNCT NOUN PROPN VERB VERB ADP NOUN ADP PUNCT VERB DET PROPN PROPN PUNCT CCONJ ADP PROPN NOUN VERB PROPN PROPN PUNCT NOUN NOUN CCONJ VERB DET PUNCT NOUN NOUN ADV ADP DET ADJ NOUN NOUN NOUN VERB ADJ PUNCT ADP PROPN PUNCT VERB ADV VERB DET ADJ PUNCT NOUN NOUN PART ADP ADJ ADJ NOUN NOUN
We 're going out to lunch or what?	0 0 0 1 1 1 0 0	out to lunch	literal	identical	PRON VERB VERB PART ADP NOUN CCONJ NOUN
While her boss took the unsuspecting Carolyn out to lunch, workers hoisted her H - reg Volkswagen Polo 20 ft into the air with a borrowed crane and parked it neatly on the roof.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	ADP ADJ NOUN VERB DET ADJ PROPN PART ADP NOUN NOUN VERB ADJ NOUN PUNCT NOUN PROPN PROPN NUM NOUN ADP DET NOUN ADP DET VERB NOUN CCONJ VERB PRON ADV ADP DET NOUN
If you want to know, it completed the whole exercise for me, the first time, while I was out to lunch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	identical	ADP PRON VERB PART VERB PRON VERB DET ADJ NOUN ADP PRON DET ADJ NOUN ADP PRON VERB ADV ADP NOUN
She said : ‘ I went out to lunch with friends and we shared a bottle of champagne.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PUNCT PUNCT PRON VERB PART ADP NOUN ADP NOUN CCONJ PRON VERB DET NOUN ADP NOUN
Peter Morgan remembers being taken out to lunch at the Trocadero and visiting Cadby Hall, the headquarters of J. Lyons.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PROPN PROPN VERB VERB VERB PART ADP NOUN ADP DET PROPN CCONJ VERB PROPN PROPN DET NOUN ADP PROPN PROPN
I had been taken out to lunch by Wakefield's grandparents one Sunday.	0 0 0 0 1 1 1 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB VERB PART ADP NOUN ADP PROPN NOUN NUM PROPN
We would go out to lunch or perhaps look around a stately home — life became extremely rich because we could control Ruth's pain with morphine.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB ADV ADP NOUN CCONJ ADV VERB ADP DET ADJ NOUN PUNCT NOUN VERB ADV ADJ ADP PRON VERB VERB PROPN NOUN ADP NOUN
She would take herself out to lunch and do some shopping, look for those new lampshades that were needed for one of the spare rooms.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB PRON PART ADP NOUN CCONJ VERB DET NOUN VERB ADP DET ADJ NOUN ADJ VERB VERB ADP NUM ADP DET ADJ NOUN
Going out to lunch.	0 1 1 1	out to lunch	literal	identical	VERB ADV ADP NOUN
Round the bend, out to lunch.	0 0 0 1 1 1	out to lunch	figurative	identical	ADP DET NOUN ADV ADP NOUN
Fred was jumpy while they were working together the next morning, so Arthur opened a bottle of Bollinger in their businesslike new office and then took him out to lunch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	identical	PROPN VERB ADJ ADP PRON VERB VERB ADV DET ADJ NOUN CCONJ PROPN VERB DET NOUN ADP PROPN ADP ADJ ADJ ADJ NOUN CCONJ ADV VERB PRON PART ADP NOUN
He asked her out to lunch because he hoped that she had missed him.	0 0 0 1 1 1 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PRON PART ADP NOUN ADP PRON VERB ADP PRON VERB VERB PRON
" I 'm going out to lunch, " Sara said,, " to the Fairfax barbecue for Sandra's birthday. "	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PUNCT PRON VERB VERB PART ADP NOUN PUNCT PROPN VERB PUNCT ADP DET PROPN NOUN ADP PROPN NOUN PUNCT
His secretary had been out to lunch, and he had been going through the files stored on the disk she was currently using, looking for a copy of a contract that he urgently needed to check.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	ADJ NOUN VERB VERB ADP ADP NOUN CCONJ PRON VERB VERB VERB ADP DET NOUN VERB ADP DET NOUN PRON VERB ADV VERB VERB ADP DET NOUN ADP DET NOUN ADJ PRON ADV VERB PART VERB
‘ I 'd been kicked by a horse and lost two front teeth and he took me out to lunch and gave me asparagus.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	out to lunch	literal	identical	PUNCT PRON VERB VERB VERB ADP DET NOUN CCONJ VERB NUM ADJ NOUN CCONJ PRON VERB PRON PART ADP NOUN CCONJ VERB PRON ADJ
We could go out to lunch,’ he offered.	0 0 0 1 1 1 0 0	out to lunch	literal	dashes	PRON VERB VERB PART ADP NOUN PRON VERB
