Although all that does is help the B B C cos they they 're getting interest on the money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	identical	ADP DET ADJ VERB VERB VERB DET PROPN PROPN PROPN ADP PRON PRON VERB VERB NOUN ADP DET NOUN
But A&R people do not stay A&R people for very long if they don't have an eye on both money and art simultaneously.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the money	literal	determiner-broad	CCONJ PROPN NOUN VERB ADV VERB PROPN NOUN ADP ADV ADV ADP PRON VERB VERB DET NOUN ADP DET NOUN CCONJ NOUN ADV
Interest is payable on the money owing, but you will be paid interest when the account is on credit.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	identical	NOUN VERB ADJ ADP DET NOUN VERB CCONJ PRON VERB VERB VERB NOUN ADV DET NOUN VERB ADP NOUN
They pay a slightly lower rate of interest on money at call than they earn by discounting bills.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	PRON VERB DET ADV ADJ NOUN ADP NOUN ADP NOUN ADP NOUN ADP PRON VERB ADP VERB NOUN
You will pay interest charges on any money that is overdrawn ( which may be higher if the overdraft has not been formally arranged ) and usually the bank will charge fees to cover administration costs.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	PRON VERB VERB NOUN NOUN ADP DET NOUN ADJ VERB NOUN PUNCT ADJ VERB VERB ADJ ADP DET NOUN VERB ADV VERB ADV VERB PUNCT CCONJ ADV DET NOUN VERB VERB NOUN PART VERB NOUN NOUN
What he's gon na get on the dole money, he 'll not drink too much.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	on the money	literal	insertion-other	NOUN PRON VERB PART VERB ADP DET NOUN NOUN PRON VERB ADV VERB ADV ADV
They can get their eyes on our money, but they won't get their hands on it. '	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	PRON VERB VERB ADJ NOUN ADP ADJ NOUN CCONJ PRON VERB VERB ADJ NOUN ADP PRON PUNCT
Thus, under general principles if, for instance, A, B and C — trustees of an interest in possession trust — receive £ 100 rent which they must pay to Z beneficiary — the life tenant—(after the deduction of their expenses ) the trustees can be assessed to income tax at the basic rate on the monies they received under Schedule A. The other fundamental case where trusteeship was reduced to something akin to agency is Archer - Shee v Baker ( 1927 ) 11 TC 749.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	inflection	ADV ADP ADJ NOUN ADP ADP NOUN NOUN NOUN CCONJ NOUN PUNCT NOUN ADP DET NOUN ADP NOUN NOUN PUNCT VERB SYM NUM NOUN ADJ PRON VERB VERB ADP NOUN NOUN PUNCT DET NOUN ADJ DET NOUN ADP ADJ NOUN PUNCT DET NOUN VERB VERB VERB PART VERB NOUN ADP DET ADJ NOUN ADP DET NOUN PRON VERB ADP PROPN NOUN DET ADJ ADJ NOUN ADV NOUN VERB VERB ADP NOUN ADJ ADP NOUN VERB PROPN PUNCT PROPN ADP PROPN PUNCT NUM PUNCT NUM NOUN NUM
There 'll be over - sixties’ clubs planning wild parties on the money they 're going to save.’	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the money	literal	identical	ADV VERB VERB ADP PUNCT NOUN NOUN VERB ADJ NOUN ADP DET NOUN PRON VERB VERB ADP PUNCT
If the donor is an individual ( or a company ) and pays basic rate income tax the RNLI can claim back the tax already paid on that money from the Inland Revenue turning the donor's £ 600, for example, into £ 800 for the Institution.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-narrow	ADP DET NOUN VERB DET NOUN PUNCT CCONJ DET NOUN PUNCT CCONJ VERB ADJ NOUN NOUN NOUN DET PROPN VERB VERB ADV DET NOUN ADV VERB ADP DET NOUN ADP DET PROPN PROPN VERB DET NOUN SYM NUM ADP NOUN ADP SYM NUM ADP DET PROPN
But with inflation down to 3.7 per cent you are now getting a real return of nearly 4 per cent on your money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	determiner-broad	CCONJ ADP NOUN ADV ADP NUM NOUN NOUN PRON VERB ADV VERB DET ADJ NOUN ADP ADV NUM ADP NOUN ADP ADJ NOUN
Modern man looks on money as a means to getting more money.	0 0 0 1 1 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	ADJ NOUN VERB ADP NOUN ADP DET NOUN ADP VERB ADJ NOUN
Beggars can't be choosers : better to depend even on dubious private money than a criminal state	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	on the money	literal	combined-other	NOUN VERB VERB NOUN PUNCT ADJ PART VERB ADV ADP ADJ ADJ NOUN ADP DET ADJ NOUN
This last means that the auctioneer when lie receives payment from the purchaser can deduct his commission charges before passing on the money to the vendor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the money	literal	identical	DET ADJ VERB ADP DET NOUN ADV NOUN VERB NOUN ADP DET NOUN VERB VERB ADJ NOUN NOUN ADP VERB ADP DET NOUN ADP DET NOUN
Getting your hands on your money could hardly be easier or quicker.	0 0 0 1 0 1 0 0 0 0 0 0	on the money	literal	determiner-broad	VERB ADJ NOUN ADP ADJ NOUN VERB ADV VERB ADJ CCONJ ADJ
They were to be sent to market next month and Ray was depending on the money.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	identical	PRON VERB PART VERB VERB ADP NOUN ADJ NOUN CCONJ PROPN VERB VERB ADP DET NOUN
At present the whole thing is on guilt money : ' I 'm glad it's not my kids.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	ADP ADJ DET ADJ NOUN VERB ADP NOUN NOUN PUNCT PUNCT PRON VERB ADJ PRON ADV ADJ NOUN
The last play I worked out that w we had one four hundred and thirty seven of those thirty seven would be er freebies to the homes in, in to bring it down to about four hundred and on the ticket money we took in, I would say about a hundred and twenty of those were erm er concessions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	insertion-other	DET ADJ NOUN PRON VERB PART ADP ADP PRON VERB NUM NUM NUM CCONJ NUM NUM ADP DET NUM NUM VERB VERB INTJ NOUN ADP DET NOUN ADP ADP PART VERB PRON PART ADP ADV NUM NUM CCONJ ADP DET NOUN NOUN PRON VERB PART PRON VERB VERB ADP DET NUM CCONJ NUM ADP DET VERB ADV INTJ NOUN
Solicitors should consider whether a charge arises on such moneys under s 16(6 ) of the Legal Aid Act 1988.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	NOUN VERB VERB ADP DET NOUN VERB ADP ADJ NOUN ADP NOUN NUM PUNCT ADP DET PROPN PROPN PROPN NUM
We won for a third time at Zandvoort, the first grand prix of the season : apart from the prize money, that moved us up a scale on the start money and suddenly I could see our way through the rest of the season.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	insertion-other	PRON VERB ADP DET ADJ NOUN ADP PROPN DET ADJ ADJ NOUN ADP DET NOUN PUNCT ADV ADP DET NOUN NOUN ADJ VERB PRON ADP DET NOUN ADP DET NOUN NOUN CCONJ ADV PRON VERB VERB ADJ NOUN ADP DET NOUN ADP DET NOUN
Relationships built on money will end when the money runs out.	0 0 1 1 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	NOUN VERB ADP NOUN VERB VERB ADV DET NOUN VERB PART
Well, the story was that Arnold Thomas was the ambitious one, while the old man was content to live on the money he got from leasing the land to them as paid the price, usually folk who wanted a storage area or distribution centre.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	identical	INTJ DET NOUN VERB ADP PROPN PROPN VERB DET ADJ NUM ADP DET ADJ NOUN VERB ADJ PART VERB ADP DET NOUN PRON VERB ADP VERB DET NOUN ADP PRON ADP VERB DET NOUN ADV NOUN NOUN VERB DET NOUN NOUN CCONJ NOUN NOUN
The return on this strategy is the difference between the value of the cash index at the end of the year and the futures price plus the interest earned on the money market investment :.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the money	literal	identical	DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADP DET NOUN ADP DET NOUN CCONJ DET NOUN NOUN CCONJ DET NOUN VERB ADP DET NOUN NOUN NOUN PUNCT
Mansell, 39, and a winner of 29 GPs went on : ' Any relationship between a driver and an F1 team is vital for success and partly dependent on money because it defines how seriously the team and its backers take the driver.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	PROPN NUM CCONJ DET NOUN ADP NUM NOUN VERB PART PUNCT PUNCT DET NOUN ADP DET NOUN CCONJ DET PROPN NOUN VERB ADJ ADP NOUN CCONJ ADV ADJ ADP NOUN ADP PRON VERB ADV ADV DET NOUN CCONJ ADJ NOUN VERB DET NOUN
I was having to survive on my dole money — which seemed to disappear the day I got it.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	on the money	literal	combined-other	PRON VERB VERB PART VERB ADP ADJ ADJ NOUN PUNCT ADJ VERB PART VERB DET NOUN PRON VERB PRON
Thus Cameron Hall Developments, who built the Gates head Metro Centre, seem to have done so on borrowed money and to have sold out to the Church Commissioners, although they remain in charge of operations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	ADV PROPN PROPN PROPN NOUN VERB DET PROPN NOUN PROPN PROPN VERB PART VERB VERB ADV ADP VERB NOUN CCONJ PART VERB VERB PART ADP DET PROPN PROPN ADP PRON VERB ADP NOUN ADP NOUN
The clearers tell the Bank of England of their target balances so this influence on the money market cash position will be known with reasonable certainty.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the money	literal	identical	DET NOUN VERB DET PROPN ADP PROPN ADP ADJ NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN VERB VERB VERB ADP ADJ NOUN
In the NHS it has meant allocations, based on last year's money usually updated for inflation with additional funds for anything new.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	on the money	literal	combined-other	ADP DET PROPN PRON VERB VERB NOUN VERB ADP ADJ NOUN NOUN ADV VERB ADP NOUN ADP ADJ NOUN ADP NOUN ADJ
MC Hammer is obviously on the money when he claims that Vanilla Ice stole his act.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the money	figurative	identical	PROPN PROPN VERB ADV ADP DET NOUN ADV PRON VERB ADP PROPN PROPN VERB ADJ NOUN
In an effort to stimulate the economy the Banque de France on March 18 lowered its intervention rate by 0.25 of a percentage point to 9 per cent(the first reduction since October ) " in line with the softening of rates on the money market and favourable elements regarding inflation ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the money	literal	identical	ADP DET NOUN PART VERB DET NOUN DET PROPN X PROPN ADP PROPN NUM VERB ADJ NOUN NOUN ADP NUM ADP DET NOUN NOUN ADP NUM ADP DET ADJ NOUN ADP PROPN PUNCT PUNCT ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN NOUN CCONJ ADJ NOUN VERB NOUN PUNCT
NOTE under the OT policy the exclusion wording on MONEY has not been relaxed and still refers to ' loss of money from an unattended vehicle unless secured in its locked boot '.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	combined-other	VERB ADP DET ADJ NOUN DET NOUN NOUN ADP PROPN VERB ADV VERB ADJ CCONJ ADV VERB ADP PUNCT NOUN ADP NOUN ADP DET ADJ NOUN ADP VERB ADP ADJ ADJ NOUN PUNCT
That's about the going rate for the pros who have yet to crack the top-25 on the money list, wherein lies what is known in these parts as " the long green " ( and we mean the colour of dollar bills, not a snake of a putting surface ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	identical	DET ADP DET VERB NOUN ADP DET NOUN NOUN VERB ADV PART VERB DET NUM ADP DET NOUN NOUN ADV VERB NOUN VERB VERB ADP DET NOUN ADP PUNCT DET ADJ ADJ PUNCT PUNCT CCONJ PRON VERB DET NOUN ADP NOUN NOUN ADV DET NOUN ADP DET VERB NOUN PUNCT
I couldn't dream of what I was going to do because you become so dependent on money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	on the money	literal	deletion-determiner	PRON VERB VERB ADP NOUN PRON VERB VERB PART VERB ADP PRON VERB ADV ADJ ADP NOUN
6 : According to the House of Commons Energy Committee, the price of PWR - generated electricity will be 6.5p per unit ( even with interest on borrowed money during construction omitted ), two to three times the cost of fossil - fuel generation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	NUM PUNCT VERB ADP DET PROPN ADP PROPN PROPN PROPN DET NOUN ADP PROPN PUNCT VERB NOUN VERB VERB NUM ADP NOUN PUNCT ADV ADP NOUN ADP VERB NOUN ADP NOUN VERB PUNCT NUM PART NUM NOUN DET NOUN ADP ADJ PUNCT NOUN NOUN
The President of the Bundesbank voiced the hope that interest rates on the money markets will drop rather than rise.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the money	literal	identical	DET PROPN ADP DET PROPN VERB DET NOUN ADP NOUN NOUN ADP DET NOUN NOUN VERB VERB ADV ADP VERB
11.2 Keynesian and monetarist views on money	0 0 0 0 0 1 1	on the money	literal	deletion-determiner	NUM ADJ CCONJ ADJ NOUN ADP NOUN
' And yet the banks already earn interest on customers ' money on current account, which they do not pass on. '	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	on the money	literal	combined-other	PUNCT CCONJ ADV DET NOUN ADV VERB NOUN ADP NOUN PART NOUN ADP ADJ NOUN ADJ PRON VERB ADV VERB PART PUNCT
order payment of interest on client's money ;	0 0 0 0 1 0 1 0	on the money	literal	combined-other	NOUN NOUN ADP NOUN ADP NOUN NOUN PUNCT
So we have to make sure the money you pay to us, actually is going to grow so it gives you a very good return on that money in twenty five years ' time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the money	literal	determiner-narrow	ADV PRON VERB PART VERB ADJ DET NOUN PRON VERB ADP PRON ADV VERB VERB PART VERB ADP PRON VERB PRON DET ADV ADJ NOUN ADP DET NOUN ADP NUM NUM NOUN PART NOUN
The individual receives an implicit yield on money because of its convenience value as a means of payment.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	DET NOUN VERB DET ADJ NOUN ADP NOUN ADP ADP ADJ NOUN NOUN ADP DET NOUN ADP NOUN
On the money that you owe.	1 0 1 0 0 0	on the money	literal	case	ADP DET NOUN ADJ PRON VERB
The two basic costs of inventory items are ( i ) ordering costs ie wages, administration and transport costs etc, and ( ii ) carrying, or holding costs ie interest on money invested in stock, storage costs, insurance costs etc.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	DET NUM ADJ NOUN ADP NOUN NOUN VERB PUNCT PUNCT PUNCT VERB VERB X NOUN NOUN CCONJ NOUN NOUN X CCONJ PUNCT PUNCT PUNCT NOUN CCONJ VERB NOUN VERB NOUN ADP NOUN VERB ADP NOUN NOUN NOUN NOUN NOUN X
These capacity charges were intended to cover the annual cost of the interest payments ( at the social rate of discount ) on the money used to build the plant.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the money	literal	identical	DET NOUN NOUN VERB VERB PART VERB DET ADJ NOUN ADP DET NOUN NOUN PUNCT ADP DET ADJ NOUN ADP NOUN PUNCT ADP DET NOUN VERB PART VERB DET NOUN
To try to discover the form which put him on the verge of Ryder Cup honours in 1989 he finished 17th on the money list that year Walton has gone through around a dozen putters.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	identical	PART VERB PART VERB DET NOUN ADJ VERB PRON ADP DET NOUN ADP PROPN PROPN NOUN ADP NUM PRON VERB NOUN ADP DET NOUN NOUN DET NOUN PROPN VERB VERB PART ADP DET NOUN NOUN
Erm how 'd you find it living on the money get on Social Security?	0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the money	literal	identical	NOUN ADV VERB PRON VERB PRON VERB ADP DET NOUN VERB ADP PROPN PROPN
After all, though she wasn't quite sure how she would have done it, she could have found some other way to lay hands on the money she needed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	on the money	literal	identical	ADV ADV ADP PRON VERB ADV ADJ ADV PRON VERB VERB VERB PRON PRON VERB VERB VERB DET ADJ NOUN PART VERB NOUN ADP DET NOUN PRON VERB
TAX ON THE INTEREST ON MONEY IN A BUILDING SOCIETY	0 0 0 0 1 1 0 0 0 0	on the money	literal	combined-other	NOUN ADP DET NOUN ADP PROPN ADP DET NOUN PROPN
The major changes affecting reporting accountants are the introduction of rules bringing controlled trust accounts within the scope of the accountant's report, and changes to one of the rules that relate to interest on client money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	determiner-broad	DET ADJ NOUN VERB NOUN NOUN VERB DET NOUN ADP NOUN VERB VERB NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ NOUN ADP NUM ADP DET NOUN ADJ VERB ADP NOUN ADP NOUN NOUN
Some drivers, however, say they can't live on less money and would prefer to lose their jobs rather than accept a cut.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	DET NOUN ADV VERB PRON VERB VERB ADP ADJ NOUN CCONJ VERB VERB PART VERB ADJ NOUN ADV ADP VERB DET NOUN
Trevino admitted last year that he could not wait to become a Seniors ' Tour player and, as he predicted, the lack of similar calibre players has allowed him to dominate, winning almost $ 300,000 more than Mike Hill, second on the money list.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the money	literal	identical	PROPN VERB ADJ NOUN ADP PRON VERB ADV VERB PART VERB DET PROPN PART PROPN NOUN CCONJ ADP PRON VERB DET NOUN ADP ADJ NOUN NOUN VERB VERB PRON PART VERB VERB ADV SYM NUM ADJ ADP PROPN PROPN ADV ADP DET NOUN NOUN
The big push would be diplomatic propaganda screwing the pound sterling on the money markets … mugging the Mother of Parliaments would 've been quite a job.’	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	identical	DET ADJ NOUN VERB VERB ADJ NOUN VERB DET NOUN NOUN ADP DET NOUN NOUN PUNCT VERB DET PROPN ADP PROPN VERB VERB VERB ADJ DET NOUN
He added : ' Managers are saying if trade unions at local level are not prepared to sign agreements, management will not pay the Rolls - Royce additional severance payments and would fall back on state money. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the money	literal	determiner-broad	PRON VERB PUNCT PUNCT NOUN VERB VERB ADP NOUN NOUN ADP ADJ NOUN VERB ADV ADJ PART VERB NOUN NOUN VERB ADV VERB DET PROPN PUNCT PROPN ADJ NOUN NOUN CCONJ VERB VERB ADV ADP NOUN NOUN PUNCT
It hasn't occurred to them that some people might actually have to survive on any money they 're given. '	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the money	literal	determiner-broad	PRON VERB VERB ADP PRON ADP DET NOUN VERB ADV VERB PART VERB ADP DET NOUN PRON VERB VERB PUNCT
Since, as we saw when looking at the financing of the PSBR, such borrowing does not increase the money supply, it reduces the otherwise expansionary effect on the money supply of the PSBR.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the money	literal	identical	ADP ADP PRON VERB ADV VERB ADP DET NOUN ADP DET ADJ ADJ NOUN VERB ADV VERB DET NOUN NOUN PRON VERB DET ADV ADJ NOUN ADP DET NOUN NOUN ADP DET PROPN
You can open a Premier Savings account with just £ 5000 and in return we will pay you our top rate of interest that is linked to those on the money markets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the money	literal	identical	PRON VERB VERB DET PROPN PROPN VERB ADP ADV SYM NUM CCONJ ADP NOUN PRON VERB VERB PRON ADJ ADJ NOUN ADP NOUN ADJ VERB VERB ADP DET ADP DET NOUN NOUN
‘ We 're agreed on the money?’	0 0 0 0 1 0 1	on the money	literal	dashes	PUNCT PRON VERB VERB ADP DET NOUN
Mind you I 'd get myself embarrassed in front of sixty million viewers if I was on her money	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	determiner-broad	VERB PRON PRON VERB VERB PRON ADJ ADP NOUN ADP NUM NUM NOUN ADP PRON VERB ADP ADJ NOUN
