ICL parent, Fujitsu Ltd, had no hand in development, but is keeping tabs on its sibling's progress.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	keep tabs on	figurative	inflection	ADJ NOUN PROPN PROPN VERB DET NOUN ADP NOUN CCONJ VERB VERB NOUN ADP ADJ NOUN NOUN
On the other hand there are, in some people's opinions, sinister overtones of being able to keep tabs on a person's movements, though how that differs from the present system I am not quite sure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	ADP DET ADJ NOUN ADV VERB ADP DET NOUN NOUN ADJ NOUN ADP VERB ADJ PART VERB NOUN ADP DET NOUN NOUN ADP ADV ADJ VERB ADP DET ADJ NOUN PRON VERB ADV ADV ADJ
I announce that I plan to throw one honey of a tantrum, complete with sound effects and meteorological events, if I am not instantly issued with a remote to keep tabs on my subject.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	keep tabs on	figurative	identical	PRON VERB ADP PRON VERB PART VERB NUM NOUN ADP DET NOUN ADJ ADP ADJ NOUN CCONJ ADJ NOUN ADP PRON VERB ADV ADV VERB ADP DET NOUN PART VERB NOUN ADP ADJ NOUN
If she asked, he would accuse her of nagging, of wanting to keep tabs on him.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	keep tabs on	figurative	identical	ADP PRON VERB PRON VERB VERB PRON ADP ADJ ADP VERB PART VERB NOUN ADP PRON
This means keeping close tabs on what is happening in Brussels.	0 0 1 0 1 1 0 0 0 0 0	keep tabs on	figurative	combined-inflection	DET VERB VERB ADJ NOUN ADP NOUN VERB VERB ADP PROPN
All these sort of things we, we keep tabs on.	0 0 0 0 0 0 0 1 1 1	keep tabs on	figurative	identical	ADJ DET NOUN ADP NOUN PRON PRON VERB NOUN PART
Remember I told you I 'd be keeping tabs on you even though I was far away?’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	VERB PRON VERB PRON PRON VERB VERB VERB NOUN ADP PRON ADV ADP PRON VERB ADV NUM
They patrol land and keep tabs on the gangs after tip offs from gamekeepers and farmers.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	PRON VERB NOUN CCONJ VERB NOUN ADP DET NOUN ADP NOUN NOUN ADP NOUN CCONJ NOUN
Dundee United, on the other hand, need a win at McDiarmid Park to keep tabs on Hearts in the chase for Europe.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	keep tabs on	figurative	identical	PROPN PROPN ADP DET ADJ NOUN VERB DET NOUN ADP PROPN PROPN PART VERB NOUN ADP PROPN ADP DET NOUN ADP PROPN
Keeping tabs on the motor trade	1 1 1 0 0 0	keep tabs on	figurative	combined-inflection	VERB NOUN ADP DET NOUN NOUN
In addition, with co - processing the order of the day at Sellafield, it is proving very difficult to keep tabs on who has what grade of plutonium where at any given moment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	ADP NOUN ADP NOUN PUNCT VERB DET NOUN ADP DET NOUN ADP PROPN PRON VERB VERB ADV ADJ PART VERB NOUN ADP NOUN VERB NOUN NOUN ADP NOUN ADV ADP DET VERB NOUN
They track every piece of hardware we got up there … just as we keep tabs on theirs.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	keep tabs on	figurative	identical	PRON VERB DET NOUN ADP NOUN PRON VERB ADV ADV PUNCT ADV ADP PRON VERB NOUN ADP NOUN
Understandably he kept tabs on me, trying to decide whether I was genuine before agreeing to negotiate with me.’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	ADV PRON VERB NOUN ADP PRON VERB PART VERB ADP PRON VERB ADJ ADP VERB PART VERB ADP NOUN
Sitting up straight - backed on her stool, she could flatter two men at once and still be watching a third in a mirror ; she could keep tabs on the whole shifting choreography at once.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	keep tabs on	figurative	identical	VERB PART ADV PUNCT VERB ADP ADJ NOUN PRON VERB ADV NUM NOUN ADP ADV CCONJ ADV VERB VERB DET NOUN ADP DET NOUN PUNCT PRON VERB VERB NOUN ADP DET ADJ VERB NOUN ADP ADV
For the untrained, keeping tabs on this type of equipment, both technically and administratively, can be difficult, but Powersafe has been set up specifically to manage the inspection and testing of electrical installations and equipment used in industry, commerce and public utilities.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	ADP DET ADJ VERB NOUN ADP DET NOUN ADP NOUN CCONJ ADV CCONJ ADV VERB VERB ADJ CCONJ PROPN VERB VERB VERB PART ADV PART VERB DET NOUN CCONJ NOUN ADP ADJ NOUN CCONJ NOUN VERB ADP NOUN NOUN CCONJ ADJ NOUN
They lack the stamina and the courage to keep close tabs on the mountain, he said.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	keep tabs on	figurative	insertion-other	PRON VERB DET NOUN CCONJ DET NOUN PART VERB ADJ NOUN ADP DET NOUN PRON VERB
‘ It's obviously their job to keep tabs on the financial situation and my job to provide enetertaining football on the pitch and win promotion.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	PUNCT PRON ADV ADJ NOUN PART VERB NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN PART VERB VERB NOUN ADP DET NOUN CCONJ NOUN NOUN
However much I might want to keep tabs on him, bumping into him several times a day in the corridor hardly seemed the best route to anonymity.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	ADV ADJ PRON VERB VERB PART VERB NOUN ADP PRON VERB ADP PRON ADJ NOUN DET NOUN ADP DET NOUN ADV VERB DET ADJ NOUN ADP NOUN
The Germans reckon it wise to keep tabs on the 350,000 or so Russian troops still in the east — guests, as it were— until the end of 1994, when the last one is due to have gone home.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	DET PROPN VERB PRON ADJ PART VERB NOUN ADP DET NUM CCONJ ADV ADJ NOUN ADV ADP DET NOUN PUNCT NOUN ADP PRON VERB ADP DET NOUN ADP NUM ADV DET ADJ NOUN VERB ADJ PART VERB VERB ADV
LEDs alongside certain buttons indicate which mode of operation has been selected and these do help in keeping tabs on what's happening during programming.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	keep tabs on	figurative	inflection	NOUN ADP ADJ NOUN VERB ADJ NOUN ADP NOUN VERB VERB VERB CCONJ DET VERB VERB ADP VERB NOUN ADP NOUN VERB ADP NOUN
