My neighbours were anxious to have some work done on their house.	0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN
It's in part a government, and partly E C funding programme, and er the rules on that have been changed which will make many more people eligible for assistance with er, er insulation on their houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	PRON ADP NOUN DET NOUN CCONJ ADV NOUN NOUN NOUN NOUN CCONJ INTJ DET NOUN ADP ADJ VERB VERB VERB ADJ VERB VERB ADJ ADJ NOUN ADJ ADP NOUN ADP INTJ INTJ NOUN ADP ADJ NOUN
I want work started on that house by the end of next week. '	0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	PRON VERB NOUN VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN PUNCT
A year or so ago, I went into Cartmel to do some work on the house of that oaf you have just seen.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	identical	DET NOUN CCONJ ADV ADV PRON VERB ADP PROPN PART VERB DET NOUN ADP DET NOUN ADP DET NOUN PRON VERB ADV VERB
Local councils will then have to collate the information and send out bills with details of the valuations put on houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	on the house	literal	deletion-determiner	ADJ NOUN VERB ADV VERB PART VERB DET NOUN CCONJ VERB PART NOUN ADP NOUN ADP DET NOUN VERB ADP NOUN
No novelist writing earlier than Dickens would, for example, have concentrated on a boarding house — not that fictional characters don't stay in them occasionally, but they are not seen from the landlady's ( or boarding house's ) point of view.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	DET NOUN VERB ADV ADP PROPN VERB ADP NOUN VERB VERB ADP DET VERB NOUN PUNCT ADV ADP ADJ NOUN VERB VERB ADP PRON ADV CCONJ PRON VERB ADV VERB ADP DET NOUN PUNCT CCONJ VERB NOUN PUNCT NOUN ADP NOUN
After the ceremony, the wedding party and their guests went to the Rotonde and Libion, the popular patron, offered champagne on the house and toasts were drunk enthusiastically.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the house	figurative	identical	ADP DET NOUN DET NOUN NOUN CCONJ ADJ NOUN VERB ADP DET PROPN CCONJ PROPN DET ADJ NOUN VERB NOUN ADP DET NOUN CCONJ NOUN VERB ADJ ADV
' People will slowly discover they can put down a five per cent deposit on a house without losing it in six months, ' he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	PUNCT NOUN VERB ADV VERB PRON VERB VERB PART DET NUM NOUN NOUN NOUN ADP DET NOUN ADP VERB PRON ADP NUM NOUN PUNCT PRON VERB
' On the house, ' says Rainbow, smiling wanly.	0 1 0 1 0 0 0 0 0	on the house	figurative	case	PUNCT ADP DET NOUN PUNCT VERB PROPN VERB ADV
What plague was there on this house?	0 0 0 0 1 0 1	on the house	literal	determiner-narrow	ADJ NOUN VERB ADV ADP DET NOUN
They 're putting your after layer and layer on that house.	0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-narrow	PRON VERB VERB PRON ADP NOUN CCONJ NOUN ADP DET NOUN
Police in Northumbria believe it is the first such attack on a house.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-narrow	NOUN ADP PROPN VERB PRON VERB DET ADJ ADJ NOUN ADP DET NOUN
I 'm working on my own house at the moment.	0 0 0 1 0 0 1 0 0 0	on the house	literal	combined-other	PRON VERB VERB ADP ADJ ADJ NOUN ADP DET NOUN
The reason for that is that they 're in a very good position in the market now, they, they can negotiate very good deals on houses they 're buying, there's a very good choice of properties available, people by the mid nineteen nineties will look back on nineteen ninety as probably the time to have bought, when house prices were at their cheapest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	deletion-determiner	DET NOUN ADP DET VERB ADP PRON VERB ADP DET ADV ADJ NOUN ADP DET NOUN ADV PRON PRON VERB VERB ADV ADJ NOUN ADP NOUN PRON VERB VERB ADV DET ADV ADJ NOUN ADP NOUN ADJ NOUN ADP DET ADJ NUM NOUN VERB VERB ADV ADP NUM NUM ADP ADV DET NOUN PART VERB VERB ADV NOUN NOUN VERB ADP ADJ ADJ
Colour and foliage can set off the most ordinary - looking house ‘ whereas a poorly kept garden with no trees or shrubs seems to place a dead hand on the house itself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the house	literal	identical	NOUN CCONJ NOUN VERB VERB PART DET ADV ADJ PUNCT VERB NOUN PUNCT ADP DET ADV VERB NOUN ADP DET NOUN CCONJ NOUN VERB PART VERB DET ADJ NOUN ADP DET NOUN PRON
It will fit most traditional downpipe grates on houses built between 1900 and 1982.	0 0 0 0 0 0 0 1 1 0 0 0 0 0	on the house	literal	deletion-determiner	PRON VERB VERB ADV ADJ ADJ NOUN ADP NOUN VERB ADP NUM CCONJ NUM
I emphasize this to make clear that what happened the following weekend was as unforeseeable as a plane falling on your house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	PRON VERB DET PART VERB ADJ ADP NOUN VERB DET VERB NOUN VERB ADV ADJ ADP DET NOUN VERB ADP ADJ NOUN
He's looking at the numbers on the houses isn't he?	0 0 0 0 0 1 0 1 0 0	on the house	literal	inflection	PRON VERB ADP DET NOUN ADP DET NOUN VERB PRON
In 1295 Edward had confiscated for war purposes the apport ( or fixed due ) which religious houses and estates in England dependent on mother houses abroad, particularly in Normandy, paid annually to those mother houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	ADP NUM PROPN VERB VERB ADP NOUN NOUN DET NOUN PUNCT CCONJ VERB ADJ PUNCT ADJ ADJ NOUN CCONJ NOUN ADP PROPN ADJ ADP NOUN NOUN ADV ADV ADP PROPN VERB ADV ADP DET NOUN NOUN
Leaving aside repairs, alterations, carpets and curtains, these costs could amount to £ 4,000 on a £ 75,000 house — a substantial figure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	on the house	literal	combined-other	VERB ADV NOUN NOUN NOUN CCONJ NOUN DET NOUN VERB VERB ADP SYM NUM ADP DET SYM NUM NOUN PUNCT DET ADJ NOUN
So anyhow he, his father said well that's right he said we 'll be probably covered on the house insurance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the house	literal	identical	ADV ADV PRON ADJ NOUN VERB INTJ DET ADJ PRON VERB PRON VERB VERB ADV VERB ADP DET NOUN NOUN
June Leaning, a babysitter from Humberside, has been jailed for life for an arson attack on a house in which two children in her care died.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	PROPN PROPN DET NOUN ADP PROPN VERB VERB VERB ADP NOUN ADP DET NOUN NOUN ADP DET NOUN ADP ADJ NUM NOUN ADP ADJ NOUN VERB
In the same year as Queen Victoria succeeded her uncle, King William IV, Dr. Edward Tuke took a lease on the Manor Farm House, in what by then was called Chiswick Lane, and it became a home for mentally ill gentle - persons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	ADP DET ADJ NOUN ADP PROPN PROPN VERB ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN PROPN ADP NOUN ADP ADV VERB VERB PROPN PROPN CCONJ PRON VERB DET NOUN ADP ADV ADJ ADJ PUNCT NOUN
THREE Tyneside men have appeared in court charged with £ 15,000 armed robbery on a house at Iveston near Consett, County Durham.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the house	literal	determiner-narrow	NUM PROPN NOUN VERB VERB ADP NOUN VERB ADP SYM NUM ADJ NOUN ADP DET NOUN ADP PROPN ADP PROPN PROPN PROPN
Some of the mud and rubbish washed down on the two houses Picture : PHIL MICHEU	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	on the house	literal	combined-inflection	DET ADP DET NOUN CCONJ NOUN VERB PART ADP DET NUM NOUN NOUN PUNCT NOUN NOUN
Stone - throwing attacks were subsequently reported on the houses of the Indian - born magistrate and defence lawyer.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the house	literal	inflection	NOUN PUNCT VERB NOUN VERB ADV VERB ADP DET NOUN ADP DET PROPN PUNCT VERB NOUN CCONJ NOUN NOUN
But seeing the debt on your house reduce is a very satisfying feeling. '	0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	determiner-broad	CCONJ VERB DET NOUN ADP ADJ NOUN VERB VERB DET ADV ADJ NOUN PUNCT
' Because we were having work done on our house, Sophie and I were staying in a rented place and it didn't have a phone.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PUNCT ADP PRON VERB VERB NOUN VERB ADP ADJ NOUN PROPN CCONJ PRON VERB VERB ADP DET VERB NOUN CCONJ PRON VERB VERB DET NOUN
I looked on the whole house as my special possession, thought Sara dismally.	0 0 1 0 0 1 0 0 0 0 0 0 0	on the house	literal	insertion-other	PRON VERB ADP DET ADJ NOUN ADP ADJ ADJ NOUN VERB PROPN ADV
In Oxford, Labour has used up the housing reserves and still owes £ 22 million on its council houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the house	literal	combined-inflection	ADP PROPN PROPN VERB VERB PART DET NOUN NOUN CCONJ ADV VERB SYM NUM NUM ADP ADJ NOUN NOUN
Plus the insurance on the house would pay up so you 'd have, ha bloody hell, so you 'd have about sixty grand in the bank.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	identical	CCONJ DET NOUN ADP DET NOUN VERB VERB PART ADV PRON VERB VERB INTJ ADJ NOUN ADV PRON VERB VERB ADV NUM NOUN ADP DET NOUN
Obviously I enjoyed having the opportunity to watch any nesting birds so close at hand — I could reach out of my bedroom window, when Mum wasn't around, and feel right inside the nest — but many of the neighbours looked on the house martins as pests who infested their property and made a mess.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	identical	ADV PRON VERB VERB DET NOUN PART VERB DET ADJ NOUN ADV ADV ADP NOUN PUNCT PRON VERB VERB ADP ADP ADJ NOUN NOUN ADV PROPN VERB ADV CCONJ VERB ADV ADP DET NOUN PUNCT CCONJ ADJ ADP DET NOUN VERB ADP DET NOUN NOUN ADP NOUN NOUN VERB ADJ NOUN CCONJ VERB DET NOUN
' Police have told us that they do not think it was a deliberate attack on our house because I am deputy leader. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the house	literal	determiner-broad	PUNCT NOUN VERB VERB PRON ADP PRON VERB ADV VERB PRON VERB DET ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADJ NOUN PUNCT
And they lost a fortune on their house, trying to sell it.	0 0 0 0 0 1 0 1 0 0 0 0	on the house	literal	determiner-broad	CCONJ PRON VERB DET NOUN ADP ADJ NOUN VERB PART VERB PRON
spent on his house and had it all.	0 1 0 1 0 0 0 0	on the house	literal	determiner-broad	VERB ADP ADJ NOUN CCONJ VERB PRON DET
He, say, needs a new roof on his house, so he checks how much he has in his account, gets a roofer to do the job, and writes him a cheque in pints.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PRON INTJ VERB DET ADJ NOUN ADP ADJ NOUN ADV PRON VERB ADV ADJ PRON VERB ADP ADJ NOUN VERB DET NOUN PART VERB DET NOUN CCONJ VERB PRON DET NOUN ADP NOUN
Bargeboards and finials match those on house.	0 0 0 0 0 1 1	on the house	literal	deletion-determiner	NOUN CCONJ NOUN VERB DET ADP NOUN
That means that you have to find, for example, £ 2,000 to £ 4,000 in ready money as a deposit on a £ 40,000 house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	on the house	literal	combined-other	DET VERB ADP PRON VERB PART VERB ADP NOUN SYM NUM PART SYM NUM ADP ADJ NOUN ADP DET NOUN ADP DET SYM NUM NOUN
He is remembered also for his work on the manor house at Clyst, where he endowed a chantry chapel.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	on the house	literal	insertion-other	PRON VERB VERB ADV ADP ADJ NOUN ADP DET NOUN NOUN ADP PROPN ADV PRON VERB DET NOUN NOUN
She's coming round, sh you know, she understands it's for her benefit as well because the doors on the council houses they 're like that, just rotten!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	on the house	literal	combined-inflection	PRON VERB ADV INTJ PRON VERB PRON VERB PRON ADP ADJ NOUN ADV ADV ADP DET NOUN ADP DET NOUN NOUN PRON VERB ADP DET ADV ADJ
I could hardly believe my eyes when I saw the amazing renovations Tom had done on his house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	PRON VERB ADV VERB ADJ NOUN ADV PRON VERB DET ADJ NOUN PROPN VERB VERB ADP ADJ NOUN
They have imposed their will on the House.	0 0 0 0 0 1 0 1	on the house	literal	case	PRON VERB VERB ADJ NOUN ADP DET PROPN
' Could you not perhaps raise a mortgage on your house?	0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	PUNCT VERB PRON ADV ADV VERB DET NOUN ADP ADJ NOUN
Oh it was yes, I mean y when you take now erm er a boatman, I mean, and he, he like today well they ring up, I mean today I know the Ipswich Port Authority they lay the phone on the houses and they pay for it for 'em	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	inflection	INTJ PRON VERB INTJ PRON VERB PRON ADV PRON VERB ADV ADV INTJ DET NOUN PRON VERB CCONJ PRON PRON INTJ NOUN INTJ PRON VERB PART PRON VERB NOUN PRON VERB DET PROPN PROPN PROPN PRON VERB DET NOUN ADP DET NOUN CCONJ PRON VERB ADP PRON ADP PRON
For days this hush lay on the house like dust.	0 0 0 0 0 1 0 1 0 0	on the house	literal	identical	ADP NOUN DET ADJ VERB ADP DET NOUN ADP NOUN
For producer Roger ~ Hsu, Elaine ~ Lu has more on the house and the story that captivated the city.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	identical	ADP NOUN PROPN PUNCT PROPN PROPN PUNCT PROPN VERB ADJ ADP DET NOUN CCONJ DET NOUN ADJ VERB DET NOUN
1823 " Now direct the Collector to pay Twenty pounds Sterling as the sum formerly stented, and to be appropriated for the suppression of thieves — of which sum the Collector will be discharged on paying the same to Mr. McAlpine … for his outlay on his dwelling house. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0	on the house	literal	combined-other	NUM PUNCT ADV VERB DET PROPN PART VERB NUM NOUN NOUN ADP DET NOUN ADV VERB CCONJ PART VERB VERB ADP DET NOUN ADP NOUN PUNCT ADP ADJ NOUN DET PROPN VERB VERB VERB ADP VERB DET ADJ ADP PROPN PROPN PUNCT ADP ADJ NOUN ADP ADJ VERB NOUN PUNCT
If not, I wouldn't be bankrupt but I would be taking out a second mortgage on the house.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	dashes	ADP ADV PRON VERB VERB ADJ CCONJ PRON VERB VERB VERB PART DET ADJ NOUN ADP DET NOUN
Playing your part can be as simple as being a good neighbour — keeping an eye on a neighbour's house while they 're away ; or even just letting the Police know if you see someone acting suspiciously around cars or property.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	VERB ADJ NOUN VERB VERB ADV ADJ ADP VERB DET ADJ NOUN PUNCT VERB DET NOUN ADP DET NOUN NOUN ADP PRON VERB ADV PUNCT CCONJ ADV ADV VERB DET NOUN VERB ADP PRON VERB NOUN VERB ADV ADP NOUN CCONJ NOUN
FOUR people arrested during a raid by drugs squad officers on a house in Colchester were released over the weekend.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	NUM NOUN VERB ADP DET NOUN ADP NOUN ADJ NOUN ADP DET NOUN ADP PROPN VERB VERB ADP DET NOUN
One correspondent, seeking to explain the motives behind the attack on the meeting - houses in the west midlands in the summer of 1715, informed Staffordshire MP, William Ward, that the rioters have got a Notion, that the Ministry and Dissenters have ruined Trade, on Purpose to make the Nation out of Love with the late Peace, and Peace - makers ; and because the Ministry, and secret Committee, and their Friends, will not let the Country have Peace and Trade, they resolve ( if they can hinder it ) the Dissenters shall not have a quiet Toleration.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-inflection	NUM NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NUM VERB PROPN PROPN PROPN PROPN ADP DET NOUN VERB VERB DET PROPN ADP DET PROPN CCONJ PROPN VERB VERB PROPN ADP PROPN PART VERB DET NOUN ADP ADP PROPN ADP DET ADJ NOUN CCONJ NOUN PUNCT NOUN PUNCT CCONJ ADP DET PROPN CCONJ ADJ PROPN CCONJ ADJ PROPN VERB ADV VERB DET PROPN VERB PROPN CCONJ PROPN PRON VERB PUNCT ADP PRON VERB VERB PRON PUNCT DET PROPN VERB ADV VERB DET ADJ NOUN
There was none of the constant supervision that you got in Holloway, just one officer on the house for twenty - two women, and no screw on at night, which absolutely amazed me.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	identical	ADV VERB NOUN ADP DET ADJ NOUN ADJ PRON VERB ADP PROPN ADV NUM NOUN ADP DET NOUN ADP NUM PUNCT NUM NOUN CCONJ DET NOUN PART ADP NOUN ADJ ADV VERB PRON
They 'd hear it th th they wouldn't erm they 'd know through the agent, when the ships were coming they used to make it their business to go and find out you see but today th they even got telephones on the houses now so they can call 'em out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	inflection	PRON VERB VERB PRON X X PRON VERB VERB PRON VERB VERB ADP DET NOUN ADV DET NOUN VERB VERB PRON VERB PART VERB PRON ADJ NOUN PART VERB CCONJ VERB PART PRON VERB CCONJ NOUN X PRON ADV VERB NOUN ADP DET NOUN ADV ADP PRON VERB VERB PRON PART
Pater's as busy as ever, of course, but the mater has kept on the house in London since Madeleine's season, so I spend quite a lot of time in the Great Big City seeing shows, etc. etc.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	identical	PROPN ADV ADJ ADP ADV ADP NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN ADP PROPN ADP PROPN NOUN CCONJ PRON VERB ADJ DET NOUN ADP NOUN ADP DET PROPN PROPN PROPN NOUN NOUN X X
923 the court was concerned with three guarantees entered into by a husband and wife to cover the indebtedness of a family company of which both were shareholders and directors and with three charges on the wife's house executed by her in favour of the bank securing the same indebtedness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	NUM DET NOUN VERB VERB ADP NUM NOUN VERB ADP ADP DET NOUN CCONJ NOUN PART VERB DET NOUN ADP DET NOUN NOUN ADP ADJ DET VERB NOUN CCONJ NOUN CCONJ ADP NUM NOUN ADP DET NOUN NOUN VERB ADP PRON ADP NOUN ADP DET NOUN VERB DET ADJ NOUN
They picked the lock on the house, the front fucking door.	0 0 0 0 1 0 1 0 0 0 0	on the house	literal	identical	PRON VERB DET NOUN ADP DET NOUN DET ADJ ADJ NOUN
This can be anything from a loan of £ 10 to tide your sister over to her next pay cheque, to substantial gifts like giving your grandson the money for the deposit on his first house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the house	literal	combined-other	DET VERB VERB NOUN ADP DET NOUN ADP SYM NUM PART VERB ADJ NOUN PART ADP ADJ ADJ NOUN NOUN ADP ADJ NOUN ADP VERB ADJ NOUN DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN
I mean the Halifax charged me three hundred pounds for this and I 've already got a mortgage with them, so they don't need to do any sort of er er in depth surveys, or, or, or assessments on the house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	identical	PRON VERB DET PROPN VERB PRON NUM NUM NOUN ADP DET CCONJ PRON VERB ADV VERB DET NOUN ADP PRON ADV PRON VERB VERB PART VERB DET NOUN ADP INTJ INTJ ADP NOUN NOUN CCONJ CCONJ CCONJ NOUN ADP DET NOUN
Failing that he had married money ( little though one would think it, mused Viola, to look at her ) and now that much of that was gone on an over - large house, over - large cars, and over - large meals, Desmond was back in the market - place, avid for a quick kill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	VERB ADP PRON VERB VERB NOUN PUNCT ADJ ADP PRON VERB VERB PRON ADJ PROPN PART VERB ADP PRON PUNCT CCONJ ADV ADP ADJ ADP DET VERB VERB ADP DET ADP PUNCT ADJ NOUN ADP PUNCT ADJ NOUN CCONJ ADP PUNCT ADJ NOUN PROPN VERB ADV ADP DET NOUN PUNCT NOUN ADJ ADP DET ADJ NOUN
Considerable damage was done both by the defenders, who had burned the suburbs before retreating within the walls, and by the Parliamentary troops who wreaked vengeance on the houses of Royalist gentry and upon the hated cathedral.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the house	literal	inflection	ADJ NOUN VERB VERB CCONJ ADP DET NOUN NOUN VERB VERB DET NOUN ADP VERB ADP DET NOUN CCONJ ADP DET ADJ NOUN NOUN VERB NOUN ADP DET NOUN ADP PROPN NOUN CCONJ ADP DET VERB NOUN
