‘ It was touch and go financially,’ says Rudd.	0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	PUNCT PRON VERB NOUN CCONJ VERB PROPN VERB PROPN
After a few touch - and - goes I was able to clean - up slickly : throttles carefully forward a couple of inches at main - wheel touch ( no automatic fuel control below 16,000 rpm ), hold the nose - wheel an inch or two off the tarmac and retract the airbrakes ( thumb switch up for speed - up ), a bit more throttle, flaps to fifteen ( toggle switch on side console forward — don't even contemplate touching that too - obtrusive up - and - down flap - shaped undercarriage selector in the corner of you eye on the panel ahead ), more power, the roar deepens with a steady push from behind, glance at the ASI, full throttle, speed building through ninety, rotate, positive climb, gear up, speed 120, flaps up speed 170, crank on the bank and we are downwind again.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	combined-inflection	ADP DET ADJ NOUN PUNCT CCONJ PUNCT VERB PRON VERB ADJ PART VERB PUNCT PART ADV PUNCT NOUN ADV ADP DET NOUN ADP NOUN ADP ADJ PUNCT NOUN NOUN PUNCT DET ADJ NOUN NOUN ADP NUM NOUN PUNCT VERB DET NOUN PUNCT NOUN DET NOUN CCONJ NUM ADP DET NOUN CCONJ VERB DET NOUN PUNCT NOUN VERB PART ADP NOUN PUNCT NOUN PUNCT DET NOUN ADJ NOUN NOUN ADP NUM PUNCT NOUN NOUN ADP NOUN NOUN ADV PUNCT VERB ADV VERB VERB ADP ADV PUNCT NOUN PART PUNCT CCONJ PUNCT PART NOUN PUNCT ADJ NOUN NOUN ADP DET NOUN ADP PRON NOUN ADP DET NOUN ADV PUNCT ADJ NOUN DET NOUN VERB ADP DET ADJ NOUN ADP ADV NOUN ADP DET PROPN ADJ NOUN NOUN NOUN ADP NUM VERB ADJ NOUN VERB PART NOUN NUM NOUN ADP NOUN NUM VERB ADP DET NOUN CCONJ PRON VERB ADV ADV
At that point Banana manager Keith Lambert instructed Luckwell to drop back and help with the chase and it was touch and go as the next group brought the gap down to three minutes on the finishing circuit at Rotherham.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	ADP DET NOUN PROPN NOUN PROPN PROPN VERB PROPN PART VERB ADV CCONJ VERB ADP DET NOUN CCONJ PRON VERB NOUN CCONJ VERB ADP DET ADJ NOUN VERB DET NOUN ADV ADP NUM NOUN ADP DET VERB NOUN ADP PROPN
Those of us who witnessed the touch - and - go progress of an ultimately triumphant War and Peace — recorded by Philips for release early next year — feared for the future of the rest, but as Gergiev puts it ' that which makes me incredibly proud is that I announced these things and they happened ' — and, one might add, that inspiration was to hand for rather more performances than the fiercely self - critical Gergiev might admit.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	dashes	DET ADP PRON NOUN VERB DET NOUN PUNCT CCONJ PUNCT VERB NOUN ADP DET ADV NOUN PROPN CCONJ PROPN PUNCT VERB ADP PROPN ADP NOUN ADV ADJ NOUN PUNCT VERB ADP DET NOUN ADP DET NOUN CCONJ ADP PROPN VERB PRON PUNCT ADP ADJ VERB PRON ADV ADJ VERB ADP PRON VERB DET NOUN CCONJ PRON VERB PUNCT PUNCT CCONJ PRON VERB VERB DET NOUN VERB PART VERB ADP ADV ADJ NOUN ADP DET ADV NOUN PUNCT ADJ PROPN VERB VERB
The operation was really touch and go there for awhile but the doctor thinks he 'll pull through.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	DET NOUN VERB ADV VERB CCONJ VERB ADV ADP ADV CCONJ DET NOUN VERB PRON VERB VERB PART
It was touch and go all the way.’	0 0 1 1 1 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB ADJ DET ADJ
But it was often touch and go.	0 0 0 0 1 1 1	touch and go	figurative	identical	CCONJ PRON VERB ADV NOUN CCONJ VERB
The last couple of times Yanto had seen him before joining the army, it had been touch and go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	touch and go	figurative	identical	DET ADJ NOUN ADP NOUN PROPN VERB VERB PRON ADP VERB DET NOUN PRON VERB VERB NOUN CCONJ VERB
I SHOULD like to have your opinion regarding a touch and go subject : namely toilet facilities at football grounds.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB VERB PART VERB ADJ NOUN VERB DET NOUN CCONJ VERB ADJ PUNCT ADV NOUN NOUN ADP NOUN NOUN
Touch and go.	1 1 1	touch and go	figurative	case	NOUN CCONJ VERB
It is still touch and go whether Americans will go into the election feeling better off than four years ago or whether they will still be blaming their President for keeping them comparatively poor — that's to say, better off on average than anybody else in the world but not by as much as before.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB ADV VERB CCONJ VERB ADP PROPN VERB VERB ADP DET NOUN NOUN ADJ ADV ADP NUM NOUN ADV CCONJ ADP PRON VERB ADV VERB VERB ADJ PROPN ADP VERB PRON ADV ADJ PUNCT DET PART VERB ADJ PART ADP ADJ ADP NOUN ADV ADP DET NOUN CCONJ ADV ADP ADV ADJ ADP ADV
it was touch and go for a time and when Leicester hit back with an equaliser from Whitlow a draw seemed the best they could hope for …	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB ADP DET NOUN CCONJ ADV PROPN VERB PART ADP DET NOUN ADP PROPN DET NOUN VERB DET ADJ PRON VERB VERB ADP PUNCT
Things are touch - and - go.	0 0 1 0 1 0 1	touch and go	figurative	dashes	NOUN VERB NOUN PUNCT CCONJ PUNCT VERB
And we 've got a circuit breaker touch and go.	0 0 0 0 0 0 0 1 1 1	touch and go	figurative	identical	CCONJ PRON VERB VERB DET NOUN NOUN NOUN CCONJ VERB
It was always touch and go whether he would be fit to take his place, and he only got the nod after coming through a trial game without any problems.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB ADV VERB CCONJ VERB ADP PRON VERB VERB ADJ PART VERB ADJ NOUN CCONJ PRON ADV VERB DET NOUN ADP VERB ADP DET NOUN NOUN ADP DET NOUN
It was touch - and - go whether she could reach the pram before it either overturned or leapt from the rocky wall at the foot of the bank on to the road, along which traffic was speeding in both directions.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	dashes	PRON VERB NOUN PUNCT CCONJ PUNCT VERB ADP PRON VERB VERB DET NOUN ADP PRON CCONJ VERB CCONJ ADJ ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADP DET NOUN ADP ADJ NOUN VERB VERB ADP DET NOUN
It was quite coincidental that June, by her search for a new life in California, drew him towards what would be the hub of the rest of his life and it was touch and go whether he stayed or went back to Neptune.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB ADV ADJ ADP PROPN ADP ADJ NOUN ADP DET ADJ NOUN ADP PROPN VERB PRON ADP NOUN VERB VERB DET NOUN ADP DET NOUN ADP ADJ NOUN CCONJ PRON VERB NOUN CCONJ VERB ADP PRON VERB CCONJ VERB ADV ADP PROPN
But it was touch and go at Munich.	0 0 0 1 1 1 0 0	touch and go	figurative	identical	CCONJ PRON VERB NOUN CCONJ VERB ADP PROPN
By the time we reached Llanberis it was touch and go whether we would make it back to base at all that night.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	ADP DET NOUN PRON VERB PROPN PRON VERB NOUN CCONJ VERB ADP PRON VERB VERB PRON ADV ADP NOUN ADV ADV DET NOUN
It is touch and go whether Mr Major can grow these qualities in time.	0 0 1 1 1 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB ADP PROPN PROPN VERB VERB DET NOUN ADP NOUN
' Unfortunately, Simon's going to be touch - and - go again because he has hamstring trouble, but if Jonesy can work his magic again we can't rule him out.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	dashes	PUNCT ADV PROPN VERB PART VERB NOUN PUNCT CCONJ PUNCT VERB ADV ADP PRON VERB VERB NOUN CCONJ ADP PROPN VERB VERB ADJ NOUN ADV PRON VERB VERB PRON PART
It was touch and go, because gardenias in particular are very moody.	0 0 1 1 1 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB ADP NOUN ADP ADJ VERB ADV ADJ
It was touch and go — wasn't it, heh?— whether the White Sheep would beat the Turks into Trebizond.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB PUNCT VERB PRON NOUN ADP DET PROPN PROPN VERB VERB DET PROPN ADP PROPN
