The shoulder belays and cricket sweaters were intended to look the part.	0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	DET NOUN NOUN CCONJ NOUN NOUN VERB VERB PART VERB DET NOUN
Bajan Blues looks the part in the Sportsman Hunter Chase, Fly By North may solve the Maze Handicap Hurdle and Carton may take the Moira Novice Chase.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN PROPN VERB ADP PROPN VERB VERB DET PROPN PROPN PROPN CCONJ PROPN VERB VERB DET PROPN PROPN PROPN
Holders look the part	0 1 0 1	look the part	figurative	identical	NOUN VERB DET NOUN
I do prefer to wear smart clothes for work ; it's still not easy for women in business to be taken seriously — I like to look the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	PRON VERB VERB PART VERB ADJ NOUN ADP NOUN PUNCT PRON ADV ADV ADJ ADP NOUN ADP NOUN PART VERB VERB ADV PUNCT PRON VERB PART VERB DET NOUN
Teamed with plain or multi - print shirts they look the part whether you are going for a meal, to the pub or to work.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	VERB ADP ADJ CCONJ ADJ PUNCT NOUN NOUN PRON VERB DET NOUN ADP PRON VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PART VERB
SMOOTH OPERATOR Sean Connery certainly looked the part of secret agent 007 — but he was no real - life hero	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	ADJ NOUN PROPN PROPN ADV VERB DET NOUN ADP ADJ NOUN NUM PUNCT CCONJ PRON VERB DET ADJ PUNCT NOUN NOUN
on form Crewe look the part … but they have to run out of steam sometime	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	ADP NOUN PROPN VERB DET NOUN PUNCT CCONJ PRON VERB PART VERB ADP ADP NOUN ADV
Silk Slippers certainly looks the part, being a staying filly with speed in the mould of Midway Lady, who took the 1,000 and Oaks three years ago.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN ADV VERB DET NOUN VERB DET VERB ADV ADP NOUN ADP DET NOUN ADP PROPN PROPN NOUN VERB DET NUM CCONJ PROPN NUM NOUN ADV
Some cite the success of Raves and warehouse parties, for which it's essential to look the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	DET VERB DET NOUN ADP PROPN CCONJ NOUN NOUN ADP ADJ PRON ADJ PART VERB DET NOUN
Only Morrissey looked the part, ensconced as he was in a wild celebration of his now successful madness.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	ADV PROPN VERB DET NOUN VERB ADP PRON VERB ADP DET ADJ NOUN ADP ADJ ADV ADJ NOUN
Poise was going to be the order of the day — poise and sophistication ; she had taken great care to look the part, now all she had to do was feel that way too.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	PROPN VERB VERB PART VERB DET NOUN ADP DET NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON VERB VERB ADJ NOUN PART VERB DET NOUN ADV DET PRON VERB PART VERB VERB VERB DET NOUN ADV
James Spicer had been a major in an infantry regiment and looked the part in a well - cut tweed suit, burnished brown brogues and his regimental tie.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN VERB VERB DET NOUN ADP DET NOUN NOUN CCONJ VERB DET NOUN ADP DET ADV PUNCT VERB NOUN NOUN VERB ADJ NOUN CCONJ ADJ ADJ NOUN
But not content with just looking the part, Spotted Eagle has spent thirty years studying the history and culture of the native American Indian.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	CCONJ ADV ADJ ADP ADV VERB DET NOUN PROPN PROPN VERB VERB NUM NOUN VERB DET NOUN CCONJ NOUN ADP DET ADJ PROPN PROPN
IF you want to look the part in the nineties, don't wear make - up.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	look the part	figurative	identical	ADP PRON VERB PART VERB DET NOUN ADP DET NOUN VERB VERB VERB PUNCT NOUN
Might as well look the part, since all artists were considered crazy and bohemian.	0 0 0 1 0 1 0 0 0 0 0 0 0 0	look the part	figurative	identical	VERB ADV ADV VERB DET NOUN ADP DET NOUN VERB VERB ADJ CCONJ ADJ
She removed the clinging pink sweater, made famous by the Hollywood Oomph Girl, Lana Turner but which made Sylvia look the part of a streetwalker, and stripped herself of the gaudy, lace - edged cami - knickers she wore beneath.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	PRON VERB DET VERB ADJ NOUN VERB ADJ ADP DET PROPN PROPN PROPN PROPN PROPN CCONJ ADJ VERB PROPN VERB DET NOUN ADP DET NOUN CCONJ VERB PRON ADP DET ADJ NOUN PUNCT VERB NOUN PUNCT NOUN PRON VERB ADV
Women tend to look for three to four things, your shoes, your fingernails, ties and socks, okay so make sure you look the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	NOUN VERB PART VERB ADP NUM PART NUM NOUN ADJ NOUN ADJ NOUN NOUN CCONJ NOUN INTJ ADV VERB ADJ PRON VERB DET NOUN
‘ Please look the part’ says the man with a grunt,	0 0 1 0 1 0 0 0 0 0 0	look the part	figurative	dashes	PUNCT INTJ VERB DET NOUN VERB DET NOUN ADP DET NOUN
She looks the part and no doubt would enjoy every minute of it.’	0 1 0 1 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PRON VERB DET NOUN CCONJ DET NOUN VERB VERB DET NOUN ADP NOUN
Teamed with plain or multi - print shirts they look the part whether you are going for a meal, to the pub or to work.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	VERB ADP ADJ CCONJ ADJ PUNCT NOUN NOUN PRON VERB DET NOUN ADP PRON VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PART VERB
He looks the part at centre back as well.	0 1 0 1 0 0 0 0 0	look the part	figurative	inflection	PRON VERB DET NOUN ADP NOUN ADV ADV ADV
As a young romeo, Crawford had to look the part.	0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	ADP DET ADJ NOUN PROPN VERB PART VERB DET NOUN
ABS Computers Ltd, formerly the Allied Business Systems small business computer manufacturer, has long looked a vestigial part of the Trafalgar House Plc empire, too small to turn up in the annual report, and giving the impression that top management was unaware of its existence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	combined-inflection	NOUN NOUN PROPN ADV DET PROPN PROPN PROPN ADJ NOUN NOUN NOUN VERB ADV VERB DET ADJ NOUN ADP DET PROPN PROPN PROPN NOUN ADV ADJ PART VERB PART ADP DET ADJ NOUN CCONJ VERB DET NOUN ADP ADJ NOUN VERB ADJ ADP ADJ NOUN
One would have to say that the standard of dress on the European Tour is nowadays not too far removed from that in the States, bearing in mind that the climate on that side of the Atlantic makes it easier to look the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	PRON VERB VERB PART VERB ADP DET NOUN ADP NOUN ADP DET PROPN PROPN VERB ADV ADV ADV ADV VERB ADP DET ADP DET PROPN VERB ADP NOUN ADP DET NOUN ADP DET NOUN ADP DET PROPN VERB PRON ADJ PART VERB DET NOUN
Mandy and Debby looked the part all right, they looked tough enough for this, particularly Debby, who gave me so much eye - contact and hand - on - knee and dressing - gown disclosure that I almost asked for her telephone number.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN CCONJ PROPN VERB DET NOUN ADV INTJ PRON VERB ADJ ADV ADP DET ADV PROPN NOUN VERB PRON ADV ADJ NOUN PUNCT NOUN CCONJ NOUN PUNCT ADP PUNCT NOUN CCONJ NOUN PUNCT NOUN NOUN ADP PRON ADV VERB ADP ADJ NOUN NOUN
