grind to a halt!	1 1 0 1	grind to a halt	figurative	identical	VERB ADP DET NOUN
Compare the problems in Glen Nevis where in summer traffic all but grinds to a halt, to see the possible outcome.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	grind to a halt	figurative	inflection	VERB DET NOUN ADP PROPN PROPN ADV ADP NOUN NOUN DET ADP VERB ADP DET NOUN PART VERB DET ADJ NOUN
Without G Ps like Dr Horner, the fifty bed hospital would grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP PROPN PROPN ADP PROPN PROPN DET NUM NOUN NOUN VERB VERB ADP DET NOUN
Possibly the greatest fear one might have is that, because the lesson is relatively unstructured, it could grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADV DET ADJ NOUN PRON VERB VERB VERB DET ADP DET NOUN VERB ADV ADJ PRON VERB VERB ADP DET NOUN
The bus ground to a halt alongside an open stall selling fruit and cold drinks and thin white slices of fresh coconut arranged in a fan shape beneath a sparkling jet of water.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN VERB NOUN CCONJ ADJ NOUN CCONJ ADJ ADJ NOUN ADP ADJ NOUN VERB ADP DET NOUN NOUN ADP DET ADJ NOUN ADP NOUN
The fuss will subside and the bandwagon will grind to a halt, but the practice will remain.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	grind to a halt	figurative	identical	DET NOUN VERB VERB CCONJ DET NOUN VERB VERB ADP DET NOUN CCONJ DET NOUN VERB VERB
Just about everyone hoped they would disappear without trace when that tide ebbed and frenetic buying and selling ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADV ADP NOUN VERB PRON VERB VERB ADP NOUN ADV DET NOUN VERB CCONJ ADJ NOUN CCONJ NOUN NOUN ADP DET NOUN
Despite the fact that the war had ground to a halt while the commanders - in - chief of both armies languished in their respective prisons, the young sprig confronting him obviously took his guard duty seriously.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN PUNCT ADP PUNCT NOUN ADP DET NOUN VERB ADP ADJ ADJ NOUN DET ADJ NOUN VERB PRON ADV VERB ADJ NOUN NOUN ADV
As the traffic ground to a halt he glanced round and then behind him.	0 0 0 1 1 0 1 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADP DET NOUN NOUN ADP DET NOUN PRON VERB ADV CCONJ ADV ADP PRON
But given that you 're really in the market place situation, if you have goods which nobody wants to sell then eventually you 're going to have to grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	CCONJ VERB ADP PRON VERB ADV ADP DET NOUN NOUN NOUN ADP PRON VERB NOUN ADJ NOUN VERB PART VERB ADV ADV PRON VERB VERB PART VERB PART VERB ADP DET NOUN
The freehold pub market rose by nearly 40 per cent last year, while residential prices ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	DET NOUN NOUN NOUN VERB ADP ADV NUM ADP NOUN ADJ NOUN ADP ADJ NOUN VERB ADP DET NOUN
As the great surge of modernism finally seemed to grind to a halt, artists and public were apparently offered two choices : either to celebrate postmodern confusion, or to turn back to older and more insular traditions.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	ADP DET ADJ NOUN ADP NOUN ADV VERB PART VERB ADP DET NOUN NOUN CCONJ NOUN VERB ADV VERB NUM NOUN PUNCT CCONJ PART VERB NOUN NOUN CCONJ PART VERB ADV ADP ADJ CCONJ ADV ADJ NOUN
But without western investment their already degraded energy complex would grind to a halt.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	CCONJ ADP ADJ NOUN ADJ ADV VERB NOUN NOUN VERB VERB ADP DET NOUN
And while the house market has ground to a halt, you 'll have to move quickly if you want to become a pub landlord.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	CCONJ ADP DET NOUN NOUN VERB VERB ADP DET NOUN PRON VERB VERB PART VERB ADV ADP PRON VERB PART VERB DET NOUN NOUN
Caught between strike and slump, the tailoring trade ground to a halt.	0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	VERB ADP NOUN CCONJ NOUN DET NOUN NOUN NOUN ADP DET NOUN
He needs to get his act together because if this continues then it will be Moat today and it 'll be other issues tomorrow and frankly the business of this council will grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	PRON VERB PART VERB ADJ NOUN ADV ADP ADP DET VERB ADV PRON VERB VERB PROPN NOUN CCONJ PRON VERB VERB ADJ NOUN NOUN CCONJ ADV DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN
As we had been warned, our progress was punctuated by the boat grinding to a halt where the water shallowed.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	grind to a halt	figurative	inflection	ADP PRON VERB VERB VERB ADJ NOUN VERB VERB ADP DET NOUN VERB ADP DET NOUN ADV DET NOUN VERB
You certainly don't want your computer grinding to a halt in the middle of your important statement run.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PRON ADV VERB VERB ADJ NOUN VERB ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN NOUN
Most drug research in that country has ground to a halt, and Canada is now a substantial net importer of medicines.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADJ NOUN NOUN ADP DET NOUN VERB VERB ADP DET NOUN CCONJ PROPN VERB ADV DET ADJ ADJ NOUN ADP NOUN
To make matters worse, the Czech - Slovak clearing system has also all but ground to a halt and simple financial transactions between companies in the two the states are currently taking one to two months to complete, according to local businessmen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PART VERB NOUN ADJ DET PROPN PUNCT PROPN NOUN NOUN VERB ADV DET CCONJ VERB ADP DET NOUN CCONJ ADJ ADJ NOUN ADP NOUN ADP DET NUM DET NOUN VERB ADV VERB NUM PART NUM NOUN PART VERB VERB ADP ADJ NOUN
Without their support some of the giants of British business would quickly grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP ADJ NOUN DET ADP DET NOUN ADP ADJ NOUN VERB ADV VERB ADP DET NOUN
Football clashes between the age - old rivals have ground to a halt partly because outpourings of nationalism have sometimes got out of hand.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	NOUN NOUN ADP DET NOUN PUNCT ADJ NOUN VERB VERB ADP DET NOUN ADV ADP NOUN ADP NOUN VERB ADV VERB ADP ADP NOUN
Without them, many of the ecological processes upon which we and other organisms knowingly or unknowingly depend, would soon grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP PRON ADJ ADP DET ADJ NOUN ADP ADJ PRON CCONJ ADJ NOUN ADV CCONJ ADV VERB VERB ADV VERB ADP DET NOUN
So my answer to the question A is, I am not against a new settlement, of the right scale in the right location, but it is not a panacea, it is not an answer to all the questions, now it's being offered in terms of a balanced strategy, I say that balanced strategy as put forward does not work, certainly beyond two thousand and six, and may grind to a halt well before two thousand and six if rates of development proceed er as they have done in certain years in the past, so it's very important to look at that, can we just revisit the public acceptance of the new settlement, of course the public have accepted it and welcomed it, it has certain attractions, I support those attractions, however it's easy for the public to accept that when measured against certain sites specific proposals that were put to them when they did not know where the new settlement would be, and still do not know, when new settlement locations are put forward it will be quite a different scenario.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	ADV ADJ NOUN ADP DET NOUN NOUN VERB PRON VERB ADV ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN CCONJ PRON VERB ADV DET NOUN PRON VERB ADV DET NOUN ADP ADJ DET NOUN ADV PRON VERB VERB ADP NOUN ADP DET ADJ NOUN PRON VERB ADP ADJ NOUN ADP VERB ADV VERB ADV VERB ADV ADP NUM NUM CCONJ NUM CCONJ VERB VERB ADP DET NOUN ADV ADP NUM NUM CCONJ NUM ADP NOUN ADP NOUN VERB INTJ ADP PRON VERB VERB ADP ADJ NOUN ADP DET NOUN CCONJ PRON ADV ADJ PART VERB ADP DET VERB PRON ADV VERB DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN DET NOUN VERB VERB PRON CCONJ VERB PRON PRON VERB ADJ NOUN PRON VERB DET NOUN ADV PRON ADJ ADP DET NOUN PART VERB ADP ADV VERB ADP ADJ NOUN ADJ NOUN ADJ VERB VERB ADP PRON ADV PRON VERB ADV VERB ADV DET ADJ NOUN VERB VERB CCONJ ADV VERB ADV VERB ADV ADJ NOUN NOUN VERB VERB ADV PRON VERB VERB ADV DET ADJ NOUN
We are grinding to a halt on those aren't we?	0 0 1 1 0 1 0 0 0 0	grind to a halt	figurative	inflection	PRON VERB VERB ADP DET NOUN ADP DET VERB PRON
The inter - city train from Liverpool ground to a halt near Berkhampstead, Herts, after hitting several obstacles at full speed.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET NOUN PUNCT NOUN NOUN ADP PROPN NOUN ADP DET NOUN ADP PROPN PROPN ADP VERB ADJ NOUN ADP ADJ NOUN
The minister's entourage and assembled media swept into the narrow office building only to grind to a halt on the stairs while he and Mr Fallon shut themselves off for a brief chat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	DET NOUN NOUN CCONJ VERB NOUN VERB ADP DET ADJ NOUN NOUN ADV PART VERB ADP DET NOUN ADP DET NOUN ADP PRON CCONJ PROPN PROPN VERB PRON PART ADP DET ADJ NOUN
Take out a single cog and the gears might grind to a halt.	0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	VERB PART DET ADJ NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN
After some initial success, however, the Young King's campaign ground to a halt and Henry decided that he would have to take a hand himself.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADP DET ADJ NOUN ADV DET PROPN PROPN NOUN NOUN ADP DET NOUN CCONJ PROPN VERB ADP PRON VERB VERB PART VERB DET NOUN PRON
Er and therefore when it got round the workshop what had happened and why he had been er suspended you know, initially the ire of our members rose and subsequently er the place just ground to a halt and there was a meeting and therefore we put the point to the management that er if they didn't really in a reasonable manner, then we were going.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	INTJ CCONJ ADV ADV PRON VERB ADP DET NOUN NOUN VERB VERB CCONJ ADV PRON VERB VERB INTJ VERB PRON VERB ADV DET NOUN ADP ADJ NOUN VERB CCONJ ADV INTJ DET NOUN ADV VERB ADP DET NOUN CCONJ ADV VERB DET NOUN CCONJ ADV PRON VERB DET NOUN ADP DET NOUN ADJ INTJ ADP PRON VERB ADV ADP DET ADJ NOUN ADV PRON VERB VERB
At last the mechanism ground to a halt.	0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADP ADJ DET NOUN NOUN ADP DET NOUN
He roared up beside her and ground to a halt, the silence after the noise of the engine actually quite frightening, and he was out of the Land Rover and towering above her before she could even open her mouth.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PRON VERB PART ADP PRON CCONJ NOUN ADP DET NOUN DET NOUN ADP DET NOUN ADP DET NOUN ADV ADV ADJ CCONJ PRON VERB ADP ADP DET PROPN PROPN CCONJ VERB ADP PRON ADP PRON VERB ADV VERB ADJ NOUN
Bill, could I come back to a quotation by another former Tory Prime Minister in the nineteen sixties, erm they were ragging old Douglas Hume unmercifully, the Labour Party did, when he was made Prime Minister, and, you know, erm all's fair in politics, and Harold Wilson, I think, made the comment that the democracy of this country had ground to a halt with the appointment of the fourteenth earl, and Douglas Hume, in his sort of very self - deprecating way and his very modest way, says ‘ well, you know, I suppose if one were to ask, he's probably the fourteenth Mr Wilson’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PROPN VERB PRON VERB ADV ADP DET NOUN ADP DET ADJ PROPN PROPN PROPN ADP DET NUM NOUN NOUN PRON VERB VERB ADJ PROPN PROPN ADV DET PROPN PROPN VERB ADV PRON VERB VERB PROPN PROPN CCONJ PRON VERB INTJ DET ADJ ADP NOUN CCONJ PROPN PROPN PRON VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ PROPN PROPN ADP ADJ NOUN ADP ADV NOUN PUNCT VERB NOUN CCONJ ADJ ADV ADJ NOUN VERB PRON ADV PRON VERB PRON VERB ADP NUM VERB PART VERB PRON ADV DET ADJ PROPN PROPN
France ’s current - account deficit has risen to more than 2 % of GDP, even as its economic growth has ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PROPN PART ADJ PUNCT NOUN NOUN VERB VERB ADP ADJ ADP NUM NOUN ADP NOUN ADV ADP ADJ ADJ NOUN VERB VERB ADP DET NOUN
Mr Shevardnadze chose the moment of his return well, arriving at Georgia's darkest hour : the whole country periodically blacked out by power cuts, hot water and central heating a dim memory, public transport ground to a halt, and even bread rarely to be seen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PROPN PROPN VERB DET NOUN ADP ADJ NOUN ADV VERB ADP PROPN ADJ NOUN PUNCT DET ADJ NOUN ADV VERB PART ADP NOUN NOUN ADJ NOUN CCONJ ADJ NOUN DET ADJ NOUN ADJ NOUN NOUN ADP DET NOUN CCONJ ADV NOUN ADV PART VERB VERB
The process had ground to a halt by early 1990 [ see p. 37199 ], largely as a result of Likud's hesitancy to proceed with a first - stage meeting of Egyptian, Israeli and United States officials without first receiving certain US " guarantees " ( the first - stage meeting was supposed to discuss a second - stage Israeli - Palestinian meeting in Cairo on the proposed elections ).	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET NOUN VERB VERB ADP DET NOUN ADP ADJ NUM PUNCT VERB NOUN NUM PUNCT ADV ADP DET NOUN ADP PROPN NOUN PART VERB ADP DET ADJ PUNCT NOUN NOUN ADP ADJ ADJ CCONJ PROPN PROPN NOUN ADP ADV VERB ADJ PROPN PUNCT NOUN PUNCT PUNCT DET ADJ PUNCT NOUN NOUN VERB VERB PART VERB DET ADJ PUNCT NOUN ADJ PUNCT ADJ NOUN ADP PROPN ADP DET VERB NOUN PUNCT
The first meeting of the SNC opened in the disused Cambodian embassy in Bangkok on Sept. 17, but after two days the talks had ground to a halt, the main stumbling block being the appointment of a SNC chair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET ADJ NOUN ADP DET PROPN VERB ADP DET ADJ ADJ NOUN ADP PROPN ADP PROPN NUM CCONJ ADP NUM NOUN DET NOUN VERB VERB ADP DET NOUN DET ADJ ADJ NOUN VERB DET NOUN ADP DET PROPN NOUN
' Though you might also think about saying sorry to Hamish and Antonia, too, as you were their guest and it was their party you brought grinding to an embarrassing halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	grind to a halt	figurative	combined-inflection	PUNCT ADP PRON VERB ADV VERB ADP VERB ADJ ADP PROPN CCONJ PROPN ADV ADP PRON VERB ADJ NOUN CCONJ PRON VERB ADJ NOUN PRON VERB VERB ADP DET ADJ NOUN
However, he would be a perfect recruit for Arsenal, whose season has ground to a halt since they led the Premier League in early November.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADV PRON VERB VERB DET ADJ NOUN ADP PROPN ADJ NOUN VERB VERB ADP DET NOUN ADP PRON VERB DET PROPN PROPN ADP ADJ PROPN
Eventually the little bus was summoned again, and we jumped in thankfully and set off towards the plane, only to grind to a halt at Operations again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	grind to a halt	figurative	identical	ADV DET ADJ NOUN VERB VERB ADV CCONJ PRON VERB PART ADV CCONJ VERB PART ADP DET NOUN ADV PART VERB ADP DET NOUN ADP PROPN ADV
The incident occurred on lap 50, by which time Mansell had already ground to a halt with no gears.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	grind to a halt	figurative	inflection	DET NOUN VERB ADP NOUN NUM ADP ADJ NOUN PROPN VERB ADV VERB ADP DET NOUN ADP DET NOUN
Finally he ground to a halt and stood up.	0 0 1 1 0 1 0 0 0	grind to a halt	literal	inflection	ADV PRON VERB ADP DET NOUN CCONJ VERB PART
Motorways and high streets around the country ground to a halt as shoppers headed for the stores.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	grind to a halt	figurative	inflection	NOUN CCONJ ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN ADP NOUN VERB ADP DET NOUN
But in April 1980 the lengthy trial proceedings ground to a halt because of allegations that attempts had been made to bribe the jury.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	CCONJ ADP PROPN NUM DET ADJ NOUN NOUN VERB ADP DET NOUN ADP ADP NOUN ADJ NOUN VERB VERB VERB PART VERB DET NOUN
All other production would grind to a halt tomorrow if women weren't producing these workers.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	grind to a halt	figurative	identical	DET ADJ NOUN VERB VERB ADP DET NOUN NOUN ADP NOUN VERB VERB DET NOUN
Homes were flooded and blacked out, rivers burst their banks, villages got cut off and rail services ground to a halt as fierce storms lashed the country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	grind to a halt	figurative	inflection	NOUN VERB VERB CCONJ VERB PART NOUN VERB ADJ NOUN NOUN VERB VERB PART CCONJ NOUN NOUN NOUN ADP DET NOUN ADP ADJ NOUN VERB DET NOUN
The then Lord Chief Justice in 1980 commented that, If it were not that a high proportion of cases are compromised long before they reach court the administration of justice would soon grind to a halt ; the courts would be overwhelmed by the volume of work.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	DET ADV PROPN PROPN PROPN ADP NUM VERB ADP ADP PRON VERB ADV ADP DET ADJ NOUN ADP NOUN VERB VERB ADV ADP PRON VERB NOUN DET NOUN ADP NOUN VERB ADV VERB ADP DET NOUN PUNCT DET NOUN VERB VERB VERB ADP DET NOUN ADP PROPN
Abruptly, the all - pervading background noise in the TARDIS altered, and when Ace and Petion dashed back to the console room, they found the time rotor grinding to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADV DET ADV PUNCT VERB NOUN NOUN ADP DET PROPN VERB CCONJ ADV PROPN CCONJ PROPN VERB ADV ADP DET NOUN NOUN PRON VERB DET NOUN NOUN VERB ADP DET NOUN
One quarter of the chamber is under suspicion of involvement, local government has ground to a halt in many parts of the country and public works contracts have all but dried up.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	NUM NOUN ADP DET NOUN VERB ADP NOUN ADP NOUN ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ ADJ VERB NOUN VERB DET CCONJ VERB PART
There is a story about an old man who was called in by a factory to fix their ancient boiler, which had ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADV VERB DET NOUN ADP DET ADJ NOUN NOUN VERB VERB PART ADP DET NOUN PART VERB ADJ ADJ NOUN ADJ VERB VERB ADP DET NOUN
