' For Christ's sake — because I believe Tweed is innocent, that he's been framed up to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PUNCT ADP PROPN NOUN PUNCT ADP PRON VERB NOUN VERB ADJ ADP PRON VERB VERB ADP ADP DET NOUN
And how pathetically ironic that a bunch of Americans, who normally carp on about freedom of speech and the First Amendment, resort to crushing records which contain perfectly innocent torch songs when they defend to the hilt the right of misogynist swine like 2 Live Crew to peddle their filth with impunity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	CCONJ ADV ADV ADJ ADP DET NOUN ADP PROPN NOUN ADV VERB ADP ADP NOUN ADP NOUN CCONJ DET PROPN PROPN NOUN ADP VERB NOUN ADJ VERB ADV ADJ NOUN NOUN ADV PRON VERB ADP DET NOUN DET NOUN ADP ADJ NOUN ADP NUM VERB NOUN PART VERB ADJ NOUN ADP NOUN
However, those who operate the law are well aware that it will only be respected to the extent that it conforms with public opinion : the reason why journalists and broadcasters are not prosecuted much more often for undoubted infringements of the letter of the laws of contempt and official secrecy is simply that the authorities are well aware that up - to - the - hilt enforcement of these vague laws would bring the law into further disrepute, and precipitate precisely the sort of clash between government and the press that it has been the British genius to avoid, whenever possible, by cosy arrangements.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	dashes	ADV DET NOUN VERB DET NOUN VERB ADV ADJ ADP PRON VERB ADV VERB VERB ADP DET NOUN ADP PRON VERB ADP ADJ NOUN PUNCT DET NOUN ADV NOUN CCONJ NOUN VERB ADV VERB ADV ADV ADV ADP ADJ NOUN ADP DET NOUN ADP DET NOUN ADP NOUN CCONJ ADJ NOUN VERB ADV ADP DET NOUN VERB ADV ADJ ADP ADV PUNCT ADP PUNCT DET PUNCT NOUN NOUN ADP DET ADJ NOUN VERB VERB DET NOUN ADP ADJ ADJ CCONJ VERB ADV DET NOUN ADP NOUN ADP NOUN CCONJ DET NOUN ADP PRON VERB VERB DET ADJ NOUN PART VERB ADV ADJ ADP NOUN NOUN
I would defend to the hilt the right of scientists to experiment on animals in the pursuit of pure knowledge’(21 ).	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	PRON VERB VERB ADP DET NOUN DET NOUN ADP NOUN PART VERB ADP NOUN ADP DET NOUN ADP ADJ PROPN PUNCT
Then she fell upon him, leaning out and abandoning herself to his grip, throwing both legs up until she was rammed to the hilt of him, and feeling that marvellous pulse as he squandered his month of continence into her, spending on and on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	ADV PRON VERB ADP PRON VERB PART CCONJ VERB PRON ADP ADJ NOUN VERB DET NOUN PART ADP PRON VERB VERB ADP DET NOUN ADP PRON CCONJ VERB ADP ADJ NOUN ADP PRON VERB ADJ NOUN ADP NOUN ADP PRON VERB ADP CCONJ ADV
now that is wrong because nobody should be committed so much to the hilt that they can't have a family	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	to the hilt	figurative	identical	ADV DET VERB ADJ ADP NOUN VERB VERB VERB ADV ADV ADP DET NOUN ADP PRON VERB VERB DET NOUN
To an Army Commander, plunged up to the hilt by his superior in the most desperate battle of the war, this last can have provided little of encouragement or inspiration.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	ADP DET PROPN PROPN VERB PART ADP DET NOUN ADP ADJ NOUN ADP DET ADV ADJ NOUN ADP DET NOUN DET ADJ VERB VERB VERB ADJ ADP NOUN CCONJ NOUN
Environmental organisations have worked that one to the hilt.	0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	ADJ NOUN VERB VERB ADP NUM ADP DET NOUN
I tell you, after a long life of many escapes, many dramas which might have been tragedies, what I want and would value most is to be free to choose as much of my life as is given to me — to live it by my own lights, Mary, to do, insofar as God wills it, what I want to do to the very hilt and limit. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	to the hilt	figurative	insertion-other	PRON VERB PRON ADP DET ADJ NOUN ADP ADJ NOUN ADJ NOUN ADJ VERB VERB VERB NOUN NOUN PRON VERB CCONJ VERB VERB ADV VERB PART VERB ADJ PART VERB ADV ADJ ADP ADJ NOUN ADP VERB VERB ADP PRON PUNCT PART VERB PRON ADP ADJ ADJ NOUN PROPN PART VERB ADV ADP PROPN VERB PRON NOUN PRON VERB PART VERB ADP DET ADV NOUN CCONJ VERB PUNCT
Though she was a performer of indisputable talent, one was none the less left with a nagging impression that overarching each of her individual characteristics was another role, one she played to the hilt : that of the grande dame, the First Lady of the American cinema, the Duse of the double - feature.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	ADP PRON VERB DET NOUN ADP ADJ NOUN NUM VERB NOUN DET ADV ADJ ADP DET ADJ NOUN ADP VERB DET ADP ADJ ADJ NOUN VERB DET NOUN NUM PRON VERB ADP DET NOUN PUNCT DET ADP DET NOUN NOUN DET PROPN PROPN ADP DET ADJ NOUN DET PROPN ADP DET ADJ PUNCT NOUN
But he's done it he's sold his he's mortgaged his house up to the hilt and everything.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	to the hilt	figurative	identical	CCONJ PRON VERB PRON PRON VERB ADJ PRON VERB ADJ NOUN ADP ADP DET NOUN CCONJ NOUN
My hon. Friend the Member for The Wrekin has proved to the hilt that there has been a greater, easier and more eager resort to the guillotine than at any time in English parliamentary history.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	ADJ NOUN VERB DET PROPN ADP DET PROPN VERB VERB ADP DET NOUN ADJ ADV VERB VERB DET ADJ ADJ CCONJ ADV ADJ NOUN ADP DET NOUN ADP ADP DET NOUN ADP ADJ ADJ NOUN
I 'm sure he didn't expect you to play the part to the hilt.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PRON VERB ADJ PRON VERB VERB PRON PART VERB DET NOUN ADP DET NOUN
Ernest had an eye for detail, and Undertown displays this to the hilt.	0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PROPN VERB DET NOUN ADP NOUN CCONJ PROPN VERB DET ADP DET NOUN
borrowed up to the hilt, they, they, their er, I, what should I say, their erm unfortunate circumstances	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	VERB PART ADP DET NOUN PRON PRON ADJ INTJ PRON NOUN VERB PRON VERB ADJ ADV ADJ NOUN
Karen could never surely tell when Jessica was teasing her, and when Jessica found a good one she played it to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PROPN VERB ADV ADV VERB ADV PROPN VERB VERB PRON CCONJ ADV PROPN VERB DET ADJ NOUN PRON VERB PRON ADP DET NOUN
As for NME's opinion of her work, you should know how much we love Madonna by how much we love Ice - T, Suede and all the other insolent wasters we praise to the hilt each week.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	to the hilt	figurative	identical	ADP ADP PROPN NOUN ADP ADJ NOUN PRON VERB VERB ADV ADV PRON VERB PROPN ADP ADV ADJ PRON VERB NOUN PUNCT PROPN PROPN CCONJ ADJ DET ADJ ADJ NOUN PRON VERB ADP DET NOUN DET NOUN
The blade was going in to its hilt, in, and in again, and the blood was spreading out over the priest's hairless chest.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	literal	determiner-broad	DET NOUN VERB VERB PART ADP ADJ NOUN ADV CCONJ ADV ADV CCONJ DET NOUN VERB VERB PART ADP DET NOUN ADJ NOUN
Now he will be able to carpet the bare boards of his house, something he predicted in last week's Spectator would be impossible under Labour, so mortgaged to the hilt is he.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	to the hilt	figurative	identical	ADV PRON VERB VERB ADJ PART VERB DET ADJ NOUN ADP ADJ NOUN NOUN PRON VERB ADP ADJ NOUN PROPN VERB VERB ADJ ADP PROPN ADV ADJ ADP DET NOUN VERB PRON
I 'm backing the prime minister to the hilt	0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PRON VERB VERB DET ADJ NOUN ADP DET NOUN
If the archetypal Tory of the 1979 intake was a rent - a - quote property dealer who backed Mrs Thatcher to the death and the death penalty to the hilt, Mr Heddle can be called a sad loss to the Two Nations Tendency.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	ADP DET ADJ PROPN ADP DET NUM NOUN VERB DET VERB PUNCT DET PUNCT NOUN NOUN NOUN NOUN VERB PROPN PROPN ADP DET NOUN CCONJ DET NOUN NOUN ADP DET NOUN PROPN PROPN VERB VERB VERB DET ADJ NOUN ADP DET NUM PROPN PROPN
Nine hundred guests, dressed to the hilt, arrived to cheer Christian on in his hour of parturition.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	NUM NUM NOUN VERB ADP DET NOUN VERB PART VERB PROPN ADP ADP ADJ NOUN ADP NOUN
I often say that if we thought as much about the English language and teaching it and all that that means as the French do about their language and the Alliance Francaise, we would back the British Council to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PRON ADV VERB ADP ADP PRON VERB ADV ADJ ADP DET ADJ NOUN CCONJ VERB PRON CCONJ ADJ ADJ DET VERB ADP DET PROPN VERB ADP ADJ NOUN CCONJ DET PROPN PROPN PRON VERB VERB DET PROPN PROPN ADP DET NOUN
This house is aristocratic Georgian to the hilt, and its ostentatious splendour makes the same impact now as then.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	DET NOUN VERB ADJ PROPN ADP DET NOUN CCONJ ADJ ADJ NOUN VERB DET ADJ NOUN ADV ADP ADV
