Well he hasn't got any money, but when he's had it he's paid on the dot the only one	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the dot	figurative	identical	INTJ PRON VERB VERB DET NOUN CCONJ ADV PRON VERB PRON PRON VERB ADP DET NOUN DET ADJ NUM
I 'll be back on the dot.	0 0 0 0 1 0 1	on the dot	figurative	identical	PRON VERB VERB ADV ADP DET NOUN
Text and graphics produced on a 300 dots per inch page printer is visibly not such good quality as that produced by a typesetting system.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	literal	combined-inflection	NOUN CCONJ NOUN VERB ADP DET NUM NOUN ADP NOUN NOUN NOUN VERB ADV ADV ADJ ADJ NOUN ADP DET VERB ADP DET NOUN NOUN
The dishes finally finished and stowed in their racks, it appeared that we were free for a blessed couple of hours : reassembly on the dot of five - thirty.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the dot	figurative	identical	DET NOUN ADV VERB CCONJ VERB ADP ADJ NOUN PRON VERB ADP PRON VERB ADJ ADP DET ADJ NOUN ADP NOUN PUNCT ADV ADP DET NOUN ADP NUM PUNCT NUM
At five minutes to five I parked my car alongside Richmond Police Station, and on the dot of five o'clock was shown into Inspector Drew's office.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the dot	figurative	identical	ADP NUM NOUN ADP NUM PRON VERB ADJ NOUN ADP PROPN PROPN PROPN CCONJ ADP DET NOUN ADP NUM NOUN VERB VERB ADP PROPN PROPN NOUN
We 're on a white dot all play.	0 0 1 0 0 1 0 0	on the dot	literal	combined-other	PRON VERB ADP DET ADJ NOUN DET VERB
But a pirate with a paunch said ‘ OK- eight on the dot.’	0 0 0 0 0 0 0 0 0 0 1 0 1	on the dot	figurative	dashes	CCONJ DET NOUN ADP DET NOUN VERB PUNCT PROPN NUM ADP DET NOUN
And the course, beautifully manicured in preparation for one of golf's oldest championships, looked like a landscape painter's dream as play began at 7.30 on the dot yesterday morning.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	on the dot	figurative	identical	CCONJ DET NOUN ADV VERB ADP NOUN ADP NUM ADP NOUN ADJ NOUN VERB ADP DET NOUN NOUN NOUN ADP NOUN VERB ADP NUM ADP DET NOUN NOUN NOUN
I hoped that Mavis hadn't passed on my thoughtless, remarks about his easy - going approach to work and was therefore somewhat self - conscious when he appeared in my office at half past two on the dot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the dot	figurative	identical	PRON VERB ADP PROPN VERB VERB ADP ADJ NOUN VERB ADP ADJ ADV PUNCT VERB NOUN ADP NOUN CCONJ VERB ADV ADV NOUN PUNCT ADJ ADV PRON VERB ADP ADJ NOUN ADP ADV ADJ NUM ADP DET NOUN
‘ Well, whatever happens, we 're leaving here at seven thirty on the dot.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the dot	figurative	identical	PUNCT INTJ ADJ VERB PRON VERB VERB ADV ADP NUM NUM ADP DET NOUN
We were informed that the Prime Minister had set aside an hour for us, and she arrived on the dot, nicely accoutred and coiffeured and saying she was ready to go when we were.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	figurative	identical	PRON VERB VERB ADP DET PROPN PROPN VERB VERB PART DET NOUN ADP PRON CCONJ PRON VERB ADP DET NOUN ADV ADJ CCONJ VERB CCONJ VERB PRON VERB ADJ PART VERB ADV PRON VERB
Every Saturday and Sunday, on the dot of 8.30am, hordes of uniformed children of all ages can be seen converging on Hampton Court in Surrey.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	figurative	identical	DET PROPN CCONJ PROPN ADP DET NOUN ADP NUM NOUN ADP ADJ NOUN ADP DET NOUN VERB VERB VERB VERB ADP PROPN PROPN ADP PROPN
leaving the office at five thirty on the dot and of course	0 0 0 0 0 0 1 0 1 0 0 0	on the dot	figurative	identical	VERB DET NOUN ADP NUM NUM ADP DET NOUN CCONJ ADP NOUN
I s well I wanna get a photocopy of that jacket, so I thought if I, Friday night which I should be home pretty, pretty much on the dot I 'll have to pick the, pick these two up and I 'll have to just go run down before they close.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	figurative	identical	PRON VERB INTJ PRON VERB VERB DET NOUN ADP DET NOUN CCONJ PRON VERB ADP PRON PROPN NOUN ADJ PRON VERB VERB ADV ADV ADV ADV ADP DET NOUN PRON VERB VERB PART VERB DET VERB DET NUM ADV CCONJ PRON VERB VERB PART ADV VERB VERB PART ADP PRON VERB
erm well no actually that's It's not the line on the green dots because that's a er er an older plan, but is in fact it's shown better on the er the aerial photograph where you can see the the currently preferred or the preferred route for the northern outer northern route, er and the link up to the A sixty one to the north.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	literal	combined-inflection	ADV INTJ INTJ ADV DET PRON ADV DET NOUN ADP DET ADJ NOUN ADP DET DET INTJ INTJ DET ADJ NOUN CCONJ VERB ADP NOUN PRON VERB ADV ADP DET INTJ DET ADJ NOUN ADV PRON VERB VERB DET DET ADV VERB CCONJ DET ADJ NOUN ADP DET ADJ ADJ ADJ NOUN INTJ CCONJ DET NOUN ADP ADP DET PROPN NUM NUM ADP DET NOUN
On the main menu of the Dropbox application, or rather, with the option selected from the bottom left of the bar, click on the three dots on the top right of the screen and select " Upload " Then, just select the photos and click Upload on the top right.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	literal	combined-inflection	ADP DET ADJ NOUN ADP DET PROPN NOUN CCONJ ADV ADP DET NOUN VERB ADP DET NOUN VERB ADP DET NOUN VERB ADP DET NUM NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB PUNCT PROPN PUNCT ADV ADV VERB DET NOUN CCONJ VERB PROPN ADP DET ADJ NOUN
On the dot your dinner's done.	1 0 1 0 0 0	on the dot	figurative	case	ADP DET NOUN ADJ NOUN VERB
Eight o'clock on the dot.	0 0 1 0 1	on the dot	figurative	identical	NUM NOUN ADP DET NOUN
He strolled up and down for five minutes then, on the dot of ten, dropped the fat envelope through the letter - box of the apartment - house.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	figurative	identical	PRON VERB PART CCONJ ADV ADP NUM NOUN ADV ADP DET NOUN ADP NUM VERB DET ADJ NOUN ADP DET NOUN PUNCT NOUN ADP DET NOUN PUNCT NOUN
