Stencil a border round the ceiling, around the door and windows, and above the skirting boards.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	above board	literal	combined-inflection	NOUN DET NOUN ADP DET NOUN ADP DET NOUN CCONJ NOUN CCONJ ADP DET NOUN NOUN
When mounting the mercury switch S1, position the switch body about 10 mm above the board to allow it to be angled to adjust its sensitivity.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	above board	literal	insertion-determiner	ADV VERB DET NOUN NOUN NOUN VERB DET NOUN NOUN ADP NUM NOUN ADP DET NOUN PART VERB PRON PART VERB VERB PART VERB ADJ NOUN
As regards Editing for Industry, I am satisfied the management structure and the people involved ensure that it is far and above board — I would not wish to be associated with anything that damaged my reputation or that of the Association.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	identical	ADP VERB VERB ADP PROPN PRON VERB ADJ DET NOUN NOUN CCONJ DET NOUN VERB VERB ADP PRON VERB ADV CCONJ ADP NOUN PUNCT PRON VERB ADV VERB PART VERB VERB ADP NOUN ADJ VERB ADJ NOUN CCONJ DET ADP DET PROPN
It means that when you go along to the social services, register and it's above board children's work that you are doing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	above board	figurative	identical	PRON VERB ADP ADV PRON VERB ADV ADP DET ADJ NOUN VERB CCONJ PRON ADP NOUN NOUN NOUN ADJ PRON VERB VERB
A lover is illicit — the whole point of being married, it seems to me, is that everything is above board and clean.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	above board	figurative	identical	DET NOUN VERB ADJ PUNCT DET ADJ NOUN ADP VERB VERB PRON VERB ADP PRON VERB ADP NOUN VERB ADP NOUN CCONJ NOUN
All this was above board and the developers reached an agreement to pay a per acre developed contribution to the district council towards development costs, as did the county council.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	identical	ADJ DET VERB ADP NOUN CCONJ DET NOUN VERB DET NOUN PART VERB DET ADP NOUN VERB NOUN ADP DET NOUN NOUN ADP NOUN NOUN ADP VERB DET NOUN NOUN
There is no question here that PW acted completely above board, but it strikes me that the time has come to consider whether the profession's rules and regulations on reporting to external authorities are not too restrictive.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	identical	ADV VERB DET NOUN ADV ADP PROPN VERB ADV ADP NOUN CCONJ PRON VERB PRON ADP DET NOUN VERB VERB PART VERB ADP DET NOUN NOUN CCONJ NOUN ADP VERB ADP ADJ NOUN VERB ADV ADV ADJ
Rest assured that whatever happens the proceedings will be above board.	0 0 0 0 0 0 0 0 0 1 1	above board	figurative	identical	VERB VERB ADP ADJ VERB DET NOUN VERB VERB ADP NOUN
He is an extremely nice man and was seen to be a successful and popular president, although his name was linked to allegations that certain transactions were not totally above board.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	above board	figurative	identical	PRON VERB DET ADV ADJ NOUN CCONJ VERB VERB PART VERB DET ADJ CCONJ ADJ NOUN ADP ADJ NOUN VERB VERB ADP NOUN ADP ADJ NOUN VERB ADV ADV ADP NOUN
Yeah but if you do it above board I can't see	0 0 0 0 0 0 1 1 0 0 0	above board	figurative	identical	INTJ CCONJ ADP PRON VERB PRON ADP NOUN PRON VERB VERB
The use of sleeving on the l.e.d. wires ensures that they are all at the same height above the board : Also make sure that they are in line when viewed along the length of the sequence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	literal	insertion-determiner	DET NOUN ADP VERB ADP DET NOUN NOUN VERB ADP PRON VERB ADV ADP DET ADJ NOUN ADP DET NOUN PUNCT ADV VERB ADJ ADP PRON VERB ADP NOUN ADV VERB ADP DET NOUN ADP DET NOUN
So long as you keep things above board your schemes will be tolerated, perhaps even appreciated, but don't over - stretch your imagination as the results could border on the bizarre.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	identical	ADV ADV ADP PRON VERB NOUN ADP NOUN ADJ NOUN VERB VERB VERB ADV ADV VERB CCONJ VERB VERB PUNCT VERB ADJ NOUN ADP DET NOUN VERB VERB ADP DET ADJ
‘ But if your private affairs were open and above board you wouldn't be worrying about having to conceal a phone caller's identity — which is what you are doing.’	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	identical	PUNCT CCONJ ADP ADJ ADJ NOUN VERB ADJ CCONJ ADP NOUN PRON VERB VERB VERB ADP VERB PART VERB DET NOUN NOUN NOUN PUNCT ADJ VERB NOUN PRON VERB ADJ
No, whole thing's perfectly above board.’	0 0 0 0 1 1	above board	figurative	dashes	INTJ ADJ NOUN ADV ADP NOUN
‘ Well, if you do, do you think any of them would have signed this form if it had not been all in order and above board?’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	above board	figurative	dashes	PUNCT INTJ ADP PRON VERB VERB PRON VERB DET ADP PRON VERB VERB VERB DET NOUN ADP PRON VERB ADV VERB ADV ADP NOUN CCONJ ADP PUNCT
I would think it would be above board	0 0 0 0 0 0 1 1	above board	figurative	identical	PRON VERB VERB PRON VERB VERB ADP NOUN
Two huge screens above the chess boards carried illuminated chess graphics to display the games.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	above board	literal	combined-inflection	NUM ADJ NOUN ADP DET NOUN NOUN VERB VERB NOUN NOUN PART VERB DET NOUN
You give it your name, and it's all above - board, or something.	0 0 0 0 0 0 0 0 1 0 1 0 0	above board	figurative	dashes	PRON VERB PRON ADJ NOUN CCONJ PRON DET ADJ PUNCT NOUN CCONJ NOUN
‘ A lover is illicit — the whole point of being married, it seems to me, is that everything is above board and clean’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	above board	figurative	identical	PUNCT DET NOUN VERB ADJ PUNCT DET ADJ NOUN ADP VERB VERB PRON VERB ADP PRON VERB ADP NOUN VERB ADP NOUN CCONJ NOUN
And meanwhile, above - board …	0 0 1 0 1 0	above board	figurative	dashes	CCONJ ADV ADP PUNCT NOUN PUNCT
He had come from out of town with a fortune, was known to have been a vociferous Bund supporter before the war and had set up a chain of more or less above - board casinos in the districts where gambling was more or less legal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	dashes	PRON VERB VERB ADP ADP ADP NOUN ADP DET NOUN VERB VERB PART VERB VERB DET ADJ PROPN NOUN ADP DET NOUN CCONJ VERB VERB PART DET NOUN ADP ADV CCONJ ADV ADJ PUNCT NOUN NOUN ADP DET NOUN ADV NOUN VERB ADV CCONJ ADV ADJ
All above - board.	0 1 0 1	above board	figurative	dashes	DET ADP PUNCT NOUN
She's open and above - board.	0 0 0 1 0 1	above board	figurative	dashes	PRON ADJ CCONJ ADJ PUNCT NOUN
Oh, no oh no it's not like that, it's a proper model agency in er, in Nottingham, it, it sounds above board, well I 've heard of the, the lass that's running it actually, she's an ex page three girl, she's er very good, you know, from what I 've heard it's erm, it's a reputable agency and er, yeah the ones of the sharks doing that, but er, she ain't one of them thing is she doe she	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	identical	INTJ INTJ INTJ INTJ PRON ADV ADP DET PRON DET ADJ NOUN NOUN ADP INTJ ADP PROPN PRON PRON VERB ADP NOUN INTJ PRON VERB VERB ADP DET DET NOUN ADJ VERB PRON ADV PRON DET NUM NOUN NUM NOUN PRON INTJ ADV ADJ PRON VERB ADP NOUN PRON VERB VERB PRON NOUN PRON DET ADJ NOUN CCONJ INTJ INTJ DET NOUN ADP DET NOUN VERB DET CCONJ INTJ PRON VERB NUM ADP PRON NOUN VERB PRON VERB PRON
‘ We can be perfectly respectable and above board.’	0 0 0 0 0 0 0 1 1	above board	figurative	dashes	PUNCT PRON VERB VERB ADV ADJ CCONJ ADP NOUN
Possibly because some of them might 've been councillors and knew the ways that sort of er things went on and how to get things done officially and above board.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	above board	figurative	identical	ADV ADP DET ADP PRON VERB VERB VERB NOUN CCONJ VERB DET NOUN ADJ ADV ADP INTJ NOUN VERB PART CCONJ ADV PART VERB NOUN VERB ADV CCONJ ADP NOUN
They all know they were all told that it's it's all a bit above board.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	above board	figurative	identical	PRON DET VERB PRON VERB DET VERB ADP PRON PRON ADJ DET NOUN ADP NOUN
he's been able to get round it really, it might well be above board, but the police have been looking into it	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	above board	figurative	identical	PRON VERB ADJ PART VERB ADV PRON ADV PRON VERB ADV VERB ADP NOUN CCONJ DET NOUN VERB VERB VERB ADP PRON
If you have a moisture meter, test the corners and centre of each wall just above the skirting board ; otherwise tap the plaster, feel with a dry hand for damp and coldness, and look out for loose wallpaper or flaking emulsion paint.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	literal	insertion-other	ADP PRON VERB DET NOUN NOUN VERB DET NOUN CCONJ NOUN ADP DET NOUN ADV ADP DET NOUN NOUN PUNCT ADV VERB DET NOUN VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN CCONJ VERB PART ADP ADJ NOUN CCONJ VERB NOUN NOUN
But concern about the operation has been so great that police on the Isle of Man have been flooded with more than 50 calls asking if the operation is above board.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	above board	figurative	identical	CCONJ NOUN ADP DET NOUN VERB VERB ADV ADJ DET NOUN ADP DET PROPN ADP PROPN VERB VERB VERB ADP ADJ ADP NUM NOUN VERB ADP DET NOUN VERB ADP NOUN
Don't look like that — I know it's horrid, having to take people's money, but we 've got to live, and what we 're going to do is absolutely honest and above - board.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0	above board	figurative	dashes	VERB VERB ADP DET PUNCT PRON VERB PRON NOUN VERB PART VERB NOUN NOUN CCONJ PRON VERB VERB PART VERB CCONJ NOUN PRON VERB VERB PART VERB VERB ADV ADJ CCONJ ADJ PUNCT NOUN
On occasion one hears of unusual circumstances surrounding tenders, where neither the vendor nor tenderers are present to affirm that everything was above - board.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	above board	figurative	dashes	ADP NOUN NUM NOUN ADP ADJ NOUN VERB NOUN ADV CCONJ DET NOUN CCONJ NOUN VERB ADJ PART VERB ADP NOUN VERB ADJ PUNCT NOUN
