and they 've got no alternative, otherwise we 're gon na get walked all over.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	walk all over	figurative	inflection	CCONJ PRON VERB VERB DET NOUN ADV PRON VERB VERB PART VERB VERB ADV ADV
That sense of right and wrong, preventing those in power walking all over those weaker than themselves.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	walk all over	figurative	inflection	DET NOUN ADP NOUN CCONJ ADJ VERB DET ADP NOUN VERB ADV ADP DET ADJ ADP PRON
Yes, it's like just walk all over the students again.	0 0 0 0 1 1 1 0 0 0	walk all over	figurative	identical	INTJ PRON INTJ ADV VERB ADV ADP DET NOUN ADV
I suspect that there 'll there 'd been a certain amount of alienation for a long time things that the men had to accept because the people with the money and therefore the power said that they had to you know a I think quarry men are very proud on one level great sort of craftsmen in a way and erm I 'm sure that you know th the last couple of years well I 've heard them say really tha that there 'd been things niggling them with the management but I suppose this was just like a blatant smack in the face and they realize that if they accepted this if they let the management walk all over them this was the thin end of the wedge you know that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	figurative	identical	PRON VERB ADP ADV VERB ADV VERB VERB DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN NOUN ADJ DET NOUN VERB PART VERB ADP DET NOUN ADP DET NOUN CCONJ ADV DET NOUN VERB ADP PRON VERB PART PRON VERB DET PRON VERB NOUN NOUN VERB ADV ADJ ADP NUM NOUN ADJ NOUN ADP NOUN ADP DET NOUN CCONJ NOUN PRON VERB ADJ ADP PRON VERB X DET ADJ NOUN ADP NOUN INTJ PRON VERB VERB PRON VERB ADV VERB ADP ADV VERB VERB NOUN VERB PRON ADP DET NOUN CCONJ PRON VERB DET VERB ADV ADP DET ADJ NOUN ADP DET NOUN CCONJ PRON VERB ADP ADP PRON VERB DET ADP PRON VERB DET NOUN VERB ADV ADP PRON DET VERB DET ADJ NOUN ADP DET NOUN PRON VERB DET
Let's walk all over them!	0 1 1 1 0	walk all over	figurative	identical	VERB VERB ADV ADP PRON
Give a bully an inch and he 'll end up walking all over you.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0	walk all over	figurative	inflection	VERB DET NOUN DET NOUN CCONJ PRON VERB VERB PART VERB ADV ADP NOUN
I am reminded that with the literal manhole — the actual thing in the street — we can indeed walk all over it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	walk all over	literal	identical	PRON VERB VERB ADP ADP DET ADJ NOUN PUNCT DET ADJ NOUN ADP DET NOUN PUNCT PRON VERB ADV VERB ADV ADP PRON
Don't let him walk all over you!’	0 0 0 1 1 1 0	walk all over	figurative	identical	VERB VERB PRON VERB ADV ADP NOUN
The man calmly walked all over the child's body with his heavy boots, and left her screaming on the ground.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	figurative	inflection	DET NOUN ADV VERB ADV ADP DET NOUN NOUN ADP ADJ ADJ NOUN CCONJ VERB PRON NOUN ADP DET NOUN
I don't think so, really it's just the opposite problem of what we 've got over here, being submissive now we all know what being being sub submissive yes we let people walk all over us we don't say yeah we we listen to what everybody else says and therefore the opposite is you 're gon na get aggressive to get what we want.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	figurative	identical	PRON VERB VERB ADV ADV PRON ADV DET ADJ NOUN ADP NOUN PRON VERB VERB PART ADV VERB ADJ ADV PRON DET VERB NOUN VERB VERB NOUN ADJ INTJ PRON VERB NOUN VERB ADV ADP PRON PRON VERB VERB INTJ PRON PRON VERB ADP NOUN NOUN ADV VERB CCONJ ADV DET NOUN VERB PRON VERB VERB PART VERB ADJ PART VERB NOUN PRON VERB
CHARLES : Well, frankly, the problem as I see it At this moment in time is whether I Should just lie down under all this hassle And let them walk all over me, Or, whether I should just say : ‘ OK, I get the message’, and do myself in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	figurative	identical	PROPN PUNCT INTJ ADV DET NOUN ADP PRON VERB PRON ADP DET NOUN ADP NOUN VERB ADP PRON VERB ADV VERB PART ADP ADJ DET NOUN CCONJ VERB PRON VERB ADV ADP PRON CCONJ ADP PRON VERB ADV VERB PUNCT PUNCT INTJ PRON VERB DET NOUN CCONJ VERB PRON PART
I mean, you can't let them come here and think they can walk all over you, because then next time they come they 'll get a bit cocky and think they can do what they want.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	figurative	identical	PRON VERB PRON VERB VERB PRON VERB ADV CCONJ VERB PRON VERB VERB ADV ADP PRON ADP ADV ADJ NOUN PRON VERB PRON VERB VERB DET NOUN ADJ CCONJ VERB PRON VERB VERB NOUN PRON VERB
