The Highways Department will sink or swim on the basis of everyone pulling together.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0	sink or swim	figurative	identical	DET PROPN PROPN VERB VERB CCONJ VERB ADP DET NOUN ADP NOUN VERB NOUN
Greece would have sunk or swum on its own.	0 0 0 1 1 1 0 0 0	sink or swim	figurative	inflection	PROPN VERB VERB VERB CCONJ VERB ADP ADJ ADJ
‘ He threw you in and you either sank or swam.’	0 0 0 0 0 0 0 0 1 1 1	sink or swim	figurative	combined-inflection	PUNCT PRON VERB PRON ADV CCONJ PRON CCONJ VERB CCONJ VERB
We sink or swim together.	0 1 1 1 0	sink or swim	figurative	identical	PRON VERB CCONJ VERB ADV
Latecomers sink or swim in the great flotation race.	0 1 1 1 0 0 0 0 0	sink or swim	figurative	identical	NOUN VERB CCONJ VERB ADP DET ADJ NOUN NOUN
It was sink or swim for Noreen O'Neil —‘The Singing Sensation from Ireland’— or ‘ The Sweet Colleen wearin ' the Green’— as the posters outside the South Broad Street Theatre in Philadelphia proclaimed.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sink or swim	figurative	identical	PRON VERB ADJ CCONJ VERB ADP PROPN PROPN PROPN PROPN PROPN ADP NUM CCONJ PUNCT DET ADJ PROPN PROPN PUNCT DET NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN ADP PROPN VERB
A case of sink or swim.	0 0 0 1 1 1	sink or swim	figurative	identical	DET NOUN ADP NOUN CCONJ VERB
Carter's federally aided approach to help cities adjust to changing economic realities gave way to Reagan's sink - or - swim philosophy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	sink or swim	figurative	dashes	PROPN ADV VERB NOUN PART VERB NOUN VERB ADP VERB ADJ NOUN VERB NOUN ADP PROPN NOUN PUNCT CCONJ PUNCT VERB NOUN
‘ You either sink or swim,’ she said, ‘ and I 'd decided I was going to swim.’	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	sink or swim	figurative	dashes	PUNCT PRON CCONJ VERB CCONJ NOUN PRON VERB PUNCT CCONJ PRON VERB VERB PRON VERB VERB PART VERB
I mean the furore about actually leasing trains has taken several years to develop erm And you just have to look at at the moment now and he doesn't know if he's sinking or swimming basically.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	sink or swim	figurative	inflection	PRON VERB DET NOUN ADP ADV VERB NOUN VERB VERB ADJ NOUN PART VERB NOUN CCONJ PRON ADV VERB PART VERB ADP ADP DET NOUN ADV CCONJ PRON VERB VERB ADP PRON VERB CCONJ NOUN ADV
The Ohio bank does not leave its newcomers to sink or swim by themselves.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	sink or swim	figurative	identical	DET PROPN NOUN VERB ADV VERB ADJ NOUN PART VERB CCONJ VERB ADP PRON
She had been thrown in at the deep end and it was a question of sink or swim.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	sink or swim	figurative	identical	PRON VERB VERB VERB PART ADP DET ADJ NOUN CCONJ PRON VERB DET NOUN ADP NOUN CCONJ VERB
Only one person really cared whether he sank or swam, and he was far off in Paris.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	sink or swim	figurative	inflection	ADV NUM NOUN ADV VERB ADP PRON VERB CCONJ INTJ CCONJ PRON VERB ADV PART ADP PROPN
