DON'T JUMP TO CONCLUSIONS.	0 1 1 1	jump to conclusions	figurative	case	VERB VERB ADP NOUN
Well, you 've jumped to the wrong conclusion.	0 0 0 1 1 0 0 1	jump to conclusions	figurative	combined-inflection	INTJ PRON VERB VERB ADP DET ADJ NOUN
‘ There you go again, jumping to conclusions.	0 0 0 0 0 1 1 1	jump to conclusions	figurative	inflection	PUNCT ADV PRON VERB ADV VERB ADP NOUN
Will he commission a report to consider in detail and with expertise the fluctuations to which he referred rather than, as he has, jumping to his own conclusions about why such fluctuations should exist?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	VERB PRON VERB DET NOUN PART VERB ADP NOUN CCONJ ADP NOUN DET NOUN PART ADJ PRON VERB ADV ADP ADP PRON VERB VERB ADP ADJ ADJ NOUN ADP ADV ADJ NOUN VERB VERB
If they remember, they 'll think they were imagining things, jumping to conclusions.’	0 0 0 0 0 0 0 0 0 0 1 1 1	jump to conclusions	figurative	combined-inflection	ADP PRON VERB PRON VERB VERB PRON VERB VERB NOUN VERB ADP NOUN
‘ You 're jumping to conclusions.’	0 0 0 1 1 1	jump to conclusions	figurative	combined-inflection	PUNCT PRON VERB VERB ADP NOUN
And the next time you buy something from a shop and find there's something wrong with it don't just jump to conclusions that you 've been deliberately cheated.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	jump to conclusions	figurative	identical	CCONJ DET ADJ NOUN PRON VERB NOUN ADP DET NOUN CCONJ VERB ADV NOUN ADJ ADP PRON VERB ADV VERB ADP NOUN ADP PRON VERB VERB ADV VERB
' And, ' Merrill continued, ' if you jumped to the wrong conclusion in Bruges, that's your mistake.	0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PUNCT CCONJ PUNCT NOUN VERB PUNCT ADP PRON VERB ADP DET ADJ NOUN ADP PROPN DET ADJ NOUN
She didn't want Anna to see her confusion and jump to conclusions which, in this case, would be the right ones.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	identical	PRON VERB VERB PROPN PART VERB ADJ NOUN CCONJ VERB ADP NOUN ADJ ADP DET NOUN VERB VERB DET ADJ NOUN
‘ If you would only listen instead of jumping to conclusions.	0 0 0 0 0 0 0 0 1 1 1	jump to conclusions	figurative	inflection	PUNCT ADP PRON VERB ADV VERB ADV ADP VERB ADP NOUN
And she, Merrill, had jumped to the obvious conclusion that Luke was trying to hide his past association with her cousin because he felt some guilt over the manner of her death.	0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	CCONJ PRON PROPN VERB VERB ADP DET ADJ NOUN ADP PROPN VERB VERB PART VERB ADJ ADJ NOUN ADP ADJ NOUN ADP PRON VERB DET NOUN ADP DET NOUN ADP ADJ NOUN
I mean, there she was nodding away and smiling at me, and Ollie, poor old dimwit braindead Ollie, actually jumped to the conclusion that these outward behavioural ties were reliable indicators of reciprocated attraction.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PRON VERB ADV PRON VERB VERB ADV CCONJ VERB ADP PRON CCONJ PROPN ADJ ADJ NOUN NOUN PROPN ADV VERB ADP DET NOUN ADP DET ADJ ADJ NOUN VERB ADJ NOUN ADP VERB NOUN
But before we jump to the conclusion that Pound had simply had a brainstorm, or had been trapped by misplaced compassion for Dunning as a lame duck, we ought to consider another possibility — that imagism, and Pound's endorsement of Ford's insistence on ' the prose tradition ', had never been for him more than an aberration, though in the short term a very profitable one, from a way of feeling that impelled him always toward the cantabile, a proclivity that would, in the interests of melody, tolerate notably eccentric diction.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	CCONJ ADP PRON VERB ADP DET NOUN ADP NOUN VERB ADV VERB DET NOUN CCONJ VERB VERB VERB ADP ADJ NOUN ADP VERB ADP DET ADJ NOUN PRON VERB PART VERB DET NOUN PUNCT DET NOUN CCONJ PROPN NOUN ADP PROPN NOUN ADP PUNCT DET ADJ NOUN PUNCT VERB ADV VERB ADP PRON ADJ ADP DET NOUN ADP ADP DET ADJ NOUN DET ADV ADJ NUM ADP DET NOUN ADP NOUN ADJ VERB PRON ADV ADP DET NOUN DET NOUN ADJ VERB ADP DET NOUN ADP NOUN VERB ADV ADJ NOUN
Don't assume the worst or jump to conclusions.	0 0 0 0 0 1 1 1	jump to conclusions	figurative	identical	VERB VERB DET ADJ CCONJ VERB ADP NOUN
The inductivist insists that we should not jump to conclusions.	0 0 0 0 0 0 0 1 1 1	jump to conclusions	figurative	identical	DET NOUN VERB ADP PRON VERB ADV VERB ADP NOUN
Be sure to remember how poor lay reasoning about causation is : not to even try to collect the data required to test a hypothesis about the relationship between smoking and lung cancer would be to leave the doors open only to those who jump to conclusions on the basis of a sample of one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	jump to conclusions	figurative	identical	VERB ADJ PART VERB ADV ADJ VERB NOUN ADP NOUN VERB PUNCT ADV PART ADV VERB PART VERB DET NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP NOUN CCONJ NOUN NOUN VERB VERB PART VERB DET NOUN ADJ ADV ADP DET NOUN VERB ADP NOUN ADP DET NOUN ADP DET NOUN ADP NUM
‘ You 're just jumping to conclusions, but if you go now he 'll think you did it.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	inflection	PUNCT PRON VERB ADV VERB ADP NOUN CCONJ ADP PRON VERB ADV PRON VERB VERB PRON VERB NOUN
Why was she jumping to conclusions?	0 0 0 1 1 1	jump to conclusions	figurative	inflection	ADV VERB PRON VERB ADP NOUN
Of course, they 'd immediately jump to the wrong conclusion and think I was talking about a girlfriend, and I 'd get some almighty teasing, but the joke was on them!	0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	ADV ADV PRON VERB ADV VERB ADP DET ADJ NOUN CCONJ VERB PRON VERB VERB ADP DET NOUN CCONJ PRON VERB VERB DET ADJ NOUN CCONJ DET NOUN VERB ADP PRON
Everyone knew she and Ryan had been living together, and it was easy to jump to the wrong conclusions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	jump to conclusions	figurative	insertion-other	NOUN VERB PRON CCONJ PROPN VERB VERB VERB ADV CCONJ PRON VERB ADJ PART VERB ADP DET ADJ NOUN
The papers have been desperate to unsettle Rocky for ages, so they see that Wilko has made some enquiries about a player, they see the two clubs, they see an out - of - favour player on each side and immediately jump to conclusions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	jump to conclusions	figurative	identical	DET NOUN VERB VERB ADJ ADP VERB PROPN ADP NOUN CCONJ PRON VERB ADP PROPN VERB VERB DET NOUN ADP DET NOUN PRON VERB DET NUM NOUN PRON VERB DET ADJ PUNCT ADP PUNCT NOUN NOUN ADP DET NOUN CCONJ ADV VERB ADP NOUN
If, on the other hand you are married to a man who, on the surface at least, appears to be more attentive to his mother's needs than to yours, try not to become upset and regard her as a threat or a rival, and avoid jumping to the conclusion that your marriage is a failure and that you are unloved.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	ADP ADP DET ADJ NOUN PRON VERB VERB ADP DET NOUN NOUN ADP DET NOUN ADP ADJ VERB PART VERB ADV ADJ ADP ADJ NOUN NOUN ADP ADP PRON VERB ADV PART VERB ADJ CCONJ VERB PRON ADP DET NOUN CCONJ DET NOUN CCONJ VERB VERB ADP DET NOUN ADP ADJ NOUN VERB DET NOUN CCONJ ADP PRON VERB ADJ
He is also prone to jump to conclusions.	0 0 0 0 0 1 1 1	jump to conclusions	figurative	identical	PRON VERB ADV ADJ PART VERB ADP NOUN
Luke had jumped to the wrong conclusion about Richard, and she didn't intend to enlighten him — yet.	0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PROPN VERB VERB ADP DET ADJ NOUN ADP PROPN CCONJ PRON VERB VERB PART VERB PRON PUNCT ADV
So she had jumped to a few incorrect conclusions about Piers.	0 0 0 1 1 0 0 0 1 0 0	jump to conclusions	figurative	combined-inflection	ADV PRON VERB VERB ADP DET ADJ ADJ NOUN ADP PROPN
Deeply hurt, Vincent jumped to the conclusion that news of his friendship with Sien had reached him and upset the man.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	ADV ADJ PROPN VERB ADP DET NOUN ADP NOUN ADP ADJ NOUN ADP PROPN VERB VERB PRON CCONJ VERB DET NOUN
Jumping to the conclusion that the biggest must therefore be the best could be a mistake.	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	VERB ADP DET NOUN ADP DET ADJ VERB ADV VERB DET ADJ VERB VERB DET NOUN
‘ Never mind, Ellie, but you must understand that what with one thing and another we do tend to jump to conclusions — not always the most obvious.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	jump to conclusions	figurative	identical	PUNCT ADV NOUN PROPN CCONJ PRON VERB VERB ADP NOUN ADP NUM NOUN CCONJ DET PRON VERB VERB PART VERB ADP NOUN PUNCT ADV ADV DET ADV NOUN
But it is always unwise to jump to conclusions about Lebanese atrocities.	0 0 0 0 0 0 1 1 1 0 0 0	jump to conclusions	figurative	identical	CCONJ PRON VERB ADV ADJ PART VERB ADP NOUN ADP ADJ NOUN
A lot of people who haven't seen the show jump to the wrong conclusion about it	0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0	jump to conclusions	figurative	combined-inflection	DET NOUN ADP NOUN NOUN VERB VERB DET NOUN NOUN ADP DET ADJ NOUN ADP PRON
‘ I jump to conclusions,’ he interrupted incredulously.	0 0 1 1 1 0 0 0	jump to conclusions	figurative	dashes	PUNCT PRON VERB ADP CCONJ PRON VERB ADV
A lot of teachers jump to conclusions about pupils before they 've even come into contact with them and broken through the pupil's resentment.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	identical	DET NOUN ADP NOUN VERB ADP NOUN ADP NOUN ADP PRON VERB ADV VERB ADP NOUN ADP PRON CCONJ VERB ADP DET NOUN NOUN
I jumped to conclusions that I had no right to jump to.’	0 1 1 1 0 0 0 0 0 0 0 0	jump to conclusions	figurative	inflection	PRON VERB ADP NOUN ADP PRON VERB DET NOUN PART VERB PUNCT
He took it out hastily, lest Lord Boddy notice it and jump to the conclusion that Dyson was mimicking him, and transferred it to his jacket pocket.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PRON VERB PRON PART ADV ADP PROPN PROPN VERB PRON CCONJ VERB ADP DET NOUN ADP PROPN VERB VERB PRON CCONJ VERB PRON ADP ADJ NOUN NOUN
Breaking a habit, be it over - eating, over - drinking, biting your nails or jumping to conclusions, is a tall order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	jump to conclusions	figurative	inflection	VERB DET NOUN VERB PRON ADP PUNCT VERB ADP PUNCT NOUN VERB ADJ NOUN CCONJ VERB ADP NOUN VERB DET ADJ NOUN
The social worker helped her examine more closely the cognitive ‘ roadblock’ to action, and she conceded that she was jumping to conclusions that they would be annoyed with her if she postponed tea until 7 p.m.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	inflection	DET ADJ NOUN VERB PRON VERB ADV ADV DET ADJ NOUN NOUN ADP NOUN CCONJ PRON VERB ADP PRON VERB VERB ADP NOUN ADP PRON VERB VERB VERB ADP PRON ADP PRON VERB NOUN ADP NUM NOUN
' And so, of course, I jumped to the obvious conclusion in Bruges when you met Richard. '	0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PUNCT CCONJ ADV ADP NOUN PRON VERB ADP DET ADJ NOUN ADP PROPN ADV PRON VERB PROPN PUNCT
' Jumping to conclusions. '	0 1 1 1 0	jump to conclusions	figurative	combined-inflection	PUNCT VERB ADP NOUN PUNCT
Is my right hon. Friend further aware that she is supported by our party in being circumspect about jumping to conclusions before the official inquiry report to which she referred is received?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	inflection	VERB ADJ ADJ NOUN NOUN ADV ADJ ADP PRON VERB VERB ADP ADJ NOUN ADP VERB ADJ ADP VERB ADP NOUN ADP DET ADJ NOUN NOUN ADP ADJ PRON VERB VERB VERB
In March and April 1982 well - meaning planning experts back in Whitehall had obviously jumped to the conclusion that in the wet, cold, boggy desolation of East Falkland, dehydrated Arctic rations would be the ideal fare.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	ADP PROPN CCONJ PROPN NUM ADV PUNCT VERB NOUN NOUN ADV ADP PROPN VERB ADV VERB ADP DET NOUN ADP ADP DET ADJ ADJ ADJ NOUN ADP PROPN PROPN VERB PROPN NOUN VERB VERB DET ADJ NOUN
Yet let us always beware of jumping to conclusions, of assuming too readily that those experienced parliamentary draftsmen did not know their business and, perhaps above all, of attributing legislative intention too readily simply because we think that we, the judges, had we been the legislators, would have found such an intention sensible or morally or politically desirable.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	inflection	ADV VERB PRON ADV VERB ADP VERB ADP NOUN ADP VERB ADV ADV ADP DET ADJ ADJ NOUN VERB ADV VERB ADJ NOUN CCONJ ADV ADP DET ADP VERB ADJ NOUN ADV ADV ADV ADP PRON VERB ADP PRON DET NOUN VERB PRON VERB DET NOUN VERB VERB VERB ADJ DET NOUN NOUN CCONJ ADV CCONJ ADV ADJ
‘ So I jumped to conclusions.	0 0 0 1 1 1	jump to conclusions	figurative	inflection	PUNCT ADV PRON VERB ADP NOUN
‘ Don't jump to conclusions, Travis.	0 0 1 1 1 0	jump to conclusions	figurative	identical	PUNCT VERB VERB ADP NOUN PROPN
' Someone jumping to an erroneous conclusion about your needs before you 've had a chance to explain yourself '.	0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PUNCT NOUN VERB ADP DET ADJ NOUN ADP ADJ NOUN ADP PRON VERB VERB DET NOUN PART VERB PRON PUNCT
' So you jumped to the conclusion that the two episodes were connected and instantly assumed that the villain was me! '	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PUNCT ADV PRON VERB ADP DET NOUN ADP DET NUM NOUN VERB VERB CCONJ ADV VERB ADP DET NOUN VERB PRON PUNCT
However, one has to beware of jumping too rapidly to conclusions on the basis of a single surface analysis without considering all the possibilities.	0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	ADV PRON VERB PART VERB ADP VERB ADV ADV ADP NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN ADP VERB ADJ DET NOUN
I suppose it's remotely possible Clare was romantically involved with Jack Cornelius, although it doesn't say much for my powers of observation that I was unaware of it, but it's equally possible Rex Cunningham has simply jumped to the wrong conclusion : he was ever one to do that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PRON VERB PRON ADV ADJ PROPN VERB ADV ADJ ADP PROPN PROPN ADP PRON VERB VERB ADJ ADP ADJ NOUN ADP NOUN ADJ PRON VERB ADJ ADP PRON CCONJ PRON ADV ADJ PROPN PROPN VERB ADV VERB ADP DET ADJ NOUN PUNCT PRON VERB ADV NUM PART VERB DET
' Madam, I wish you would listen instead of jumping to ridiculous conclusions! '	0 0 0 0 0 0 0 0 0 1 1 0 1 0	jump to conclusions	figurative	combined-inflection	PUNCT PROPN PRON VERB PRON VERB VERB ADV ADP VERB ADP ADJ NOUN PUNCT
She says when other people see a badly behaved child they jump to the wrong conclusions.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	jump to conclusions	figurative	insertion-other	PRON VERB ADV ADJ NOUN VERB DET ADV VERB NOUN PRON VERB ADP DET ADJ NOUN
Wondering if you jumped rather hastily to conclusions? '	0 0 0 1 0 0 1 1 0	jump to conclusions	figurative	combined-inflection	VERB ADP PRON VERB ADV ADV ADP NOUN PUNCT
For example, in the story above, Mrs Glen may have jumped to the wrong conclusion but if you were Mrs Glen how would YOU feel if you were tired, your lesson had been disrupted by exams in the hall next door, several people in the class were being awkward, you get interrupted by an unhappy violin teacher moaning about his pupils not turning up on time and then you re - enter your classroom to find someone crawling under your desk with a handful of expensive musical instrument?!	0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	ADP NOUN ADP DET NOUN ADV PROPN PROPN VERB VERB VERB ADP DET ADJ NOUN CCONJ ADP PRON VERB PROPN PROPN ADV VERB PRON VERB ADP PRON VERB ADJ ADJ NOUN VERB VERB VERB ADP NOUN ADP DET NOUN ADJ NOUN ADJ NOUN ADP DET NOUN VERB VERB ADJ PRON VERB VERB ADP DET ADJ NOUN NOUN VERB ADP ADJ NOUN ADV VERB PART ADP NOUN CCONJ ADV PRON VERB PUNCT VERB ADJ NOUN PART VERB NOUN VERB ADP ADJ NOUN ADP DET NOUN ADP ADJ ADJ NOUN
I can accept their fears, but I think they should listen to the explanation from the professionals before they start jumping to conclusions.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	jump to conclusions	figurative	combined-inflection	PRON VERB VERB ADJ NOUN CCONJ PRON VERB PRON VERB VERB ADP DET NOUN ADP DET NOUN ADP PRON VERB VERB ADP NOUN
‘ You jump to conclusions.’	0 0 1 1 1	jump to conclusions	figurative	dashes	PUNCT PRON VERB ADP VERB
Whether control of these facilities by the CPSU fulfilled this requirement is debatable, but before we jump to the conclusion that we could not have expected anything else from the Soviet system, consider the chequered history of the First Amendment to the United States constitution, which reads inter alia : ' congress shall make no law … abridging the freedom of speech. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	ADP NOUN ADP DET NOUN ADP DET NOUN VERB DET NOUN VERB ADJ CCONJ ADP PRON VERB ADP DET NOUN ADP PRON VERB ADV VERB VERB NOUN ADV ADP DET ADJ NOUN VERB DET ADJ NOUN ADP DET PROPN PROPN ADP DET PROPN PROPN NOUN ADJ VERB NOUN VERB PUNCT PUNCT NOUN VERB VERB DET NOUN PUNCT VERB DET NOUN ADP NOUN PUNCT
I smiled, nodding my head, not unhappy that he 'd jumped to the wrong conclusions, but surprised that he didn't know the secret of paying by instalments.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PRON VERB VERB ADJ NOUN ADV ADJ ADP PRON VERB VERB ADP DET ADJ NOUN CCONJ VERB ADP PRON VERB VERB DET NOUN ADP VERB ADP NOUN
So don't jump to conclusions.	0 0 1 1 1	jump to conclusions	figurative	identical	ADV VERB VERB ADP NOUN
Why was he constantly jumping to conclusions?	0 0 0 0 1 1 1	jump to conclusions	figurative	inflection	ADV VERB PRON ADV VERB ADP NOUN
But before jumping to that conclusion it is worth pondering whether the weed is more resistant to husbandry practice rather than the herbicide.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	CCONJ ADP VERB ADP DET NOUN PRON VERB ADJ VERB ADP DET NOUN VERB ADV ADJ ADP NOUN NOUN ADV ADP DET NOUN
‘ I think you are slightly jumping to conclusions, Ellis,’ observed Milton.	0 0 0 0 0 0 1 1 1 0 0 0	jump to conclusions	figurative	inflection	PUNCT PRON VERB PRON VERB ADV VERB ADP NOUN PROPN VERB PROPN
And look at you jumping to conclusions, going the right way to make a proper fool of yourself.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	inflection	CCONJ VERB ADP PRON VERB ADP NOUN VERB DET ADJ NOUN PART VERB DET ADJ NOUN ADP PRON
I am afraid that the hon. Member for Kingston upon Hull, East ( Mr. Prescott ) has a regrettable tendency not to bother with the facts, but to jump to conclusions in the immediate aftermath of any accident, before any of the facts are known to him or to anyone else.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	identical	PRON VERB ADJ ADP DET NOUN PROPN ADP PROPN ADP PROPN PROPN PUNCT PROPN PROPN PUNCT VERB DET ADJ NOUN ADV PART VERB ADP DET NOUN CCONJ PART VERB ADP NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET ADP DET NOUN VERB VERB ADP PRON CCONJ ADP NOUN ADV
Meredith was determined to show him that she could do without arrogant bankers who 'd heard half a story and jumped to the wrong conclusions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	jump to conclusions	figurative	combined-inflection	PROPN VERB VERB PART VERB PRON ADP PRON VERB VERB ADP ADJ NOUN NOUN VERB VERB ADJ DET NOUN CCONJ VERB ADP DET ADJ NOUN
