Ought to have seen them walking down North Road.	0 0 0 0 0 0 1 0 1	down the road	literal	combined-other	VERB PART VERB VERB PRON VERB PART PROPN PROPN
we 'll walk down the road at the back and we 'd only just turned round the corner from the Claremont and we found this restaurant and it was, it was an absolutely brilliant chef, really nice restaurant, really high quality and it was was quite reasonable price, it wasn't cheap.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PRON VERB ADV ADV VERB ADV DET NOUN ADP DET PROPN CCONJ PRON VERB DET NOUN CCONJ PRON VERB PRON VERB DET ADV ADJ NOUN ADV ADJ NOUN ADV ADJ NOUN CCONJ PRON VERB VERB ADV ADJ NOUN PRON VERB ADJ
Occasionally, people act very strangely — I was driving down Edgware Road once and a taxi driver pulled up by me, and said, ' Sting!	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	ADV NOUN VERB ADV ADV PUNCT PRON VERB VERB PART PROPN PROPN ADV CCONJ DET NOUN NOUN VERB PART ADP PRON CCONJ VERB PUNCT ADJ
For example, if I measure a car traveling down the highway, I might think it had moved only one kilometer, but to someone on the sun, it would have moved about 1,800 kilometers, because the earth would have moved while the car was going down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADP NOUN ADP PRON VERB DET NOUN VERB ADP DET NOUN PRON VERB VERB PRON VERB VERB ADV NUM NOUN CCONJ ADP NOUN ADP DET NOUN PRON VERB VERB VERB ADV NUM NOUN ADP DET NOUN VERB VERB VERB ADP DET NOUN VERB VERB ADP DET NOUN
Sarah herself knew many women who had moonlighted down the Bayswater Road to supplement meagre war pensions or National Assistance.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	down the road	literal	combined-other	PROPN PRON VERB ADJ NOUN NOUN VERB VERB ADP DET PROPN PROPN PART VERB NOUN NOUN NOUN CCONJ PROPN NOUN
Sharpe was among the staff officers who trotted their horses down the Charleroi road, past the Gemioncourt farm by the ford, and so on up the shallow hill until they reached the infantry brigade which guarded against any frontal attack up the high road.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	PROPN VERB ADP DET NOUN NOUN NOUN VERB ADJ NOUN ADP DET PROPN NOUN ADP DET PROPN NOUN ADP DET NOUN CCONJ ADV ADV PART DET ADJ NOUN ADP PRON VERB DET NOUN NOUN ADJ VERB ADP DET ADJ NOUN PART DET ADJ NOUN
A man and a woman are driving down the road in an open - air vehicle	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	down the road	literal	identical	DET NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN ADP DET ADJ PUNCT NOUN NOUN
Eventually they got away, but they had got hardly a hundred yards down the road when she suddenly screamed out, ‘ We 've left them.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADV PRON VERB ADV CCONJ PRON VERB VERB ADV DET NUM NOUN ADP DET NOUN ADV PRON ADV VERB PART PUNCT PRON VERB VERB NOUN
About Peter Fleming, I saw him walking down Romney Road as I came here. '	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	down the road	literal	combined-other	ADP PROPN PROPN PRON VERB PRON VERB PART PROPN PROPN ADP PRON VERB ADV PUNCT
The equivalent of today ’s policy rate rose to 22 % as he launched a bold anti - inflationary crusade, accepting significant upfront costs for gains down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	figurative	identical	DET NOUN ADP NOUN PART NOUN NOUN VERB ADP NUM NOUN ADP PRON VERB DET ADJ ADV PUNCT ADJ NOUN VERB ADJ ADJ NOUN ADP NOUN ADP DET NOUN
Your driving down the road, and you carry on driving if there's no cross - roads.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADJ VERB ADP DET NOUN CCONJ PRON VERB PART VERB ADP ADV DET NOUN PUNCT NOUN
' You can't go out like that, ' said Wendy to Apricot when she was four, ' it's freezing,'and little Apricot, in nothing but vest and pants, ran straight out into the street and down the long suburban road to the small playground which a benign council had made for the children in the sharp triangle of land where the railway line intersected the water - purifying plant.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	PUNCT PRON VERB VERB PART ADP DET PUNCT VERB NOUN ADP PROPN ADV PRON VERB NUM PUNCT PRON ADJ ADJ PROPN ADP NOUN CCONJ NOUN CCONJ NOUN VERB ADV ADV ADP DET NOUN CCONJ ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN ADJ DET ADJ NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADV DET NOUN NOUN VERB DET NOUN PUNCT VERB NOUN
He had been in Britain for over twenty years and never had any problem or contact with the police except for one occasion when he was with Mum on a shopping expedition and police officers approached him and said, ‘ You fit the description of a guy that has just mugged a woman down the road.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	dashes	PRON VERB VERB ADP PROPN ADP ADP NUM NOUN CCONJ ADV VERB DET NOUN CCONJ NOUN ADP DET NOUN ADP ADP NUM NOUN ADV PRON VERB ADP PROPN ADP DET NOUN NOUN CCONJ NOUN NOUN VERB PRON CCONJ VERB PUNCT PRON VERB DET NOUN ADP DET NOUN ADJ VERB ADV VERB DET NOUN ADP DET NOUN
He went outside, shutting the large doors silently and started off down the concrete road.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the road	literal	insertion-other	PRON VERB ADV VERB DET ADJ NOUN ADV CCONJ VERB PART ADP DET ADJ NOUN
Go down this road until you get to a traffic ~ light and then turn left.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	determiner-narrow	VERB PART DET NOUN ADP PRON VERB ADP DET NOUN PUNCT NOUN CCONJ ADV VERB ADV
A procession of blackclad dignitaries streamed down the road like a column of soldier ants and came to a halt on the bridge.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	DET NOUN ADP ADJ NOUN VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN
Course though they had the bombs drop down the road here, they had a bomb drop just down the road here.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADV ADP PRON VERB DET NOUN VERB ADP DET NOUN ADV PRON VERB DET NOUN NOUN ADV ADP DET NOUN ADV
I saw this cat coming down the road	0 0 0 0 0 1 0 1	down the road	literal	identical	PRON VERB DET NOUN VERB ADP DET NOUN
Or you could go down California Road	0 0 0 0 1 0 1	down the road	literal	combined-other	CCONJ PRON VERB VERB ADP PROPN PROPN
The young boy was running down the road towards Martin with a posse of four helpers close behind.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	DET ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN ADP DET NOUN ADP NUM NOUN ADV ADV
Cars speed up and down the twisty road at all hours and residents and visitors frequently park vehicles on the road restricting access.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	NOUN VERB PART CCONJ ADP DET NOUN NOUN ADP DET NOUN CCONJ NOUN CCONJ NOUN ADV VERB NOUN ADP DET NOUN NOUN NOUN
Like there was this girl, she worked in the paper shop down the road, and there was this black kid who kept pestering her all the time, so we had to go down and sort him out.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADP ADV VERB DET NOUN PRON VERB ADP DET NOUN NOUN ADP DET NOUN CCONJ ADV VERB DET ADJ NOUN NOUN VERB VERB PRON ADJ DET NOUN CCONJ PRON VERB PART VERB PART CCONJ VERB PRON PART
A man with a helmet painted red is riding a blue motorcycle down the road	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	DET NOUN ADP DET NOUN VERB NOUN VERB VERB DET ADJ NOUN ADP DET NOUN
But for some of those employees heading off down the road, their day's work is barely half over.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the road	literal	identical	CCONJ ADP DET ADP DET NOUN VERB PART ADP DET NOUN ADJ NOUN NOUN VERB ADV ADV ADV
He frowned as he gazed down the road to where a black limo was parked.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB ADP PRON VERB PART DET NOUN ADP ADV DET ADJ NOUN VERB VERB
I can take you down the road and show you my breeding stock in every farmer's field.’	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB VERB PRON ADP DET NOUN CCONJ VERB PRON ADJ VERB NOUN ADP DET NOUN NOUN
Monetary growth may increase inflationary pressures and the risk of an asset bubble down the road, but it helped ensure that China ’s economy did not fall into a vicious downturn when the financial crisis hit.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	figurative	identical	ADJ NOUN VERB VERB ADJ NOUN CCONJ DET NOUN ADP DET NOUN NOUN ADP DET NOUN CCONJ PRON VERB VERB ADP PROPN PART NOUN VERB ADV VERB ADP DET ADJ NOUN ADV DET ADJ NOUN VERB
A middle aged man and woman are riding bikes down a road near the water	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	literal	determiner-narrow	DET ADJ ADJ NOUN CCONJ NOUN VERB VERB NOUN PART DET NOUN ADP DET NOUN
Subsequently the council's own officers told the inquiry that a pedestrian had been killed on Hollyhurst Road because he couldn't find a safe place to cross, that ambulances struggle to get down Hollyhurst Road in emergencies, that residents cars are blocked in their drives and that buses have to drop off in the middle of the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	ADV DET NOUN ADJ NOUN VERB DET NOUN ADP DET NOUN VERB VERB VERB ADP PROPN PROPN ADP PRON VERB VERB DET ADJ NOUN PART VERB ADP NOUN VERB PART VERB PART PROPN PROPN ADP NOUN ADP NOUN NOUN VERB VERB ADP ADJ NOUN CCONJ ADP NOUN VERB PART VERB PART ADP DET NOUN ADP DET NOUN
Thus:(1 ) the said Solicitors ' Publicity Code ( which is summarised in Chapter 12 ) was introduced in 1988, revised in 1990, and covers the whole field ; from the general ( solicitors may hold themselves out to be good, but not to be better than the other firm down the road ; publicity must be accurate and not mislead ; a solicitor's advertisement must identify the solicitor by name ) to the particular ( the correct designation of a solicitor's practice, entries in legal directories, addresses to the Court and the use of the legal aid logo);(2 ) the Law Society's code incorporates by reference the provisions of the British Code of Advertising Practice which in its own way requires publicity material to be honest, truthful and decent, unambiguous and responsible, and contains a separate section relating to the advertising of financial services and products;(3 ) the Financial Services ( Conduct of Business ) Rules 1987 also cover the advertising of financial services and products and will need to be studied by any firm carrying on investment business;(4 ) solicitors will also need to be familiar with the Consumer Credit ( Advertisements ) Regulations 1989 and other secondary legislation in that connection, the whole corpus replete with the jargon unique to that area of law;(5 ) the Business Names Act 1985, which has already been referred to in Chapter 1, requires revision of a firm's letterheading every time there is a change in the identity of the partners, which will include any occasion when a salaried partner whose name has previously been shown " below the line " is promoted.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	NOUN PUNCT DET VERB PROPN PART PROPN PROPN PUNCT ADJ VERB VERB ADP NOUN NUM PUNCT VERB VERB ADP NUM VERB ADP NUM CCONJ VERB DET ADJ NOUN PUNCT ADP DET ADJ PUNCT NOUN VERB VERB PRON PART PART VERB ADJ CCONJ ADV PART VERB ADJ ADP DET ADJ NOUN ADP DET NOUN PUNCT NOUN VERB VERB ADJ CCONJ ADV VERB PUNCT DET NOUN NOUN VERB VERB DET NOUN ADP NOUN PUNCT ADP DET ADJ PUNCT DET ADJ NOUN ADP DET NOUN NOUN NOUN ADP ADJ NOUN VERB ADP DET PROPN CCONJ DET NOUN ADP DET ADJ NOUN NOUN PUNCT DET PROPN PROPN NOUN VERB ADP NOUN DET NOUN ADP DET PROPN PROPN ADP PROPN PROPN ADJ ADP ADJ ADJ NOUN VERB NOUN NOUN PART VERB ADJ ADJ CCONJ ADJ ADJ CCONJ ADJ CCONJ VERB DET ADJ NOUN VERB ADP DET NOUN ADP ADJ NOUN CCONJ PROPN PUNCT DET PROPN PROPN PUNCT PROPN ADP PROPN PUNCT NOUN NUM ADV VERB DET NOUN ADP ADJ NOUN CCONJ NOUN CCONJ VERB VERB PART VERB VERB ADP DET ADJ VERB ADP NOUN PROPN PUNCT NOUN VERB ADV VERB PART VERB ADJ ADP DET PROPN PROPN PUNCT PROPN PUNCT NOUN NUM CCONJ ADJ ADJ NOUN ADP DET NOUN DET ADJ NOUN ADJ ADP DET NOUN ADJ ADP DET NOUN ADP PROPN PUNCT DET PROPN PROPN PROPN NUM ADJ VERB ADV VERB VERB ADP ADP NOUN NUM VERB NOUN ADP DET NOUN NOUN DET NOUN ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN ADJ VERB VERB DET NOUN ADV DET ADJ NOUN ADJ NOUN VERB ADV VERB VERB PUNCT ADP DET NOUN PUNCT VERB VERB
when you go down Gainsborough Road innit?	0 0 0 1 0 1 0	down the road	literal	combined-other	ADV PRON VERB ADP PROPN PROPN NOUN
The rain was falling harder than ever as I cycled home down the Banbury Road, through the science ghetto on Parks Road and into a time - warp.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	DET NOUN VERB VERB ADV ADP ADV ADP PRON VERB ADV ADP DET PROPN PROPN ADP DET NOUN NOUN ADP PROPN PROPN CCONJ ADP DET NOUN PUNCT ADJ
Beyond this pandemic, there almost certainly lurks another down the road – potentially far more serious.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	down the road	figurative	identical	ADP DET NOUN ADV ADV ADV VERB DET ADP DET NOUN PUNCT ADV ADV ADV ADJ
And I started on the Monday morning, Dad did the sandwiches, since he was head chef in the morning for the family, and off he sent me down the road, wasn't too bad it was all down hill, early in the morning it was good for you, down hill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	CCONJ PRON VERB ADP DET PROPN NOUN PROPN VERB DET NOUN ADP PRON VERB NOUN NOUN ADP DET NOUN ADP DET NOUN CCONJ ADV PRON VERB PRON ADP DET NOUN VERB ADV ADJ PRON VERB DET ADP NOUN ADV ADP DET NOUN PRON VERB ADJ ADP PRON ADP NOUN
heavy horse, a land horse such as a Suffolk, as most of them were, erm but times were so tight that there was a farmer who used to send his horse with his horseman right past here and go another mile down the road to, to the next village to Kettleborough where there was ano, there were two farriers there	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADJ NOUN DET NOUN NOUN ADJ ADP DET PROPN ADP ADJ ADP PRON VERB NOUN CCONJ NOUN VERB ADV ADJ ADP ADV VERB DET NOUN NOUN VERB PART VERB ADJ NOUN ADP ADJ NOUN NOUN NOUN ADV CCONJ VERB DET NOUN ADP DET NOUN ADP ADP DET ADJ NOUN ADP PROPN ADV ADV VERB NOUN ADV VERB NUM NOUN ADV
He made his way down the narrow road, huddled like a crab within his familiar brown overcoat.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	PRON VERB ADJ NOUN ADP DET ADJ NOUN VERB ADP DET NOUN ADP ADJ ADJ ADJ NOUN
‘ A women who's spent half an hour in front of the mirror making herself attractive, 100 yards down the road hears a man on a building site say, ‘ Hello, beautiful’, and she looks shocked!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PUNCT DET NOUN NOUN VERB ADJ DET NOUN ADP NOUN ADP DET NOUN VERB PRON ADJ NUM NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN NOUN VERB PUNCT INTJ NOUN CCONJ PRON VERB ADJ
I don't know whether you go down Valmer Road do you?	0 0 0 0 0 0 1 0 1 0 0	down the road	literal	combined-other	PRON VERB VERB ADP PRON VERB ADP PROPN PROPN VERB PRON
down Edinburgh Road you said to down Edinburgh Road we 've never gone in this place, it's a cook meat shop	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	ADP PROPN PROPN PRON VERB ADP PROPN PROPN PROPN PRON VERB ADV VERB ADP DET NOUN PRON DET NOUN NOUN NOUN
Alright, when the supply comes on to the market, you know, it may be nine months down the road if it's an annual crop, if you 're looking at something like erm, production of cocoa, right now, a cocoa tree takes about nine years to mature, therefore alright, you 're not going to know what prices are going to be nine years down the road, you 're going to have to base your production decisions and therefore your output decisions on what prices are nearly a decade, nearly a decade ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	figurative	identical	INTJ ADV DET NOUN VERB PART ADP DET NOUN PRON VERB PRON VERB VERB NUM NOUN ADP DET NOUN ADP PRON DET ADJ NOUN ADP PRON VERB VERB ADP NOUN ADP NOUN NOUN ADP NOUN ADV ADV DET NOUN NOUN VERB ADV NUM NOUN PART VERB ADV INTJ PRON VERB ADV VERB PART VERB NOUN NOUN VERB VERB PART VERB NUM NOUN ADP DET NOUN PRON VERB VERB PART VERB PART VERB ADJ NOUN NOUN CCONJ ADV ADJ NOUN NOUN ADP NOUN NOUN VERB ADV DET NOUN ADV DET NOUN ADV
They almost ran down the road, drawing looks from the passers - by.	0 0 0 1 0 1 0 0 0 0 0 0 0	down the road	literal	identical	PRON ADV VERB ADP DET NOUN NOUN NOUN ADP DET NOUN PUNCT ADV
‘ We did once and we got loads of comments — Liz even got chased down the road by a tramp!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	literal	identical	PUNCT PRON VERB ADV CCONJ PRON VERB NOUN ADP NOUN PUNCT PROPN ADV VERB VERB ADP DET NOUN ADP DET NOUN
Mind you I could park it down the road couldn't I?	0 0 0 0 0 0 1 0 1 0 0	down the road	literal	identical	VERB PRON PRON VERB VERB PRON ADP DET NOUN VERB PRON
As government deficits and public debt increase in many developed and emerging economies, financial markets will most likely demand higher risk premia, owing to heightened fears of default and inflation down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	figurative	identical	ADP NOUN NOUN CCONJ ADJ NOUN NOUN ADP ADJ ADJ CCONJ VERB NOUN ADJ NOUN VERB ADV ADJ VERB ADJ NOUN NOUN VERB ADP VERB NOUN ADP NOUN CCONJ NOUN ADP DET NOUN
I said it looks lov, I said what we 'll do I said we 'll rush down the road and we 'll get a tint.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	down the road	literal	identical	PRON VERB PRON VERB ADJ PRON VERB NOUN PRON VERB VERB PRON VERB PRON VERB VERB PART DET NOUN CCONJ PRON VERB VERB DET NOUN
He reversed his car and prepared to drive back down the road.	0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	PRON VERB ADJ NOUN CCONJ VERB PART VERB ADV ADP DET NOUN
I think, ' he added obligingly, ' you 'll find the nearest hotel is five or six miles down the main road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the road	literal	insertion-other	PRON VERB PUNCT PRON VERB ADV PUNCT PRON VERB VERB DET ADJ NOUN VERB NUM CCONJ NUM NOUN ADP DET ADJ NOUN
When I see a woman in a long, tight, pencil skirt and high heels tottering down the road, I often wonder how fast she could run if chased.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADV PRON VERB DET NOUN ADP DET ADJ ADJ NOUN NOUN CCONJ ADJ NOUN VERB ADP DET NOUN PRON ADV VERB ADV ADV PRON VERB VERB ADP VERB
We go right past and down the road and I 'm safe.	0 0 0 0 0 1 0 1 0 0 0 0	down the road	literal	identical	PRON VERB ADV ADV CCONJ ADP DET NOUN CCONJ PRON VERB ADJ
A young child is running down a gravel road that is covered with dead leaves	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	down the road	literal	combined-other	DET ADJ NOUN VERB VERB ADP DET NOUN NOUN ADJ VERB VERB ADP ADJ NOUN
All of whom have been second - guessed by Ollie, who romps his plodmobile ( definitely not a Lagonda! ) gaily down the Bayswater Road, barrels up Piccadilly, even throttles back on the vacant Euston Road to give the competition a sporting chance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	DET ADP NOUN VERB VERB ADV PUNCT VERB ADP PROPN NOUN VERB ADJ NOUN PUNCT ADV ADV DET PROPN PUNCT ADV ADP DET PROPN PROPN VERB PART ADV ADV VERB ADV ADP DET ADJ PROPN PROPN PART VERB DET NOUN DET NOUN NOUN
Well it used to be er one road used to be called Meadow Flats, and then you go a little way down another road and it used to be called the bottoms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	down the road	literal	determiner-broad	INTJ PRON VERB PART VERB INTJ NUM NOUN VERB PART VERB VERB PROPN PROPN CCONJ ADV PRON VERB DET ADJ NOUN ADP DET NOUN CCONJ PRON VERB PART VERB VERB DET NOUN
You 're going down the road	0 0 0 1 0 1	down the road	literal	identical	PRON VERB VERB ADP DET NOUN
They won't even walk down the road	0 0 0 0 1 0 1	down the road	literal	identical	PRON VERB ADV VERB ADP DET NOUN
A young child is running down a road made of gravel that is covered with dead leaves	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	down the road	literal	determiner-narrow	DET ADJ NOUN VERB VERB ADP DET NOUN VERB ADP NOUN ADJ VERB VERB ADP ADJ NOUN
