Mostly she deals with moral issues, though some are topical or ‘ tongue in cheek’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	dashes	ADV PRON VERB ADP ADJ NOUN ADP DET VERB ADJ CCONJ PUNCT NOUN ADP NOUN
This is not a merely tongue - in - cheek reaction to such arguments as that of Meillassoux.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET VERB ADV DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADP ADJ NOUN ADP DET ADP PROPN
It is the trick of the big - stage musical number but applied to circus with finesse and much tongue - in - cheek humour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	tongue in cheek	figurative	dashes	PRON VERB DET NOUN ADP DET ADJ PUNCT NOUN ADJ NOUN CCONJ VERB ADP VERB ADP NOUN CCONJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN
It was The Lost Boys, a lashing tongue - in - cheek tale of small town, rock ' n'roll vampires who image - wise, at least, owed more to Guns N ' Roses than Vincent Price, that brought Kiefer Sutherland into the movie worlds big league.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PRON VERB DET VERB PROPN DET VERB NOUN PUNCT ADP PUNCT NOUN NOUN ADP ADJ NOUN NOUN PART NOUN NOUN NOUN VERB PUNCT ADJ ADP ADJ VERB ADJ ADP PROPN PROPN PUNCT PROPN ADP PROPN PROPN ADJ VERB PROPN PROPN ADP DET NOUN VERB ADJ NOUN
Although there is a huge element of tongue - in - cheek wackiness about the script, it lacks the sophistication or the intelligence needed to carry it off.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADP ADV VERB DET ADJ NOUN ADP NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET NOUN PRON VERB DET NOUN CCONJ DET NOUN VERB PART VERB PRON PART
I mean, I 'm saying that with tongue in cheek because they 've got to come to our place.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PRON VERB PRON VERB VERB ADP ADP NOUN ADP NOUN ADP PRON VERB VERB PART VERB ADP ADJ NOUN
By the look in his eye I could tell that he was speaking tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	ADP DET NOUN ADP ADJ NOUN PRON VERB VERB ADP PRON VERB VERB NOUN ADP NOUN
The whole of the introduction was a solemnly tongue - in - cheek exposition of this notion, though Greg had the impression that later the joke rather ran out of steam ( as the book very nearly did run out of authors to treat ).	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN ADP DET NOUN VERB DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET NOUN ADP PROPN VERB DET NOUN ADP ADV DET NOUN ADV VERB ADP ADP NOUN PUNCT ADP DET NOUN ADV ADV VERB VERB ADP ADP NOUN PART VERB PUNCT
I don't think he's right in what he says but I think it might have been a bit tongue in cheek as well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	tongue in cheek	figurative	identical	PRON VERB VERB PRON ADJ ADP NOUN PRON VERB CCONJ PRON VERB PRON VERB VERB VERB DET NOUN NOUN ADP NOUN ADV ADV
The point is that black people are not only at a disadvantage in the job market on account of their colour, they also perceive sharply that this is so and, despite Johnson's tongue - in - cheek addendum, the consciousness of belonging to a group which feels itself to be at a disadvantage is clear enough.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN VERB ADP ADJ NOUN VERB ADV ADV ADP DET NOUN ADP DET NOUN NOUN ADP NOUN ADP ADJ NOUN PRON ADV VERB ADV ADP DET VERB ADV CCONJ ADP PROPN NOUN PUNCT ADP PUNCT NOUN NOUN DET NOUN ADP VERB ADP DET NOUN ADJ VERB PRON PART VERB ADP DET NOUN VERB ADJ ADV
AT A top price of £ 20-£30 —‘through the roof’ says Ian Hooker, with tongue in cheek — commemorative and advertising matchbox grips still cost peanuts compared with even the cheapest London saleroom collectables.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADP DET ADJ NOUN ADP SYM NUM ADP DET NOUN VERB PROPN PROPN ADP NOUN ADP NOUN PUNCT NOUN CCONJ NOUN NOUN NOUN ADV VERB NOUN VERB ADP ADV DET ADJ PROPN NOUN NOUN
An inordinate proportion of this slender book is given over to digression and quotation ( including a graceful, tongue - in - cheek, tribute to The Economist ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	tongue in cheek	figurative	dashes	DET ADJ NOUN ADP DET ADJ NOUN VERB VERB PART ADP NOUN CCONJ NOUN PUNCT VERB DET ADJ NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET PROPN PUNCT
‘ I suppose you 'll be off to Colonel Murchison's this afternoon with this weather and all?’ he said, with tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	PUNCT PRON VERB PRON VERB VERB ADP ADP PROPN PROPN DET NOUN ADP DET NOUN CCONJ PROPN PRON VERB ADP NOUN ADP NOUN
The winning nomination, sent in be the school's assistant headteacher, Mrs. Brenda Hart, was a tongue - in - cheek statement that everyone worked together as a friendly and cheerful team to uphold school standards in spite of Government directives and the pressures of society!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET VERB NOUN VERB PART VERB DET NOUN ADJ NOUN PROPN PROPN PROPN VERB DET NOUN PUNCT ADP PUNCT NOUN NOUN ADP NOUN VERB ADV ADP DET ADJ CCONJ ADJ NOUN PART VERB NOUN NOUN ADP NOUN ADP PROPN NOUN CCONJ DET NOUN ADP NOUN
' No, you should be all right, ' he agreed, his smile still in place, ' but you 'd best leave after lunch tomorrow to give yourself plenty of time — just in case you get side - tracked,'he added, tongue - in - cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1	tongue in cheek	figurative	dashes	PUNCT INTJ PRON VERB VERB ADV ADJ PUNCT PRON VERB ADJ NOUN ADV ADP NOUN PUNCT CCONJ PRON VERB ADV VERB ADP NOUN NOUN PART VERB PRON NOUN ADP NOUN PUNCT ADV ADP NOUN PRON VERB NOUN PUNCT PROPN VERB NOUN PUNCT ADP PUNCT NOUN
The late Ian Fleming did not have a monopoly in tongue - in - cheek, humorous adventures about secret agents, but a novelist might commit the tort of passing - off if he changes his name to Ian Fleming or uses the name James Bond or the 007 code in his novel.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET ADJ PROPN PROPN VERB ADV VERB DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN ADJ NOUN ADP ADJ NOUN CCONJ DET NOUN VERB VERB DET NOUN ADP VERB PUNCT NOUN ADP PRON VERB ADJ NOUN ADP PROPN PROPN CCONJ VERB DET NOUN PROPN PROPN CCONJ DET NUM NOUN ADP ADJ NOUN
Mark Morris's Canonic 3/4 Studies however, a lively ensemble work, was full of tongue - in - cheek wit with plenty of jokes that depended on clever timing or neat contrasts between popular romantic music and unexpectedly awkward steps.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN PROPN NUM PROPN ADV DET ADJ ADJ NOUN VERB ADJ ADP NOUN PUNCT ADP PUNCT NOUN NOUN ADP NOUN ADP NOUN ADJ VERB ADP ADJ NOUN CCONJ ADJ NOUN ADP ADJ ADJ NOUN CCONJ ADV ADJ NOUN
Elijah Moshinsky directs with a light touch ( though not always quite as light as it should be ), and Saul Radomsky's tongue - in - cheek sets are a constant source of pleasure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN VERB ADP DET ADJ NOUN PUNCT ADP ADV ADV ADV ADV NOUN ADP PRON VERB VERB PUNCT CCONJ PROPN PROPN NOUN PUNCT ADP PUNCT NOUN NOUN VERB DET ADJ NOUN ADP NOUN
However, the fact that men did sing soprano seriously at this time, in combination with the text of this récit which on the surface is not ridiculous, although it certainly could be performed tongue - in - cheek opens the door to doubts about the style of performance the role demands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADV DET NOUN ADP NOUN VERB NOUN NOUN ADV ADP DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADJ ADP DET NOUN VERB ADV ADJ ADP PRON ADV VERB VERB VERB NOUN PUNCT ADP PUNCT NOUN VERB DET NOUN PART NOUN ADP DET NOUN ADP NOUN DET NOUN NOUN
Then she will ask if they have a label for their music and Richard Fm — the bald one who sings — will say ‘ St Michael’ before his brother chips in with the episode's one almost serious observation, saying, of their success : ‘ I think it's because we play with our tongues in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	inflection	ADV PRON VERB VERB ADP PRON VERB DET NOUN ADP ADJ NOUN CCONJ PROPN PROPN PUNCT DET ADJ NUM NOUN VERB PUNCT VERB VERB PUNCT PROPN PROPN ADP ADJ NOUN VERB ADP ADP DET NOUN NUM ADV ADJ NOUN VERB ADP ADJ NOUN PUNCT PUNCT PRON VERB PRON ADP PRON VERB ADP ADJ NOUN ADP NOUN
Customers will understand that his comments were made ‘ tongue in cheek’, he now says.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	tongue in cheek	figurative	dashes	NOUN VERB VERB ADP ADJ NOUN VERB VERB ADJ NOUN ADP NOUN PRON ADV VERB
Tongue - in - cheek, the captain of tiny Tabard revealed : ' I 'm ready for Wayne — I 've seen him on television.	1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	combined-other	NOUN PUNCT ADP PUNCT NOUN DET NOUN ADP ADJ PROPN VERB PUNCT PUNCT PRON NOUN ADJ ADP PROPN PUNCT PRON VERB VERB PRON ADP NOUN
We are called upon to make such statements in all sorts of circumstances in our constituencies and sometimes we do it slightly with tongue in cheek, but I can genuinely make such a statement about many homes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PRON VERB VERB ADP PART VERB ADJ NOUN ADP DET NOUN ADP NOUN ADP ADJ NOUN CCONJ ADV PRON VERB PRON ADV ADP NOUN ADP NOUN CCONJ PRON VERB ADV VERB ADJ DET NOUN ADP ADJ NOUN
The range of subject matter is, as always, extensive ; the Melbourne Cricket Ground, a history of Durham CC, the evolution of fast bowling, Gooch's milestone of 7,000 Test runs, the participation in cricket of women in Victorian England and a tongue - in - cheek press report from the year 2045 mentioning the 54 Tests played in the calendar year, striped uniforms for each of the four umpires, and stiletto marks on the floor in the Long Room at Lords's.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN ADP ADJ NOUN VERB ADP ADV ADJ PUNCT DET PROPN PROPN PROPN DET NOUN ADP PROPN PROPN DET NOUN ADP ADJ NOUN PROPN NOUN ADP NUM PROPN NOUN DET NOUN ADP NOUN ADP NOUN ADP PROPN PROPN CCONJ DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP DET NOUN NUM VERB DET NUM NOUN VERB ADP DET NOUN NOUN VERB NOUN ADP DET ADP DET NUM NOUN CCONJ NOUN NOUN ADP DET NOUN ADP DET PROPN PROPN ADP PROPN
There's a by - product, in that the images can also be incorporated into documents, including, strangely enough ( he said tongue - in - cheek ), BoP, not least because the two programs are from the same stable.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADV DET ADP PUNCT NOUN ADP ADP DET NOUN VERB ADV VERB VERB ADP NOUN VERB ADV ADV PUNCT PRON VERB NOUN PUNCT ADP PUNCT NOUN PUNCT PROPN ADV ADJ ADP DET NUM NOUN VERB ADP DET ADJ NOUN
There is nothing tongue - in - cheek about these statements.	0 0 0 1 0 1 0 1 0 0 0	tongue in cheek	figurative	dashes	ADV VERB NOUN NOUN PUNCT ADP PUNCT NOUN ADP DET NOUN
Dr Hendron also hit out at some unionist politicians who, he claimed, condemned loyalist violence ' with a tongue in their cheek '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	tongue in cheek	figurative	insertion-other	PROPN PROPN ADV VERB PART ADP DET ADJ NOUN NOUN PRON VERB VERB NOUN NOUN PUNCT ADP DET NOUN ADP ADJ NOUN PUNCT
However, the Independent Television Commission ruled that the adverts were more tongue - in - cheek rather than sinister or sexist and that, in any, case the Naomi Campbell one had been moved to a post-9pm slot.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADV DET PROPN PROPN PROPN VERB ADP DET NOUN VERB ADJ NOUN PUNCT ADP PUNCT NOUN ADV ADP ADJ CCONJ NOUN CCONJ ADP ADP DET NOUN DET PROPN PROPN NUM VERB VERB VERB ADP DET NOUN NOUN
Also worth listening to : the tongue - in - cheek Jigsaw, with its ' variations on a Scottish theme ', sounding like a bagpipe chanter played by flute and marimba, with accompanying drone from Phillips's double bass.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADV ADJ VERB ADP PUNCT DET NOUN PUNCT ADP PUNCT NOUN PROPN ADP ADJ PUNCT NOUN ADP DET ADJ NOUN PUNCT VERB ADP DET NOUN NOUN VERB ADP NOUN CCONJ NOUN ADP VERB NOUN ADP PROPN ADJ NOUN
Deputy Head ( Staff ) : ' Tongue in cheek!	0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	case	PROPN PROPN PUNCT NOUN PUNCT PUNCT PUNCT NOUN ADP NOUN
James Joyce is a pre - eminently Class 2 novelist, and so for comparative purposes, Burgess offers us ( tongue - in - cheek ) a translation into Class 1 language of the opening of A Portrait of the Artist as a Young Man.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN VERB DET ADJ PUNCT ADV NOUN NUM NOUN CCONJ ADV ADP ADJ NOUN PROPN VERB PRON PUNCT NOUN PUNCT ADP PUNCT NOUN PUNCT DET NOUN ADP NOUN NUM NOUN ADP DET NOUN ADP DET PROPN ADP DET PROPN ADP DET PROPN PROPN
Rave suffers from a slew of sub - standard rubbish, but compared with the general bollocks Hypno Genesis shine through with a tongue - in - cheek optimism reminiscent of early Altern 8.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	tongue in cheek	figurative	dashes	NOUN VERB ADP DET NOUN ADP NOUN PUNCT ADJ NOUN CCONJ VERB ADP DET ADJ NOUN PROPN PROPN VERB PART ADP DET NOUN PUNCT ADP PUNCT NOUN NOUN ADJ ADP ADJ PROPN NUM
Maxwell was a more sympathetic critic, seeing the work ( perhaps with tongue in cheek ) as science baited with ‘ the allurement of some more human interest’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PROPN VERB DET ADV ADJ NOUN VERB DET NOUN PUNCT ADV ADP NOUN ADP NOUN PUNCT ADP NOUN VERB ADP PUNCT DET NOUN ADP DET ADV ADJ NOUN
Stewart Roxburgh gave a tongue - in - cheek ' This Is Your Life ' presentation.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN VERB DET NOUN PUNCT ADP PUNCT NOUN PUNCT DET VERB ADJ NOUN PUNCT NOUN
The reason this figure was produced is erm because one of the comments we had back from the other induction courses er Gareth, the reason we had produced this video was erm structure you 've never shown it, so it's not necessarily tongue in cheek but it is a strictly sales structure but it will give you a clearer idea of our guide what to do to the role plays this morning, Saturday and tomorrow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	DET NOUN DET NOUN VERB VERB VERB NOUN ADP NUM ADP DET NOUN PRON VERB ADV ADP DET ADJ NOUN NOUN INTJ PROPN DET NOUN PRON VERB VERB DET NOUN VERB NOUN NOUN PRON VERB ADV VERB PRON ADV PRON ADV ADV NOUN ADP NOUN CCONJ PRON VERB DET ADV NOUN NOUN CCONJ PRON VERB VERB PRON DET ADJ NOUN ADP ADJ NOUN NOUN PART VERB ADP DET NOUN VERB DET NOUN PROPN CCONJ NOUN
The spectacular aerial shots, Prof Burland's lightly worn erudition, the delicious dollops of Verdi and Rossini and the ever - so - slightly tongue - in - cheek commentary added up to a ‘ Carry on Leaning’ that I felt obliged to watch all over again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET ADJ ADJ NOUN PROPN PROPN ADV ADJ NOUN DET ADJ NOUN ADP PROPN CCONJ PROPN CCONJ DET ADV PUNCT ADV PUNCT ADV NOUN PUNCT ADP PUNCT NOUN NOUN VERB PART ADP DET PUNCT NOUN ADP PROPN ADP PRON VERB VERB PART VERB ADV ADV ADV
Captain Margaret is about ideals, about aspects of love described in terms of three very generalised figures ( for even Stukeley, vigorous though his idiom and behaviour may be, is not a ' real ' villain in the sense of that tongue - in - cheek villain, Abner Brown, in the fantasies The Midnight Folk and The Box of Delights ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN VERB ADP NOUN ADP NOUN ADP NOUN VERB ADP NOUN ADP NUM ADV VERB NOUN PUNCT ADP ADV PROPN ADJ ADP ADJ NOUN CCONJ NOUN VERB VERB VERB ADV DET PUNCT ADJ PUNCT NOUN ADP DET NOUN ADP DET NOUN PUNCT ADP PUNCT NOUN NOUN PROPN PROPN ADP DET NOUN DET PROPN PROPN CCONJ DET PROPN ADP PROPN PUNCT
I also say, with tongue in cheek, that the Harris 1,000-Plan should be dubbed the most outrageous confidence trick of the entire war.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PRON ADV VERB ADP NOUN ADP NOUN ADP DET PROPN NUM VERB VERB VERB DET ADV ADJ NOUN NOUN ADP DET ADJ NOUN
‘ I was really getting stuck into him, but it was mainly tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	PUNCT PRON VERB ADV VERB ADJ ADP PRON CCONJ PRON VERB ADV NOUN ADP NOUN
The ex - abbe, possibly with tongue - in - cheek considering his own record, suggested the subject of Don Juan, the archetypal libertine, and dropped other projects to begin work immediately.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NUM PUNCT NOUN ADV ADP NOUN PUNCT ADP PUNCT NOUN VERB ADJ ADJ NOUN VERB DET NOUN ADP PROPN PROPN DET ADJ NOUN CCONJ VERB ADJ NOUN PART VERB NOUN ADV
Or w w shall we say that may be said with a bit of a tongue in cheek?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	CCONJ DET X VERB PRON VERB DET VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN
