Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB
What the repercussions will be in South Africa — where the ageing president, Danie Craven, has threatened to support rebel tours — only time will tell.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	time will tell	figurative	identical	NOUN DET NOUN VERB VERB ADP PROPN PROPN PUNCT ADV DET VERB NOUN PROPN PROPN VERB VERB PART VERB ADJ NOUN PUNCT ADJ NOUN VERB VERB
Only time will tell whether his revelations will include Why The Lamborghini Had To Go.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB ADV DET PROPN VERB PART VERB
Only time will tell, but it's looking good — watch this space for further details!	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB CCONJ PRON VERB ADJ PUNCT VERB DET NOUN ADP ADJ NOUN
In Charles Barker they are one of a range of public relations and advertising businesses and time will tell if this is a truly successful strategy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	time will tell	figurative	identical	ADP PROPN PROPN PRON VERB NUM ADP DET NOUN ADP ADJ NOUN CCONJ NOUN NOUN CCONJ NOUN VERB VERB ADP DET VERB DET ADV ADJ NOUN
' Time will tell, sir ', a colleague remarks, and Hawksmoor replies : ' Time will not tell.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PUNCT NOUN VERB VERB PROPN PUNCT DET NOUN VERB CCONJ PROPN NOUN PUNCT PUNCT NOUN VERB ADV VERB
Mains and his men have chased after the mobile forwards and only time will tell whether this philosophy of fast - footed men will work in the rough and tumble of test rugby.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	NOUN CCONJ ADJ NOUN VERB VERB ADP DET NOUN NOUN CCONJ ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ PUNCT ADJ NOUN VERB VERB ADP DET ADJ CCONJ NOUN ADP NOUN NOUN
Time and further work will tell.	1 0 0 0 1 1	time will tell	figurative	combined-other	NOUN CCONJ ADJ NOUN VERB VERB
Time will tell whether this check in the decline will change into significant growth.	1 1 1 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP ADJ NOUN
I find this very difficult to erm, to relate, to relate hard work to the women portraying in, in this, we 've got the postcard of that one, erm it must of been hard work and very tedious, but I think every now and then the moment breaks away and shines through at the back, and I think people like, like Gaugin erm captures those moments and then releases them on the canvass, and I hope that erm by, I hope I 've been able to show you how I use art as a voice erm and a friend as my own work, even though we 've maybe had to do such a sort of hand fist way, hand fisted way, erm, but, I, I 've recently started to re - visit old favourite of paintings and I found that the story they tell sometimes has changed dramatically, maybe sometimes when your very little that, that, you know, sometimes dramatically as well, erm, but I, mostly, most importantly its, its still, I still find them, all of them compelling and challenging and, and something to stride for in my own work, erm, er only time will tell so I 'll finish with the, the last poem which is erm comes from the postcard what's going round which is harvest, its called Patterns In The Grass, Wheat cut and falls, making lion head patterns in the grass, sickle shaped women bend and bow as a naive dressed as a dog steals the evening meal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	PRON VERB DET ADV ADJ ADP NOUN PART VERB PART VERB ADJ NOUN ADP DET NOUN VERB PART ADP DET PRON VERB VERB DET NOUN ADP DET NUM NOUN PRON VERB ADP VERB ADJ NOUN CCONJ ADV ADJ CCONJ PRON VERB DET ADV CCONJ ADV DET NOUN VERB ADV CCONJ VERB PART ADP DET NOUN CCONJ PRON VERB NOUN ADP ADP PROPN NOUN VERB DET NOUN CCONJ ADV VERB PRON ADP DET NOUN CCONJ PRON VERB ADP NOUN ADV PRON VERB PRON VERB VERB ADJ PART VERB PRON ADV PRON VERB NOUN ADP DET NOUN NOUN CCONJ DET NOUN ADP ADJ ADJ NOUN ADV ADP PRON VERB ADV VERB PART VERB ADJ DET NOUN ADP NOUN NOUN NOUN NOUN VERB NOUN NOUN CCONJ PRON PRON VERB ADV VERB PART VERB PUNCT VERB ADJ NOUN ADP NOUN CCONJ PRON VERB ADP DET NOUN PRON VERB ADV VERB VERB ADV ADV ADV ADV ADJ ADV ADJ ADP ADP PRON VERB ADV ADV ADV ADV INTJ CCONJ PRON ADV ADV ADV ADJ ADJ ADV PRON ADV VERB PRON DET ADP PRON ADJ CCONJ ADJ CCONJ CCONJ NOUN PART VERB ADP ADP ADJ ADJ NOUN INTJ INTJ ADJ NOUN VERB VERB ADV PRON VERB VERB ADP DET DET ADJ NOUN ADJ VERB NOUN VERB ADP DET NOUN NOUN VERB ADV ADJ VERB NOUN ADJ VERB PROPN ADP DET PROPN PROPN NOUN CCONJ VERB VERB NOUN NOUN NOUN ADP DET NOUN NOUN ADJ NOUN VERB CCONJ VERB ADP DET ADJ VERB ADP DET NOUN VERB DET NOUN NOUN
Only time will tell if it is going to be alright.	0 1 1 1 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP PRON VERB VERB PART VERB ADJ
Only time will tell if homoeopathic treatment has been successful.	0 1 1 1 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB ADJ
Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB
Time will tell. '	1 1 1 0	time will tell	figurative	case	PROPN VERB VERB PUNCT
Time will tell, and I put my trust in time, absolutely.	1 1 1 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB CCONJ PRON VERB ADJ NOUN ADP NOUN ADV
Time will tell whether Swansea's grim win at an echoing Twickenham was an omen that the international in February will be fought out in the Cardiff fashion of last year or whether it was just these 80 minutes which had the mark of the beast upon them.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP PROPN ADJ NOUN ADP DET VERB PROPN VERB DET NOUN ADP DET ADJ ADP PROPN VERB VERB VERB PART ADP DET PROPN NOUN ADP ADJ NOUN CCONJ ADP PRON VERB ADV DET NUM NOUN ADJ VERB DET NOUN ADP DET NOUN ADP PRON
Only time will tell what Hillary Clinton, now American's First Lady will do next.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB NOUN PROPN PROPN ADV PROPN PROPN PROPN VERB VERB ADV
Time alone will tell whether these initiatives will significantly add to the drive towards improved VFM in central government, or, as so often in the past, will in the end have little effect.	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	combined-other	NOUN ADV VERB VERB ADP DET NOUN VERB ADV VERB ADP DET NOUN ADP VERB PROPN ADP ADJ NOUN CCONJ ADP ADV ADV ADP DET NOUN VERB ADP DET NOUN VERB ADJ NOUN
But time will tell.	0 1 1 1	time will tell	figurative	identical	CCONJ NOUN VERB VERB
Time will tell how well these twin goals work together.	1 1 1 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADV ADV DET ADJ NOUN VERB ADV
Time will tell how this course can best be adapted to serve Christ at the end of the twentieth century.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADV DET NOUN VERB ADV VERB VERB PART VERB PROPN ADP DET NOUN ADP DET ADJ NOUN
Time will tell. '	1 1 1 0	time will tell	figurative	case	PROPN VERB VERB PUNCT
Only time will tell though.	0 1 1 1 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADV
Only time will tell whether his work will have had as long - lasting an impact as that of Andre Malraux, de Gaulle's Minister of Culture between 1959 and 1969.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB VERB ADV ADV PUNCT VERB DET NOUN ADP DET ADP PROPN PROPN ADP PROPN PROPN ADP PROPN ADP NUM CCONJ NUM
To my mind there will be some restriction but only time will tell.	0 0 0 0 0 0 0 0 0 0 1 1 1	time will tell	figurative	identical	ADP ADJ NOUN ADV VERB VERB DET NOUN CCONJ ADJ NOUN VERB VERB
The short answer is that there are too many imponderables for a neatly overall prediction, and only time will tell how far into the future a given photograph or negative is likely to survive.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	DET ADJ NOUN VERB ADP ADV VERB ADV ADJ NOUN ADP DET ADV ADJ NOUN CCONJ ADJ NOUN VERB VERB ADV ADV ADP DET NOUN DET VERB NOUN CCONJ ADJ VERB ADJ PART VERB
Only time will tell.	0 1 1 1	time will tell	figurative	identical	ADJ NOUN VERB VERB
The materials may well have improved, but only time will tell if the same can be said of workmanship and design.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	DET NOUN VERB ADV VERB VERB CCONJ ADJ NOUN VERB VERB ADP DET ADJ VERB VERB VERB ADP NOUN CCONJ NOUN
Time will tell whether there is widespread demand for the Discman and the other formats.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP ADV VERB ADJ NOUN ADP DET PROPN CCONJ DET ADJ NOUN
But only time will tell.	0 0 1 1 1	time will tell	figurative	identical	CCONJ ADJ NOUN VERB VERB
Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB
In those cases with indeterminate colitis, only time will tell whether these patients behave as those with ulcerative colitis or true Crohn's disease.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADP DET NOUN ADP ADJ NOUN ADJ NOUN VERB VERB ADP DET NOUN VERB ADP DET ADP ADJ NOUN CCONJ ADJ PROPN NOUN
In fact, from the simplicity aspect alone it could well mark the beginning of the end for reel - to - reels around the small studio, but of course only time will tell …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	time will tell	figurative	identical	ADP NOUN ADP DET NOUN NOUN ADJ PRON VERB ADV VERB DET NOUN ADP DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN ADP DET ADJ NOUN CCONJ ADP NOUN ADV NOUN VERB VERB PUNCT
Time will tell which ended better.	1 1 1 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADJ VERB ADV
However time will tell how easy and/or pleasant they are to use.	0 1 1 1 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADV NOUN VERB VERB ADV ADJ CCONJ ADJ PRON VERB PART VERB
Only time will tell if John Gummer has the political clout — or inclination — to throw real weight behind the construction industry as it struggles out of recession.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP PROPN PROPN VERB DET ADJ NOUN PUNCT CCONJ NOUN PUNCT PART VERB ADJ NOUN ADP DET NOUN NOUN ADP PRON VERB ADP ADP NOUN
Only time will tell whether the Lawn Tennis Association will receive an additional benefit to those already being reaped at its National Training Centre at Bisham, following its acquisition of former Wimbledon finalist Olga Morozova to its staff.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP DET PROPN PROPN PROPN VERB VERB DET ADJ NOUN ADP DET ADV VERB VERB ADP ADJ PROPN PROPN PROPN ADP PROPN VERB ADJ NOUN ADP ADJ PROPN NOUN PROPN PROPN ADP ADJ NOUN
Only time will tell, but it will require a number of dedicated members to get it off the ground.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB CCONJ PRON VERB VERB DET NOUN ADP ADJ NOUN PART VERB PRON ADP DET NOUN
' Time will tell, ' he said.	0 1 1 1 0 0 0	time will tell	figurative	case	PUNCT NOUN VERB VERB PUNCT PRON VERB
Time will tell whether, in trying to tailor the magic formula to their own requirements, Britain's new - look high - street off - licences will sink or swim into the Nineties.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP ADP VERB PART VERB DET ADJ NOUN ADP ADJ ADJ NOUN PROPN ADJ PUNCT VERB ADJ PUNCT NOUN ADP PUNCT NOUN VERB VERB CCONJ VERB ADP DET PROPN
Nothing conclusive has been found and it seems only time will tell if the trouble re - emerges.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	time will tell	figurative	identical	NOUN ADJ VERB VERB VERB CCONJ PRON VERB ADJ NOUN VERB VERB ADP DET NOUN NOUN PUNCT NOUN
On these issues only time and further research will tell.	0 0 0 0 1 0 0 0 1 1	time will tell	figurative	insertion-other	ADP DET NOUN ADV NOUN CCONJ ADJ NOUN VERB VERB
Time ( and his bank balance ) will tell, but at least now the whole thing's up and running he can retreat out of the public eye.	1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	combined-other	PROPN PUNCT CCONJ ADJ NOUN NOUN PUNCT VERB VERB CCONJ ADP ADJ ADV DET ADJ NOUN ADV CCONJ VERB PRON VERB VERB ADP ADP DET ADJ NOUN
