Whether they 'll sit tight or run.	0 0 0 1 1 0 0	sit tight	figurative	identical	ADP PRON VERB VERB ADV CCONJ VERB
Jes’ sit tight an ' follow my orders, an ' you 'll all be safe.’	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	NOUN VERB ADV DET PUNCT VERB ADJ NOUN DET PUNCT PRON VERB DET VERB NOUN
Sit tight.	1 1	sit tight	figurative	case	VERB ADV
Most people sit tight rather than lose a slice of what they see as their rightful ‘ profit’.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADJ NOUN VERB ADV ADV ADP VERB DET NOUN ADP NOUN PRON VERB ADP ADJ ADJ NUM NOUN
Or the rabbits sit tight underground as they become cornered by the ferrets.	0 0 0 1 1 0 0 0 0 0 0 0 0	sit tight	figurative	identical	CCONJ DET NOUN VERB ADV ADV ADP PRON VERB VERB ADP DET NOUN
In fact, you can argue and remonstrate until you are blue in the face but certain plans or arrangements can not be progressed just yet and you must simply sit tight and wait for the Full Moon in Aries on the 14th before making any drastic changes or decisions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADP NOUN PRON VERB VERB CCONJ VERB ADP PRON VERB ADJ ADP DET NOUN CCONJ ADJ NOUN CCONJ NOUN VERB ADV VERB VERB ADV ADV CCONJ PRON VERB ADV VERB ADV CCONJ VERB ADP DET PROPN PROPN ADP PROPN ADP DET ADJ ADP VERB DET ADJ NOUN CCONJ NOUN
Could you not have sat tight in the fellow's house for a few weeks longer?’	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	VERB PRON ADV VERB VERB ADV ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN
Until we get the full implications of the Taylor Report and discover what happens over the identity - card issue, we will have to sit tight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	sit tight	figurative	identical	ADP PRON VERB DET ADJ NOUN ADP DET PROPN PROPN CCONJ VERB NOUN VERB ADP DET NOUN PUNCT NOUN NOUN PRON VERB VERB PART VERB ADV
The Turkish people are sitting tight, watching the skies and CNN.	0 0 0 0 1 1 0 0 0 0 0	sit tight	figurative	inflection	DET ADJ NOUN VERB VERB ADV VERB DET NOUN CCONJ PROPN
Though sometimes interrupted by law work, I sat tight at the story, sometimes writing as much as two chapters a day.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	ADP ADV VERB ADP NOUN NOUN PRON VERB ADV ADP DET NOUN ADV VERB ADV ADJ ADP NUM NOUN DET NOUN
Owners are sitting tight and gritting their teeth, hoping to see out the recession.’	0 0 1 1 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	NOUN VERB VERB ADJ CCONJ VERB ADJ NOUN VERB PART VERB PART DET NOUN
Describing the Dragon offer as ‘ clearly inadequate’, the board of the trust — managed by Invesco MIM — advised its shareholders and warrantholders to sit tight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	sit tight	figurative	identical	VERB DET PROPN VERB ADP PUNCT ADV VERB DET NOUN ADP DET NOUN PUNCT VERB ADP PROPN PROPN PUNCT VERB ADJ NOUN CCONJ NOUN PART VERB ADV
No, I ’ll sit tight and take what comes. "	0 0 0 1 1 0 0 0 0 0	sit tight	figurative	identical	INTJ PRON VERB VERB ADV CCONJ VERB NOUN VERB PUNCT
They sit tight, are unlikely to budge unless really disturbed and can be easily shot with a .22 rifle or even a high - powered air rifle.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	PRON VERB ADV VERB ADJ PART VERB ADP ADV ADJ CCONJ VERB VERB ADV VERB ADP DET PUNCT NOUN CCONJ ADV DET ADV PUNCT ADJ NOUN NOUN
Put in £ 5,000, and sit tight for eight to ten weeks. "	0 0 0 0 0 1 1 0 0 0 0 0 0	sit tight	figurative	identical	VERB PART SYM NUM CCONJ VERB ADV ADP NUM PART NUM NOUN PUNCT
They 're ordered to sit tight until the thing's big enough and ripe enough to be taken.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	PRON VERB VERB PART VERB ADV ADP DET NOUN ADJ ADJ CCONJ ADJ ADV PART VERB VERB
Ex - union chief sits tight in cash row	0 0 0 0 1 1 0 0 0	sit tight	figurative	inflection	PROPN PUNCT NOUN NOUN VERB ADV ADP NOUN NOUN
So it pays the nest - owners to sit tight and hope that the killers will pass them by.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADV PRON VERB DET NOUN PUNCT NOUN PART VERB ADV CCONJ VERB ADP DET NOUN VERB VERB PRON PART
At any given moment, he could present a convincing case for the client to sell British Telecom shares, reinvesting the proceeds, or to hang onto them and sit tight, or else to double up, or even to buy more shares in a distinctly dubious OTC stock, while hanging onto British Telecom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADP DET VERB NOUN PRON VERB VERB DET ADJ NOUN ADP DET NOUN PART VERB PROPN PROPN NOUN VERB DET NOUN CCONJ PART VERB ADP PRON CCONJ VERB ADV CCONJ ADV PART VERB PART CCONJ ADV PART VERB ADJ NOUN ADP DET ADV ADJ PROPN NOUN ADP VERB ADP PROPN PROPN
Nearby the sea terns and eider ducks were nesting, the ducks beautifully camouflaged, sitting tight as long as they could, then moving quickly to reveal eggs of a gorgeous sage green looking so warm in their nest of breast feathers that it made me long for the comforts of my sleeping bag.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	ADV DET NOUN NOUN CCONJ NOUN NOUN VERB ADJ DET NOUN ADV VERB VERB ADV ADV ADV ADP PRON VERB ADV VERB ADV PART VERB NOUN ADP DET ADJ NOUN NOUN VERB ADV ADJ ADP ADJ NOUN ADP NOUN NOUN ADJ PRON VERB PRON ADJ ADP DET NOUN ADP ADJ VERB NOUN
A teacher came after me but I climbed through a hedge and sat tight for an hour or so.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	sit tight	figurative	inflection	DET NOUN VERB ADP PRON CCONJ PRON VERB ADP DET NOUN CCONJ VERB ADV ADP DET NOUN CCONJ ADV
They can not be shot or netted since they refuse to budge and will be sitting tight underground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	sit tight	figurative	inflection	PRON VERB ADV VERB VERB CCONJ VERB ADP PRON VERB PART VERB CCONJ VERB VERB VERB ADV ADV
Sir Derek, however, sat tight, believing that he should not be blamed for the £ 215 m fraud perpetrated against the company.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	PROPN PROPN ADV VERB ADV VERB ADP PRON VERB ADV VERB VERB ADP DET SYM NUM NOUN NOUN VERB ADP DET NOUN
‘ It said, ‘ Delayed ; sit tight.’	0 0 0 0 0 0 1 1	sit tight	figurative	dashes	PUNCT PRON VERB PUNCT PROPN PUNCT VERB ADP
‘ I think they are,’ the father said, sitting tight.	0 0 0 0 0 0 0 0 1 1	sit tight	figurative	inflection	PUNCT PRON VERB PRON VERB DET NOUN VERB VERB ADV
News on the Rialto is that the marker price at which IBM Corp is doing deals is $ 45,000 per MIPS — and our New York associate Technology News of America hears German users are sitting tight and waiting for the price to hit $ 40,000 per MIPS.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	NOUN ADP DET PROPN VERB ADP DET NOUN NOUN ADP ADJ PROPN PROPN VERB VERB NOUN VERB SYM NUM ADP PROPN PUNCT CCONJ ADJ PROPN PROPN NOUN PROPN PROPN ADP PROPN VERB ADJ NOUN VERB VERB ADV CCONJ VERB ADP DET NOUN PART VERB SYM NUM ADP PROPN
Advising fans to sit tight for an eleventh hour opportunity to snap up tickets, Mr Mullan said he was ‘ reasonably confident’ that a few hundred tickets would be sent back to Derry from other county boards unable to use them.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	VERB NOUN PART VERB ADV ADP DET ADJ NOUN NOUN PART VERB PART NOUN PROPN PROPN VERB PRON VERB PUNCT ADV PRON ADP DET ADJ NUM NOUN VERB VERB VERB ADV ADP NOUN ADP ADJ NOUN NOUN ADJ PART VERB PRON
Before they left, they heard the Regent declaring that if Edward Plantagenet sat tight and did not attempt any attack across Tweed, then he might lead the Scots force raiding deep into Northumberland, even as far as Bamborough where Edward's young Queen was known to be installed.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	ADP PRON VERB PRON VERB DET PROPN VERB ADP ADP PROPN PROPN VERB ADV CCONJ VERB ADV VERB DET NOUN ADP NOUN ADV PRON VERB VERB DET NOUN NOUN VERB ADV ADP PROPN ADV ADV ADV ADP PROPN ADV PROPN ADJ PROPN VERB VERB PART VERB VERB
To date I must admit that I don't know why they sit tight.	0 0 0 0 0 0 0 0 0 0 0 1 1	sit tight	figurative	identical	ADP NOUN PRON VERB VERB ADP PRON VERB VERB ADV PRON VERB ADV
I sat tight in my seat, my big knees grating against the row in front, trying to ignore the agonising cramps that tore up my thighs.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	PRON VERB ADV ADP ADJ NOUN ADJ ADJ NOUN VERB ADP DET NOUN ADP NOUN VERB PART VERB DET ADJ NOUN ADJ VERB PART ADJ NOUN
This was collected from beneath a tree in the fringing woodland of Lake Baringo in Kenya while the owl itself sat tight in the tree above.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	sit tight	figurative	inflection	DET VERB VERB ADP ADP DET NOUN ADP DET VERB NOUN ADP PROPN PROPN ADP PROPN ADP DET NOUN PRON VERB ADV ADP DET NOUN ADV
