So as I can take her for a ride and back.	0 0 0 0 1 1 1 0 1 0 0	take someone for a ride	literal	objective	ADV ADP PRON VERB VERB PRON ADP DET NOUN CCONJ ADV	▁So ▁as ▁I ▁can ▁take ▁her ▁for ▁a ▁rid e ▁and ▁back .	0 0 0 0 1 1 1 0 1 1 0 0 0	ADV ADP PRON VERB VERB PRON ADP DET NOUN NOUN CCONJ ADV ADV
A glider pilot is trying to popularise a new aerial sport by taking people for free rides.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	take someone for a ride	literal	combined-inflection	DET NOUN NOUN VERB VERB PART VERB DET ADJ ADJ NOUN ADP VERB NOUN ADP ADJ NOUN	▁A ▁gli der ▁pilot ▁is ▁trying ▁to ▁popular ise ▁a ▁new ▁aerial ▁sport ▁by ▁taking ▁people ▁for ▁free ▁rid es .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1	DET NOUN NOUN NOUN VERB VERB PART VERB VERB DET ADJ ADJ NOUN ADP VERB NOUN ADP ADJ NOUN NOUN NOUN
' Then what happens is, we take him for a little ride out to the Crumbles. '	0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0	take someone for a ride	literal	combined-inflection	PUNCT ADV NOUN VERB VERB PRON VERB PRON ADP DET ADJ NOUN ADP ADP DET PROPN PUNCT	▁' ▁Then ▁what ▁happens ▁is , ▁we ▁take ▁him ▁for ▁a ▁little ▁rid e ▁out ▁to ▁the ▁C ru mble s . ▁'	0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0	PUNCT ADV NOUN VERB VERB VERB PRON VERB PRON ADP DET ADJ NOUN NOUN ADP ADP DET PROPN PROPN PROPN PROPN PROPN PUNCT
' We 'll take my bike out for a ride. '	0 0 0 1 0 1 0 1 0 1 0	take someone for a ride	literal	combined-inflection	PUNCT PRON VERB VERB ADJ NOUN PART ADP DET NOUN PUNCT	▁' ▁We ▁' ll ▁take ▁my ▁bi ke ▁out ▁for ▁a ▁rid e . ▁'	0 0 0 0 1 0 1 1 0 1 0 1 1 1 0	PUNCT PRON VERB VERB VERB ADJ NOUN NOUN PART ADP DET NOUN NOUN NOUN PUNCT
Yeah he's not taking me for a ride or anything.	0 0 0 1 1 1 0 1 0 0	take someone for a ride	figurative	combined-inflection	INTJ PRON ADV VERB PRON ADP DET NOUN CCONJ NOUN	▁Ye ah ▁he ' s ▁not ▁taking ▁me ▁for ▁a ▁rid e ▁or ▁anything .	0 0 0 0 0 0 1 1 1 0 1 1 0 0 0	INTJ INTJ PRON PRON PRON ADV VERB PRON ADP DET NOUN NOUN CCONJ NOUN NOUN
At least he was spared the knowledge that he 'd given the doge's ring to a heartless little bitch who 'd just taken him for a ride.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	take someone for a ride	figurative	combined-inflection	ADP ADJ PRON VERB VERB DET NOUN ADP PRON VERB VERB DET NOUN NOUN ADP DET ADJ ADJ NOUN NOUN VERB ADV VERB PRON ADP DET NOUN	▁At ▁least ▁he ▁was ▁spare d ▁the ▁knowledge ▁that ▁he ▁' d ▁given ▁the ▁do ge ' s ▁ring ▁to ▁a ▁heart less ▁little ▁bit ch ▁who ▁' d ▁just ▁taken ▁him ▁for ▁a ▁rid e . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1	ADP ADJ PRON VERB VERB VERB DET NOUN ADP PRON VERB VERB VERB DET NOUN NOUN NOUN NOUN NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN VERB VERB ADV VERB PRON ADP DET NOUN NOUN NOUN NOUN
DODGY car dealers who take customers for a ride are facing a mileage ' clocking ' clampdown.	0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	ADJ NOUN NOUN NOUN VERB NOUN ADP DET NOUN VERB VERB DET NOUN PUNCT VERB PUNCT NOUN	▁D OD GY ▁car ▁dealers ▁who ▁take ▁customers ▁for ▁a ▁rid e ▁are ▁facing ▁a ▁ mile age ▁' ▁clock ing ▁' ▁clamp down .	0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ NOUN NOUN NOUN VERB NOUN ADP DET NOUN NOUN VERB VERB DET NOUN NOUN NOUN PUNCT VERB VERB PUNCT NOUN NOUN NOUN
It was clear that she 'd been taking him for a ride, in that there was no ride in it for him at the end of the process.	0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	PRON VERB ADJ ADP PRON VERB VERB VERB PRON ADP DET NOUN ADP DET ADV VERB DET NOUN ADP PRON ADP PRON ADP DET NOUN ADP DET NOUN	▁It ▁was ▁clear ▁that ▁she ▁' d ▁been ▁taking ▁him ▁for ▁a ▁rid e , ▁in ▁that ▁there ▁was ▁no ▁rid e ▁in ▁it ▁for ▁him ▁at ▁the ▁end ▁of ▁the ▁process .	0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADP PRON VERB VERB VERB VERB PRON ADP DET NOUN NOUN NOUN ADP DET ADV VERB DET NOUN NOUN ADP PRON ADP PRON ADP DET NOUN ADP DET NOUN NOUN
GREEDY garages in Britain are taking advantage of the new legislation on seat belts in cars by taking anxious parents for a ride.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	take someone for a ride	figurative	combined-inflection	ADJ NOUN ADP PROPN VERB VERB NOUN ADP DET ADJ NOUN ADP NOUN NOUN ADP NOUN ADP VERB ADJ NOUN ADP DET NOUN	▁G RE ED Y ▁gar ages ▁in ▁Britain ▁are ▁taking ▁advantage ▁of ▁the ▁new ▁legislation ▁on ▁seat ▁belts ▁in ▁cars ▁by ▁taking ▁anxious ▁parents ▁for ▁a ▁rid e .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1	ADJ ADJ ADJ ADJ NOUN NOUN ADP PROPN VERB VERB NOUN ADP DET ADJ NOUN ADP NOUN NOUN ADP NOUN ADP VERB ADJ NOUN ADP DET NOUN NOUN NOUN
Yesterday, two Norfolk men who kidnapped a prime suspect and took him for a ride were sent to prison for five years and apparently the suspect did not even get a police caution.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	NOUN NUM PROPN NOUN NOUN VERB DET ADJ NOUN CCONJ VERB PRON ADP DET NOUN VERB VERB ADP NOUN ADP NUM NOUN CCONJ ADV DET NOUN VERB ADV ADV VERB DET NOUN NOUN	▁Yesterday , ▁two ▁Nor f ol k ▁men ▁who ▁kid na pped ▁a ▁prime ▁suspect ▁and ▁took ▁him ▁for ▁a ▁rid e ▁were ▁sent ▁to ▁prison ▁for ▁five ▁years ▁and ▁apparently ▁the ▁suspect ▁did ▁not ▁even ▁get ▁a ▁police ▁caution .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NUM PROPN PROPN PROPN PROPN NOUN NOUN VERB VERB VERB DET ADJ NOUN CCONJ VERB PRON ADP DET NOUN NOUN VERB VERB ADP NOUN ADP NUM NOUN CCONJ ADV DET NOUN VERB ADV ADV VERB DET NOUN NOUN NOUN
He wanted to take her for a ride.	0 0 0 1 1 1 0 1	take someone for a ride	literal	objective	PRON VERB PART VERB PRON ADP DET NOUN	▁He ▁wanted ▁to ▁take ▁her ▁for ▁a ▁rid e .	0 0 0 1 1 1 0 1 1 1	PRON VERB PART VERB PRON ADP DET NOUN NOUN NOUN
McLaren felt they could work together, and he started raising money on another project, to be entitled The Great Rock ' n ' Roll Swindle — a documentary history of how McLaren and the Sex Pistols had taken the record industry for a ride.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1	take someone for a ride	figurative	combined-inflection	PROPN VERB PRON VERB VERB ADV CCONJ PRON VERB VERB NOUN ADP DET NOUN PART VERB VERB DET PROPN PROPN PUNCT CCONJ PUNCT PROPN NOUN PUNCT DET NOUN NOUN ADP ADV PROPN CCONJ DET PROPN PROPN VERB VERB DET NOUN NOUN ADP DET NOUN	▁Mc La ren ▁felt ▁they ▁could ▁work ▁together , ▁and ▁he ▁started ▁raising ▁money ▁on ▁another ▁project , ▁to ▁be ▁entitled ▁The ▁Great ▁Rock ▁' ▁n ▁' ▁Roll ▁S wind le ▁ — ▁a ▁documentary ▁history ▁of ▁how ▁Mc La ren ▁and ▁the ▁S ex ▁P ist ol s ▁had ▁taken ▁the ▁record ▁industry ▁for ▁a ▁rid e .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1	PROPN PROPN PROPN VERB PRON VERB VERB ADV ADV CCONJ PRON VERB VERB NOUN ADP DET NOUN NOUN PART VERB VERB DET PROPN PROPN PUNCT CCONJ PUNCT PROPN NOUN NOUN NOUN PUNCT PUNCT DET NOUN NOUN ADP ADV PROPN PROPN PROPN CCONJ DET PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN NOUN ADP DET NOUN NOUN NOUN
He began to realize the possibility that he was being taken for a ride, that he was the stooge in a deadly game in which he was not being allowed to play a part.	0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	PRON VERB PART VERB DET NOUN ADP PRON VERB VERB VERB ADP DET NOUN ADP PRON VERB DET NOUN ADP DET ADJ NOUN ADP ADJ PRON VERB ADV VERB VERB PART VERB DET NOUN	▁He ▁began ▁to ▁realize ▁the ▁possibility ▁that ▁he ▁was ▁being ▁taken ▁for ▁a ▁rid e , ▁that ▁he ▁was ▁the ▁sto oge ▁in ▁a ▁dead ly ▁game ▁in ▁which ▁he ▁was ▁not ▁being ▁allowed ▁to ▁play ▁a ▁part .	0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB DET NOUN ADP PRON VERB VERB VERB ADP DET NOUN NOUN NOUN ADP PRON VERB DET NOUN NOUN ADP DET ADJ ADJ NOUN ADP ADJ PRON VERB ADV VERB VERB PART VERB DET NOUN NOUN
She had told him lies about where Bella's money was hidden, pretended to be fascinated when he had lied to her about spending the day with his father : ‘ We played golf together, then he took me for a ride in the new car.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0	take someone for a ride	literal	combined-inflection	PRON VERB VERB PRON VERB ADP ADV PROPN NOUN VERB VERB VERB PART VERB VERB ADV PRON VERB VERB ADP PRON ADP VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT PRON VERB NOUN ADV ADV PRON VERB PRON ADP DET NOUN ADP DET ADJ NOUN	▁She ▁had ▁told ▁him ▁lies ▁about ▁where ▁B ella ' s ▁money ▁was ▁hidden , ▁pretend ed ▁to ▁be ▁fasci nated ▁when ▁he ▁had ▁ lied ▁to ▁her ▁about ▁spending ▁the ▁day ▁with ▁his ▁father ▁ : ▁ ‘ ▁We ▁played ▁golf ▁together , ▁then ▁he ▁took ▁me ▁for ▁a ▁rid e ▁in ▁the ▁new ▁car .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0	PRON VERB VERB PRON VERB ADP ADV PROPN PROPN PROPN PROPN NOUN VERB VERB VERB VERB VERB PART VERB VERB VERB ADV PRON VERB VERB VERB ADP PRON ADP VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT PUNCT PUNCT PRON VERB NOUN ADV ADV ADV PRON VERB PRON ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN
The rich, Constance held, had got that way by grinding the faces of the poor and taking the tax man for a ride.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1	take someone for a ride	figurative	combined-inflection	DET ADJ PROPN VERB VERB VERB DET NOUN ADP VERB DET NOUN ADP DET ADJ CCONJ VERB DET NOUN NOUN ADP DET NOUN	▁The ▁rich , ▁Consta nce ▁held , ▁had ▁got ▁that ▁way ▁by ▁grinding ▁the ▁faces ▁of ▁the ▁poor ▁and ▁taking ▁the ▁tax ▁man ▁for ▁a ▁rid e .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1	DET ADJ ADJ PROPN PROPN VERB VERB VERB VERB DET NOUN ADP VERB DET NOUN ADP DET ADJ CCONJ VERB DET NOUN NOUN ADP DET NOUN NOUN NOUN
One of his red - letter days was the time we took him for his first ride in our newly acquired Rolls - Royce.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0	take someone for a ride	literal	combined-inflection	NUM ADP ADJ ADJ PUNCT NOUN NOUN VERB DET NOUN PRON VERB PRON ADP ADJ ADJ NOUN ADP ADJ ADV VERB PROPN PUNCT PROPN	▁One ▁of ▁his ▁red ▁- ▁letter ▁days ▁was ▁the ▁time ▁we ▁took ▁him ▁for ▁his ▁first ▁rid e ▁in ▁our ▁newly ▁acquired ▁Roll s ▁- ▁Roy ce .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0	NUM ADP ADJ ADJ PUNCT NOUN NOUN VERB DET NOUN PRON VERB PRON ADP ADJ ADJ NOUN NOUN ADP ADJ ADV VERB PROPN PROPN PUNCT PROPN PROPN PROPN
No, no, I said to Richard is, is, Debbie not feeling well enough to come here, no I took her for a little ride round the.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0	take someone for a ride	literal	combined-inflection	INTJ INTJ PRON VERB ADP PROPN VERB VERB PROPN ADV VERB ADV ADV PART VERB ADV INTJ PRON VERB PRON ADP DET ADJ NOUN ADP DET	▁No , ▁no , ▁I ▁said ▁to ▁Richard ▁is , ▁is , ▁De bb ie ▁not ▁feeling ▁well ▁enough ▁to ▁come ▁here , ▁no ▁I ▁took ▁her ▁for ▁a ▁little ▁rid e ▁round ▁the .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0	INTJ INTJ INTJ INTJ PRON VERB ADP PROPN VERB VERB VERB VERB PROPN PROPN PROPN ADV VERB ADV ADV PART VERB ADV ADV INTJ PRON VERB PRON ADP DET ADJ NOUN NOUN ADP DET DET
' It's very possible that garages do take people for a ride, ' acknowledged a spokesman for Kangol, one of the major baby - seat manufacturers.	0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	PUNCT PRON ADV ADJ ADP NOUN VERB VERB NOUN ADP DET NOUN PUNCT VERB DET NOUN ADP PROPN NUM ADP DET ADJ NOUN PUNCT NOUN NOUN	▁' ▁It ' s ▁very ▁possible ▁that ▁gar ages ▁do ▁take ▁people ▁for ▁a ▁rid e , ▁' ▁acknowledged ▁a ▁spokesman ▁for ▁Kan gol , ▁one ▁of ▁the ▁major ▁baby ▁- ▁seat ▁manufacturers .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PRON PRON PRON ADV ADJ ADP NOUN NOUN VERB VERB NOUN ADP DET NOUN NOUN NOUN PUNCT VERB DET NOUN ADP PROPN PROPN PROPN NUM ADP DET ADJ NOUN PUNCT NOUN NOUN NOUN
