‘ There you are, Mr Barnett : the life of Willy Morpurgo in a nutshell.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	PUNCT ADV PRON VERB PROPN PROPN PUNCT DET NOUN ADP PROPN PROPN ADP DET NOUN
That, in a nutshell, is the problem that both Asia and the West face in China, and which has been demonstrated once again at the G20 summit in Canada.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	ADP ADP DET NOUN VERB DET NOUN ADJ CCONJ PROPN CCONJ DET PROPN NOUN ADP PROPN CCONJ ADJ VERB VERB VERB ADV ADV ADP DET PROPN NOUN ADP PROPN
He put it in a nutshell when he said she was the sort of girl who, if there had been a meadow handy, would have been out there in a flash picking cowslips.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	PRON VERB PRON ADP DET NOUN ADV PRON VERB PRON VERB DET NOUN ADP NOUN NOUN ADP ADV VERB VERB DET NOUN ADJ VERB VERB VERB ADV ADV ADP DET NOUN VERB NOUN
Writing in Berlin in 1940, he put the matter in a nutshell :	0 0 0 0 0 0 0 0 0 1 0 1 0	in a nutshell	figurative	identical	VERB ADP PROPN ADP NUM PRON VERB DET NOUN ADP DET NOUN PUNCT
In a nutshell, development and democracy — the beginnings of a transformation of the discriminatory economic and political relationships that have held West Belfast down since the rise of industrial capitalism in the north - east of Ireland.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN NOUN CCONJ NOUN PUNCT DET NOUN ADP DET NOUN ADP DET ADJ ADJ CCONJ ADJ NOUN ADJ VERB VERB PROPN PROPN PART ADP DET NOUN ADP ADJ NOUN ADP DET NOUN PUNCT NOUN ADP PROPN
In a nutshell, this city is the world's worst in which to run.	1 0 1 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN DET NOUN VERB DET NOUN ADJ ADP ADJ PART VERB
In a nutshell, Hinsley is infinitely more trustworthy than Wright, but more shackled.	1 0 1 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PROPN VERB ADV ADV ADJ ADP PROPN CCONJ ADV ADJ
‘ Then I 'll tell you : in a nutshell, you look soft and warm and human.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in a nutshell	figurative	identical	PUNCT ADV PRON VERB VERB PRON PUNCT ADP DET NOUN PRON VERB ADJ CCONJ ADJ CCONJ ADJ
This, in a nutshell, is the argument of this book.	0 1 0 1 0 0 0 0 0 0	in a nutshell	figurative	identical	DET ADP DET NOUN VERB DET NOUN ADP DET NOUN
Okay which, in a nutshell, says exactly which one could.	0 0 1 0 1 0 0 0 0 0	in a nutshell	figurative	identical	INTJ ADJ ADP DET NOUN VERB ADV ADJ PRON VERB
In a nutshell, it has been much easier for the West to do business in the post - colonial Middle ~ East with un - democratic regimes, which have found Western support and recognition useful in marginalizing local liberal and democratic forces, even as it paved the way for the rise of Islamist radicalization.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PRON VERB VERB ADV ADJ ADP DET PROPN PART VERB NOUN ADP DET NOUN PUNCT NOUN PROPN PUNCT PROPN ADP NOUN PUNCT ADJ NOUN ADJ VERB VERB ADJ NOUN CCONJ NOUN ADJ ADP VERB ADJ ADJ CCONJ ADJ NOUN ADV ADP PRON VERB DET NOUN ADP DET NOUN ADP ADJ NOUN
In a nutshell Locus says, ' NT breaks little new ground technically. '	1 0 1 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PROPN VERB PUNCT PROPN VERB ADJ ADJ NOUN ADV PUNCT
everything sort of, in a nutshell, you don't need any of the rest	0 0 0 1 0 1 0 0 0 0 0 0 0	in a nutshell	figurative	identical	NOUN ADV ADV ADP DET NOUN PRON VERB VERB DET ADP DET NOUN
That sums up Mario's early days in a nutshell.	0 0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	DET VERB PART PROPN ADJ NOUN ADP DET NOUN
In a nutshell, yes.	1 0 1 0	in a nutshell	figurative	case	ADP DET NOUN INTJ
That's the whole thing in a nutshell.	0 0 0 0 1 0 1	in a nutshell	figurative	identical	DET DET ADJ NOUN ADP DET NOUN
The London correspondent of the Russian newspaper, Literaturnaya Gazeta, recently put the matter in a nutshell :	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in a nutshell	figurative	identical	DET PROPN NOUN ADP DET ADJ NOUN PROPN PROPN ADV VERB DET NOUN ADP DET NOUN PUNCT
The view we took was, in a nutshell, that the volatile nature of the South African political arena outweighed not only its magnificent facilities, but also the anti - apartheid emotional legacy of welcoming back the Springboks.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	DET NOUN PRON VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ ADJ ADJ NOUN VERB ADV ADV ADJ ADJ NOUN CCONJ ADV DET ADV PUNCT NOUN ADJ NOUN ADP VERB PART DET PROPN
So that in a nutshell is is what it's about.	0 0 1 0 1 0 0 0 0 0	in a nutshell	figurative	identical	ADP ADP ADP DET NOUN VERB VERB NOUN PRON ADP
The basic philosophy involves farming as far as possible within a closed system : in a nutshell, growing crops to feed the animals and using the manure those animals produce to fertilize the soil in order to grow more crops.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	DET ADJ NOUN VERB NOUN ADV ADV ADP ADJ ADP DET ADJ NOUN PUNCT ADP DET NOUN VERB NOUN PART VERB DET NOUN CCONJ VERB DET NOUN DET NOUN VERB PART VERB DET NOUN ADP NOUN PART VERB ADJ NOUN
This was the Iran operation in a nutshell.	0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	DET VERB DET PROPN NOUN ADP DET NOUN
In a nutshell : Ireland's policymakers failed to supervise their banks, and watched ( or cheered ) from the sidelines as a debt - fueled spending binge generated the " Celtic miracle, " whereby Ireland grew faster than all other EU members and Dublin real estate became some of the most expensive in the world.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PUNCT PROPN NOUN VERB PART VERB ADJ NOUN CCONJ VERB PUNCT CCONJ VERB PUNCT ADP DET NOUN ADP DET NOUN PUNCT ADJ NOUN NOUN VERB DET PUNCT ADJ NOUN PUNCT ADV PROPN VERB ADV ADP DET ADJ PROPN NOUN CCONJ PROPN ADJ NOUN VERB DET ADP DET ADV ADJ ADP DET NOUN
I think we saw a film of the birth of a baby and that was it, sex education in a nutshell.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	PRON VERB PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN CCONJ DET VERB PRON NOUN NOUN ADP DET NOUN
The trouble with this service in a nutshell.	0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	DET NOUN ADP DET NOUN ADP DET NOUN
In a nutshell, too English. '	1 0 1 0 0 0	in a nutshell	figurative	case	ADP DET NOUN ADV PROPN PUNCT
Roman Polanski's psyche, the postmodernist novella in a nutshell.	0 0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	PROPN PROPN NOUN DET ADJ NOUN ADP DET NOUN
Transpose London for Paris, and you have the Puttnam enigma in a nutshell.	0 0 0 0 0 0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	PROPN PROPN ADP PROPN CCONJ PRON VERB DET PROPN NOUN ADP DET NOUN
In a nutshell : young country bumpkin black cop is drafted in to defuse the tension on a London estate and discovers who's really doing the dirty work.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PUNCT ADJ NOUN VERB ADJ NOUN VERB VERB PART PART VERB DET NOUN ADP DET PROPN NOUN CCONJ VERB NOUN ADV VERB DET ADJ NOUN
She had summed up his immediate task in a nutshell.	0 0 0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	PRON VERB VERB PART ADJ ADJ NOUN ADP DET NOUN
Ponds in a nutshell	0 1 0 1	in a nutshell	figurative	identical	NOUN ADP DET NOUN
There it is in a nutshell.	0 0 0 1 0 1	in a nutshell	figurative	identical	ADV PRON VERB ADP DET NOUN
In a nutshell, if you want guaranteed clear water, get a UV.	1 0 1 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN ADP PRON VERB VERB ADJ NOUN VERB DET NOUN
in in a nutshell what we do.	0 1 0 1 0 0 0	in a nutshell	figurative	identical	ADP ADP DET NOUN NOUN PRON VERB
In a nutshell, there are three types of information :	1 0 1 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN ADV VERB NUM NOUN ADP NOUN PUNCT
This is the myth in a nutshell and its presence is invoked in the exhibition simply by the reminder that the paintings were executed with the nude model directly in front of the artist.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	DET VERB DET NOUN ADP DET NOUN CCONJ ADJ NOUN VERB VERB ADP DET NOUN ADV ADP DET NOUN ADP DET NOUN VERB VERB ADP DET ADJ NOUN ADV ADP NOUN ADP DET NOUN
BEFORE giving a precis of events, people often say : ‘ To put it in a nutshell.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in a nutshell	figurative	dashes	ADP VERB DET NOUN ADP NOUN NOUN ADV VERB PUNCT PRON PART VERB PRON ADP DET ADJ
Leftovers in a nutshell	0 1 0 1	in a nutshell	figurative	identical	NOUN ADP DET NOUN
That's it ain't it in a nutshell	0 0 0 0 1 0 1	in a nutshell	figurative	identical	DET PRON VERB PRON ADP DET NOUN
In a nutshell the approved structure plan seriously underestimated the employment needs of the district, and it allocated only forty six hectare for a fifteen year period.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN DET VERB NOUN NOUN ADV VERB DET NOUN NOUN ADP DET NOUN CCONJ PRON VERB ADV NUM NUM NOUN ADP DET NUM NOUN NOUN
In a nutshell, orthodox theories are based on homogeneous ' hot ' accretion, the high temperatures leading to differentiation.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN ADJ NOUN VERB VERB ADP ADJ PUNCT ADJ PUNCT NOUN DET ADJ NOUN VERB ADP NOUN
The problem in a nutshell is whether particular forms of scientific and religious commitment might not separately depend on ulterior forces of social and economic change.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	DET NOUN ADP DET NOUN VERB ADP ADJ NOUN ADP ADJ CCONJ ADJ NOUN VERB ADV ADV VERB ADP ADJ NOUN ADP ADJ CCONJ ADJ NOUN
In a nutshell, yes.	1 0 1 0	in a nutshell	figurative	case	ADP DET NOUN INTJ
In a nutty nutshell, Suggs, Chrissy, Carl Smythe, Mike Barson, Woody, Mark Bedford and Lee Thompson skanked their way from the 2-Tone stable onto Stiff and, ultimately, Virgin, and along the way had more bona fide tip - top selling hits than most mathematical geniuses can work out.	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	combined-other	ADP DET ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB ADJ NOUN ADP DET NUM ADJ ADP PROPN CCONJ ADV PROPN CCONJ ADP DET NOUN VERB ADJ ADJ ADJ NOUN PUNCT NOUN NOUN NOUN ADP ADJ ADJ NOUN VERB VERB PART
That was the game in a nutshell.	0 0 0 0 1 0 1	in a nutshell	figurative	identical	DET VERB DET NOUN ADP DET NOUN
‘ I guess that's the message in a nutshell!’	0 0 0 0 0 0 1 0 1	in a nutshell	figurative	dashes	PUNCT PRON VERB DET DET NOUN ADP DET NOUN
Rather, they 'd selected newspapers which, while endowed with authoritative reputations, were sympathetic to the malai government — in a nutshell, quality right - wing newspapers which weren't soft on Communism.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	ADV PRON VERB VERB NOUN ADJ ADP VERB ADP ADJ NOUN VERB ADJ ADP DET NOUN NOUN PUNCT ADP DET NOUN NOUN ADJ PUNCT NOUN NOUN ADJ VERB ADJ ADP PROPN
In a nutshell : the implosion of the brave new world of modern finance, and the economic crisis that followed, was rooted in the idea that free and unregulated capital markets always work for the public good, and are all that is needed for economic prosperity.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PUNCT DET NOUN ADP DET ADJ ADJ NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN ADJ VERB VERB VERB ADP DET NOUN ADP ADJ CCONJ ADJ NOUN NOUN ADV VERB ADP DET ADJ NOUN CCONJ VERB DET ADJ VERB VERB ADP ADJ NOUN
I mean suddenly we had the example of a women's support group from the miner's strike th that we had the idea you know fr from that erm and Yona really put it in a nutshell when she said I think er er you know behind closed doors the women worrying about what was gon na happen next you know they felt very frustrated and in a way it was a way to channel o our energies away i i i it was seen as that really in the beginning you know as a a sort of a more as a way of getting rid of the well y you know the sort of desperation er the impotence one felt of not being able to do anything in this situation and it's er and by now of course we 've all become as a group very close er you know we 're we 're more like a big family now really an sort of er a lot of the women have never really sort of regularly been to meetings an th the commitment there is very strong really that we all turn up to our Tuesday meetings sort of.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	PRON VERB ADV PRON VERB DET NOUN ADP DET NOUN NOUN NOUN ADP DET NOUN NOUN X ADP PRON VERB DET NOUN PRON VERB INTJ ADP DET NOUN CCONJ PROPN ADV VERB PRON ADP DET NOUN ADV PRON VERB PRON VERB INTJ INTJ PRON VERB ADP ADJ NOUN DET NOUN VERB ADP NOUN VERB VERB PART VERB ADV PRON VERB PRON VERB ADV ADJ CCONJ ADP DET NOUN PRON VERB DET NOUN PART VERB X ADJ NOUN ADV PRON PRON PRON PRON VERB VERB ADP DET ADV ADP DET NOUN PRON VERB ADP DET DET NOUN ADP DET ADV ADP DET NOUN ADP VERB VERB ADP DET NOUN PRON PRON VERB DET NOUN ADP NOUN INTJ DET NOUN NUM VERB ADP ADV VERB ADJ PART VERB NOUN ADP DET NOUN CCONJ PRON INTJ CCONJ ADP ADV ADV NOUN PRON VERB DET VERB ADP DET NOUN ADV ADV INTJ PRON VERB PRON VERB PRON VERB ADJ ADP DET ADJ NOUN ADV ADV DET NOUN ADP INTJ DET NOUN ADP DET NOUN VERB ADV ADV ADV ADV ADV VERB ADP NOUN DET X DET NOUN ADV VERB ADV ADJ ADV ADP PRON DET VERB PART ADP ADJ PROPN NOUN ADV ADV
In a nutshell, I see N C V O as something like, perhaps, the C B I of the voluntary sector.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PRON VERB NOUN NOUN NOUN NOUN ADP NOUN ADP ADV DET NOUN NOUN PRON ADP DET ADJ NOUN
