' The killings are made all the more reprehensible by the fact that innocent children were involved, ' he said.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	literal	misc	PUNCT DET NOUN VERB VERB ADJ DET ADV ADJ ADP DET NOUN ADP ADJ NOUN VERB VERB PUNCT PRON VERB
Added to the Ma'badong there were now also spontaneous explosions of Pa'gellu dancers, young girls dressed in green and gold and the most fashionable jewellery of the time — hollow Taiwanese watches, without their works, which some enterprising pirate had no doubt made a killing on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	make a killing	figurative	inflection	VERB ADP DET PROPN ADV VERB ADV ADV ADJ NOUN ADP PROPN NOUN ADJ NOUN VERB ADP ADJ CCONJ NOUN CCONJ DET ADV ADJ NOUN ADP DET NOUN PUNCT ADJ ADJ NOUN ADP ADJ NOUN ADJ DET ADJ NOUN VERB ADV ADV VERB DET NOUN PART
Gardening columns in the Sunday newspapers were full of it, magazines and television programmes gave advice and encouragement and the garden centres made a killing on weedkiller sales.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	make a killing	figurative	inflection	NOUN NOUN ADP DET PROPN NOUN VERB ADJ ADP PRON NOUN CCONJ NOUN NOUN VERB NOUN CCONJ NOUN CCONJ DET NOUN NOUN VERB DET NOUN ADP NOUN NOUN
Shadow Energy Secretary Frank Dobson says the treasury has made a killing out of the increases.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	make a killing	figurative	inflection	PROPN PROPN PROPN PROPN PROPN VERB DET NOUN VERB VERB DET NOUN ADP ADP DET NOUN
Making a living is making a killing these days.	0 0 0 0 1 0 1 0 0	make a killing	figurative	inflection	VERB DET NOUN VERB VERB DET VERB DET NOUN
Once it has been led farther and farther away from the nest by the parent bird, it will have difficulty in rediscovering the position of the nest and will, in all probability, set off to search elsewhere if it fails to make a killing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make a killing	figurative	identical	ADP PRON VERB VERB VERB ADV CCONJ ADV ADV ADP DET NOUN ADP DET NOUN NOUN PRON VERB VERB NOUN ADP VERB DET NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN VERB PART PART VERB ADV ADP PRON VERB PART VERB DET NOUN
While developers move in and make a killing.	0 0 0 0 0 1 0 1	make a killing	figurative	identical	ADP NOUN VERB ADV CCONJ VERB DET NOUN
A man of good reading, but few prospects could make a substantial killing with a 5 year contract.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	make a killing	figurative	insertion-other	DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN VERB VERB DET ADJ NOUN ADP DET NUM NOUN NOUN
He tells me that it is a dead cert, we can make an absolute killing by taking a percentage of the profits, and charging pitch holders a rip - off rent.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	combined-other	PRON VERB PRON ADP PRON VERB DET ADJ NOUN PRON VERB VERB DET ADJ NOUN ADP VERB DET NOUN ADP DET NOUN CCONJ VERB NOUN NOUN DET NOUN PUNCT PART NOUN
At Wall ~ Street, some insiders made a killing by going short, when everyone had been sucked into an unsustainable uptrend.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	inflection	ADP PROPN SYM PROPN DET NOUN VERB DET NOUN ADP VERB ADJ ADV NOUN VERB VERB VERB ADP DET ADJ NOUN
These are now open to all, and somebody, somewhere is going to make a killing.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make a killing	figurative	identical	DET VERB ADV ADJ ADP DET CCONJ NOUN ADV VERB VERB PART VERB DET NOUN
Thought he 'd make a killing, you see ; a lot of money to be made from property development.’	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	identical	VERB PRON VERB VERB DET NOUN PRON VERB PUNCT DET NOUN ADP NOUN PART VERB VERB ADP NOUN NOUN
One day they 'll make a big killing, quit the rackets and settle down to a respectable life in a new town.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	insertion-other	NUM NOUN PRON VERB VERB DET ADJ NOUN VERB DET NOUN CCONJ VERB PART ADP DET ADJ NOUN ADP DET ADJ NOUN
SERBIAN dictator Slobodan Milosevic is making a killing — with a £ 5million deal to make shirts for Marks & Spencer.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	inflection	ADJ NOUN PROPN PROPN VERB VERB DET NOUN PUNCT ADP DET SYM NUM NOUN PART VERB NOUN ADP PROPN CCONJ PROPN
Shareholders are right to wonder whether, if business is going to be that good, it should be they rather than their managers who make the killing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make a killing	figurative	determiner-narrow	NOUN VERB ADJ PART VERB ADP ADP NOUN VERB VERB PART VERB ADV ADJ PRON VERB VERB PRON ADV ADP ADJ NOUN NOUN VERB DET NOUN
