‘ Oh — for about four years, on and off,’ he said vaguely.	0 0 0 0 0 0 0 1 1 1 0 0 0	on and off	figurative	dashes	PUNCT INTJ PUNCT ADP ADV NUM NOUN ADP CCONJ NOUN PRON VERB ADV
And then those jaunts, on and off.	0 0 0 0 1 1 1	on and off	figurative	identical	CCONJ ADV DET NOUN ADV CCONJ ADV
Yes, but er, the other thing, Douglas, the sad thing about it was, Danny Blanchflower was great er, on and off the field, and it was the old heavy ball, and the longer you played with it, the heavier it got, and then you had that lace in the centre, difficult to er, head a ball, then you had the studs, well, as you know yourself, it's nails.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	INTJ CCONJ INTJ DET ADJ NOUN PROPN DET ADJ NOUN ADP PRON VERB PROPN PROPN VERB ADJ INTJ ADP CCONJ ADP DET NOUN CCONJ PRON VERB DET ADJ ADJ NOUN CCONJ DET ADV PRON VERB ADP PRON DET ADJ PRON VERB CCONJ ADV PRON VERB DET NOUN ADP DET NOUN ADJ ADP INTJ VERB DET NOUN ADV PRON VERB DET NOUN INTJ ADP PRON VERB PRON PRON NOUN
Er because you have to switch them on and off and all this business.	0 0 0 0 0 0 0 1 1 1 0 0 0 0	on and off	literal	identical	INTJ ADP PRON VERB PART VERB PRON PART CCONJ ADV CCONJ ADJ DET NOUN
Club rivalries and Ron Waldron's Neath - based selection policy made Wales's tour to Australia last year an unmitigated disaster both on and off the pitch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	NOUN NOUN CCONJ PROPN PROPN PROPN PUNCT VERB NOUN NOUN VERB PROPN NOUN ADP PROPN ADJ NOUN DET ADJ NOUN CCONJ ADP CCONJ ADP DET NOUN
McKenzie is not a flamboyant character but a deep thinker about rugby and life in general, a worker both on and off the field and a crucial team - member.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	on and off	figurative	identical	PROPN VERB ADV DET ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN CCONJ NOUN ADP ADJ DET NOUN CCONJ ADP CCONJ ADP DET NOUN CCONJ DET ADJ NOUN PUNCT NOUN
Knowing how genes are turned on and off is an important step towards understanding the internal programme of the cell and how this is influenced by signals from other cells.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	VERB ADV NOUN VERB VERB PART CCONJ ADV VERB DET ADJ NOUN ADP VERB DET ADJ NOUN ADP DET NOUN CCONJ ADV DET VERB VERB ADP NOUN ADP ADJ NOUN
Also to the drivers, who not only drove with such care that the passengers weren't inconvenienced in any way, but also doubled as bike handlers to get the bikes on and off the trailer, inevitably a dirty job.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	on and off	literal	identical	ADV ADP DET NOUN NOUN ADV ADV VERB ADP ADJ NOUN ADP DET NOUN VERB VERB ADP DET NOUN CCONJ ADV VERB ADP NOUN NOUN PART VERB DET NOUN ADP CCONJ ADP DET NOUN ADV DET ADJ NOUN
Some have swivel seats to make getting on and off easier.	0 0 0 0 0 0 0 1 1 1 0	on and off	literal	identical	DET VERB ADJ NOUN PART VERB VERB PART CCONJ ADV ADJ
But what so i it does he think something from the ga cos it keep coming on and off?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	CCONJ NOUN ADV PRON PRON VERB PRON VERB NOUN ADP DET NOUN ADP PRON VERB VERB PART CCONJ ADV
And with a lead on and off do you see.	0 0 0 0 1 1 1 0 0 0	on and off	figurative	identical	CCONJ ADP DET NOUN ADP CCONJ ADV VERB PRON VERB
She bestowed an on - and - off smile.	0 0 0 1 0 1 0 1 0	on and off	figurative	dashes	PRON VERB DET ADP PUNCT CCONJ PUNCT PART NOUN
Sometimes, computers have a physical button or switch that can turn the wireless network card on and off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	ADV NOUN VERB DET ADJ NOUN CCONJ NOUN ADJ VERB VERB DET ADJ NOUN NOUN ADP CCONJ ADV
Therefore a sensing unit is employed to turn the ozone on and off.	0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	ADV DET VERB NOUN VERB VERB PART VERB DET NOUN ADP CCONJ ADV
The electricity industry has an extra desire : to switch consumers ' equipment on and off from a central point.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	on and off	literal	identical	DET NOUN NOUN VERB DET ADJ NOUN PUNCT PART VERB NOUN PART NOUN ADP CCONJ ADV ADP DET ADJ NOUN
On and off the pitch United's decade under the Maxwells has given them a brief but all too short taste of glory.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	case	ADP CCONJ ADP DET NOUN PROPN NOUN ADP DET PROPN VERB VERB PRON DET NOUN CCONJ DET ADV ADJ NOUN ADP NOUN
James mingling with the famous, on and off the screen.	0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	PROPN VERB ADP DET ADJ ADV CCONJ ADP DET NOUN
These will turn your lights on and off automatically, giving the impression that your house is occupied.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	on and off	literal	identical	DET VERB VERB ADJ NOUN ADP CCONJ ADV ADV VERB DET NOUN ADP ADJ NOUN VERB VERB
You get Ann, senile dementia, they had to get the taps off the gas fire because she kept turning it on and off without it being lit again, found wandering in her nightclothes, injustice, and then we found Eileen, who was in an upstairs room, yes she enjoyed that life for about five years, great council house then she had an accident and then because she couldn't re - house her, she was a virtual prisoner inside her own home that she 'd made up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	PRON VERB PROPN NOUN NOUN PRON VERB PART VERB DET NOUN ADP DET NOUN NOUN ADP PRON VERB VERB PRON PART CCONJ ADV ADP PRON VERB VERB ADV VERB VERB ADP ADJ NOUN NOUN CCONJ ADV PRON VERB PROPN NOUN VERB ADP DET ADJ NOUN INTJ PRON VERB DET NOUN ADP ADV NUM NOUN ADJ NOUN NOUN ADV PRON VERB DET NOUN CCONJ ADV ADP PRON VERB VERB PUNCT VERB PRON PRON VERB DET ADJ NOUN ADP ADJ ADJ NOUN ADP PRON VERB VERB PART
In China, a cook regulates the speed of cooking by moving the wok on and off the heat.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	ADP PROPN DET NOUN VERB DET NOUN ADP NOUN ADP VERB DET NOUN ADP CCONJ ADP DET NOUN
The neon light outside flashed on and off the way some of them do and brought my profile into full play.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	DET NOUN NOUN ADV VERB ADP CCONJ ADP DET NOUN DET ADP PRON VERB CCONJ VERB ADJ NOUN ADP ADJ NOUN
The switching on and off of genes in different cells is fundamental to the programme of development.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	DET NOUN ADP CCONJ ADP ADP NOUN ADP ADJ NOUN VERB ADJ ADP DET NOUN ADP NOUN
To one side was a row of lights which flickered on and off like something you 'd get	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	on and off	literal	identical	ADP NUM NOUN VERB DET NOUN ADP NOUN ADJ VERB ADP CCONJ ADV ADP NOUN PRON VERB VERB
His latest outburst comes as a surprise, as Faldo claims he is more relaxed both on and off the course.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	ADJ ADJ NOUN VERB ADP DET NOUN ADP PROPN VERB PRON VERB ADV ADJ DET ADP CCONJ ADP DET NOUN
" On and off, " said the inspector.	0 1 1 1 0 0 0 0	on and off	figurative	case	PUNCT ADP CCONJ ADV PUNCT VERB DET NOUN
There's a a mark on the wall, you know where the switch is where you switch the pump on and off?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	ADV DET DET NOUN ADP DET NOUN PRON VERB ADV DET NOUN VERB ADV PRON VERB DET NOUN ADP CCONJ ADV
Alistair Campbell will be chasing the 25 runs he needs to reach 500 for the season with club delighted by his contribution on and off the field.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	PROPN PROPN VERB VERB VERB DET NUM NOUN PRON VERB PART VERB NUM ADP DET NOUN ADP NOUN VERB ADP ADJ NOUN ADP CCONJ ADP DET NOUN
So I washed them er went out lollipop come in, been answering phone on and off.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	figurative	identical	ADV PRON VERB PRON INTJ VERB PART NOUN VERB PART VERB VERB NOUN ADP CCONJ ADV
‘ I bin hearing that blessed organ music on and off all blimmin ' day,’ said Tom grumpily.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	on and off	figurative	identical	PUNCT PRON NOUN NOUN ADJ VERB NOUN NOUN ADP CCONJ ADP DET NOUN PUNCT NOUN VERB PROPN ADV
And on and off a shower or two of white arrows, when I thought I needed them.’	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	figurative	identical	CCONJ ADP CCONJ ADP DET NOUN CCONJ NUM ADP ADJ NOUN ADV PRON VERB PRON VERB PROPN
If there are only two levels ( on and off ) available then the number of colours including black and white is 2 3 or 8.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	ADP ADV VERB ADV NUM NOUN PUNCT ADP CCONJ ADV PUNCT ADJ ADV DET NOUN ADP NOUN VERB ADJ CCONJ ADJ VERB NUM NUM CCONJ NUM
Consider fitting a timeswitch that will turn lights or a radio on and off.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	VERB VERB DET NOUN ADJ VERB VERB NOUN CCONJ DET NOUN ADP CCONJ ADV
The older woman and two younger work while the three girls dance around, jump on and off walls, till my presence quells them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	on and off	literal	identical	DET ADJ NOUN CCONJ NUM ADJ NOUN ADP DET NUM NOUN VERB ADV VERB ADP CCONJ ADP NOUN ADP ADJ NOUN VERB PRON
My husband has suffered from heartburn on and off for years and has recently been diagnosed as having a hiatus hernia.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on and off	figurative	identical	ADJ NOUN VERB VERB ADP NOUN ADP CCONJ ADV ADP NOUN CCONJ VERB ADV VERB VERB ADP VERB DET NOUN NOUN
‘ Pain is on and off.	0 0 0 1 1 1	on and off	figurative	identical	PUNCT PROPN VERB ADP CCONJ ADV
He played the guests on and off and also accompanied the people who sang — Paul McCartney, Liza Minnelli and Tom Jones, and a few more unlikely names, too, such as Lenny Henry, George Segal on the banjo, and Patrick Moore on the xylophone.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	figurative	identical	PRON VERB DET NOUN ADP CCONJ ADV CCONJ ADV VERB DET NOUN NOUN VERB PUNCT PROPN PROPN PROPN PROPN CCONJ PROPN PROPN CCONJ DET ADJ ADV ADJ NOUN ADV ADJ ADP PROPN PROPN PROPN PROPN ADP DET NOUN CCONJ PROPN PROPN ADP DET NOUN
Now a veteran of 23, she is described by Williams, her teacher ‘ for about five years, on and off,’ as both amazing and extraordinary.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	on and off	figurative	dashes	ADV DET NOUN ADP NUM PRON VERB VERB ADP PROPN ADJ NOUN VERB ADP ADV NUM NOUN ADP CCONJ NOUN ADP DET ADJ CCONJ ADJ
It seems simple, just switching on and off, but the length of time the lighting is on ( the photoperiod ) affects the success of the aquarium.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	PRON VERB ADJ ADV VERB PART CCONJ ADV CCONJ DET NOUN ADP NOUN DET NOUN VERB ADP PUNCT DET NOUN PUNCT VERB DET NOUN ADP DET NOUN
Yeah, we were, ah erm, we were together when we actually met, it was sort of on and off really.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	on and off	figurative	identical	INTJ PRON VERB INTJ INTJ PRON VERB ADV ADV PRON ADV VERB PRON VERB ADV ADV ADP CCONJ ADV ADV
It's always coming on and off though innit?	0 0 0 1 1 1 0 0	on and off	literal	identical	PRON ADV VERB ADV CCONJ ADV ADP NOUN
they didn't come and I thought, I tell ya I kept ringing right up till ten to four on and off	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	figurative	identical	PRON VERB VERB CCONJ PRON VERB PRON VERB PRON PRON VERB VERB ADV ADV ADP NUM ADP NUM ADP CCONJ ADV
Suddenly they were wearing expensive clothes on and off stage, taking cabs everywhere, men were showering them with gifts in an attempt just to be seen with them.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	ADV PRON VERB VERB ADJ NOUN ADP CCONJ ADP NOUN VERB NOUN ADV NOUN VERB VERB PRON ADP NOUN ADP DET NOUN ADV PART VERB VERB ADP PRON
Fitting in plugs and turning taps on and off may all be new experiences, as well as estimating how much water is needed.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	VERB ADP NOUN CCONJ VERB NOUN ADP CCONJ ADP VERB DET VERB ADJ NOUN ADV ADV ADP VERB ADV ADJ NOUN VERB VERB
Press the ‘ up’ arrow key to skip the presentation sequence where the players run on and off the pitch, or back to their positions when a goal is scored.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	VERB DET ADJ ADJ NOUN NOUN PART VERB DET NOUN NOUN ADV DET NOUN VERB ADP CCONJ ADP DET NOUN CCONJ ADV ADP ADJ NOUN ADV DET NOUN VERB VERB
Goods were loaded on to Charterail road trailers that could be driven on and off flat rail wagons with swivelling beds.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	on and off	literal	identical	NOUN VERB VERB ADP ADP PROPN NOUN NOUN ADJ VERB VERB VERB ADP CCONJ ADP ADJ NOUN NOUN ADP VERB NOUN
I 'm living with him, on and off.	0 0 0 0 0 1 1 1	on and off	figurative	identical	PRON VERB VERB ADP PRON ADP CCONJ ADV
The City is one of the few places left with the old London buses you can jump on and off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	DET PROPN VERB NUM ADP DET ADJ NOUN VERB ADP DET ADJ PROPN NOUN PRON VERB VERB ADP CCONJ ADV
Dad had been ill for fourteen years, on and off.	0 0 0 0 0 0 0 1 1 1	on and off	figurative	identical	PROPN VERB VERB ADJ ADP NUM NOUN ADV CCONJ ADV
Kubitsky was flicking the safety lock of his weapon on and off.	0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	PROPN VERB VERB DET NOUN NOUN ADP ADJ NOUN ADP CCONJ ADV
You may not believe this, but though Richard and I have now known each other for eighteen years on and off, the first time he kissed me was in the car - park last Thursday.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	figurative	identical	PRON VERB ADV VERB DET CCONJ ADP PROPN CCONJ PRON VERB ADV VERB DET ADJ ADP NUM NOUN ADP CCONJ ADV DET ADJ NOUN PRON VERB PRON VERB ADP DET NOUN PUNCT NOUN ADJ NOUN
The two countries would be fighting each other, on and off, for 22 years ; and there were those, like Benjamin Titford, born in 1786, who lived through nothing but wars and rumours of wars from the day they were born to the day they died.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	figurative	identical	DET NUM NOUN VERB VERB VERB DET ADJ ADV CCONJ ADV ADP NUM NOUN PUNCT CCONJ ADV VERB DET ADP PROPN PROPN VERB ADP NUM NOUN VERB ADP NOUN ADP NOUN CCONJ NOUN ADP NOUN ADP DET NOUN PRON VERB VERB ADP DET NOUN PRON VERB
She was a celebrated actress whom he had known and loved, on and off, almost since her first appearance on the stage.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	on and off	figurative	identical	PRON VERB DET ADJ NOUN NOUN PRON VERB VERB CCONJ VERB ADV CCONJ ADV ADV ADP ADJ ADJ NOUN ADP DET NOUN
‘ We are gearing ourselves up for promotion on and off the field.	0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	PUNCT PRON VERB VERB PRON PART ADP NOUN ADP CCONJ ADP DET NOUN
Certain factors switch the appetite on and off.	0 0 0 0 0 1 1 1	on and off	literal	identical	ADJ NOUN VERB DET NOUN ADP CCONJ ADV
Kim Barnett's team has a degree of success to its credit, which has yet to be translated into prosperity on and off the field.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	PROPN PROPN NOUN VERB DET NOUN ADP NOUN ADP ADJ NOUN ADJ VERB ADV PART VERB VERB ADP NOUN ADP CCONJ ADP DET NOUN
‘ Electronically controlled gas springs bring benefits both on and off the road’	0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	PUNCT ADV VERB NOUN NOUN VERB NOUN CCONJ ADP CCONJ ADP DET NOUN
Although winless since 1987 and suffering all sorts of mental anguish both on and off the course, Torrance was eager for the 1990 campaign to start.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	ADP NOUN ADP NUM CCONJ VERB DET NOUN ADP ADJ NOUN DET ADP CCONJ ADP DET NOUN PROPN VERB ADJ ADP DET NUM NOUN PART VERB
But although we may be confident that a gradient exists, and influences subsequent development, we usually have no idea what it is a gradient of, and rather little idea of how genes are actually switched on and off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	CCONJ ADP PRON VERB VERB ADJ ADP DET NOUN VERB CCONJ NOUN ADJ NOUN PRON ADV VERB DET NOUN NOUN PRON VERB DET NOUN ADP CCONJ ADV ADJ NOUN ADP ADV NOUN VERB ADV VERB PART CCONJ ADV
That's for turning on and off radiators.	0 0 0 1 1 1 0	on and off	literal	identical	DET ADP VERB PART CCONJ ADP NOUN
We 'd been turning on and off roads all along, dodging checkpoints I guessed.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	on and off	literal	identical	PRON VERB VERB VERB PART CCONJ PART NOUN ADV ADV VERB NOUN PRON VERB
You can use your included Canal Bus Pass to hop on and off the Rembrandt cruise.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	on and off	literal	identical	PRON VERB VERB ADJ VERB PROPN PROPN PROPN PART VERB PART CCONJ ADP DET PROPN NOUN
The strong feeling of a presence is felt, lights go on and off, doors open and shut on their own, the shadow of a man's head is sometimes seen ; but on recording sessions, many unnerving things can happen, heavy breathing down the musicians ' necks, brushing past people.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	DET ADJ NOUN ADP DET NOUN VERB VERB NOUN VERB ADV CCONJ ADV NOUN ADJ CCONJ VERB PART ADJ ADJ DET NOUN ADP DET NOUN NOUN VERB ADV VERB PUNCT CCONJ ADP VERB NOUN ADJ ADJ NOUN VERB VERB ADJ NOUN PART DET NOUN PART NOUN VERB ADP NOUN
Thus, if each operator learned his lines he could push the button inside his casing to make the lights flash on and off in synchronisation with the soundtrack.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	on and off	literal	identical	ADV ADP DET NOUN VERB ADJ NOUN PRON VERB VERB DET NOUN ADP ADJ NOUN PART VERB DET NOUN VERB ADP CCONJ ADV ADP NOUN ADP DET NOUN
If you are using the : COM.0 device, everything is sent to the printer and you don't need to turn it on and off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	ADP PRON VERB VERB DET PUNCT PROPN NOUN NOUN VERB VERB ADP DET NOUN CCONJ PRON VERB VERB PART VERB PRON PART CCONJ ADV
That misconception had continued on and off over the following six or seven years.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	on and off	figurative	identical	DET NOUN VERB VERB ADP CCONJ ADV ADP DET VERB NUM CCONJ NUM NOUN
I dressed, got the scooter out, turned the motor on and off I went.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	PRON VERB VERB DET NOUN PART VERB DET NOUN ADP CCONJ ADV PRON VERB
The equipment can perform a wide range of control functions, from simply turning a pump on and off to supervising a complete oil refinery.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	on and off	literal	identical	DET NOUN VERB VERB DET ADJ NOUN ADP NOUN NOUN ADP ADV VERB DET NOUN ADP CCONJ ADV ADP VERB DET ADJ NOUN NOUN
‘ All day, on and off.’	0 0 0 1 1 1	on and off	figurative	dashes	PUNCT DET NOUN ADV CCONJ ADP
The two reactions of the repressor protein, with the operator region of the chromosome and with the inducing galactoside molecules, are non - covalent, and therefore readily reversible, so that synthesis can be switched on and off repeatedly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	on and off	literal	identical	DET NUM NOUN ADP DET NOUN NOUN ADP DET NOUN NOUN ADP DET NOUN CCONJ ADP DET VERB NOUN NOUN VERB ADJ PUNCT NOUN CCONJ ADV ADV ADJ ADP ADP NOUN VERB VERB VERB PART CCONJ ADV ADV
but not showing your tabs, not showing those Ts, but there, can you put them on and off?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	CCONJ ADV VERB ADJ NOUN ADV VERB DET PROPN CCONJ ADV VERB PRON VERB PRON PART CCONJ ADV
