The Agnelli family, which owns almost 40 % of the company, was riding high.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	ride high	figurative	inflection	DET PROPN NOUN ADJ VERB ADV NUM NOUN ADP DET NOUN VERB VERB ADJ
Although Common have been riding high on top of division one for the best part of the season, with luck they will not have forgotten their 3–0 home defeat by Alton Bass in October.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	ADP PROPN VERB VERB VERB ADJ ADP NOUN ADP NOUN NUM ADP DET ADJ NOUN ADP DET NOUN ADP NOUN PRON VERB ADV VERB VERB ADJ NUM NOUN NOUN ADP PROPN PROPN ADP PROPN
SEVEN years ago Howard Kendall was riding high, the highly successful manager of the richest outfit in football.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	NUM NOUN ADV PROPN PROPN VERB VERB ADJ DET ADV ADJ NOUN ADP DET ADJ NOUN ADP NOUN
Swifts rode high above the roof tops, screeching, swooping after summer gnats.	0 1 1 0 0 0 0 0 0 0 0 0	ride high	literal	inflection	PROPN VERB ADV ADP DET NOUN NOUN VERB VERB ADP NOUN NOUN
Throughout the world, formal linguistics rode high as an academically respectable subject, and many other disciplines, pure and applied rode high with it.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	ADP DET NOUN ADJ NOUN VERB ADV ADP DET ADV ADJ NOUN CCONJ ADJ ADJ NOUN ADJ CCONJ VERB VERB ADV ADP PRON
For many ‘ a simple way of raising money quickly with no questions asked’, as Steven Squire of the London Pledge Company put it, was still the pawnbroker whose business in 1991, according to the Sunday Times, was ‘ riding high’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	ride high	figurative	combined-inflection	ADP ADJ PRON DET ADJ NOUN ADP VERB NOUN ADV ADP DET NOUN VERB ADP PROPN PROPN ADP DET PROPN PROPN PROPN VERB PRON VERB ADV DET NOUN ADJ NOUN ADP NUM VERB ADP DET PROPN PROPN VERB PUNCT VERB ADV
In October, riding high after the August coup, he forced deputies to give him emergency powers to appoint the government and rule by decree for a year.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	ADP PROPN VERB ADV ADP DET PROPN NOUN PRON VERB NOUN PART VERB PRON NOUN NOUN PART VERB DET NOUN CCONJ VERB ADP NOUN ADP DET NOUN
were riding high.	0 1 1	ride high	figurative	inflection	VERB VERB ADJ
But if Mr Kohl is now riding high, East German expectations are riding higher.	0 0 0 0 0 0 1 1 0 0 0 0 0 0	ride high	figurative	inflection	CCONJ ADP PROPN PROPN VERB ADV VERB ADJ ADJ ADJ NOUN VERB VERB ADJ
Those sub - pop noise boys — Slug — have been riding high in the local artists chart with their brand new demo.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	DET NOUN PUNCT NOUN NOUN NOUN PUNCT PROPN PUNCT VERB VERB VERB ADJ ADP DET ADJ NOUN NOUN ADP ADJ NOUN ADJ ADJ
In broad terms these show Britain riding high in the international league table in the 1950s and 1960s but falling heavily over the 1970s [ Freeman, 1979 ].	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	ADP ADJ NOUN DET VERB PROPN VERB ADV ADP DET ADJ NOUN NOUN ADP DET NOUN CCONJ NOUN CCONJ VERB ADV ADP DET NUM PUNCT PROPN NUM PUNCT
Our international reputation was riding high, and Conservative policies on privatisation, choice and competition were — and are — being copied in many parts of the world.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	ADJ ADJ NOUN VERB VERB ADJ CCONJ ADJ NOUN ADP NOUN NOUN CCONJ NOUN VERB PUNCT CCONJ VERB PUNCT VERB VERB ADP ADJ NOUN ADP DET NOUN
Abba are riding high with a collection of 16 of their biggest songs on Abba Gold — Greatest Hits ( Polydor ).	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	X VERB VERB ADJ ADP DET NOUN ADP NUM ADP ADJ ADJ NOUN ADP PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT
A fat man alighted and, with the unexpected delicacy of the very fat, nimbled across the road, his belt buckle riding high on his belly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	ride high	literal	inflection	DET ADJ NOUN VERB CCONJ ADP DET ADJ NOUN ADP DET ADV ADJ VERB ADP DET NOUN ADJ NOUN VERB VERB ADJ ADP ADJ NOUN
I opened my eyes to the sun riding high over Fair Hill.	0 0 0 0 0 0 0 1 1 0 0 0	ride high	figurative	inflection	PRON VERB ADJ NOUN ADP DET NOUN VERB ADJ ADP PROPN PROPN
When most people of her age are just setting their first tentative steps on the bottom rung of life's ladder, Radio One's most successful — and, it must be said, best - looking — female disc jockey is riding high.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	ride high	figurative	inflection	ADV ADJ NOUN ADP ADJ NOUN VERB ADV VERB ADJ ADJ ADJ NOUN ADP DET NOUN VERB ADP NOUN NOUN PROPN PROPN ADV ADJ PUNCT CCONJ PRON VERB VERB VERB ADV PUNCT VERB PUNCT ADJ NOUN NOUN VERB VERB ADJ
Their delegates may look the same as in the beard and sandal days of the Liberals, but in reality the party is now well organised and riding high in the polls but their true identity remains a mystery.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	ADJ NOUN VERB VERB DET ADJ ADP ADP DET NOUN CCONJ ADJ NOUN ADP DET PROPN CCONJ ADP NOUN DET NOUN VERB ADV ADV ADJ CCONJ VERB ADJ ADP DET NOUN CCONJ ADJ ADJ NOUN VERB DET NOUN
Most of them are riding high on a feeling that all politicians and most of the media now put the environment at or near the top of the political agenda.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	ADJ ADP PRON VERB VERB ADJ ADP DET NOUN ADP DET NOUN CCONJ ADJ ADP DET NOUN ADV VERB DET NOUN ADP CCONJ ADP DET NOUN ADP DET ADJ NOUN
