Aussie ace in the clear	0 0 1 0 1	in the clear	figurative	identical	ADJ NOUN ADP DET ADJ	▁A us s ie ▁a ce ▁in ▁the ▁clear	0 0 0 0 0 0 1 0 1	ADJ ADJ ADJ ADJ NOUN NOUN ADP DET ADJ
The sensation of moving freely in three dimensions in the clear sunlit water that corals favour is, in itself, a bewitching and other - worldly one.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	DET NOUN ADP VERB ADV ADP NUM NOUN ADP DET ADJ ADJ NOUN ADJ NOUN VERB VERB ADP PRON DET NOUN CCONJ ADJ PUNCT ADV NUM	▁The ▁sensation ▁of ▁moving ▁freely ▁in ▁three ▁dimensions ▁in ▁the ▁clear ▁sun lit ▁water ▁that ▁coral s ▁favour ▁is , ▁in ▁itself , ▁a ▁be w itch ing ▁and ▁other ▁- ▁world ly ▁one .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP VERB ADV ADP NUM NOUN ADP DET ADJ ADJ ADJ NOUN ADJ NOUN NOUN VERB VERB VERB ADP PRON PRON DET NOUN NOUN NOUN NOUN CCONJ ADJ PUNCT ADV ADV NUM NUM
I think it puts you in the clear.	0 0 0 0 0 1 0 1	in the clear	figurative	identical	PRON VERB PRON VERB PRON ADP DET ADJ	▁I ▁think ▁it ▁puts ▁you ▁in ▁the ▁clear .	0 0 0 0 0 1 0 1 1	PRON VERB PRON VERB PRON ADP DET ADJ ADJ
Three days later, in the clear water, we could still see all of it, festering slowly.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	NUM NOUN ADV ADP DET ADJ NOUN PRON VERB ADV VERB DET ADP PRON VERB ADV	▁Three ▁days ▁later , ▁in ▁the ▁clear ▁water , ▁we ▁could ▁still ▁see ▁all ▁of ▁it , ▁f ester ing ▁slowly .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN ADV ADV ADP DET ADJ NOUN NOUN PRON VERB ADV VERB DET ADP PRON PRON VERB VERB VERB ADV ADV
National policy must therefore be crafted and implemented in the clear knowledge of the international structures of particular industries and the strength of individual firms seeking market access.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	ADJ NOUN VERB ADV VERB VERB CCONJ VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN VERB NOUN NOUN	▁National ▁policy ▁must ▁therefore ▁be ▁craft ed ▁and ▁implemented ▁in ▁the ▁clear ▁knowledge ▁of ▁the ▁international ▁structures ▁of ▁particular ▁industries ▁and ▁the ▁strength ▁of ▁individual ▁firms ▁seeking ▁market ▁access .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB ADV VERB VERB VERB CCONJ VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN VERB NOUN NOUN NOUN
Lesley - Jane Decker had been on stage at the time of the shooting, so, unless she had brought in a hired killer, she seemed to be in the clear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the clear	figurative	identical	NOUN PUNCT PROPN PROPN VERB VERB ADP NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP PRON VERB VERB PART DET VERB NOUN PRON VERB PART VERB ADP DET ADJ	▁Le sley ▁- ▁Jan e ▁De cker ▁had ▁been ▁on ▁stage ▁at ▁the ▁time ▁of ▁the ▁shooting , ▁so , ▁unless ▁she ▁had ▁brought ▁in ▁a ▁hired ▁kill er , ▁she ▁seemed ▁to ▁be ▁in ▁the ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN PUNCT PROPN PROPN PROPN PROPN VERB VERB ADP NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ CCONJ ADP PRON VERB VERB PART DET VERB NOUN NOUN NOUN PRON VERB PART VERB ADP DET ADJ ADJ
You 'll swim in the clear blue water of the Pacific, sit on palm - fringed beaches watching magical sunsets and see Hawaii's lush plantations and forests.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	PRON VERB VERB ADP DET ADJ ADJ NOUN ADP DET PROPN VERB ADP NOUN PUNCT VERB NOUN VERB ADJ NOUN CCONJ VERB PROPN ADJ NOUN CCONJ NOUN	▁You ▁' ll ▁sw im ▁in ▁the ▁clear ▁blue ▁water ▁of ▁the ▁Pacific , ▁sit ▁on ▁palm ▁- ▁fringe d ▁beaches ▁watching ▁magic al ▁sun set s ▁and ▁see ▁H awa ii ' s ▁lu sh ▁plantations ▁and ▁forests .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB ADP DET ADJ ADJ NOUN ADP DET PROPN PROPN VERB ADP NOUN PUNCT VERB VERB NOUN VERB ADJ ADJ NOUN NOUN NOUN CCONJ VERB PROPN PROPN PROPN PROPN PROPN ADJ ADJ NOUN CCONJ NOUN NOUN
You 're both in the clear.’	0 0 0 1 0 1	in the clear	figurative	dashes	PRON VERB DET ADP DET NOUN	▁You ▁' re ▁both ▁in ▁the ▁clear . ’	0 0 0 0 1 0 1 1 1	PRON VERB VERB DET ADP DET NOUN NOUN NOUN
After visiting the Hayward Gallery I spent a half - hour just gazing along the river line, the historic buildings sharp in the clear, cold, sunny air.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the clear	literal	identical	ADP VERB DET PROPN PROPN PRON VERB DET ADJ PUNCT NOUN ADV VERB ADP DET NOUN NOUN DET ADJ NOUN ADJ ADP DET ADJ ADJ ADJ NOUN	▁After ▁visiting ▁the ▁Ha y ward ▁Gall ery ▁I ▁spent ▁a ▁half ▁- ▁hour ▁just ▁g az ing ▁along ▁the ▁river ▁line , ▁the ▁historic ▁buildings ▁sharp ▁in ▁the ▁clear , ▁cold , ▁sun ny ▁air .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	ADP VERB DET PROPN PROPN PROPN PROPN PROPN PRON VERB DET ADJ PUNCT NOUN ADV VERB VERB VERB ADP DET NOUN NOUN NOUN DET ADJ NOUN ADJ ADP DET ADJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN
The clerk stretched and sucked in the clear morning air.	0 0 0 0 0 1 0 1 0 0	in the clear	literal	identical	DET NOUN VERB CCONJ VERB ADP DET ADJ NOUN NOUN	▁The ▁cle rk ▁stretched ▁and ▁suck ed ▁in ▁the ▁clear ▁morning ▁air .	0 0 0 0 0 0 0 1 0 1 0 0 0	DET NOUN NOUN VERB CCONJ VERB VERB ADP DET ADJ NOUN NOUN NOUN
I will put you in the clear on the car park at the pub, it's was originally it's going back to as as it originally was, it was the car park, and all they 're doing now is reverting back to what it was ten years ago.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	figurative	identical	PRON VERB VERB PRON ADP DET ADJ ADP DET NOUN NOUN ADP DET NOUN PRON VERB ADV PRON VERB ADV ADP ADP ADP PRON ADV VERB PRON VERB DET NOUN NOUN CCONJ DET PRON VERB VERB ADV VERB VERB ADV ADP NOUN PRON VERB NUM NOUN ADV	▁I ▁will ▁put ▁you ▁in ▁the ▁clear ▁on ▁the ▁car ▁park ▁at ▁the ▁pub , ▁it ' s ▁was ▁originally ▁it ' s ▁going ▁back ▁to ▁as ▁as ▁it ▁originally ▁was , ▁it ▁was ▁the ▁car ▁park , ▁and ▁all ▁they ▁' re ▁doing ▁now ▁is ▁revert ing ▁back ▁to ▁what ▁it ▁was ▁ten ▁years ▁ago .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON ADP DET ADJ ADP DET NOUN NOUN ADP DET NOUN NOUN PRON PRON PRON VERB ADV PRON PRON PRON VERB ADV ADP ADP ADP PRON ADV VERB VERB PRON VERB DET NOUN NOUN NOUN CCONJ DET PRON VERB VERB VERB ADV VERB VERB VERB ADV ADP NOUN PRON VERB NUM NOUN ADV ADV
The other is that he heard me following, and staged the attack on himself, with the help of some accomplice unknown — for it couldn't have been done alone, could it?— to put himself in the clear, and immobilise me long enough for the other person to get away, and the body to be well downstream.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	figurative	identical	DET ADJ VERB ADP PRON VERB PRON VERB CCONJ VERB DET NOUN ADP PRON ADP DET NOUN ADP DET NOUN ADJ PUNCT ADP PRON VERB VERB VERB VERB ADV VERB VERB PART VERB PRON ADP DET ADJ CCONJ VERB PRON ADV ADV ADP DET ADJ NOUN PART VERB ADV CCONJ DET NOUN PART VERB ADV ADV	▁The ▁other ▁is ▁that ▁he ▁heard ▁me ▁following , ▁and ▁stage d ▁the ▁attack ▁on ▁himself , ▁with ▁the ▁help ▁of ▁some ▁accompli ce ▁unknown ▁ — ▁for ▁it ▁could n ' t ▁have ▁been ▁done ▁alone , ▁could ▁it ? — ▁to ▁put ▁himself ▁in ▁the ▁clear , ▁and ▁immobil ise ▁me ▁long ▁enough ▁for ▁the ▁other ▁person ▁to ▁get ▁away , ▁and ▁the ▁body ▁to ▁be ▁well ▁downstream .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ VERB ADP PRON VERB PRON VERB VERB CCONJ VERB VERB DET NOUN ADP PRON PRON ADP DET NOUN ADP DET NOUN NOUN ADJ PUNCT PUNCT ADP PRON VERB VERB VERB VERB VERB VERB VERB ADV ADV VERB VERB VERB VERB PART VERB PRON ADP DET ADJ ADJ CCONJ VERB VERB PRON ADV ADV ADP DET ADJ NOUN PART VERB ADV ADV CCONJ DET NOUN PART VERB ADV ADV ADV
Vitor frowned up at the scattering of cloud which had appeared in the clear blue sky.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the clear	literal	identical	PROPN VERB PART ADP DET NOUN ADP NOUN ADJ VERB VERB ADP DET ADJ ADJ NOUN	▁V itor ▁fr owned ▁up ▁at ▁the ▁scatter ing ▁of ▁cloud ▁which ▁had ▁appeared ▁in ▁the ▁clear ▁blue ▁sky .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PROPN PROPN VERB VERB PART ADP DET NOUN NOUN ADP NOUN ADJ VERB VERB ADP DET ADJ ADJ NOUN NOUN
I burst on to the pass from Jack Clarke, had a wee look and saw I was in the clear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the clear	figurative	identical	PRON VERB ADP ADP DET NOUN ADP PROPN PROPN VERB DET ADJ NOUN CCONJ VERB PRON VERB ADP DET ADJ	▁I ▁burst ▁on ▁to ▁the ▁pass ▁from ▁Jack ▁Clar ke , ▁had ▁a ▁we e ▁look ▁and ▁saw ▁I ▁was ▁in ▁the ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADP ADP DET NOUN ADP PROPN PROPN PROPN PROPN VERB DET ADJ ADJ NOUN CCONJ VERB PRON VERB ADP DET ADJ ADJ
Certainly his resignation ensures that he will be in the clear when the economic roof falls in — an event which many people now regard as virtually inevitable.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	figurative	identical	ADV ADJ NOUN VERB ADP PRON VERB VERB ADP DET ADJ ADV DET ADJ NOUN VERB ADP PUNCT DET NOUN ADJ ADJ NOUN ADV VERB ADP ADV ADJ	▁Certainly ▁his ▁resignation ▁ensures ▁that ▁he ▁will ▁be ▁in ▁the ▁clear ▁when ▁the ▁economic ▁roof ▁falls ▁in ▁ — ▁an ▁event ▁which ▁many ▁people ▁now ▁regard ▁as ▁virtual ly ▁inevitable .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADJ NOUN VERB ADP PRON VERB VERB ADP DET ADJ ADV DET ADJ NOUN VERB ADP PUNCT PUNCT DET NOUN ADJ ADJ NOUN ADV VERB ADP ADV ADV ADJ ADJ
Tennis : Lendl is left in the clear by Becker's withdrawal	0 0 0 0 0 1 0 1 0 0 0	in the clear	figurative	identical	NOUN PUNCT PROPN VERB VERB ADP DET ADJ ADP PROPN NOUN	▁Ten nis ▁ : ▁L end l ▁is ▁left ▁in ▁the ▁clear ▁by ▁Be cker ' s ▁withdrawal	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	NOUN NOUN PUNCT PUNCT PROPN PROPN PROPN VERB VERB ADP DET ADJ ADP PROPN PROPN PROPN PROPN NOUN
Squash : Martin finally in the clear	0 0 0 0 1 0 1	in the clear	figurative	identical	PROPN PUNCT PROPN ADV ADP DET ADJ	▁Squa sh ▁ : ▁Martin ▁finally ▁in ▁the ▁clear	0 0 0 0 0 0 1 0 1	PROPN PROPN PUNCT PUNCT PROPN ADV ADP DET ADJ
