Is that the on button?	0 0 0 1 1	on the button	literal	deletion-determiner	VERB DET DET ADP NOUN
We 're stuck in this car on this motorway, the three of us, and someone ( the driver!— me! ) has leant an elbow on the button of the central locking system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the button	literal	identical	PRON VERB VERB ADP DET NOUN ADP DET NOUN DET NUM ADP PRON CCONJ NOUN PUNCT DET ADJ PRON PUNCT VERB NOUN DET NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN
Next click on the View button in the browser.	0 0 1 0 0 1 0 0 0	on the button	literal	insertion-other	ADJ NOUN ADP DET PROPN NOUN ADP DET NOUN
Children have their fingers on the record button and watch what they like.	0 0 0 0 1 0 0 1 0 0 0 0 0	on the button	literal	insertion-other	NOUN VERB ADJ NOUN ADP DET NOUN NOUN CCONJ VERB NOUN PRON VERB
Select it and click on the Disable button.	0 0 0 0 1 0 0 1	on the button	literal	insertion-other	VERB PRON CCONJ VERB ADP DET PROPN NOUN
Once you 're happy with all of the options, click on the OK button which closes the dialogue box and …	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	on the button	literal	insertion-other	ADP PRON VERB ADJ ADP DET ADP DET NOUN VERB ADP DET ADJ NOUN ADJ VERB DET NOUN NOUN CCONJ PUNCT
Most of the class were happy to write out the 24 ways for themselves or start on five buttons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the button	literal	determiner-broad	ADJ ADP DET NOUN VERB ADJ PART VERB PART DET NUM NOUN ADP PRON CCONJ VERB ADP NUM NOUN
Wight on the button …	0 1 0 1 0	on the button	figurative	identical	NOUN ADP DET NOUN PUNCT
I had to stand back with my finger on the off button as he turned the handle which moves the grinding wheel along the blade.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	insertion-other	PRON VERB PART VERB PART ADP ADJ NOUN ADP DET NOUN NOUN ADP PRON VERB DET NOUN ADJ VERB DET VERB NOUN ADP DET NOUN
Impatience mingling with disappointment, she rang again, allowing her finger to dwell on the button for several seconds, determined to satisfy herself that the apartment was definitely unoccupied at the moment.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	identical	NOUN VERB ADP NOUN PRON VERB ADV VERB ADJ NOUN PART VERB ADP DET NOUN ADP ADJ NOUN VERB PART VERB PRON ADP DET NOUN VERB ADV ADJ ADP DET NOUN
Kosuth's show was not called the play of the unmentionable for nothing : for Establishment Man, the whole censorship scam must seem like a glorified game - show that can be viewed with Olympian detachment, fingers poised on the remote - control button.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1	on the button	literal	combined-other	PROPN NOUN VERB ADV VERB DET NOUN ADP DET ADJ ADP NOUN PUNCT ADP PROPN PROPN DET ADJ NOUN NOUN VERB VERB ADP DET ADJ NOUN PUNCT NOUN ADJ VERB VERB VERB ADP ADJ NOUN NOUN VERB ADP DET ADJ PUNCT NOUN NOUN
She brought a window down by pressing on a button.	0 0 0 0 0 0 0 1 0 1	on the button	literal	determiner-narrow	PRON VERB DET NOUN ADV ADP VERB ADP DET NOUN
So she started to cry and all then and said she said she was sorry, and right enough she stuck to the time that we allow her to, she's come in last night dead on the button.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the button	figurative	identical	ADV PRON VERB PART VERB CCONJ DET ADV CCONJ VERB PRON VERB PRON VERB ADJ CCONJ ADV ADV PRON VERB ADP DET NOUN ADJ PRON VERB PRON PART PRON VERB ADP ADJ NOUN ADJ ADP DET NOUN
I think even Control Room where at one stage it was a, a male domain, it is not so now there's, there's, I would think now there's a predominance of women there, erm purely I think again that Control Room work suits them better, they, they, they concentrate better, I think, they, they lend themselves better to that type of work and they 're more dextrous with their fingers on, on these buttons and, and typewriters and, and other things	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the button	literal	determiner-broad	PRON VERB ADV PROPN PROPN ADV ADP NUM NOUN PRON VERB DET DET ADJ NOUN PRON VERB ADV ADV ADV ADV ADV PRON VERB VERB ADV ADV DET NOUN ADP NOUN ADV ADV ADV PRON VERB ADV ADP PROPN PROPN NOUN NOUN PRON ADV PRON PRON PRON VERB ADV PRON VERB PRON PRON VERB PRON ADV ADP DET NOUN ADP NOUN CCONJ PRON VERB ADV ADJ ADP ADJ NOUN ADP ADP DET NOUN CCONJ CCONJ NOUN CCONJ CCONJ ADJ NOUN
You fire up the engine on the starter button and the mechanic waves you out into the pit lane and you realize that the overall purpose of a racing car's design is that you should feel a pure sense of yourself in propulsion.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	insertion-other	PRON VERB PART DET NOUN ADP DET ADJ NOUN CCONJ DET NOUN VERB PRON PART ADP DET NOUN NOUN CCONJ PRON VERB ADP DET ADJ NOUN ADP DET VERB NOUN NOUN VERB ADP PRON VERB VERB DET ADJ NOUN ADP PRON ADP NOUN
Click on the buttons " Consolidate files " and " Update " to organize media from iTunes and to organize your media files in specific folders such as Music, Movies, Software, etc.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	inflection	VERB ADP DET NOUN PUNCT VERB NOUN PUNCT CCONJ PUNCT PROPN PUNCT PART VERB NOUN ADP NOUN CCONJ PART VERB ADJ NOUN NOUN ADP ADJ NOUN ADJ ADP PROPN PROPN PROPN X
Select it and click on the Disable button.	0 0 0 0 1 0 0 1	on the button	literal	insertion-other	VERB PRON CCONJ VERB ADP DET PROPN NOUN
My most - used applications are now, as you can see by the screen - shot, permanently affixed to my desktop and available by a single click on a button.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the button	literal	determiner-narrow	ADJ ADV PUNCT VERB NOUN VERB ADV ADP PRON VERB VERB ADP DET NOUN PUNCT NOUN ADV VERB ADP ADJ NOUN CCONJ ADJ ADP DET ADJ NOUN ADP DET NOUN
Go down, catch the swing and go up on the lift, go left and collect the shield, go right and up when you reach the right - hand wall, go left and fly up the pipe, go right and fall down the gap, then go left and collect the weight and throw it onto the button to your right, go up on the lift, right, up and left on the lift, fly up past the spikes and collect a weight, fall down and go right under the spikes, throw the weight on the button, go up on the lift, up, go left when you can and fall down to collect the weight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	identical	VERB PART VERB DET NOUN CCONJ VERB PART ADP DET NOUN VERB ADJ CCONJ VERB DET NOUN VERB ADV CCONJ ADV ADV PRON VERB DET ADJ PUNCT NOUN NOUN VERB ADV CCONJ VERB PART DET NOUN VERB ADV CCONJ VERB ADP DET NOUN ADV VERB VERB CCONJ VERB DET NOUN CCONJ VERB PRON ADP DET NOUN ADP ADJ NOUN VERB PART ADP DET NOUN INTJ ADV CCONJ VERB ADP DET NOUN VERB PART ADP DET NOUN CCONJ VERB DET NOUN VERB PART CCONJ VERB ADV ADP DET NOUN VERB DET NOUN ADP DET NOUN VERB PART ADP DET NOUN ADV VERB ADV ADV PRON VERB CCONJ VERB PART PART VERB DET NOUN
The colour range is amazing and there is generally enough for the hems and sewing on the buttons of one garment on each reel.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the button	literal	inflection	DET NOUN NOUN VERB ADJ CCONJ ADV VERB ADV ADJ ADP DET NOUN CCONJ VERB ADP DET NOUN ADP NUM NOUN ADP DET NOUN
He was pressing hard on the button and standing patiently for the door to open.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the button	literal	identical	PRON VERB VERB ADV ADP DET NOUN CCONJ VERB ADV ADP DET NOUN PART VERB
Is it safe to shut down my computer with a long press on the power button?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the button	literal	insertion-other	VERB PRON ADJ PART VERB PART ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN
You have to go through each page and click on the unlike button under the like drop down menu.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	on the button	literal	insertion-other	PRON VERB PART VERB ADP DET NOUN CCONJ VERB ADP DET ADJ NOUN ADP DET ADJ NOUN PART NOUN
She even once let Alison sew on a button and observed Alison's gratitude.	0 0 0 0 0 0 1 0 1 0 0 0 0	on the button	literal	determiner-narrow	PRON ADV ADV VERB PROPN VERB ADP DET NOUN CCONJ VERB PROPN NOUN
And of course Lucille was right on the button.	0 0 0 0 0 0 1 0 1	on the button	figurative	identical	CCONJ ADP NOUN PROPN VERB ADJ ADP DET NOUN
When pressing on the printer power button, the display does not light up.	0 0 1 0 0 0 1 0 0 0 0 0 0	on the button	literal	insertion-other	ADV VERB ADP DET NOUN NOUN NOUN DET NOUN VERB ADV VERB PART
Clicking on the large search button in the top left hand corner of the screen brings up a search dialogue box into which a word can be entered.	0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	insertion-other	VERB ADP DET ADJ NOUN NOUN ADP DET ADJ ADJ NOUN NOUN ADP DET NOUN VERB PART DET NOUN NOUN NOUN ADP ADJ DET NOUN VERB VERB VERB
Log into " docs.google.com " page, click on the button that says Create and choose the type of document you want to create.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	identical	VERB ADP PUNCT X PUNCT NOUN VERB ADP DET NOUN ADJ VERB VERB CCONJ VERB DET NOUN ADP NOUN PRON VERB PART VERB
In Settings, in the Default Browser tab, click on the button Set Google ~ Chrome as the default browser.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the button	literal	identical	ADP PROPN ADP DET PROPN PROPN NOUN VERB ADP DET NOUN PROPN PROPN PUNCT PROPN ADP DET NOUN NOUN
I am contemplating plumbing in an electric SU petrol pump, operated on a push button, to prime the carb only,	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	on the button	literal	combined-other	PRON VERB VERB NOUN ADP DET ADJ PROPN NOUN NOUN VERB ADP DET NOUN NOUN PART VERB DET NOUN ADV
In the long hours when there were no customers to show she was expected to lend a hand with some of the unskilled tasks — running errands and making tea, unpicking a seam or a hem, even sewing on a button or a hook and eye when she had been taught the proper way to do it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	determiner-narrow	ADP DET ADJ NOUN ADV ADV VERB DET NOUN PART VERB PRON VERB VERB PART VERB DET NOUN ADP DET ADP DET ADJ NOUN PUNCT VERB NOUN CCONJ VERB NOUN VERB DET NOUN CCONJ DET NOUN ADV VERB ADP DET NOUN CCONJ DET NOUN CCONJ NOUN ADV PRON VERB VERB VERB DET ADJ NOUN PART VERB PRON
Not vérité photographs — pretending there isn't a mind behind the camera or a finger on the button.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the button	literal	identical	ADV NOUN NOUN PUNCT VERB ADV VERB DET NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN
Next, in the General Tab click on Default button.	0 0 0 0 0 0 1 0 1	on the button	literal	determiner-broad	ADV ADP DET PROPN PROPN VERB ADP PROPN NOUN
Ashley made a frantic attack on the buttons again.	0 0 0 0 0 1 0 1 0	on the button	figurative	inflection	PROPN VERB DET ADJ NOUN ADP DET NOUN ADV
Caroline's first show is right on the button	0 0 0 0 0 1 0 1	on the button	figurative	identical	PROPN ADJ NOUN VERB ADJ ADP DET NOUN
Yeo jabbed a finger on a button on his phone.	0 0 0 0 1 0 1 0 0 0	on the button	literal	determiner-narrow	PROPN VERB DET NOUN ADP DET NOUN ADP ADJ NOUN
' Then we 'll go dead centre, ' Defries decided, and planted her index finger on the forward speed button.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	on the button	literal	insertion-other	PUNCT ADV PRON VERB VERB ADJ NOUN PUNCT NOUN VERB CCONJ VERB ADJ NOUN NOUN ADP DET ADJ NOUN NOUN
He was on the button.	0 0 1 0 1	on the button	figurative	identical	PRON VERB ADP DET NOUN
One afternoon I had seen him painfully sewing on a shirt - button.	0 0 0 0 0 0 0 0 1 0 0 0 1	on the button	literal	combined-other	NUM NOUN PRON VERB VERB PRON ADV VERB ADP DET NOUN PUNCT NOUN
If you click on the control button in the top left hand corner of the window the control menu will appear.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	insertion-other	ADP PRON VERB ADP DET NOUN NOUN ADP DET ADJ ADJ NOUN NOUN ADP DET NOUN DET NOUN NOUN VERB VERB
Alternatively double click anywhere on the desktop to evoke the TaskManager and select the 1 - 2 - 3 task and click on the terminate button.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the button	literal	insertion-other	ADV ADJ NOUN ADV ADP DET NOUN PART VERB DET PROPN CCONJ VERB DET NUM PUNCT NUM SYM NUM NOUN CCONJ VERB ADP DET ADJ NOUN
Then, click on the central button that says, " ON. "	0 0 1 0 0 1 0 0 0 0 0	on the button	literal	insertion-other	ADV VERB ADP DET ADJ NOUN ADJ VERB PUNCT PROPN PUNCT
but black the orange light's shining on the red button made it look black.	0 0 0 0 0 0 1 0 0 1 0 0 0 0	on the button	literal	insertion-other	CCONJ ADJ DET ADJ NOUN VERB ADP DET ADJ NOUN VERB PRON VERB ADJ
‘ If we 're going to break through, we 've got to be prepared to be quick on the button and to say quite risky things.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the button	figurative	identical	PUNCT ADP PRON VERB VERB PART VERB PART PRON VERB VERB PART VERB ADJ PART VERB ADJ ADP DET NOUN CCONJ PART VERB ADV ADJ NOUN
Go back to the lift and go up, carry the weight to the button and drop it on the button to start the swing, stand on the swing and fly up - right, collect the weight above you and throw it onto the button next to the swing, go back to where you grabbed the weight, go left, collect the weight, go right to the wall and fall down, throw the weight on the button, go up, left, up the pipe, collect the flower and go down the pipe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	identical	VERB ADV ADP DET NOUN CCONJ VERB PART VERB DET NOUN ADP DET NOUN CCONJ VERB PRON ADP DET NOUN PART VERB DET NOUN VERB ADP DET NOUN CCONJ VERB ADV PUNCT INTJ VERB DET NOUN ADP PRON CCONJ VERB PRON ADP DET NOUN ADJ ADP DET NOUN VERB ADV ADP ADV PRON VERB DET NOUN VERB ADV VERB DET NOUN VERB ADV ADP DET NOUN CCONJ VERB PART VERB DET NOUN ADP DET NOUN VERB ADV VERB ADP DET NOUN VERB DET NOUN CCONJ VERB ADP DET NOUN
Click on this button.	0 1 0 1	on the button	literal	determiner-narrow	VERB ADP DET NOUN
To change their properties you click on the right mouse button.	0 0 0 0 0 0 1 0 0 0 1	on the button	literal	insertion-other	PART VERB ADJ NOUN PRON VERB ADP DET ADJ NOUN NOUN
A second push on the central button removes the setting altogether and allows the driver to return to foot control of the tractor.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	insertion-other	DET ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADV CCONJ VERB DET NOUN PART VERB ADP NOUN NOUN ADP DET NOUN
Click on the button " apply ".	0 1 0 1 0 0 0	on the button	literal	identical	VERB ADP DET NOUN PUNCT VERB PUNCT
You can access it through www.gmail.com or through www.google.pt, then clicking on the Gmail button that appears on the page.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	on the button	literal	insertion-other	PRON VERB VERB PRON ADP X CCONJ ADP NOUN ADV VERB ADP DET PROPN NOUN ADJ VERB ADP DET NOUN
All you do is highlight the address, click on the Envelope button on the toolbar, and follow the instructions.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	on the button	literal	insertion-other	DET PRON VERB VERB VERB DET NOUN VERB ADP DET PROPN NOUN ADP DET NOUN CCONJ VERB DET NOUN
Their father sometimes baths them, often puts them to bed, irons, sews on his buttons and makes cakes, but as far as the kids are concerned, the main thing about Daddy is that he goes off to work in that magical place known as The Office.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	determiner-broad	ADJ NOUN ADV VERB PRON ADV VERB PRON ADP NOUN NOUN VERB ADP ADJ NOUN CCONJ VERB NOUN CCONJ ADV ADV ADP DET NOUN VERB VERB DET ADJ NOUN ADP NOUN VERB ADP PRON VERB PART PART VERB ADP DET ADJ NOUN VERB ADP DET PROPN
He slammed them shut and kept one finger on the top - floor button.	0 0 0 0 0 0 0 0 1 0 0 0 0 1	on the button	literal	combined-other	PRON VERB PRON VERB CCONJ VERB NUM NOUN ADP DET ADJ PUNCT NOUN NOUN
Click on Profile button and edit your profile.	0 1 0 1 0 0 0 0	on the button	literal	determiner-broad	VERB ADP PROPN NOUN CCONJ VERB ADJ NOUN
In the main panel of the antivirus, click where it says " Analyze ", then click on the button saying " Settings " which is in the upper right corner.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	identical	ADP DET ADJ NOUN ADP DET NOUN VERB ADV PRON VERB PUNCT VERB PUNCT ADV VERB ADP DET NOUN VERB PUNCT NOUN PUNCT ADJ VERB ADP DET ADJ ADJ NOUN
‘ I had my finger on the button.’	0 0 0 0 0 1 0 1	on the button	literal	dashes	PUNCT PRON VERB ADJ NOUN ADP DET NOUN
In Skype click on Start ~ Session with a different Account, then click on the Microsoft Account Button.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	on the button	literal	combined-other	ADP PROPN NOUN ADP PROPN PUNCT NOUN ADP DET ADJ PROPN ADV VERB ADP DET PROPN PROPN PROPN
To allow access to wireless connections click on the Wi - Fi button.	0 0 0 0 0 0 0 1 0 0 0 0 1	on the button	literal	combined-other	PART VERB NOUN ADP ADJ NOUN VERB ADP DET PROPN PUNCT PROPN NOUN
Clicking on the Ignore button has no effect, and clicking on the Close button produces another box, as follows :	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	on the button	literal	insertion-other	VERB ADP DET PROPN NOUN VERB DET NOUN CCONJ VERB ADP DET ADJ NOUN VERB DET NOUN ADP VERB PUNCT
Click on the Edit Path button.	0 1 0 0 0 1	on the button	literal	insertion-other	VERB ADP DET PROPN PROPN NOUN
For a moment he was speechless, still too astonished to take in what it all meant, then he sat heavily and leaned forward, putting his hand down on the summons button.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the button	literal	insertion-other	ADP DET NOUN PRON VERB ADJ ADV ADV ADJ PART VERB PART NOUN PRON DET VERB ADV PRON VERB ADV CCONJ VERB ADV VERB ADJ NOUN PART ADP DET NOUN NOUN
This offers the opportunity to fire the shutter by having a trip rod to act as a plunger on the shutter button when contact is made with the pulley.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	on the button	literal	insertion-other	DET VERB DET NOUN PART VERB DET NOUN ADP VERB DET NOUN NOUN PART VERB ADP DET NOUN ADP DET NOUN NOUN ADV NOUN VERB VERB ADP DET NOUN
Just when Tod has established our relationship with Irene on a secure footing, the kind of set - up that any sane man would kill for, with her punctual visits and affectionate phone calls, the movies we enjoy together, the fine dining, the peace and safety ( the forgiveness ) that her presence confers, plus the exquisitely torpid lovemaking which takes place right on the button every couple of months or so, and reaching the stage, now, where I think we can tackle her, gently but firmly, about her untidiness around the house, because it's best to get these things out in the open, not to let them rankle and fester, and so on - guess what.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	figurative	identical	ADV ADV PROPN VERB VERB ADJ NOUN ADP PROPN ADP DET ADJ NOUN DET NOUN ADP NOUN PUNCT PART ADP DET ADJ NOUN VERB VERB ADP ADP ADJ ADJ NOUN CCONJ ADJ NOUN NOUN DET NOUN PRON VERB ADV DET ADJ NOUN DET NOUN CCONJ NOUN PUNCT DET NOUN PUNCT ADP ADJ NOUN VERB CCONJ DET ADV ADJ NOUN ADJ VERB NOUN ADV ADP DET NOUN DET NOUN ADP NOUN CCONJ ADV CCONJ VERB DET NOUN ADV ADV PRON VERB PRON VERB VERB PRON ADV CCONJ ADV ADP ADJ NOUN ADP DET NOUN ADP PRON ADJ PART VERB DET NOUN PART ADP DET ADJ ADV PART VERB PRON VERB CCONJ NOUN CCONJ ADV ADV PUNCT VERB NOUN
