He's on top of the world!	0 1 1 1 0 1	on top of the world	figurative	identical	PRON ADP NOUN ADP DET NOUN
On top of the world	1 1 1 0 1	on top of the world	figurative	case	ADP NOUN ADP DET NOUN
They sat down to a celebration champagne lunch with Dai Davies, the farm manager, and set about opening the heaps of telegrams and congratulatory letters ‘ so that we really felt on top of the world’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	dashes	PRON VERB PART ADP DET NOUN NOUN NOUN ADP PROPN PROPN DET NOUN NOUN CCONJ VERB ADP VERB DET NOUN ADP NOUN CCONJ ADJ NOUN PUNCT ADP ADP PRON ADV VERB ADP NOUN ADP DET NOUN
The most common culinary crises were narrowed down to : seduction cuisine — how to cook a romantic dinner to impress ; budget cuisine, coronary cuisine, comfort cuisine — for those not feeling on top of the world ; spoil yourself cuisine — for anyone on their own ; student cuisine ; survival cuisine — for those who 've never had to cook for themselves before ; sports cuisine — for those needing a carbohydrate boost before a sporting activity ; trim cuisine — for cooks wanting to entertain but still stick to a diet ; creep cuisine — to impress the boss ; and finally, oat cuisine — for vegetarians, of course!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on top of the world	figurative	identical	DET ADV ADJ ADJ NOUN VERB VERB ADV ADP PUNCT NOUN NOUN PUNCT ADV PART VERB DET ADJ NOUN PART VERB PUNCT NOUN NOUN ADJ NOUN NOUN NOUN PUNCT ADP DET ADV VERB ADP NOUN ADP DET NOUN PUNCT ADV PRON NOUN PUNCT ADP NOUN ADP ADJ ADJ PUNCT NOUN NOUN PUNCT NOUN NOUN PUNCT ADP DET NOUN VERB ADV VERB PART VERB ADP PRON ADV PUNCT NOUN NOUN PUNCT ADP DET VERB DET NOUN NOUN ADP DET NOUN NOUN PUNCT VERB NOUN PUNCT ADP NOUN VERB PART VERB CCONJ ADV VERB ADP DET NOUN PUNCT VERB NOUN PUNCT PART VERB DET NOUN PUNCT CCONJ ADV VERB NOUN PUNCT ADP NOUN ADP NOUN
Alright, mother's alright, she's on top of the world she is at the moment, nothing of her, but, she seems to be struggling through it all.	0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on top of the world	figurative	identical	INTJ NOUN NOUN PRON ADP NOUN ADP DET NOUN PRON VERB ADP DET NOUN NOUN ADP PRON CCONJ PRON VERB PART VERB VERB ADP PRON DET
‘ Whenever I used to feel on top of the world, I would just open my mouth and sing, and not care too much about what came out,’ remembered Kylie.	0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on top of the world	figurative	identical	PUNCT ADV PRON VERB PART VERB ADP NOUN ADP DET NOUN PRON VERB ADV VERB ADJ NOUN CCONJ NOUN CCONJ ADV VERB ADV ADV ADP NOUN VERB PRON VERB PROPN
Nigel Mansell and the Williams team from Didcot are on top of the world with three straight wins … already Mansell is in provisional pole position for Sunday's Barcelona Grand Prix.	0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on top of the world	figurative	identical	PROPN PROPN CCONJ DET PROPN NOUN ADP PROPN VERB ADP NOUN ADP DET NOUN ADP NUM ADJ NOUN PUNCT ADV PROPN VERB ADP ADJ NOUN NOUN ADP PROPN PROPN PROPN PROPN
I felt on top of the world and couldn't believe the heat.	0 0 1 1 1 0 1 0 0 0 0 0	on top of the world	figurative	identical	PRON VERB ADP NOUN ADP DET NOUN CCONJ VERB VERB DET NOUN
Smelly shoes put Chris on top of world	0 0 0 0 1 1 1 1	on top of the world	figurative	deletion-determiner	PROPN NOUN VERB PROPN ADP NOUN ADP NOUN
Sell - out Mirror's on top of the world	0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	VERB PUNCT PART PROPN ADP NOUN ADP DET NOUN
Nick on top of the world	0 1 1 1 0 1	on top of the world	figurative	identical	VERB ADP NOUN ADP DET NOUN
Nice bit of rock salmon, bag of chips, lots of vinegar, you 'll feel on top of the world.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	dashes	ADJ NOUN ADP NOUN NOUN NOUN ADP NOUN NOUN ADP NOUN PRON VERB VERB ADP NOUN ADP DET NOUN
‘ Don't worry, you 'll feel on top of the world afterwards and believe that you can do anything,’ was the message from Mr Howe, 56, who developed heart trouble while coaching England through their ill - fated 1988 European Championship campaign.	0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on top of the world	figurative	identical	PUNCT VERB VERB PRON VERB VERB ADP NOUN ADP DET NOUN ADV CCONJ VERB ADP PRON VERB VERB NOUN VERB DET NOUN ADP PROPN PROPN NUM NOUN VERB NOUN NOUN ADP VERB PROPN ADP ADJ ADV PUNCT ADJ NUM PROPN PROPN NOUN
I was on top of the world.	0 0 1 1 1 0 1	on top of the world	figurative	identical	PRON VERB ADP NOUN ADP DET NOUN
Mountain biking is wonderful — you 're on top of the world while you 're pedalling and even higher when you 've finished.	0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on top of the world	figurative	identical	NOUN NOUN VERB ADJ PUNCT PRON VERB ADP NOUN ADP DET NOUN ADP PRON VERB VERB CCONJ ADV ADJ ADV PRON VERB VERB
I was suicidal, one day I 'd been on top of the world	0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	PRON VERB ADJ NUM NOUN PRON VERB VERB ADP NOUN ADP DET NOUN
BRITAIN 'S Nick Gillingham was on top of the world last night after completing a superb double in the 100 and 200 metres breaststroke in the Mycil ASA National Championships at Sheffield.	0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on top of the world	figurative	identical	PROPN PART PROPN PROPN VERB ADP NOUN ADP DET NOUN ADJ NOUN ADP VERB DET ADJ ADJ ADP DET NUM CCONJ NUM NOUN NOUN ADP DET PROPN PROPN PROPN PROPN ADP PROPN
