‘ Then a shot of glucose should do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN	▁ ‘ ▁Then ▁a ▁shot ▁of ▁glucose ▁should ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN NOUN
The room smelt horribly of burnt rubber, but it had done the trick.	0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	DET NOUN VERB ADV ADP VERB NOUN CCONJ PRON VERB VERB DET NOUN	▁The ▁room ▁smelt ▁horr ib ly ▁of ▁burnt ▁rubber , ▁but ▁it ▁had ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN VERB ADV ADV ADV ADP VERB NOUN NOUN CCONJ PRON VERB VERB DET NOUN NOUN
Preventing a young and disruptive child from playing, but allowing him / her to watch the others at play, may also do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	VERB DET ADJ CCONJ ADJ NOUN ADP NOUN CCONJ VERB PRON SYM PRON PART VERB DET NOUN ADP NOUN VERB ADV VERB DET NOUN	▁Prevent ing ▁a ▁young ▁and ▁disruptive ▁child ▁from ▁playing , ▁but ▁allowing ▁him ▁/ ▁her ▁to ▁watch ▁the ▁others ▁at ▁play , ▁may ▁also ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	VERB VERB DET ADJ CCONJ ADJ NOUN ADP NOUN NOUN CCONJ VERB PRON SYM PRON PART VERB DET NOUN ADP NOUN NOUN VERB ADV VERB DET NOUN NOUN
They are doing conjuring tricks without knowing it '.	0 0 1 0 1 0 0 0 0	do the trick	literal	combined-inflection	PRON VERB VERB VERB NOUN ADP VERB PRON PUNCT	▁They ▁are ▁doing ▁con jur ing ▁trick s ▁without ▁knowing ▁it ▁' .	0 0 1 0 0 0 1 1 0 0 0 0 0	PRON VERB VERB VERB VERB VERB NOUN NOUN ADP VERB PRON PUNCT PUNCT
‘ Nourishin ' stews, that 'll do the trick!’ bawled Mr Beavis from the passage.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	dashes	PUNCT PROPN PART NOUN DET VERB VERB DET NOUN VERB PROPN PROPN ADP DET NOUN	▁ ‘ ▁No ur ish in ▁' ▁ste w s , ▁that ▁' ll ▁do ▁the ▁trick ! ’ ▁b aw led ▁Mr ▁Be a vis ▁from ▁the ▁passage .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PROPN PROPN PROPN PROPN PART NOUN NOUN NOUN NOUN DET VERB VERB VERB DET NOUN NOUN NOUN VERB VERB VERB PROPN PROPN PROPN PROPN ADP DET NOUN NOUN
That did the trick —‘Of course,’ recalls the director, ‘ I didn't show him that I had cut my hand in the process.’	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET VERB DET NOUN NOUN NOUN VERB DET NOUN PUNCT PRON VERB VERB PRON ADP PRON VERB VERB ADJ NOUN ADP DET NOUN	▁That ▁did ▁the ▁trick ▁ —‘ O f ▁course , ’ ▁recalls ▁the ▁director , ▁ ‘ ▁I ▁did n ' t ▁show ▁him ▁that ▁I ▁had ▁cut ▁my ▁hand ▁in ▁the ▁process . ’	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB DET NOUN NOUN PUNCT PUNCT PRON VERB VERB VERB VERB VERB PRON ADP PRON VERB VERB ADJ NOUN ADP DET NOUN NOUN NOUN
We 're looking for all types of dog — well - known and exotic breeds of dog, crossbreeds, mixtures, dogs that can do tricks … you name it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	do the trick	literal	deletion-determiner	PRON VERB VERB ADP DET NOUN ADP NOUN PUNCT ADV PUNCT VERB CCONJ ADJ NOUN ADP NOUN NOUN NOUN NOUN ADJ VERB VERB NOUN VERB PRON VERB PRON	▁We ▁' re ▁looking ▁for ▁all ▁types ▁of ▁dog ▁ — ▁well ▁- ▁known ▁and ▁ex otic ▁breeds ▁of ▁dog , ▁cross bre ed s , ▁mixtures , ▁dogs ▁that ▁can ▁do ▁trick s ▁... ▁you ▁name ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	PRON VERB VERB VERB ADP DET NOUN ADP NOUN PUNCT PUNCT ADV PUNCT VERB CCONJ ADJ ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN ADJ VERB VERB NOUN NOUN VERB PRON VERB PRON PRON
Formentera might do the trick.	0 0 1 0 1	do the trick	figurative	identical	NOUN VERB VERB DET NOUN	▁For ment era ▁might ▁do ▁the ▁trick .	0 0 0 0 1 0 1 1	NOUN NOUN NOUN VERB VERB DET NOUN NOUN
But he cleverly avoided being specific about the geography, Preston noted, obviously not convinced that the late baptism had done the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	CCONJ PRON ADV VERB VERB ADJ ADP DET NOUN PROPN VERB ADV ADV ADJ ADP DET ADJ NOUN VERB VERB DET NOUN	▁But ▁he ▁clever ly ▁avoided ▁being ▁specific ▁about ▁the ▁geography , ▁Pre s ton ▁noted , ▁obviously ▁not ▁convinced ▁that ▁the ▁late ▁ba pt ism ▁had ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ PRON ADV ADV VERB VERB ADJ ADP DET NOUN NOUN PROPN PROPN PROPN VERB VERB ADV ADV ADJ ADP DET ADJ NOUN NOUN NOUN VERB VERB DET NOUN NOUN
That did the trick!	0 1 0 1	do the trick	figurative	inflection	DET VERB DET NOUN	▁That ▁did ▁the ▁trick !	0 1 0 1 1	DET VERB DET NOUN NOUN
Within a week Little Chef was running the yard, bringing in the ponies from the fields, doing tricks for pony nuts, retrieving lost balls from the undergrowth, then running on to the field and dropping them when there was a pause in play.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	ADP DET NOUN PROPN PROPN VERB VERB DET NOUN VERB PART DET NOUN ADP DET NOUN VERB NOUN ADP NOUN NOUN VERB ADJ NOUN ADP DET NOUN ADV VERB PART ADP DET NOUN CCONJ VERB PRON ADV ADV VERB DET NOUN ADP NOUN	▁Within ▁a ▁week ▁Little ▁Che f ▁was ▁running ▁the ▁yard , ▁bringing ▁in ▁the ▁p on ies ▁from ▁the ▁fields , ▁doing ▁trick s ▁for ▁p ony ▁nuts , ▁re tri ev ing ▁lost ▁balls ▁from ▁the ▁under growth , ▁then ▁running ▁on ▁to ▁the ▁field ▁and ▁dropping ▁them ▁when ▁there ▁was ▁a ▁pause ▁in ▁play .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN PROPN PROPN PROPN VERB VERB DET NOUN NOUN VERB PART DET NOUN NOUN NOUN ADP DET NOUN NOUN VERB NOUN NOUN ADP NOUN NOUN NOUN NOUN VERB VERB VERB VERB ADJ NOUN ADP DET NOUN NOUN NOUN ADV VERB PART ADP DET NOUN CCONJ VERB PRON ADV ADV VERB DET NOUN ADP NOUN NOUN
So we got Rose out here and did as he said and by gaw it did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV PRON VERB PROPN ADV ADV CCONJ VERB ADP PRON VERB CCONJ ADP NOUN PRON VERB DET NOUN	▁So ▁we ▁got ▁Rose ▁out ▁here ▁and ▁did ▁as ▁he ▁said ▁and ▁by ▁g aw ▁it ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV PRON VERB PROPN ADV ADV CCONJ VERB ADP PRON VERB CCONJ ADP NOUN NOUN PRON VERB DET NOUN NOUN
But it did the trick.	0 0 1 0 1	do the trick	figurative	inflection	CCONJ PRON VERB DET NOUN	▁But ▁it ▁did ▁the ▁trick .	0 0 1 0 1 1	CCONJ PRON VERB DET NOUN NOUN
We 've been doing our tricks ain't we?	0 0 0 1 0 1 0 0	do the trick	literal	combined-inflection	PRON VERB VERB VERB ADJ NOUN VERB PRON	▁We ▁' ve ▁been ▁doing ▁our ▁trick s ▁a in ' t ▁we ?	0 0 0 0 1 0 1 1 0 0 0 0 0 0	PRON VERB VERB VERB VERB ADJ NOUN NOUN VERB VERB VERB VERB PRON PRON
' You tested me as if I were some wretched little circus dog at the Carnival, doing tricks to please you?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	do the trick	literal	combined-inflection	PUNCT PRON VERB PRON ADP ADP PRON VERB DET ADJ ADJ NOUN NOUN ADP DET PROPN VERB NOUN PART VERB PRON	▁' ▁You ▁tested ▁me ▁as ▁if ▁I ▁were ▁some ▁w ret ched ▁little ▁circus ▁dog ▁at ▁the ▁Car n ival , ▁doing ▁trick s ▁to ▁please ▁you ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	PUNCT PRON VERB PRON ADP ADP PRON VERB DET ADJ ADJ ADJ ADJ NOUN NOUN ADP DET PROPN PROPN PROPN PROPN VERB NOUN NOUN PART VERB PRON PRON
The free Trade Agreement will do the trick … a situation in which the old - fashioned Unionist intransigence which served Britain so well in the past will also be outdated as no longer so convenient to imperialism.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	DET ADJ PROPN PROPN VERB VERB DET NOUN VERB DET NOUN ADP ADJ DET ADJ PUNCT ADJ PROPN NOUN ADJ VERB PROPN ADV ADV ADP DET NOUN VERB ADV VERB VERB ADP ADV ADV ADV ADJ ADP NOUN	▁The ▁free ▁Trade ▁Agreement ▁will ▁do ▁the ▁trick ▁... ▁a ▁situation ▁in ▁which ▁the ▁old ▁- ▁fashion ed ▁Union ist ▁in trans i gence ▁which ▁served ▁Britain ▁so ▁well ▁in ▁the ▁past ▁will ▁also ▁be ▁outdated ▁as ▁no ▁longer ▁so ▁convenient ▁to ▁imperialis m .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ PROPN PROPN VERB VERB DET NOUN VERB DET NOUN ADP ADJ DET ADJ PUNCT ADJ ADJ PROPN PROPN NOUN NOUN NOUN NOUN ADJ VERB PROPN ADV ADV ADP DET NOUN VERB ADV VERB VERB ADP ADV ADV ADV ADJ ADP NOUN NOUN NOUN
Ensis fluid, however, does the trick nicely apart from the unfortunate side effect of turning everything treated with it a rather rusty colour!	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	NOUN NOUN ADV VERB DET NOUN ADV ADV ADP DET ADJ NOUN NOUN ADP VERB NOUN VERB ADP PRON DET ADV ADJ NOUN	▁En sis ▁fluid , ▁however , ▁does ▁the ▁trick ▁nice ly ▁apart ▁from ▁the ▁unfortunate ▁side ▁effect ▁of ▁turning ▁everything ▁treated ▁with ▁it ▁a ▁rather ▁ rust y ▁colour !	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN ADV ADV VERB DET NOUN ADV ADV ADV ADP DET ADJ NOUN NOUN ADP VERB NOUN VERB ADP PRON DET ADV ADJ ADJ ADJ NOUN NOUN
If the spiritual foundations of the drug culture ever needed to be proved again in the twentieth century, its great introductory fanfare in the 1960s surely did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADP DET ADJ NOUN ADP DET NOUN NOUN ADV VERB PART VERB VERB ADV ADP DET ADJ NOUN ADJ ADJ ADJ NOUN ADP DET NOUN ADV VERB DET NOUN	▁If ▁the ▁spiritual ▁foundations ▁of ▁the ▁drug ▁culture ▁ever ▁needed ▁to ▁be ▁proved ▁again ▁in ▁the ▁twentieth ▁century , ▁its ▁great ▁introduct ory ▁fan fare ▁in ▁the ▁1960 s ▁surely ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET ADJ NOUN ADP DET NOUN NOUN ADV VERB PART VERB VERB ADV ADP DET ADJ NOUN NOUN ADJ ADJ ADJ ADJ NOUN NOUN ADP DET NOUN NOUN ADV VERB DET NOUN NOUN
This may do the trick, but if you are unable to find a fitting of the correct size, you would be best advised to get a plumber in to fit a new stopcock which will involve turning off the water at the water company's stopcock outside your house.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	DET VERB VERB DET NOUN CCONJ ADP PRON VERB ADJ PART VERB DET NOUN ADP DET ADJ NOUN PRON VERB VERB ADV VERB PART VERB DET NOUN ADP PART VERB DET ADJ NOUN ADJ VERB VERB VERB PART DET NOUN ADP DET NOUN NOUN NOUN ADP ADJ NOUN	▁This ▁may ▁do ▁the ▁trick , ▁but ▁if ▁you ▁are ▁unable ▁to ▁find ▁a ▁fitting ▁of ▁the ▁correct ▁size , ▁you ▁would ▁be ▁best ▁advised ▁to ▁get ▁a ▁plum ber ▁in ▁to ▁fit ▁a ▁new ▁stop cock ▁which ▁will ▁involve ▁turning ▁off ▁the ▁water ▁at ▁the ▁water ▁company ' s ▁stop cock ▁outside ▁your ▁house .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB DET NOUN NOUN CCONJ ADP PRON VERB ADJ PART VERB DET NOUN ADP DET ADJ NOUN NOUN PRON VERB VERB ADV VERB PART VERB DET NOUN NOUN ADP PART VERB DET ADJ NOUN NOUN ADJ VERB VERB VERB PART DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN
' When they have a problem, they give him the ball and he does a few tricks.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	do the trick	literal	combined-inflection	PUNCT ADV PRON VERB DET NOUN PRON VERB PRON DET NOUN CCONJ PRON VERB DET ADJ NOUN	▁' ▁When ▁they ▁have ▁a ▁problem , ▁they ▁give ▁him ▁the ▁ball ▁and ▁he ▁does ▁a ▁few ▁trick s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1	PUNCT ADV PRON VERB DET NOUN NOUN PRON VERB PRON DET NOUN CCONJ PRON VERB DET ADJ NOUN NOUN NOUN
A few more rabbits out of the hat could have done the trick.	0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	DET ADJ ADJ NOUN ADP ADP DET NOUN VERB VERB VERB DET NOUN	▁A ▁few ▁more ▁rabbits ▁out ▁of ▁the ▁hat ▁could ▁have ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET ADJ ADJ NOUN ADP ADP DET NOUN VERB VERB VERB DET NOUN NOUN
‘ This heavy - duty polythene should do the trick if I can wedge it across the gaps.’	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	do the trick	figurative	identical	PUNCT DET ADJ PUNCT NOUN NOUN VERB VERB DET NOUN ADP PRON VERB VERB PRON ADP DET NOUN	▁ ‘ ▁This ▁heavy ▁- ▁duty ▁poly the ne ▁should ▁do ▁the ▁trick ▁if ▁I ▁can ▁wedge ▁it ▁across ▁the ▁gaps . ’	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT DET ADJ PUNCT NOUN NOUN NOUN NOUN VERB VERB DET NOUN ADP PRON VERB VERB PRON ADP DET NOUN NOUN NOUN
For a while I believed the bust - up had done the trick.	0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADP DET NOUN PRON VERB DET NOUN PUNCT NOUN VERB VERB DET NOUN	▁For ▁a ▁while ▁I ▁believed ▁the ▁bus t ▁- ▁up ▁had ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET NOUN PRON VERB DET NOUN NOUN PUNCT NOUN VERB VERB DET NOUN NOUN
Like many distance runners in the eighties, Solly experimented with altitude training, and discovered too late that it takes more than thin air to do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADP ADJ NOUN NOUN ADP DET NOUN ADV VERB ADP NOUN NOUN CCONJ VERB ADV ADV ADP PRON VERB ADJ ADP ADJ NOUN PART VERB DET NOUN	▁Like ▁many ▁distance ▁run ners ▁in ▁the ▁eight ies , ▁Sol ly ▁experiment ed ▁with ▁altitude ▁training , ▁and ▁discovered ▁too ▁late ▁that ▁it ▁takes ▁more ▁than ▁thin ▁air ▁to ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP ADJ NOUN NOUN NOUN ADP DET NOUN NOUN NOUN ADV ADV VERB VERB ADP NOUN NOUN NOUN CCONJ VERB ADV ADV ADP PRON VERB ADJ ADP ADJ NOUN PART VERB DET NOUN NOUN
His voice was low, for her alone, but it did the trick.	0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADJ NOUN VERB ADJ ADP PRON ADJ CCONJ PRON VERB DET NOUN	▁His ▁voice ▁was ▁low , ▁for ▁her ▁alone , ▁but ▁it ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN VERB ADJ ADJ ADP PRON ADJ ADJ CCONJ PRON VERB DET NOUN NOUN
