But he vowed : ' If I am, I will fight the case tooth and nail. '	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0	fight tooth and nail	figurative	insertion-other	CCONJ PRON VERB PUNCT PUNCT ADP PRON VERB PRON VERB VERB DET NOUN NOUN CCONJ NOUN PUNCT
She fought him tooth and nail for a good 20 minutes, screaming at the top of her voice, until he eventually beat her senseless and killed her.	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	combined-inflection	PRON VERB PRON NOUN CCONJ NOUN ADP DET ADJ NUM NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP PRON ADV VERB ADJ ADJ CCONJ VERB PRON
The people demonstrated their spirit when the whole country rose up, carried on the tide of revolution in Eastern Europe, and literally fought tooth and nail against their oppressors.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	fight tooth and nail	figurative	inflection	DET NOUN VERB ADJ NOUN ADV DET ADJ NOUN VERB PART VERB ADP DET NOUN ADP NOUN ADP PROPN PROPN CCONJ ADV VERB NOUN CCONJ NOUN ADP ADJ NOUN
Since its birth Israel has fought tooth and nail to survive … and expand.	0 0 0 0 0 1 1 1 1 0 0 0 0 0	fight tooth and nail	figurative	inflection	ADP ADJ NOUN PROPN VERB VERB NOUN CCONJ NOUN PART VERB PUNCT CCONJ VERB
He would also fight tooth and nail to keep her from the likes of Tommy Allen.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	identical	PRON VERB ADV VERB NOUN CCONJ NOUN PART VERB PRON ADP DET NOUN ADP PROPN PROPN
And Ni Bevan obviously felt that for he fought tooth and nail to get it through.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	fight tooth and nail	figurative	inflection	CCONJ PROPN PROPN ADV VERB ADP ADP PRON VERB NOUN CCONJ NOUN PART VERB PRON PART
He explained that he had fought tooth and nail to be allowed to see the men in custody since the time of the arrests.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	inflection	PRON VERB ADP PRON VERB VERB NOUN CCONJ NOUN PART VERB VERB PART VERB DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN
It has to be done evenly across the board, in the rural and urban areas, or else we will fight every tooth and nail to make sure that we, our schools that we represent do not suffer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	insertion-other	PRON VERB PART VERB VERB ADV ADP DET NOUN ADP DET ADJ CCONJ ADJ NOUN CCONJ ADV PRON VERB VERB DET NOUN CCONJ NOUN PART VERB ADJ ADP PRON ADJ NOUN ADJ PRON VERB VERB ADV VERB
Mia has hired a top firm of lawyers and will fight the move tooth and nail.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1	fight tooth and nail	figurative	insertion-other	PROPN VERB VERB DET ADJ NOUN ADP NOUN CCONJ VERB VERB DET NOUN NOUN CCONJ NOUN
‘ If they want to get promoted they have got to fight tooth and nail.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fight tooth and nail	figurative	identical	PUNCT ADP PRON VERB PART VERB VERB PRON VERB VERB PART VERB NOUN CCONJ NOUN
I can remember I 've been on this Gipsy Working Party since you lost control of this Council for the last five years and you 've fought tooth and nail all the way down the line to resist every gipsy site that came in you 've used every manoeuvre that you could possibly do to resist it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	inflection	PRON VERB VERB PRON VERB VERB ADP DET PROPN PROPN PROPN ADP PRON VERB NOUN ADP DET PROPN ADP DET ADJ NUM NOUN CCONJ PRON VERB VERB NOUN CCONJ VERB ADJ DET NOUN ADP DET NOUN PART VERB DET NOUN NOUN ADJ VERB ADP PRON VERB VERB DET NOUN ADP PRON VERB ADV VERB PART VERB PRON
But there was worse to come as retail prices continued to rise and real wages to fall and as some shipowners, taking advantage of the union's declaration of industrial truce, resisted increases in earnings and " fought the union tooth and nail for every penny ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0	fight tooth and nail	figurative	combined-inflection	CCONJ ADV VERB ADJ PART VERB ADP ADJ NOUN VERB PART VERB CCONJ ADJ NOUN PART VERB CCONJ ADP DET NOUN VERB NOUN ADP DET NOUN NOUN ADP ADJ NOUN VERB NOUN ADP NOUN CCONJ PUNCT VERB DET NOUN NOUN CCONJ NOUN ADP DET NOUN PUNCT
The siblings are fighting tooth and nail over the estate their father left them in his will.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	inflection	DET NOUN VERB VERB NOUN CCONJ NOUN ADP DET NOUN ADJ NOUN VERB PRON ADP ADJ NOUN
They fought tooth and nail to protect the solicitors ' monopoly of conveyancing but eventually compromised by not objecting to licensed conveyancers.	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	inflection	PRON VERB NOUN CCONJ NOUN PART VERB DET NOUN PART NOUN ADP NOUN CCONJ ADV VERB ADP ADV VERB ADP ADJ NOUN
It is recognised in planning circles that planning applications for fish and chip shops are contentious and it has been said that whilst ‘ Joe Public wants hot food shops he does not want them near him and he is prepared to fight tooth and nail to stop anyone opening one near his house’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	identical	PRON VERB VERB ADP NOUN NOUN ADP NOUN NOUN ADP NOUN CCONJ NOUN NOUN VERB ADJ CCONJ PRON VERB VERB VERB ADP ADP PUNCT PROPN PROPN VERB ADJ NOUN NOUN PRON VERB ADV VERB PRON ADP PRON CCONJ PRON VERB ADJ PART VERB NOUN CCONJ NOUN PART VERB NOUN VERB NUM ADP ADJ NOUN
They fought tooth and nail through an initial series of leagues and finished in seven knockout matches.	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	inflection	PRON VERB NOUN CCONJ VERB ADP DET ADJ NOUN ADP NOUN CCONJ VERB ADP NUM NOUN NOUN
