grind to a halt!	1 1 0 1	grind to a halt	figurative	identical	VERB ADP DET NOUN	▁grind ▁to ▁a ▁halt !	1 1 0 1 1	VERB ADP DET NOUN NOUN
The first meeting of the SNC convened in the disused Cambodian embassy in Bangkok on mid - September, but after two days the talks had ground to a halt, with disagreements over the appointment of a Chair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET ADJ NOUN ADP DET PROPN VERB ADP DET ADJ ADJ NOUN ADP PROPN ADP ADJ PUNCT PROPN CCONJ ADP NUM NOUN DET NOUN VERB VERB ADP DET NOUN ADP NOUN ADP DET NOUN ADP DET PROPN	▁The ▁first ▁meeting ▁of ▁the ▁SNC ▁convened ▁in ▁the ▁dis used ▁Cambodia n ▁em bas sy ▁in ▁Bangkok ▁on ▁mid ▁- ▁September , ▁but ▁after ▁two ▁days ▁the ▁talks ▁had ▁ground ▁to ▁a ▁halt , ▁with ▁disagreement s ▁over ▁the ▁appointment ▁of ▁a ▁Chair .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP DET PROPN VERB ADP DET ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADP PROPN ADP ADJ PUNCT PROPN PROPN CCONJ ADP NUM NOUN DET NOUN VERB VERB ADP DET NOUN NOUN ADP NOUN NOUN ADP DET NOUN ADP DET PROPN PROPN
Recruitment adversiding advertising for example virtually ground to a halt as businesses started to shed er, people, rather than to look for them.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	NOUN VERB NOUN ADP NOUN ADV NOUN ADP DET NOUN ADP NOUN VERB PART VERB INTJ NOUN ADV ADP PART VERB ADP PRON	▁Recruitment ▁ad vers id ing ▁advertising ▁for ▁example ▁virtual ly ▁ground ▁to ▁a ▁halt ▁as ▁businesses ▁started ▁to ▁shed ▁er , ▁people , ▁rather ▁than ▁to ▁look ▁for ▁them .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB VERB VERB NOUN ADP NOUN ADV ADV NOUN ADP DET NOUN ADP NOUN VERB PART VERB INTJ INTJ NOUN NOUN ADV ADP PART VERB ADP PRON PRON
Compare the problems in Glen Nevis where in summer traffic all but grinds to a halt, to see the possible outcome.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	grind to a halt	figurative	inflection	VERB DET NOUN ADP PROPN PROPN ADV ADP NOUN NOUN DET ADP VERB ADP DET NOUN PART VERB DET ADJ NOUN	▁Comp are ▁the ▁problems ▁in ▁G len ▁Nevis ▁where ▁in ▁summer ▁traffic ▁all ▁but ▁grind s ▁to ▁a ▁halt , ▁to ▁see ▁the ▁possible ▁outcome .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0	VERB VERB DET NOUN ADP PROPN PROPN PROPN ADV ADP NOUN NOUN DET ADP VERB VERB ADP DET NOUN NOUN PART VERB DET ADJ NOUN NOUN
Without G Ps like Dr Horner, the fifty bed hospital would grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP PROPN PROPN ADP PROPN PROPN DET NUM NOUN NOUN VERB VERB ADP DET NOUN	▁Without ▁G ▁P s ▁like ▁Dr ▁Horn er , ▁the ▁fifty ▁be d ▁hospital ▁would ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN DET NUM NOUN NOUN NOUN VERB VERB ADP DET NOUN NOUN
Possibly the greatest fear one might have is that, because the lesson is relatively unstructured, it could grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADV DET ADJ NOUN PRON VERB VERB VERB DET ADP DET NOUN VERB ADV ADJ PRON VERB VERB ADP DET NOUN	▁Po s sibly ▁the ▁greatest ▁fear ▁one ▁might ▁have ▁is ▁that , ▁because ▁the ▁lesson ▁is ▁relatively ▁un structure d , ▁it ▁could ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADV ADV ADV DET ADJ NOUN PRON VERB VERB VERB DET DET ADP DET NOUN VERB ADV ADJ ADJ ADJ ADJ PRON VERB VERB ADP DET NOUN NOUN
The bus ground to a halt alongside an open stall selling fruit and cold drinks and thin white slices of fresh coconut arranged in a fan shape beneath a sparkling jet of water.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN VERB NOUN CCONJ ADJ NOUN CCONJ ADJ ADJ NOUN ADP ADJ NOUN VERB ADP DET NOUN NOUN ADP DET ADJ NOUN ADP NOUN	▁The ▁bus ▁ground ▁to ▁a ▁halt ▁alongside ▁an ▁open ▁stall ▁selling ▁fruit ▁and ▁cold ▁drinks ▁and ▁thin ▁white ▁slice s ▁of ▁fresh ▁coconut ▁arranged ▁in ▁a ▁fan ▁shape ▁beneath ▁a ▁sparkling ▁jet ▁of ▁water .	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN VERB NOUN CCONJ ADJ NOUN CCONJ ADJ ADJ NOUN NOUN ADP ADJ NOUN VERB ADP DET NOUN NOUN ADP DET ADJ NOUN ADP NOUN NOUN
The fuss will subside and the bandwagon will grind to a halt, but the practice will remain.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	grind to a halt	figurative	identical	DET NOUN VERB VERB CCONJ DET NOUN VERB VERB ADP DET NOUN CCONJ DET NOUN VERB VERB	▁The ▁fu s s ▁will ▁subsid e ▁and ▁the ▁band w agon ▁will ▁grind ▁to ▁a ▁halt , ▁but ▁the ▁practice ▁will ▁remain .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0	DET NOUN NOUN NOUN VERB VERB VERB CCONJ DET NOUN NOUN NOUN VERB VERB ADP DET NOUN NOUN CCONJ DET NOUN VERB VERB VERB
Just about everyone hoped they would disappear without trace when that tide ebbed and frenetic buying and selling ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADV ADP NOUN VERB PRON VERB VERB ADP NOUN ADV DET NOUN VERB CCONJ ADJ NOUN CCONJ NOUN NOUN ADP DET NOUN	▁Just ▁about ▁everyone ▁hoped ▁they ▁would ▁disappear ▁without ▁trace ▁when ▁that ▁tide ▁e bb ed ▁and ▁fre net ic ▁buying ▁and ▁selling ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADV ADP NOUN VERB PRON VERB VERB ADP NOUN ADV DET NOUN VERB VERB VERB CCONJ ADJ ADJ ADJ NOUN CCONJ NOUN NOUN ADP DET NOUN NOUN
Despite the fact that the war had ground to a halt while the commanders - in - chief of both armies languished in their respective prisons, the young sprig confronting him obviously took his guard duty seriously.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN PUNCT ADP PUNCT NOUN ADP DET NOUN VERB ADP ADJ ADJ NOUN DET ADJ NOUN VERB PRON ADV VERB ADJ NOUN NOUN ADV	▁D espite ▁the ▁fact ▁that ▁the ▁war ▁had ▁ground ▁to ▁a ▁halt ▁while ▁the ▁commander s ▁- ▁in ▁- ▁chief ▁of ▁both ▁arm ies ▁l angui shed ▁in ▁their ▁respective ▁prison s , ▁the ▁young ▁sp rig ▁confront ing ▁him ▁obviously ▁took ▁his ▁guard ▁duty ▁seriously .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN NOUN PUNCT ADP PUNCT NOUN ADP DET NOUN NOUN VERB VERB VERB ADP ADJ ADJ NOUN NOUN NOUN DET ADJ NOUN NOUN VERB VERB PRON ADV VERB ADJ NOUN NOUN ADV ADV
As the traffic ground to a halt he glanced round and then behind him.	0 0 0 1 1 0 1 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADP DET NOUN NOUN ADP DET NOUN PRON VERB ADV CCONJ ADV ADP PRON	▁As ▁the ▁traffic ▁ground ▁to ▁a ▁halt ▁he ▁glance d ▁round ▁and ▁then ▁behind ▁him .	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN ADP DET NOUN PRON VERB VERB ADV CCONJ ADV ADP PRON PRON
But given that you 're really in the market place situation, if you have goods which nobody wants to sell then eventually you 're going to have to grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	CCONJ VERB ADP PRON VERB ADV ADP DET NOUN NOUN NOUN ADP PRON VERB NOUN ADJ NOUN VERB PART VERB ADV ADV PRON VERB VERB PART VERB PART VERB ADP DET NOUN	▁But ▁given ▁that ▁you ▁' re ▁really ▁in ▁the ▁market ▁place ▁situation , ▁if ▁you ▁have ▁goods ▁which ▁nobody ▁wants ▁to ▁sell ▁then ▁eventually ▁you ▁' re ▁going ▁to ▁have ▁to ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	CCONJ VERB ADP PRON VERB VERB ADV ADP DET NOUN NOUN NOUN NOUN ADP PRON VERB NOUN ADJ NOUN VERB PART VERB ADV ADV PRON VERB VERB VERB PART VERB PART VERB ADP DET NOUN NOUN
The freehold pub market rose by nearly 40 per cent last year, while residential prices ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	DET NOUN NOUN NOUN VERB ADP ADV NUM ADP NOUN ADJ NOUN ADP ADJ NOUN VERB ADP DET NOUN	▁The ▁free hold ▁pub ▁market ▁rose ▁by ▁nearly ▁40 ▁per ▁cent ▁last ▁year , ▁while ▁residential ▁prices ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	DET NOUN NOUN NOUN NOUN VERB ADP ADV NUM ADP NOUN ADJ NOUN NOUN ADP ADJ NOUN VERB ADP DET NOUN NOUN
As the great surge of modernism finally seemed to grind to a halt, artists and public were apparently offered two choices : either to celebrate postmodern confusion, or to turn back to older and more insular traditions.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	ADP DET ADJ NOUN ADP NOUN ADV VERB PART VERB ADP DET NOUN NOUN CCONJ NOUN VERB ADV VERB NUM NOUN PUNCT CCONJ PART VERB NOUN NOUN CCONJ PART VERB ADV ADP ADJ CCONJ ADV ADJ NOUN	▁As ▁the ▁great ▁surge ▁of ▁modern ism ▁finally ▁seemed ▁to ▁grind ▁to ▁a ▁halt , ▁artists ▁and ▁public ▁were ▁apparently ▁offered ▁two ▁choices ▁ : ▁either ▁to ▁celebrate ▁post mod ern ▁confusion , ▁or ▁to ▁turn ▁back ▁to ▁older ▁and ▁more ▁insular ▁traditions .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN ADP NOUN NOUN ADV VERB PART VERB ADP DET NOUN NOUN NOUN CCONJ NOUN VERB ADV VERB NUM NOUN PUNCT PUNCT CCONJ PART VERB NOUN NOUN NOUN NOUN NOUN CCONJ PART VERB ADV ADP ADJ CCONJ ADV ADJ NOUN NOUN
But without western investment their already degraded energy complex would grind to a halt.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	CCONJ ADP ADJ NOUN ADJ ADV VERB NOUN NOUN VERB VERB ADP DET NOUN	▁But ▁without ▁ western ▁investment ▁their ▁already ▁degraded ▁energy ▁complex ▁would ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	CCONJ ADP ADJ ADJ NOUN ADJ ADV VERB NOUN NOUN VERB VERB ADP DET NOUN NOUN
And while the house market has ground to a halt, you 'll have to move quickly if you want to become a pub landlord.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	CCONJ ADP DET NOUN NOUN VERB VERB ADP DET NOUN PRON VERB VERB PART VERB ADV ADP PRON VERB PART VERB DET NOUN NOUN	▁And ▁while ▁the ▁house ▁market ▁has ▁ground ▁to ▁a ▁halt , ▁you ▁' ll ▁have ▁to ▁move ▁quickly ▁if ▁you ▁want ▁to ▁become ▁a ▁pub ▁land lor d .	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP DET NOUN NOUN VERB VERB ADP DET NOUN NOUN PRON VERB VERB VERB PART VERB ADV ADP PRON VERB PART VERB DET NOUN NOUN NOUN NOUN NOUN
Caught between strike and slump, the tailoring trade ground to a halt.	0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	VERB ADP NOUN CCONJ NOUN DET NOUN NOUN NOUN ADP DET NOUN	▁Ca ught ▁between ▁strike ▁and ▁sl ump , ▁the ▁tailor ing ▁trade ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	VERB VERB ADP NOUN CCONJ NOUN NOUN NOUN DET NOUN NOUN NOUN NOUN ADP DET NOUN NOUN
He needs to get his act together because if this continues then it will be Moat today and it 'll be other issues tomorrow and frankly the business of this council will grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	PRON VERB PART VERB ADJ NOUN ADV ADP ADP DET VERB ADV PRON VERB VERB PROPN NOUN CCONJ PRON VERB VERB ADJ NOUN NOUN CCONJ ADV DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN	▁He ▁needs ▁to ▁get ▁his ▁act ▁together ▁because ▁if ▁this ▁continues ▁then ▁it ▁will ▁be ▁Mo at ▁today ▁and ▁it ▁' ll ▁be ▁other ▁issues ▁tomorrow ▁and ▁frankly ▁the ▁business ▁of ▁this ▁council ▁will ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB PART VERB ADJ NOUN ADV ADP ADP DET VERB ADV PRON VERB VERB PROPN PROPN NOUN CCONJ PRON VERB VERB VERB ADJ NOUN NOUN CCONJ ADV DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN NOUN
As we had been warned, our progress was punctuated by the boat grinding to a halt where the water shallowed.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	grind to a halt	figurative	inflection	ADP PRON VERB VERB VERB ADJ NOUN VERB VERB ADP DET NOUN VERB ADP DET NOUN ADV DET NOUN VERB	▁As ▁we ▁had ▁been ▁warned , ▁our ▁progress ▁was ▁p un ctuated ▁by ▁the ▁boat ▁grinding ▁to ▁a ▁halt ▁where ▁the ▁water ▁shall owed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	ADP PRON VERB VERB VERB VERB ADJ NOUN VERB VERB VERB VERB ADP DET NOUN VERB ADP DET NOUN ADV DET NOUN VERB VERB VERB
You certainly don't want your computer grinding to a halt in the middle of your important statement run.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PRON ADV VERB VERB ADJ NOUN VERB ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN NOUN	▁You ▁certainly ▁don ' t ▁want ▁your ▁computer ▁grinding ▁to ▁a ▁halt ▁in ▁the ▁middle ▁of ▁your ▁important ▁statement ▁run .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	PRON ADV VERB VERB VERB VERB ADJ NOUN VERB ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN NOUN NOUN
Most drug research in that country has ground to a halt, and Canada is now a substantial net importer of medicines.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADJ NOUN NOUN ADP DET NOUN VERB VERB ADP DET NOUN CCONJ PROPN VERB ADV DET ADJ ADJ NOUN ADP NOUN	▁Most ▁drug ▁research ▁in ▁that ▁country ▁has ▁ground ▁to ▁a ▁halt , ▁and ▁Canada ▁is ▁now ▁a ▁substantial ▁net ▁importer ▁of ▁medicines .	0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN ADP DET NOUN VERB VERB ADP DET NOUN NOUN CCONJ PROPN VERB ADV DET ADJ ADJ NOUN ADP NOUN NOUN
