Money changes hands and everyone is delighted.’	0 1 1 0 0 0 0	change hands	figurative	inflection	NOUN VERB NOUN CCONJ NOUN VERB NOUN
On arrival in New York, Detroit, or points west, the DEA ‘ mules’ would be met by DEA agents in the baggage claim area and escorted through Customs, the loads being kept under continuous surveillance until deals were struck and the heroin changed hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	ADP NOUN ADP PROPN PROPN PROPN CCONJ VERB NOUN DET PROPN PART NOUN VERB VERB VERB ADP PROPN NOUN ADP DET NOUN NOUN NOUN CCONJ VERB ADP PROPN DET NOUN VERB VERB ADP ADJ NOUN ADP NOUN VERB VERB CCONJ DET NOUN VERB NOUN
I believe that if the post office changes hands, that's quite a crucial time because the newcomers may have to put up front quite a large sum of money.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PRON VERB ADP ADP DET NOUN NOUN VERB NOUN DET ADJ DET ADJ NOUN ADP DET NOUN VERB VERB PART VERB PART ADJ ADJ DET ADJ NOUN ADP NOUN
Money reportedly changed hands on the black market at approximately $ 1.00=60 - 90 lei.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	NOUN ADV VERB NOUN ADP DET ADJ NOUN ADP ADV SYM NUM SYM NUM NOUN
I don't know if the Guiness is as good at the Imperial anymore as the pub has changed hands!!!.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	combined-inflection	PRON VERB VERB ADP DET PROPN VERB ADV ADJ ADP DET PROPN ADV ADP DET NOUN VERB VERB NOUN
Ecstasy tablets now change hands for £ 20 a time.	0 0 0 1 1 0 0 0 0 0	change hands	figurative	identical	NOUN NOUN ADV VERB NOUN ADP SYM NUM DET NOUN
MORE than a billion shares changed hands on the London stock market yesterday in the wake of the Tory election victory.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADJ ADP DET NUM NOUN VERB NOUN ADP DET PROPN NOUN NOUN NOUN ADP DET NOUN ADP DET PROPN NOUN NOUN
The company was, however wound up, and it was revealed that a larger number of stocks in its listings had rarely changed hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	DET NOUN VERB ADV VERB PART CCONJ PRON VERB VERB ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN VERB ADV VERB NOUN
This was so in Britain, where the post of Secretary at War was held by politicians and changed hands with the ebb and flow of party politics.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET VERB ADV ADP PROPN ADV DET NOUN ADP PROPN ADP PROPN VERB VERB ADP NOUN CCONJ VERB NOUN ADP DET NOUN CCONJ NOUN ADP NOUN NOUN
If you go back far enough, of course, all our ancestors lived in basic subsistence economies where cash never changed hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	ADP PRON VERB ADV ADV ADV ADP NOUN ADJ ADJ NOUN VERB ADP ADJ NOUN NOUN ADV NOUN ADV VERB NOUN
By the 18th century the castle was beginning to fall into disrepair, and in the 19th century it changed hands several times.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	change hands	figurative	inflection	ADP DET ADJ NOUN DET NOUN VERB VERB PART VERB ADP NOUN CCONJ ADP DET ADJ NOUN PRON VERB NOUN ADJ NOUN
MONEY MANIA : A trader yells himself hoarse in the deafening pit where fortunes changed hands	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	PROPN NOUN PUNCT DET NOUN VERB PRON ADJ ADP DET ADJ NOUN ADV NOUN VERB NOUN
If the money stock ( M ) is only £ 500, then the average number of times each pound changes hands, the velocity of circulation ( V ) must be 10.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADP DET NOUN NOUN PUNCT PROPN PUNCT VERB ADV SYM NUM ADV DET ADJ NOUN ADP NOUN DET NOUN VERB NOUN DET NOUN ADP NOUN PUNCT PROPN PUNCT VERB VERB NUM
They 've got together to form a barter scheme, using a special currency which allows them to work for each other without REAL money changing hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	PRON VERB VERB ADV PART VERB DET NOUN NOUN VERB DET ADJ NOUN ADJ VERB PRON PART VERB ADP DET ADJ ADP ADJ NOUN VERB NOUN
‘ Many of the imperfections and injustices in our political system — the overweening power of the executive, the absence of proper protection for personal liberty, unfair voting, excessive secrecy, a Conservative dominated press, the centralisation of power — all these were tolerated by many in Britain, precisely because, from time to time, power changed hands …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	change hands	figurative	inflection	PUNCT ADJ ADP DET NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT DET ADJ NOUN ADP DET NOUN DET NOUN ADP ADJ NOUN ADP ADJ NOUN ADJ NOUN ADJ NOUN DET PROPN VERB NOUN DET NOUN ADP NOUN PUNCT ADJ DET VERB VERB ADP ADJ ADP PROPN ADV ADP ADP NOUN ADP NOUN NOUN VERB NOUN PUNCT
Rewarded gifting has the hesitant support of the ethical committee of the Transplantation Society ‘ … paid organ donation must not be condemned out of hand’ and of the Vedic scholar, Ramakrishna Dikshitar ‘ … even if money changes hands, it is still in keeping with the Hindu belief in helping others’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADJ NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN PUNCT VERB NOUN NOUN VERB ADV VERB VERB ADP ADP NOUN CCONJ ADP DET ADJ NOUN PROPN PROPN PUNCT PUNCT ADV ADP NOUN VERB NOUN PRON VERB ADV ADP VERB ADP DET ADJ NOUN ADP VERB ADV
Lisbon was crawling with spies, and information changed hands for vast amounts of money.	0 0 0 0 0 0 0 1 1 0 0 0 0 0	change hands	figurative	inflection	PROPN VERB VERB ADP NOUN CCONJ NOUN VERB NOUN ADP ADJ NOUN ADP NOUN
It was set on the Potomac near Washington D C which, like Malmesbury in our civil war, changed hands several times during the American one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	change hands	figurative	inflection	PRON VERB VERB ADP DET PROPN ADP PROPN PROPN PROPN ADJ ADP PROPN ADP ADJ ADJ NOUN VERB NOUN ADJ NOUN ADP DET ADJ NUM
But when money starts to change hands, they take a harder line.	0 0 0 0 0 1 1 0 0 0 0 0	change hands	figurative	identical	CCONJ ADV NOUN VERB PART VERB NOUN PRON VERB DET ADJ NOUN
‘ Before any money changed hands we would, of course, need to be satisfied that the information was worth it.’	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PUNCT ADP DET NOUN VERB NOUN PRON VERB ADP NOUN VERB PART VERB ADJ ADP DET NOUN VERB ADJ NOUN
Half the dailies existing in 1981 changed hands by 1988.	0 0 0 0 0 0 1 1 0 0	change hands	figurative	inflection	ADJ DET NOUN VERB ADP NUM VERB NOUN ADP NUM
The race is hard and the lead changes hands, but the runway doesn't always make a perfect cycleway.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB ADJ CCONJ DET ADJ VERB NOUN CCONJ DET NOUN VERB ADV VERB DET ADJ NOUN
SALE MOVE : Shopping centre to change hands	0 0 0 0 0 0 1 1	change hands	figurative	identical	NOUN NOUN PUNCT VERB NOUN PART VERB NOUN
The city has been in optimistic mood with a large volume of shares changing hands ; Wall Street also opened strongly, which in turn, encouraged the U K market.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB VERB ADP ADJ NOUN ADP DET ADJ NOUN ADP NOUN VERB NOUN PUNCT PROPN PROPN ADV VERB ADV ADJ ADP NOUN VERB DET PROPN PROPN NOUN
Irrespective of the fact that the business has changed hands, creditors may associate the delay in payment with the business itself rather than the identity of the vendor.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PROPN ADP DET NOUN ADP DET NOUN VERB VERB NOUN NOUN VERB VERB DET NOUN ADP NOUN ADP DET NOUN PRON ADV ADP DET NOUN ADP DET NOUN
The agreement drawn up when property changes hands must be absolutely watertight.	0 0 0 0 0 0 1 1 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB PART ADV NOUN NOUN NOUN VERB VERB ADV NOUN
The ownership of all three of Chrysler's carpet suppliers, for instance, changed hands within one year.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	change hands	figurative	inflection	DET NOUN ADP DET NUM ADP PROPN NOUN NOUN ADP NOUN VERB NOUN ADP NUM NOUN
Now the NZRFU has agreed with the Australian request that the Cup will be at stake whenever the two countries play a test, so the Cup could change hands three times during the coming All Black tour of Australia.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	change hands	figurative	identical	ADV DET PROPN VERB VERB ADP DET ADJ NOUN ADP DET PROPN VERB VERB ADP NOUN ADV DET NUM NOUN VERB DET NOUN CCONJ DET PROPN VERB VERB NOUN NUM NOUN ADP DET VERB DET ADJ NOUN ADP PROPN
Spring Ram more than halved to 63.5p after forecasting a 28 per cent drop in profits to £ 26 million, with 25 million shares changing hands when trading resumed after Tuesday's suspension.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	change hands	figurative	inflection	NOUN PROPN ADV ADP VERB ADP NUM ADP VERB DET NUM NOUN NOUN NOUN ADP NOUN ADP SYM NUM NUM ADP NUM NUM NOUN VERB NOUN ADV NOUN VERB ADP PROPN NOUN
The First Division leadership has changed hands twice since the turn of the year.	0 0 0 0 0 1 1 0 0 0 0 0 0 0	change hands	figurative	inflection	DET PROPN PROPN NOUN VERB VERB NOUN ADV ADP DET NOUN ADP DET NOUN
The pennies which changed hands raised a total of £ 85 which will be presented the British Red Cross at school assembly today.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN ADJ VERB NOUN VERB DET NOUN ADP SYM NUM ADJ VERB VERB VERB DET PROPN PROPN PROPN ADP NOUN NOUN NOUN
The business carried on, despite the 1932 fire, until 1935, when it changed hands, becoming the Stroud Flock Company and later known locally as Lipsey's Flock Mill.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB PART ADP DET NUM NOUN ADP NUM ADV PRON VERB NOUN VERB DET PROPN PROPN PROPN CCONJ ADV VERB ADV ADP PROPN PROPN PROPN
Some 150,000 homes changed hands in this way in 1988.	0 0 0 1 1 0 0 0 0 0	change hands	figurative	inflection	DET NUM NOUN VERB NOUN ADP DET NOUN ADP NUM
The campaign of the Conservative candidate, Richard Hickmet, was criticized for the way in which it dwelt on the controversial claim that it would be a " moral victory for terrorism " if the seat were to change hands as a result of the killing of Gow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	change hands	figurative	identical	DET NOUN ADP DET ADJ NOUN PROPN PROPN VERB VERB ADP DET NOUN ADP ADJ PRON VERB ADP DET ADJ NOUN ADP PRON VERB VERB DET PUNCT ADJ NOUN ADP NOUN PUNCT ADP DET NOUN VERB PART VERB NOUN ADP DET NOUN ADP DET NOUN ADP PROPN
AT SPARROW Farm, a bleak post - war council estate in Feltham, deafeningly close to the runways of Heathrow Airport, the off - licence in the little parade of shops has changed hands again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	change hands	figurative	inflection	ADP PROPN PROPN DET ADJ NOUN PUNCT NOUN NOUN NOUN ADP PROPN ADV ADV ADP DET NOUN ADP PROPN PROPN DET ADJ PUNCT NOUN ADP DET ADJ NOUN ADP NOUN VERB VERB NOUN ADV
Debt nominally worth about $ 150 m has changed hands, say market sources.	0 0 0 0 0 0 0 0 1 1 0 0 0	change hands	figurative	inflection	NOUN ADV ADJ ADP SYM NUM NOUN VERB VERB NOUN VERB NOUN NOUN
As a magic show, it was a bust but money kept changing hands.	0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	ADP DET ADJ NOUN PRON VERB DET NOUN CCONJ NOUN VERB VERB NOUN
Jones mounted a quick two - fisted assault and the title changed hands in those brief, dramatic seconds.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	change hands	figurative	inflection	PROPN VERB DET ADJ NUM PUNCT ADJ NOUN CCONJ DET NOUN VERB NOUN ADP DET ADJ ADJ NOUN
Nearer our own time, in 1830, when the extensive manor of Ingleton changed hands, the new owner had a tower intended as a hospice erected on the summit, made from stone pillaged from the wall and the foundations of the huts.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADP ADJ ADJ NOUN ADP NUM ADV DET ADJ NOUN ADP PROPN VERB NOUN DET ADJ NOUN VERB DET NOUN VERB ADP DET NOUN VERB ADP DET NOUN VERB ADP NOUN VERB ADP DET NOUN CCONJ DET NOUN ADP DET NOUN
The Court of Appeal rejected the Council's defence on the ground, not that the ticket changed hands too late, but that it was not a contractual document ; for no reasonable person would expect to find contractual terms in a document which was no more than a receipt for him to prove that he had paid and which in many instances ( i.e. in the absence of the attendant ) would not change hands until long after the contract was made.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	change hands	figurative	identical	DET PROPN ADP PROPN VERB DET PROPN NOUN ADP DET NOUN ADV ADP DET NOUN VERB NOUN ADV ADV CCONJ ADP PRON VERB ADV DET ADJ NOUN PUNCT ADP DET ADJ NOUN VERB VERB PART VERB ADJ NOUN ADP DET NOUN ADJ VERB DET ADJ ADP DET NOUN ADP PRON PART VERB ADP PRON VERB VERB CCONJ ADJ ADP ADJ NOUN PUNCT X ADP DET NOUN ADP DET NOUN PUNCT VERB ADV VERB NOUN ADP ADV ADP DET NOUN VERB VERB
Roubles changed hands.	0 1 1	change hands	figurative	inflection	NOUN VERB NOUN
Service changed hands eight times and there were four lets in between until Soutter broke the deadlock with a tight drop that created an opening and a lovely cross - court forehand slice that zipped away for a winner.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	NOUN VERB NOUN NUM NOUN CCONJ ADV VERB NUM NOUN ADP ADP ADP PROPN VERB DET NOUN ADP DET ADJ NOUN ADJ VERB DET NOUN CCONJ DET ADJ NOUN PUNCT NOUN NOUN NOUN ADJ VERB ADV ADP DET NOUN
Saatchi & Saatchi, down 3/4 to 143/4p, recorded the day's biggest volume as 32 m shares in the advertising giant changed hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	PROPN CCONJ PROPN ADV NUM PART NUM VERB DET NOUN ADJ NOUN ADP NUM NOUN NOUN ADP DET NOUN NOUN VERB NOUN
It's hard to figure out what exactly is happening with Hunter Systems Inc, Palo Alto, California, since nobody's returning phone calls : we did manage to find out that its venture capitalist Technology Funding Venture Partners IV in San Mateo, California bought back Hunter's debt at that auction staged last week ( CI No 2,147)— presumably no money really changed hands, and it now owns all of Hunter — but is the company still in business?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PRON ADJ PART VERB PART NOUN ADV VERB VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN VERB NOUN NOUN PUNCT PRON VERB VERB PART VERB PART ADP ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN VERB PART PROPN NOUN ADP DET NOUN VERB ADJ NOUN PUNCT PROPN DET NOUN ADV DET NOUN ADV VERB NOUN CCONJ PRON ADV VERB DET ADP PROPN PUNCT CCONJ VERB DET NOUN ADV ADP NOUN
These stones are the bread and butter of the manufacturing and retailing jewellers around the world, changing hands in packages of several hundred at a time without certification.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB DET NOUN CCONJ NOUN ADP DET NOUN CCONJ NOUN NOUN ADP DET NOUN VERB NOUN ADP NOUN ADP ADJ NUM ADP DET NOUN ADP NOUN
Although I rate El Tel very highly I think one of the reasons he is being picked is that no money will have to change hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	identical	ADP PRON VERB PROPN PROPN ADV ADV PRON VERB NUM ADP DET NOUN PRON VERB VERB VERB VERB ADP DET NOUN VERB VERB PART VERB NOUN
We realized that we needed a letting agent who would not only take the bookings but generally oversee the properties, plus a cleaner for the days on which they changed hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	PRON VERB ADP PRON VERB DET VERB NOUN NOUN VERB ADV ADV VERB DET NOUN CCONJ ADV VERB DET NOUN CCONJ DET NOUN ADP DET NOUN ADP ADJ PRON VERB NOUN
This strong territorial element meant that when a major estate changed hands, whether by inheritance or forfeiture, the affinity of the previous owner would tend to turn to his successor for lordship.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET ADJ ADJ NOUN VERB ADP ADV DET ADJ NOUN VERB NOUN ADP ADP NOUN CCONJ NOUN DET NOUN ADP DET ADJ NOUN VERB VERB PART VERB ADP ADJ NOUN ADP NOUN
The forgeries are understood to be changing hands at up to £ 60 a time across the province in pubs and clubs.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB VERB PART VERB VERB NOUN ADP ADP PART SYM NUM DET NOUN ADP DET NOUN ADP NOUN CCONJ NOUN
This chart indicates the ownership of equipment as we went to press in January 1991, but the pattern is developing every few months as companies change hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	identical	DET NOUN VERB DET NOUN ADP NOUN ADP PRON VERB ADP NOUN ADP PROPN NUM CCONJ DET NOUN VERB VERB DET ADJ NOUN ADP NOUN VERB NOUN
Although its larger successor, the GLC, changed hands regularly — from Labour in 1973 to Conservative in 1977 and back to Labour in 1981 — London remains the strongest source of Labour support in the South - East of the country.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADP ADJ ADJ NOUN DET PROPN VERB NOUN ADV PUNCT ADP PROPN ADP NUM ADP PROPN ADP NUM CCONJ ADV ADP PROPN ADP NUM PUNCT PROPN VERB DET ADJ NOUN ADP PROPN NOUN ADP DET PROPN PUNCT PROPN ADP DET NOUN
Whenever waste changes hands, both parties must sign a form registering the transfer.	0 0 1 1 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADV NOUN VERB NOUN DET NOUN VERB VERB DET NOUN VERB DET NOUN
No real money will change hands ( we will see why in a moment ).	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	change hands	figurative	identical	DET ADJ NOUN VERB VERB NOUN PUNCT PRON VERB VERB ADV ADP DET NOUN PUNCT
THE CAMERON Toll centre in south - east Edinburgh, the UK's first seven - day - trading shopping centre when it opened in 1984, is likely to change hands within the next two weeks, writes Bill Millar.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	change hands	figurative	identical	DET PROPN PROPN NOUN ADP ADJ PUNCT NOUN PROPN DET PROPN ADJ NUM PUNCT NOUN PUNCT NOUN NOUN NOUN ADV PRON VERB ADP NUM VERB ADJ PART VERB NOUN ADP DET ADJ NUM NOUN VERB PROPN PROPN
Over the many years preceding the period now being described the ownership of properties and land in Combsburgh had changed hands many times.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	change hands	figurative	inflection	ADP DET ADJ NOUN VERB DET NOUN ADV VERB VERB DET NOUN ADP NOUN CCONJ NOUN ADP PROPN VERB VERB NOUN ADJ NOUN
As an estimated 5.5 million Jaguar shares changed hands, Ford confirmed that it had been granted early approval by US regulatory authorities to begin building its stake, immediately prompting speculation that it had entered the market.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADP DET VERB NUM NUM PROPN NOUN VERB NOUN PROPN VERB ADP PRON VERB VERB VERB ADJ NOUN ADP PROPN ADJ NOUN PART VERB VERB ADJ NOUN ADV VERB NOUN ADP PRON VERB VERB DET NOUN
Thus the Romans were not allowed to sell their ancestral real property, and yet houses and land regularly changed hands through a system of legal fictions and collusive actions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADV DET PROPN VERB ADV VERB PART VERB ADJ ADJ ADJ NOUN CCONJ ADV NOUN CCONJ NOUN ADV VERB NOUN ADP DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN
In any case, Twoflower was delightedly taking picture after picture of people engaged in what he described as typical activities, and since a quarter - rhinu would subsequently change hands ‘ for their trouble’ a tail of bemused and happy nouveaux - riches was soon following him in case this madman exploded in a shower of gold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	identical	ADP DET NOUN PROPN VERB ADV VERB NOUN ADP NOUN ADP NOUN VERB ADP NOUN PRON VERB ADP ADJ NOUN CCONJ ADP DET NOUN PUNCT NOUN VERB ADV VERB NOUN PUNCT ADP ADJ NOUN DET NOUN ADP ADJ CCONJ ADJ NOUN PUNCT NOUN VERB ADV VERB PRON ADP NOUN DET NOUN VERB ADP DET NOUN ADP NOUN
