Now she's on the mend and preparing to return home this weekend.	0 0 1 0 1 0 0 0 0 0 0 0	on the mend	figurative	identical	ADV PRON ADP DET NOUN CCONJ VERB PART VERB ADV DET NOUN
Although his injuries are now on the mend, Rex Pritchard is almost certain to be grounded for the rest of the display season.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the mend	figurative	identical	ADP ADJ NOUN VERB ADV ADP DET NOUN PROPN PROPN VERB ADV ADJ PART VERB VERB ADP DET NOUN ADP DET NOUN NOUN
The 43 US and 21 Canadian stores are on the mend at last, but McGinley has his sights fixed on expansion in Europe.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on the mend	figurative	identical	DET NUM PROPN CCONJ NUM ADJ NOUN VERB ADP DET NOUN ADP ADJ CCONJ PROPN VERB ADJ NOUN VERB ADP NOUN ADP PROPN
The nation's favourite racehorse, four times a winner of Kempton's King George VI Chase and on the mend following an operation for a twisted gut, looks to have found the most sensible place to spend the Christmas break with several Boxing Day racecards under threat from heavy frosts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the mend	figurative	identical	DET NOUN ADJ NOUN NUM NOUN DET NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ ADP DET NOUN VERB DET NOUN ADP DET ADJ NOUN VERB PART VERB VERB DET ADV ADJ NOUN PART VERB DET PROPN NOUN ADP ADJ PROPN PROPN NOUN ADP NOUN ADP ADJ NOUN
we are on the mend.	0 0 1 0 1	on the mend	figurative	identical	PRON VERB ADP DET NOUN
And he was very keen on Sara Calvert while he was on the mend.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	CCONJ PRON VERB ADV ADJ ADP PROPN PROPN ADP PRON VERB ADP DET NOUN
‘ Don't want you limping about too much, not now your ankle's on the mend.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	dashes	PUNCT VERB VERB PRON VERB ADP ADV ADJ ADV ADV ADJ NOUN ADP DET NOUN
‘ Are we on the mend?’,	0 0 0 1 0 1	on the mend	figurative	dashes	PUNCT VERB PRON ADP DET NOUN
Once he was on the mend, we decided to try and do something about his crooked leg.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the mend	figurative	identical	ADP PRON VERB ADP DET NOUN PRON VERB PART VERB CCONJ VERB NOUN ADP ADJ ADJ NOUN
It was Theo and their father in unholy alliance who had talked him into abandoning Sien when she was on the mend, he now alleged.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the mend	figurative	identical	PRON VERB PROPN CCONJ ADJ NOUN ADP ADJ NOUN NOUN VERB VERB PRON ADP VERB PROPN ADV PRON VERB ADP DET NOUN PRON ADV VERB
And a bounce in the region's economy over the next few years will soon have the city on the mend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	CCONJ DET NOUN ADP DET NOUN NOUN ADP DET ADJ ADJ NOUN VERB ADV VERB DET NOUN ADP DET NOUN
yet another sign Britain's economy is on the mend.	0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	ADV DET NOUN PROPN NOUN VERB ADP DET NOUN
Young and healthy and spirited, now that the first shock had passed and the inhibiting stiffness was on the mend, after eating her lunch Luce would have got up if Michele, alerted by Rosa, hadn't appeared and put his foot down.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the mend	figurative	identical	ADJ CCONJ ADJ CCONJ ADJ ADV ADP DET ADJ NOUN VERB VERB CCONJ DET VERB NOUN VERB ADP DET NOUN ADP VERB ADJ NOUN PROPN VERB VERB VERB PART ADP PROPN VERB ADP PROPN VERB VERB CCONJ VERB ADJ NOUN PART
He's on the mend because, unlike many former offenders, Mr McDonald has a home.	0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the mend	figurative	identical	PRON ADP DET NOUN ADP ADP ADJ ADJ NOUN PROPN PROPN VERB DET NOUN
Relations with America are on the mend after months in which the two countries had been arguing about the fate of nuclear weapons on Ukrainian soil.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the mend	figurative	identical	NOUN ADP PROPN VERB ADP DET NOUN ADP NOUN ADP ADJ DET NUM NOUN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP ADJ NOUN
Volcano hero on the mend	0 0 1 0 1	on the mend	figurative	identical	NOUN NOUN ADP DET NOUN
Paul on the mend	0 1 0 1	on the mend	figurative	identical	PROPN ADP DET NOUN
Relieved Mel's on the mend	0 0 1 0 1	on the mend	figurative	identical	PROPN PROPN ADP DET NOUN
' On the mend, praise be.	0 1 0 1 0 0	on the mend	figurative	case	PUNCT ADP DET NOUN NOUN VERB
She's on the mend.	0 1 0 1	on the mend	figurative	identical	PRON ADP DET NOUN
Another boost for the tourists is that lineout ace John Eales is on the mend and could even creep into Saturday's Test.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the mend	figurative	identical	DET NOUN ADP DET NOUN VERB ADP NOUN NOUN PROPN PROPN VERB ADP DET NOUN CCONJ VERB ADV VERB ADP PROPN NOUN
Dessie on the mend	0 1 0 1	on the mend	figurative	identical	PROPN ADP DET NOUN
Mel's on the mend	0 1 0 1	on the mend	figurative	identical	PROPN ADP DET NOUN
Life had several appearances of being on the mend.	0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	NOUN VERB ADJ NOUN ADP VERB ADP DET NOUN
Souness is on the mend	0 0 1 0 1	on the mend	figurative	identical	PROPN VERB ADP DET NOUN
