If you do anything of that sort to get a reaction, I will give you your marching orders’.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	marching orders	figurative	dashes	ADP PRON VERB NOUN ADP DET NOUN PART VERB DET NOUN PRON VERB VERB PRON ADJ NOUN VERB
Striker Barry Paton got his marching orders from Alan Snoddy for pushing Ports skipper Brian Strain to the floor after 71 minutes.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	PROPN PROPN PROPN VERB ADJ NOUN NOUN ADP PROPN PROPN ADP VERB PROPN NOUN PROPN PROPN ADP DET NOUN ADP NUM NOUN
The red card shown to Walsh and Marta meant that a total of 12 players have now received their marching orders in a competition that has yet to reach its semi - final stages.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	DET ADJ NOUN VERB ADP PROPN CCONJ PROPN VERB ADP DET NOUN ADP NUM NOUN VERB ADV VERB ADJ NOUN NOUN ADP DET NOUN ADJ VERB ADV PART VERB ADJ NOUN PUNCT ADJ NOUN
As tempers began to fray, the game deteriorated and Kevin Connelly, when disputing a decision with referee Hart, got his marching orders, reducing Town to ten men.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	marching orders	figurative	identical	ADP NOUN VERB ADP VERB DET NOUN VERB CCONJ PROPN PROPN ADV VERB DET NOUN ADP NOUN PROPN VERB ADJ NOUN NOUN VERB NOUN ADP NUM NOUN
His luck ran out for the French students against their English counterparts when, though captain, he was given his marching orders for, guess what, stamping again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	marching orders	figurative	identical	ADJ NOUN VERB PART ADP DET ADJ NOUN ADP ADJ ADJ NOUN ADV ADP NOUN PRON VERB VERB ADJ NOUN NOUN ADP VERB NOUN VERB ADV
‘ Because I 've been given my marching orders,’ Ellie said more shortly than she 'd intended.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	marching orders	figurative	dashes	PUNCT ADP PRON VERB VERB VERB ADJ NOUN PROPN PROPN VERB ADV ADV ADP PRON VERB VERB
They could get their marching orders.	0 0 0 0 1 1	marching orders	figurative	identical	PRON VERB VERB ADJ NOUN NOUN
Scott Taylor, Jeff Hopkins, Parkinson and Kevin Dillon all had their names taken before Parkinson got his marching orders for a foul on Bob Taylor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	marching orders	figurative	identical	PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN DET VERB ADJ NOUN VERB ADP PROPN VERB ADJ NOUN NOUN ADP DET NOUN ADP PROPN PROPN
The savings package was " a program of social coldness " and " marching orders towards a different republic ", he added.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	marching orders	figurative	identical	DET NOUN NOUN VERB PUNCT DET NOUN ADP ADJ NOUN PUNCT CCONJ PUNCT VERB NOUN ADP DET ADJ NOUN PUNCT PRON VERB
The Swiss player also got his marching orders and team - mate Raphael Comisetti went two minutes later for a lunge at Darren Salton.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	DET ADJ NOUN ADV VERB ADJ NOUN NOUN CCONJ NOUN PUNCT NOUN PROPN PROPN VERB NUM NOUN ADV ADP DET NOUN ADP PROPN PROPN
At last, he spoke, and asked when Davide was expected, for he was about to receive his marching orders, and he was hoping that her brother would be back as expected, for the summer holidays from the university, so that they could meet before he left.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	ADP ADV PRON VERB CCONJ VERB ADV PROPN VERB VERB ADP PRON VERB ADJ PART VERB ADJ NOUN NOUN CCONJ PRON VERB VERB ADP ADJ NOUN VERB VERB ADV ADP VERB ADP DET NOUN NOUN ADP DET NOUN ADP ADP PRON VERB VERB ADP PRON VERB
One consequence of time spent on foreign policy is that there are still subjects on which the president himself has not laid down detailed marching orders to his staff.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	marching orders	figurative	identical	NUM NOUN ADP NOUN VERB ADP ADJ NOUN VERB ADP ADV VERB ADV NOUN ADP ADJ DET NOUN PRON VERB ADV VERB PART ADJ NOUN NOUN ADP ADJ NOUN
But tenants taking advantage of the system are being given their marching orders.	0 0 0 0 0 0 0 0 0 0 0 1 1	marching orders	figurative	identical	CCONJ NOUN VERB NOUN ADP DET NOUN VERB VERB VERB ADJ NOUN NOUN
‘ The ref called me over and gave me my marching orders,’ said Mick.	0 0 0 0 0 0 0 0 0 0 1 1 0 0	marching orders	figurative	dashes	PUNCT DET NOUN VERB PRON PART CCONJ VERB PRON ADJ NOUN ADV VERB PROPN
There, Anne's first husband, too, had got his orders — marching orders.	0 0 0 0 0 0 0 0 0 0 1 1	marching orders	figurative	identical	ADV PROPN ADJ NOUN ADV VERB VERB ADJ NOUN PUNCT NOUN NOUN
