And up to now, you 've had to quit or grin and bear it.	0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	CCONJ ADP ADP ADV PRON VERB VERB PART VERB CCONJ VERB CCONJ VERB PRON	▁And ▁up ▁to ▁now , ▁you ▁' ve ▁had ▁to ▁qui t ▁or ▁gr in ▁and ▁bear ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	CCONJ ADP ADP ADV ADV PRON VERB VERB VERB PART VERB VERB CCONJ VERB VERB CCONJ VERB PRON PRON
That evening Clive could only grin and bear it, but when I told him I wouldn't be able to do the second summer course he was distinctly cool.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grin and bear it	figurative	identical	DET NOUN PROPN VERB ADV VERB CCONJ VERB PRON CCONJ ADV PRON VERB PRON PRON VERB VERB ADJ PART VERB DET ADJ NOUN NOUN PRON VERB ADV ADJ	▁That ▁evening ▁C live ▁could ▁only ▁gr in ▁and ▁bear ▁it , ▁but ▁when ▁I ▁told ▁him ▁I ▁would n ' t ▁be ▁able ▁to ▁do ▁the ▁second ▁summer ▁course ▁he ▁was ▁distinct ly ▁cool .	0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PROPN PROPN VERB ADV VERB VERB CCONJ VERB PRON PRON CCONJ ADV PRON VERB PRON PRON VERB VERB VERB VERB VERB ADJ PART VERB DET ADJ NOUN NOUN PRON VERB ADV ADV ADJ ADJ
You 'll just have to grin and bear it while she's here.	0 0 0 0 0 1 1 1 1 0 0 0	grin and bear it	figurative	identical	PRON VERB ADV VERB PART VERB CCONJ VERB PRON ADP PRON ADV	▁You ▁' ll ▁just ▁have ▁to ▁gr in ▁and ▁bear ▁it ▁while ▁she ' s ▁here .	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0	PRON VERB VERB ADV VERB PART VERB VERB CCONJ VERB PRON ADP PRON PRON PRON ADV ADV
Is Paul saying, now you are a Christian, you may be in a dead - end job, but you 'd better grin and bear it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	VERB PROPN VERB ADV PRON VERB DET PROPN PRON VERB VERB ADP DET ADJ PUNCT NOUN NOUN CCONJ PRON VERB ADV VERB CCONJ VERB PRON	▁Is ▁Paul ▁saying , ▁now ▁you ▁are ▁a ▁Christian , ▁you ▁may ▁be ▁in ▁a ▁dead ▁- ▁end ▁job , ▁but ▁you ▁' d ▁better ▁gr in ▁and ▁bear ▁it ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	VERB PROPN VERB VERB ADV PRON VERB DET PROPN PROPN PRON VERB VERB ADP DET ADJ PUNCT NOUN NOUN NOUN CCONJ PRON VERB VERB ADV VERB VERB CCONJ VERB PRON PRON
Grin and bear it!	1 1 1 1	grin and bear it	figurative	case	VERB CCONJ VERB PRON	▁Gr in ▁and ▁bear ▁it !	1 1 1 1 1 1	VERB VERB CCONJ VERB PRON PRON
Abu Salim decided that a third day wasn't necessary so I had to grin and bear it.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	PROPN PROPN VERB ADP DET ADJ NOUN VERB ADJ ADV PRON VERB PART VERB CCONJ VERB PRON	▁Abu ▁Salim ▁decided ▁that ▁a ▁third ▁day ▁was n ' t ▁necessary ▁so ▁I ▁had ▁to ▁gr in ▁and ▁bear ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PROPN PROPN VERB ADP DET ADJ NOUN VERB VERB VERB VERB ADJ ADV PRON VERB PART VERB VERB CCONJ VERB PRON PRON
He 'll grin and bear it.	0 0 1 1 1 1	grin and bear it	figurative	identical	PRON VERB VERB CCONJ VERB PRON	▁He ▁' ll ▁gr in ▁and ▁bear ▁it .	0 0 0 1 1 1 1 1 1	PRON VERB VERB VERB VERB CCONJ VERB PRON PRON
By the end all you can do is grin and bear it	0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	ADP DET NOUN DET PRON VERB VERB VERB VERB CCONJ VERB PRON	▁By ▁the ▁end ▁all ▁you ▁can ▁do ▁is ▁gr in ▁and ▁bear ▁it	0 0 0 0 0 0 0 0 1 1 1 1 1	ADP DET NOUN DET PRON VERB VERB VERB VERB VERB CCONJ VERB PRON
We just have to grin and bear it.	0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	PRON ADV VERB PART VERB CCONJ VERB PRON	▁We ▁just ▁have ▁to ▁gr in ▁and ▁bear ▁it .	0 0 0 0 1 1 1 1 1 1	PRON ADV VERB PART VERB VERB CCONJ VERB PRON PRON
And it wasn't a sort of ‘ grin and bear it’ kind of happiness.	0 0 0 0 0 0 0 1 1 1 1 0 0 0	grin and bear it	figurative	dashes	CCONJ PRON VERB DET NOUN ADP PUNCT NOUN CCONJ VERB ADJ NOUN ADP NOUN	▁And ▁it ▁was n ' t ▁a ▁sort ▁of ▁ ‘ ▁gr in ▁and ▁bear ▁it ’ ▁kind ▁of ▁h app iness .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0	CCONJ PRON VERB VERB VERB VERB DET NOUN ADP PUNCT PUNCT NOUN NOUN CCONJ VERB ADJ ADJ NOUN ADP NOUN NOUN NOUN NOUN
I just had to grin and bear it.	0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	PRON ADV VERB PART VERB CCONJ VERB PRON	▁I ▁just ▁had ▁to ▁gr in ▁and ▁bear ▁it .	0 0 0 0 1 1 1 1 1 1	PRON ADV VERB PART VERB VERB CCONJ VERB PRON PRON
