' Best check at the next crossroads.	0 0 0 1 0 0 1	at the crossroads	literal	insertion-other	PUNCT ADJ NOUN ADP DET ADJ NOUN
A tank farm is passed on the right before arriving at a water crossroads with the River Aire at Castleford Junction.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	at the crossroads	literal	combined-other	DET NOUN NOUN VERB VERB ADP DET NOUN ADP VERB ADP DET NOUN NOUN ADP DET PROPN PROPN ADP PROPN PROPN
Soon afterwards fires were blazing on every rooftop in the village, and in every shrine all around its outskirts to the north, the south, the east and the west : in the fields, at the crossroads, by the river, in the forest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	at the crossroads	literal	identical	ADV ADV NOUN VERB VERB ADP DET NOUN ADP DET NOUN CCONJ ADP DET NOUN ADV ADP ADJ NOUN ADP DET NOUN DET NOUN DET NOUN CCONJ DET NOUN PUNCT ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN
After reading the signpost, the user moves off in the direction of his choice until he arrives at the next crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	at the crossroads	literal	insertion-other	ADP VERB DET NOUN DET NOUN VERB PART ADP DET NOUN ADP ADJ NOUN ADP PRON VERB ADP DET ADJ NOUN
She said it because Rory was in her mind, and he had told her he lived not many miles from Belleeks, at a little crossroads in the lower hills.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	at the crossroads	literal	combined-other	PRON VERB PRON ADP PROPN VERB ADP ADJ NOUN CCONJ PRON VERB VERB PRON PRON VERB ADV ADJ NOUN ADP PROPN ADP DET ADJ NOUN ADP DET ADJ NOUN
The British, U.S. and Dutch arts - funding bodies all at a crossroads	0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	DET PROPN PROPN CCONJ ADJ NOUN PUNCT NOUN NOUN ADV ADP DET NOUN
Turn left at crossroads then, after 300yds, turn right on path opposite five rough stone bollards.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	deletion-determiner	VERB VERB ADP NOUN ADV ADP NUM VERB ADV ADP NOUN ADP NUM ADJ NOUN NOUN
Two men running to market to look for food had been killed at the crossroads by a sniper.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	at the crossroads	literal	identical	NUM NOUN VERB ADP NOUN PART VERB ADP NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN
The main activity centred on a large wall at Xidan crossroads in the centre of the capital.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	at the crossroads	literal	determiner-broad	DET ADJ NOUN VERB ADP DET ADJ NOUN ADP PROPN VERB ADP DET NOUN ADP DET NOUN
While the rest of eastern Europe rushes to embrace capitalism, Moscow dithers at the crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	identical	ADP DET NOUN ADP ADJ PROPN VERB PART VERB NOUN PROPN NOUN ADP DET NOUN
Four standard - bearing newspapers ; lofty themes like ‘ Europe at the crossroads of history’ and ‘ The future of religion’ ; eminent contributors like Nestor Almendros and Hans Kung.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	identical	NUM NOUN PUNCT VERB NOUN PUNCT ADJ NOUN ADP PUNCT PROPN ADP DET NOUN ADP ADJ CCONJ PUNCT DET NOUN ADP NOUN PUNCT ADJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN
The Government is at the crossroads.	0 0 0 1 0 1	at the crossroads	figurative	identical	DET PROPN VERB ADP DET NOUN
‘ Brussels is the future capital of Europe, it's at the crossroads of Europe and there isn't much competition.’	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	at the crossroads	figurative	identical	PUNCT PROPN VERB DET ADJ NOUN ADP PROPN PRON ADP DET NOUN ADP PROPN CCONJ ADV VERB ADJ ADV
There were no troops at the crossroads and the highway was empty, just a pale dusty strip between its vivid green verges.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	ADV VERB DET NOUN ADP DET NOUN CCONJ DET NOUN VERB ADJ ADV DET ADJ ADJ NOUN ADP ADJ ADJ ADJ NOUN
No one was injured in the accident on the A684 at Scruton crossroads.	0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	literal	determiner-broad	DET NOUN VERB VERB ADP DET NOUN ADP DET PROPN ADP PROPN NOUN
Simon was riding pillion on a motorcycle when it hit a car head - on at the Three Horse Shoes crossroads at Ashton Keynes in September 1986.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0	at the crossroads	literal	insertion-other	PROPN VERB VERB NOUN ADP DET NOUN ADV PRON VERB DET NOUN NOUN PUNCT ADV ADP DET NUM PROPN PROPN VERB ADP PROPN PROPN ADP PROPN NUM
They stood talking a long time at the crossroads before separating but he didn't offer to see her over the weekend.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	PRON VERB VERB DET ADJ NOUN ADP DET NOUN ADP VERB CCONJ PRON VERB VERB PART VERB PRON ADP DET NOUN
An early train from Minya left us at Roda, a country station where old taxis and barouches waited at a crossroads for fares.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	at the crossroads	literal	inflection	DET ADJ NOUN ADP PROPN VERB PRON ADP PROPN DET NOUN NOUN ADV ADJ NOUN CCONJ NOUN VERB ADP DET NOUN ADP NOUN
A journey to the heartland of today's Ireland, Jiving at the Crossroads cuts to the core of the unresolved struggles that haunt the Irish psyche — between the past and the present, between the urban and the rural — creating a unique insight into the dilemmas faced by a whole generation born since de Valera's vision of comely lads and lasses dancing at the crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	literal	identical	DET NOUN ADP DET NOUN ADP NOUN PROPN VERB ADP DET PROPN VERB ADP DET NOUN ADP DET ADJ NOUN ADJ VERB DET ADJ NOUN PUNCT ADP DET NOUN CCONJ DET NOUN ADP DET ADJ CCONJ DET ADJ PUNCT VERB DET ADJ NOUN ADP DET NOUN VERB ADP DET ADJ NOUN VERB ADP PROPN PROPN NOUN ADP ADJ NOUN CCONJ VERB VERB ADP DET NOUN
Wishart felt as if he was standing at a crossroads with two paths leading into the darkness.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	at the crossroads	figurative	inflection	PROPN VERB ADP ADP PRON VERB VERB ADP DET NOUN ADP NUM NOUN VERB ADP DET NOUN
The Kingscote mosaic itself, like those of rooms 5, 11 and 14 at Chedworth, could lie at a stylistic crossroads '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0	at the crossroads	figurative	combined-other	DET PROPN NOUN PRON ADP DET ADP NOUN NUM NUM CCONJ NUM ADP PROPN VERB VERB ADP DET ADJ NOUN PART
I was impressed by Lovat's manner during the landing, on the beach under fire, and especially at the crossroads as he stood and directed the attack on the village of Amfreville.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	PRON VERB ADJ ADP PROPN NOUN ADP DET NOUN ADP DET NOUN ADP NOUN CCONJ ADV ADP DET NOUN ADP PRON VERB CCONJ VERB DET NOUN ADP DET NOUN ADP PROPN
At the crossroads turn right to cross the Halsetown - Vorvas road by a former chapel ( 508 387 ).	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	case	ADP DET NOUN VERB ADV PART VERB DET PROPN PUNCT PROPN NOUN ADP DET ADJ NOUN PUNCT NUM NUM PUNCT
Emerging from the tall, rickety gates separating the yard from the main road, Mungo walked the bicycle across, beside Mr Zamoyski's shop, before mounting at the crossroads for the long ride.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	at the crossroads	literal	identical	VERB ADP DET ADJ NOUN NOUN VERB DET NOUN ADP DET ADJ NOUN PROPN VERB DET NOUN ADV ADP PROPN PROPN NOUN ADP VERB ADP DET NOUN ADP DET ADJ NOUN
The army is directing traffic at a crossroads.	0 0 0 0 0 1 0 1	at the crossroads	literal	inflection	DET NOUN VERB VERB NOUN ADP DET NOUN
' We stand at a crossroads, Cam, ' Mr Whistle said.	0 0 0 1 0 1 0 0 0 0 0	at the crossroads	figurative	inflection	PUNCT PRON VERB ADP DET NOUN VERB PUNCT PROPN PROPN VERB
United ~ Nations Secretary - General Ban ~ Ki - moon is taking on this unprecedented challenge from his unique position at the crossroads of global politics and society.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	at the crossroads	figurative	identical	PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN VERB VERB PART DET ADJ NOUN ADP ADJ ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ NOUN
Then there were those brown corduroys and blue jeans : the very seams of his old, faded pants enraptured me, seeming to underscore the seductive outlines of his lower frame, running from the back of his thick leather belt down along that mysterious, rich intercrural channel, and coming out at the other end of the tunnel at the tense crossroads orienting the scrotum's heavy bag with its blissful raphe, or subtly defining and underlining the inside and outside of the long, smooth thighs and the stocky, bulgy, athletic calves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	insertion-other	ADV ADV VERB DET ADJ NOUN CCONJ ADJ NOUN PUNCT DET ADJ NOUN ADP ADJ ADJ VERB NOUN VERB PRON VERB PART VERB DET ADJ NOUN ADP ADJ ADJ NOUN VERB ADP DET NOUN ADP ADJ ADJ NOUN NOUN PART ADP DET ADJ ADJ ADJ NOUN CCONJ VERB PART ADP DET ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN ADJ NOUN ADP ADJ ADJ NOUN CCONJ ADV VERB CCONJ VERB DET ADJ CCONJ ADV ADP DET ADJ ADJ NOUN CCONJ DET ADJ ADJ ADJ NOUN
The Duke's thumbnail had forced a small scar into the map at another crossroads, this one much closer to Brussels and just south of a village with the odd name of Waterloo.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	determiner-broad	DET PROPN NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN DET NOUN ADV ADJ ADP PROPN CCONJ ADV ADV ADP DET NOUN ADP DET ADJ NOUN ADP PROPN
Nothing moved at the crossroads, or nothing that threatened a soldier's life.	0 0 1 0 1 0 0 0 0 0 0 0	at the crossroads	literal	identical	NOUN VERB ADP DET NOUN CCONJ NOUN ADJ VERB DET NOUN NOUN
FRANK Field, whose political career stood at the crossroads last night, was first elected to the House of Commons in May 1979.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	identical	PROPN PROPN ADJ ADJ NOUN VERB ADP DET NOUN ADJ NOUN VERB ADV VERB ADP DET PROPN ADP PROPN ADP PROPN NUM
In the Hall study accidents at 177 signalized crossroads were analysed over a period of four years, over this period accidents involving a vehicle turning right outnumbered those to vehicles turning left by a ratio of 6.6:1 ( accidents involving one vehicle turning in each direction were excluded from the analysis ).	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	combined-other	ADP DET PROPN NOUN NOUN ADP NUM ADJ NOUN VERB VERB ADP DET NOUN ADP NUM NOUN ADP DET NOUN NOUN VERB DET NOUN VERB ADV VERB DET ADP NOUN VERB VERB ADP DET NOUN ADP NOUN PUNCT NOUN VERB NUM NOUN VERB ADP DET NOUN VERB VERB ADP DET NOUN PUNCT
Firemen cut a driver free from the wreckage of his car last night after a collision with a lorry at Grimston Grange crossroads, on the Bransby to Gilling East road, near Easingwold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	at the crossroads	literal	combined-other	NOUN VERB DET NOUN ADJ ADP DET NOUN ADP ADJ NOUN ADJ NOUN ADP DET NOUN ADP DET NOUN ADP PROPN PROPN VERB ADP DET PROPN ADP PROPN PROPN NOUN ADP PROPN
Apparently, one out of every 16 signposts at crossroads in the region are pointing in the wrong direction.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	at the crossroads	literal	deletion-determiner	ADV NUM ADP ADP DET NUM NOUN ADP NOUN ADP DET NOUN VERB VERB ADP DET ADJ NOUN
‘ Tell the Prince we 'll be at the crossroads in one hour,’ he told Sharpe.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	at the crossroads	literal	identical	PUNCT VERB DET PROPN PRON VERB VERB ADP DET NOUN ADP NUM PRON PRON VERB PROPN
Lieutenant Simon Doggett waited at the crossroads and frowned when he saw the blood on Sharpe's arm.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	PROPN PROPN PROPN VERB ADP DET NOUN CCONJ VERB ADV PRON VERB DET NOUN ADP PROPN NOUN
Murray and McKean were written off in many quarters after the disappointment of Barcelona — Murray finished eighth after starting favourite, McKean failed to reach the final — and the pair went to Toronto with their careers at the crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	identical	PROPN CCONJ PROPN VERB VERB PART ADP ADJ NOUN ADP DET NOUN ADP PROPN PUNCT PROPN VERB ADV ADP VERB ADJ PROPN VERB PART VERB DET ADJ PUNCT CCONJ DET NOUN VERB ADP PROPN ADP ADJ NOUN ADP DET NOUN
Western policy is at a crossroads : commentary or action ; shaping events or reacting to them.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	inflection	ADJ NOUN VERB ADP DET NOUN PUNCT NOUN CCONJ NOUN PUNCT VERB NOUN CCONJ VERB ADP PRON
Feeling himself very much at a crossroads, he delivered himself of some reflections on the modern times they were living through.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	inflection	VERB PRON ADV ADV ADP DET NOUN PRON VERB PRON ADP DET NOUN ADP DET ADJ NOUN PRON VERB VERB ADP
at the crossroads by hampstead tube station i lay down in my heart and wept …	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	ADP DET NOUN ADP NOUN NOUN NOUN PRON VERB PART ADP ADJ NOUN CCONJ VERB PUNCT
We are now at the crossroad, we need wider support and help both moral and financial and there will be a bucket collection at the end of this session.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	misc	PRON VERB ADV ADP DET NOUN PRON VERB ADJ NOUN CCONJ VERB DET ADJ CCONJ ADJ CCONJ ADV VERB VERB DET NOUN NOUN ADP DET NOUN ADP DET NOUN
For musicians, the lure of the West must be strong, and for reasons as understandable as basic working conditions and standard of living, but as a result we stand at a crossroads : how can we possibly avoid the continuing standardization of orchestral, instrumental and vocal production, and continue to have the opportunity of hearing music played in a style and tradition for which it was probably originally conceived.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	inflection	ADP NOUN DET NOUN ADP DET PROPN VERB VERB ADJ CCONJ ADP NOUN ADV ADJ ADP ADJ NOUN NOUN CCONJ NOUN ADP NOUN CCONJ ADP DET NOUN PRON VERB ADP DET NOUN PUNCT ADV VERB PRON ADV VERB DET VERB NOUN ADP ADJ ADJ CCONJ ADJ NOUN CCONJ VERB PART VERB DET NOUN ADP NOUN NOUN VERB ADP DET NOUN CCONJ NOUN ADP ADJ PRON VERB ADV ADV VERB
They have just moved from their Finaghy Road South base at the crossroads, to the corner of 124A Upper Lisburn Road and Mount Aboo Street — in the heart of the Finaghy shopping centre.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	PRON VERB ADV VERB ADP ADJ PROPN PROPN PROPN NOUN ADP DET NOUN ADP DET NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT ADP DET NOUN ADP DET PROPN NOUN NOUN
Women in Christianity today stand at the crossroads between two directions.	0 0 0 0 0 1 0 1 0 0 0	at the crossroads	figurative	identical	NOUN ADP PROPN NOUN VERB ADP DET NOUN ADP NUM NOUN
One of my colleagues, John Savage, put it forcibly when he said in the programme that pure road racing — that is racing on public roads — was at the crossroads because of lack of numbers and I 'm inclined to agree with him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	identical	NUM ADP ADJ NOUN PROPN PROPN VERB PRON ADV ADV PRON VERB ADP DET NOUN ADJ ADJ NOUN NOUN PUNCT ADJ VERB VERB ADP ADJ NOUN PUNCT VERB ADP DET NOUN ADP ADP NOUN ADP NOUN CCONJ PRON VERB ADJ PART VERB ADP PRON
‘ He 'll be at the crossroads in one hour with four thousand men.	0 0 0 0 1 0 1 0 0 0 0 0 0 0	at the crossroads	literal	identical	PUNCT PRON VERB VERB ADP DET NOUN ADP NUM NOUN ADP NUM NUM NOUN
A dark man at a forest crossroads wearing her father's coat and Jamie's dark glasses.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	at the crossroads	literal	combined-other	DET ADJ NOUN ADP DET NOUN NOUN VERB ADJ NOUN NOUN CCONJ PROPN ADJ NOUN
It may not be necessary for all cars always to stop at a red light at a crossroads, but to have any other rule, such as 'stop when reasonable to do so ', or ' stop unless the road is clear ', invites chaos.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	inflection	PRON VERB ADV VERB ADJ ADP DET NOUN ADV PART VERB ADP DET ADJ NOUN ADP DET NOUN CCONJ PART VERB DET ADJ NOUN ADJ ADP NOUN ADV ADJ PART VERB ADV PUNCT CCONJ PUNCT VERB ADP DET NOUN VERB ADJ PUNCT VERB NOUN
Primary health care is at a crossroads.	0 0 0 0 1 0 1	at the crossroads	figurative	inflection	ADJ NOUN NOUN VERB ADP DET NOUN
And yet, at its 60th anniversary, Israel stands at a crossroads.	0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	CCONJ ADV ADP ADJ ADJ NOUN PROPN VERB ADP DET NOUN
