They looked rough and ready.	0 0 1 1 1	rough and ready	figurative	identical	PRON VERB ADJ CCONJ ADJ
‘ We 're rough and ready, young shaver,’ he said.	0 0 0 1 1 1 0 0 0 0	rough and ready	figurative	identical	PUNCT PRON VERB ADJ CCONJ ADJ ADJ VERB PRON VERB
The speculators tolerated a rough - and - ready existence for several months, dwelling in rude shacks and tents, and subsisting as best they could.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	DET NOUN VERB DET ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP ADJ NOUN VERB ADP ADJ NOUN CCONJ NOUN CCONJ VERB ADP ADJ PRON VERB
As we have seen, even though the Government Actuary's Department's guidelines are helpful, a rough - and - ready approach is perhaps inevitable.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	rough and ready	figurative	dashes	ADP PRON VERB VERB ADV ADP DET PROPN PROPN PROPN NOUN VERB ADJ DET ADJ PUNCT CCONJ PUNCT ADJ NOUN VERB ADV ADJ
The Chiswick Empire featured in the life of Michael Redgrave, who — as a boy — saw there a rough and ready performance, by Ben Greet, and his company, of ‘ Macbeth’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	DET PROPN PROPN VERB ADP DET NOUN ADP PROPN PROPN NOUN PUNCT ADP DET NOUN PUNCT VERB ADV DET ADJ CCONJ ADJ NOUN ADP PROPN PROPN CCONJ ADJ NOUN ADP PRON PROPN
Donald's wife Aileen looked upset and redeyed, without a minister the occasion seemed rough and ready, no better than a ceilidh, unlawful even, and her misgivings about the McLaggans had all revived.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	PROPN NOUN PROPN VERB ADJ CCONJ VERB ADP DET NOUN DET NOUN VERB ADJ CCONJ ADJ ADV ADV ADP DET NOUN ADJ ADV CCONJ ADJ NOUN ADP DET PROPN VERB DET VERB
Whilst colour dithering enables the user to get a rough and ready idea of the true colours it is not really suitable for anyone involved in full colour work.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	ADP NOUN NOUN VERB DET NOUN PART VERB DET ADJ CCONJ ADJ NOUN ADP DET ADJ NOUN PRON VERB ADV ADV ADJ ADP NOUN VERB ADP ADJ NOUN NOUN
During World War II, it was the rough - and - ready American GI who could fix the stalled jeep in Normandy while the French regiment only looked on.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADP PROPN PROPN PROPN PRON VERB DET ADJ PUNCT CCONJ PUNCT ADJ ADJ PROPN NOUN VERB VERB DET VERB NOUN ADP PROPN ADP DET ADJ NOUN ADV VERB PART
Unused to the rough and ready answering - back of British socialism, he remarked next day that if he lived in Britain he would be a Tory.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	ADJ ADP DET ADJ CCONJ ADJ NOUN PUNCT NOUN ADP ADJ NOUN PRON VERB ADJ NOUN ADP ADP PRON VERB ADP PROPN PRON VERB VERB DET PROPN
However, in favour of the 38th parallel was the fact that it appeared a rough and ready division, which might satisfy the Russians and give Seoul to the south.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	ADV ADP NOUN ADP DET ADJ NOUN VERB DET NOUN ADP PRON VERB DET ADJ CCONJ ADJ NOUN ADJ VERB VERB DET PROPN CCONJ VERB PROPN ADP DET NOUN
Such disproportionalities are marginal however and rough and ready proportionality normally occurs.	0 0 0 0 0 0 1 1 1 0 0 0	rough and ready	figurative	identical	ADJ NOUN VERB ADJ ADV CCONJ ADJ CCONJ ADJ NOUN ADV VERB
Fishing was always pretty rough and ready but for most of the post - war years the core was a modern sector with employed and unionized labour working for large capitalist enterprises.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	NOUN VERB ADV ADV ADJ CCONJ ADJ CCONJ ADP ADJ ADP DET NOUN PUNCT NOUN NOUN DET NOUN VERB DET ADJ NOUN ADP VERB CCONJ VERB NOUN VERB ADP ADJ ADJ NOUN
Just another rowdy street game, a half dozen ragamuffins playing rough - and - ready with a woman who was probably a drunken whore, on market day.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADV DET ADJ NOUN NOUN DET ADJ NOUN NOUN VERB ADJ PUNCT CCONJ PUNCT ADJ ADP DET NOUN NOUN VERB ADV DET ADJ NOUN ADP NOUN NOUN
At a more advanced workshop, tutors with a professional interest may help explain techniques if this is required, though in the first instance the rough - and - ready style of amateurish video pays off more dividends as it intimidates beginners less than a smoothly polished film, and conveys the sense of ' being there ' to the viewers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADP DET ADV ADJ NOUN NOUN ADP DET ADJ NOUN VERB VERB VERB NOUN ADP DET VERB VERB ADP ADP DET ADJ NOUN DET ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP ADJ NOUN VERB PART ADJ NOUN ADP PRON VERB NOUN ADJ ADP DET ADV ADJ NOUN CCONJ VERB DET NOUN ADP PUNCT VERB ADV PUNCT ADP DET NOUN
The sport itself and the money, shelter them from the kind of rough - and - ready exchange that brings ordinary people back from the brink of conflict and leads them to see their adversaries as people.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	DET NOUN PRON CCONJ DET NOUN VERB PRON ADP DET NOUN ADP ADJ PUNCT CCONJ PUNCT ADJ NOUN ADJ VERB ADJ NOUN ADV ADP DET NOUN ADP NOUN CCONJ VERB PRON PART VERB ADJ NOUN ADP NOUN
They wanted them to be recognised as concert orchestra instruments, and disapproved highly of their Tri - Plates occasionally getting into the hands of rough - and - ready blues musicians.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0	rough and ready	figurative	dashes	PRON VERB PRON PART VERB VERB ADP NOUN NOUN NOUN CCONJ VERB ADV ADP ADJ PROPN PUNCT PROPN ADV VERB ADP DET NOUN ADP ADJ PUNCT CCONJ PUNCT ADJ NOUN NOUN
Selection procedures in general were rough and ready, perhaps because selection was scarcely the mot juste : oversupply of suitable candidates was not a problem for the Colonial Service until the 1930s, when years of misleading propaganda about difficulty of entry, combined with economic depression, had done their work.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	NOUN NOUN ADP ADJ VERB ADJ CCONJ ADJ ADV ADP NOUN VERB ADV DET ADJ NOUN PUNCT NOUN ADP ADJ NOUN VERB ADV DET NOUN ADP DET PROPN PROPN ADP DET NOUN ADV NOUN ADP VERB NOUN ADP NOUN ADP NOUN VERB ADP ADJ NOUN VERB VERB ADJ NOUN
Dependency on standardised routines and rough and ready indicators of patients ' needs, such as their level of mobility, is essential ( Proctor 1990 ).	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	NOUN ADP ADJ NOUN CCONJ ADJ CCONJ ADJ NOUN ADP NOUN PART NOUN ADJ ADP ADJ NOUN ADP NOUN VERB ADJ PUNCT PROPN NUM PUNCT
In a rough and ready way we can divide the ways in which a government controls and influences people into three.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	ADP DET ADJ CCONJ ADJ NOUN PRON VERB VERB DET NOUN ADP ADJ DET NOUN NOUN CCONJ VERB NOUN ADP NUM
I like the more rough - and - ready, tough, biker look.	0 0 0 0 1 0 1 0 1 0 0 0	rough and ready	figurative	dashes	PRON VERB DET ADV ADJ PUNCT CCONJ PUNCT ADJ ADJ NOUN VERB
Open fields without hedges or other divisions were awkwardly split up in a system known as ‘ run - rig’ between joint small tenants living in a small village or ‘ fermetoun’, each annually allocated strips or ‘ rigs’of from a quarter to half an acre, with a rough- and ready attempt to balance the better and poorer land between the respective individuals.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADJ NOUN ADP NOUN CCONJ ADJ NOUN VERB ADV VERB PART ADP DET NOUN VERB ADP PUNCT NOUN PUNCT NOUN ADP ADJ ADJ NOUN VERB ADP DET ADJ NOUN CCONJ ADJ NOUN DET ADV VERB NOUN CCONJ NUM NOUN ADP DET NOUN ADP ADJ DET NOUN ADP DET ADJ CCONJ ADJ NOUN PART VERB DET ADJ CCONJ ADJ NOUN ADP DET ADJ NOUN
Consequently more rough and ready calculations might serve to provide an assessment of the current situation with regard to UK membership of the EC ( see Dearden 1986 ).	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	ADV ADV ADJ CCONJ ADJ NOUN VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP NOUN ADP PROPN NOUN ADP DET PROPN PUNCT VERB PROPN NUM PUNCT
The 6 March letter attached great importance to the boundaries of the USSR on 1 September 1939, but here it appears that the date 1938 has been selected by 5 Corps on a rough - and - ready basis, simply to indicate " pre - war " and without reference to any known precedent.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	DET NUM PROPN NOUN VERB ADJ NOUN ADP DET NOUN ADP DET PROPN ADP NUM PROPN NUM CCONJ ADV PRON VERB ADP DET NOUN NUM VERB VERB VERB ADP NUM PROPN ADP DET ADJ PUNCT CCONJ PUNCT ADJ NOUN ADV PART VERB PUNCT ADJ PUNCT NOUN PUNCT CCONJ ADP NOUN ADP DET VERB NOUN
Regeneration's still a major problem in Leeds, if I could just give you some some rough and ready figures chairman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	rough and ready	figurative	identical	NOUN ADV DET ADJ NOUN ADP PROPN ADP PRON VERB ADV VERB PRON DET DET ADJ CCONJ ADJ NOUN NOUN
Whereas before she had been a rough - and - ready Italian peasant, flashing with high spirits, now she thought a little about how she seemed to others and tempered her boisterous good humour.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADP ADP PRON VERB VERB DET ADJ PUNCT CCONJ PUNCT ADJ ADJ NOUN VERB ADP ADJ NOUN ADV PRON VERB DET ADJ ADP ADV PRON VERB ADP NOUN CCONJ VERB ADJ ADJ ADJ NOUN
This is not to deny the reality of urban poverty based on significant differentiation within the working class ( see North Tyne side CDP, 1977 ), but the theme was high wages and rough and ready urban conditions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	rough and ready	figurative	identical	DET VERB ADV PART VERB DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN ADP DET NOUN NOUN PUNCT VERB PROPN PROPN NOUN PROPN NUM PUNCT CCONJ DET NOUN VERB ADJ NOUN CCONJ ADJ CCONJ ADJ ADJ NOUN
We can not understand each other, except in a rough and ready way ; we can not reveal ourselves, even when we want to ; what we call intimacy is only a makeshift ; perfect knowledge is an illusion.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	PRON VERB ADV VERB DET ADJ ADP ADP DET ADJ CCONJ ADJ NOUN PUNCT PRON VERB ADV VERB PRON ADV ADV PRON VERB PART PUNCT NOUN PRON VERB NOUN VERB ADV DET NOUN PUNCT ADJ NOUN VERB DET NOUN
It is only a rough - and - ready estimating method, but one which can be very useful ( if its limitations are recognised ).	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	PRON VERB ADV DET ADJ PUNCT CCONJ PUNCT ADJ NOUN NOUN CCONJ NUM ADJ VERB VERB ADV ADJ PUNCT ADP ADJ NOUN VERB VERB PUNCT
The performances on this new disc are first - rate ; indeed they are so polished that I found myself occasionally longing for something with a little more humanity and which more faithfully reflected what were in all probability the more rough - and - ready sounds of the Kürbs - Hütte clientele.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	rough and ready	figurative	dashes	DET NOUN ADP DET ADJ NOUN VERB ADJ PUNCT NOUN PUNCT ADV PRON VERB ADV ADJ ADP PRON VERB PRON ADV VERB ADP NOUN ADP DET ADJ ADJ NOUN CCONJ ADJ ADV ADV VERB NOUN VERB ADP DET NOUN DET ADV ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP DET PROPN PUNCT PROPN NOUN
This is the somewhat rough - and - ready solution to the problem of male - biased occupational classification followed by John and Elizabeth Newson and others.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	DET VERB DET ADV ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP DET NOUN ADP NOUN PUNCT ADJ ADJ NOUN VERB ADP PROPN CCONJ PROPN PROPN CCONJ NOUN
Only rough and ready figures are available because of problems of definition.	0 1 1 1 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	ADV ADJ CCONJ ADJ NOUN VERB ADJ ADP ADP NOUN ADP NOUN
She could talk in quite rough and ready language if occasion demanded.	0 0 0 0 0 1 1 1 0 0 0 0	rough and ready	figurative	identical	PRON VERB VERB ADP ADV ADJ CCONJ ADJ NOUN ADP NOUN VERB
None of the films are too long to outstay their welcome, but there aren't any real home runs in the batch, which range from the slickly professional ( Rosebud ) to the endearingly rough - and - ready ( Public Enemy / Private Friends ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	rough and ready	figurative	dashes	NOUN ADP DET NOUN VERB ADV ADJ PART VERB ADJ NOUN CCONJ ADV VERB DET ADJ NOUN NOUN ADP DET NOUN ADJ VERB ADP DET ADJ ADJ PUNCT PROPN PUNCT ADP DET ADV ADJ PUNCT CCONJ PUNCT ADJ PUNCT PROPN PROPN SYM PROPN PROPN PUNCT
While an industrial tribunal may err if it misinterprets these guidelines, the Employment Appeal Tribunal has emphasised that, for all the potential complexity, the assessment of compensation is inevitably a rough - and - ready exercise.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	rough and ready	figurative	dashes	ADP DET ADJ NOUN VERB VERB ADP PRON VERB DET NOUN DET PROPN PROPN PROPN VERB VERB ADP ADP ADJ DET ADJ NOUN DET NOUN ADP NOUN VERB ADV DET ADJ PUNCT CCONJ PUNCT ADJ NOUN
Further, if one makes such a rough - and - ready division then one finds that the same categories of relationship occur in both groups.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADV ADP PRON VERB ADJ DET ADJ PUNCT CCONJ PUNCT ADJ NOUN ADV NUM VERB ADP DET ADJ NOUN ADP NOUN VERB ADP DET NOUN
War was declared and, more or less at the same time, her mother, who wished to distance her from the rough and ready children at the village school, arranged for her to have piano lessons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	NOUN VERB VERB CCONJ ADV CCONJ ADJ ADP DET ADJ NOUN ADJ NOUN NOUN VERB PART VERB PRON ADP DET ADJ CCONJ ADJ NOUN ADP DET NOUN NOUN VERB ADP PRON PART VERB NOUN NOUN
We need to know much more about this, but until these ideas are developed more adequately for use in work with elders, the practitioner may have to be somewhat rough and ready in assessing the capacity of an elder to use both practical and verbal consciousness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	PRON VERB PART VERB ADV ADJ ADP DET CCONJ ADP DET NOUN VERB VERB ADV ADV ADP NOUN ADP NOUN ADP NOUN DET NOUN VERB VERB PART VERB ADV ADJ CCONJ ADJ ADP VERB DET NOUN ADP DET NOUN PART VERB DET ADJ CCONJ ADJ NOUN
The population estimates used in the GRE formulae include a rough and ready adjustment for this under - count, but other Census - based indicators are not adjusted ( e.g. single parent families and privately renting households, both of which are differentially under - counted ; see Britton and Birch, 1985 ).	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	DET NOUN NOUN VERB ADP DET PROPN NOUN VERB DET ADJ CCONJ ADJ NOUN ADP DET ADJ PUNCT NOUN CCONJ ADJ PROPN PUNCT VERB NOUN VERB ADV VERB PUNCT ADV ADJ NOUN NOUN CCONJ ADV VERB NOUN DET ADP ADJ VERB ADV ADV PUNCT VERB PUNCT VERB PROPN CCONJ PROPN NUM PUNCT
The P90 might be rough and ready but it's mind - bogglingly powerful ; the problem is not getting Billy Gibbons harmonics, but avoiding them.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	DET PROPN VERB VERB ADJ CCONJ ADJ CCONJ PRON NOUN PUNCT ADV ADJ PUNCT DET NOUN VERB ADV VERB PROPN PROPN VERB CCONJ VERB PRON
While inevitably this will be a somewhat rough - and - ready exercise — and obviously there will be gaps — the closer you are to retirement, the more worthwhile it will be.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADP ADV DET VERB VERB DET ADV ADJ PUNCT CCONJ PUNCT ADJ NOUN PUNCT CCONJ ADV ADV VERB VERB NOUN PUNCT DET ADJ PRON VERB PART VERB DET ADV ADJ PRON VERB VERB
We disposed of the big fish first, not even so without difficulty ; for while some, like Ceylon and Jamaica, were islands, which was a good enough demarcation for rough and ready purposes, others, like the Indians or Nigerians, were not so unmistakable and quarrelled violently over who they were.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	PRON VERB ADP DET ADJ NOUN ADV ADV ADV ADV ADP NOUN PUNCT ADP ADP DET ADP PROPN CCONJ PROPN VERB NOUN ADJ VERB DET ADJ ADJ NOUN ADP ADJ CCONJ ADJ NOUN NOUN ADP DET PROPN CCONJ PROPN VERB ADV ADV ADJ CCONJ VERB ADV ADP NOUN PRON VERB
of rough and ready one, the order's got to be hammered out.	0 1 1 1 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	ADP ADJ CCONJ ADJ NUM DET NOUN VERB PART VERB VERB PART
Her songs are still at the rough - and - ready stage but Harvey's power comes from her ability to stare men and women right in the eye.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADJ NOUN VERB ADV ADP DET ADJ PUNCT CCONJ PUNCT ADJ NOUN CCONJ PROPN NOUN VERB ADP ADJ NOUN PART VERB NOUN CCONJ NOUN ADV ADP DET NOUN
These can never be anything more than very rough and ready guidelines.	0 0 0 0 0 0 0 0 1 1 1 0	rough and ready	figurative	identical	DET VERB ADV VERB NOUN ADJ ADP ADV ADJ CCONJ ADJ NOUN
This is a rather rough and ready technique.	0 0 0 0 1 1 1 0	rough and ready	figurative	identical	DET VERB DET ADV ADJ CCONJ ADJ NOUN
The result of the debates of the early 1990s was a set of rough and ready rules on deficits and debt levels that was never taken quite seriously.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	DET NOUN ADP DET NOUN ADP DET ADJ NUM VERB DET NOUN ADP ADJ CCONJ ADJ NOUN ADP NOUN CCONJ NOUN NOUN ADJ VERB ADV VERB ADV ADV
For much of Act I, too, Jonathan Summers's Posa seemed as if it was to be a rough - and - ready performance by this gifted baritone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	rough and ready	figurative	dashes	ADP ADJ ADP PROPN NUM ADV PROPN PROPN PROPN VERB ADP ADP PRON VERB PART VERB DET ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP DET ADJ NOUN
Intended as a rough and ready hang - out, where Rourke and other tinseltown bikers could wear their leather and bandannas, it was actually situated in an upscale Beverly Hills mall, and was forced to close when locals complained about the noise made by those big Harleys and equally outsized Hollywood egos.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	VERB ADP DET ADJ CCONJ ADJ NOUN PUNCT PART ADV PROPN CCONJ ADJ ADJ NOUN VERB VERB ADJ NOUN CCONJ NOUN PRON VERB ADV VERB ADP DET ADJ PROPN PROPN NOUN CCONJ VERB VERB PART VERB ADV NOUN VERB ADP DET NOUN VERB ADP DET ADJ PROPN CCONJ ADV VERB PROPN NOUN
