After a good sniff round, the moment of truth … and approval.	0 0 0 0 0 0 1 1 1 0 0 0	moment of truth	figurative	identical	ADP DET ADJ NOUN ADV DET NOUN ADP NOUN PUNCT CCONJ NOUN
LAHORE – Pakistan's moment of political truth is fast approaching.	0 0 0 1 1 0 1 0 0 0	moment of truth	figurative	insertion-other	PROPN PUNCT PROPN NOUN ADP ADJ NOUN VERB ADV VERB
And so the moment of truth.	0 0 0 1 1 1	moment of truth	figurative	identical	CCONJ ADV DET NOUN ADP NOUN
Rehearsals are over, the audience arrives and it's very nearly the moment of truth for David and Fiona from Wiltshire about to play Blockbusters.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	NOUN VERB ADV DET NOUN VERB CCONJ PRON ADV ADV DET NOUN ADP NOUN ADP PROPN CCONJ PROPN ADP PROPN ADP PART VERB PROPN
That, she thought, will be the moment of truth …	0 0 0 0 0 0 1 1 1 0	moment of truth	figurative	identical	DET PRON VERB VERB VERB DET NOUN ADP NOUN PUNCT
An interesting study, this, of the varying techniques with which different men approached the moment of truth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	moment of truth	figurative	identical	DET ADJ NOUN DET ADP DET VERB NOUN ADP ADJ ADJ NOUN VERB DET NOUN ADP NOUN
JERUSALEM : Whatever the outcome of the summit convened by President Clinton at Camp David between Prime ~ Minister Ehud ~ Barak of Israel and PLO Chairman Yassar ~ Arafat, one thing is clear : the moment of truth for Israeli - Palestinian peace negotiations has arrived.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	PROPN PUNCT ADJ DET NOUN ADP DET NOUN VERB ADP PROPN PROPN ADP PROPN PROPN ADP PROPN SYM PROPN PROPN PUNCT PROPN ADP PROPN CCONJ PROPN PROPN PROPN SYM PROPN NUM NOUN VERB ADJ PUNCT DET NOUN ADP NOUN ADP ADJ PUNCT ADJ NOUN NOUN VERB VERB
Is this the moment of truth, he wrote, or the greatest temptation?	0 0 0 1 1 1 0 0 0 0 0 0	moment of truth	figurative	identical	VERB DET DET NOUN ADP NOUN PRON VERB CCONJ DET ADJ NOUN
This is your moment of truth ; more like moment of terror as West Hartlepool ran through for a second try.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	DET VERB ADJ NOUN ADP NOUN PUNCT ADV ADP NOUN ADP NOUN ADP PROPN PROPN VERB PART ADP DET ADJ NOUN
Since that moment of truth, I have been perfectly happy, making my preparations for leaving England and going abroad in the service of God.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	ADP DET NOUN ADP NOUN PRON VERB VERB ADV ADJ VERB ADJ NOUN ADP VERB PROPN CCONJ VERB ADV ADP DET NOUN ADP PROPN
MOMENT OF TRUTH looks set for yet another successful season after registering the 16th victory of his career in the Scottish Racing Club Handicap Hurdle at Perth on Saturday.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	case	PROPN ADP PROPN VERB VERB ADP ADV DET ADJ NOUN ADP VERB DET ADJ NOUN ADP ADJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN ADP PROPN ADP PROPN
By ‘ militarising’ their society in peacetime, the Soviet authorities aim to spare their society similar effects, ensure that the nation stands the test and that the Party will not be pronounced ‘ calcified’at the moment of truth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	moment of truth	figurative	identical	ADP PUNCT VERB ADJ NOUN ADP NOUN DET ADJ NOUN VERB PART VERB ADJ NOUN ADJ NOUN VERB ADP DET NOUN VERB DET NOUN CCONJ ADP DET PROPN VERB ADV VERB VERB PUNCT NOUN DET NOUN ADP NOUN
In that moment of truth she wanted to be struck by lightning and reduced to smouldering ashes.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	ADP DET NOUN ADP NOUN PRON VERB PART VERB VERB ADP NOUN CCONJ VERB ADP VERB NOUN
All of her sweet, loving nature that she 'd turned in on herself, waiting for this one moment in her life, this moment of truth, and it had all been for nothing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	moment of truth	figurative	identical	DET ADP ADJ ADJ VERB NOUN ADP PRON VERB VERB PART ADP PRON VERB ADP DET NUM NOUN ADP ADJ NOUN DET NOUN ADP NOUN CCONJ PRON VERB DET VERB ADP NOUN
Are you ready for the moment of truth?’	0 0 0 0 0 1 1 1	moment of truth	figurative	dashes	VERB PRON ADJ ADP DET NOUN ADP NOUN
And then the moment of truth as the eager new recruits take the controls and move off down a half - mile of track alongside the British Rail line.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	CCONJ ADV DET NOUN ADP NOUN ADP DET ADJ ADJ NOUN VERB DET NOUN CCONJ VERB PART ADV DET ADJ PUNCT NOUN ADP NOUN ADP DET PROPN PROPN NOUN
Coaches and managers of the finalists were now gripped with the tension of the approaching moment of truth, like expectant fathers at the birth, now impotent, their work done.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	NOUN CCONJ NOUN ADP DET NOUN VERB ADV VERB ADP DET NOUN ADP DET VERB NOUN ADP NOUN ADP ADJ NOUN ADP DET NOUN ADV ADJ ADJ NOUN VERB
In the second - person sequences, he is addressed by the voice of his subconscious which, speaking in the future tense, takes him back to relive the moments of truth when he made the choices which were to determine what he later became.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	inflection	ADP DET ADJ PUNCT NOUN NOUN PRON VERB VERB ADP DET NOUN ADP ADJ ADJ ADJ VERB ADP DET ADJ NOUN VERB PRON ADV PART VERB DET NOUN ADP NOUN ADV PRON VERB DET NOUN ADJ VERB PART VERB NOUN PRON ADV VERB
Australia made inroads into our batting and the moment of truth arrived when Fletch had to go out and bat.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	PROPN VERB NOUN ADP ADJ NOUN CCONJ DET NOUN ADP NOUN VERB ADV PROPN VERB PART VERB ADV CCONJ NOUN
