Do they think they can get it up to fifteen?	0 0 0 0 0 1 1 1 0 0	get it up	literal	identical	VERB PRON VERB PRON VERB VERB PRON PART ADP NUM
She might have it up there but I 've got it up there.	0 0 0 0 0 0 0 0 0 1 1 1 0	get it up	literal	inflection	PRON VERB VERB PRON PART ADV CCONJ PRON VERB VERB PRON PART ADV
‘ Sorry,’ said Jack, ‘ I can't think how we ever got it up.’	0 0 0 0 0 0 0 0 0 0 0 1 1 1	get it up	literal	combined-inflection	PUNCT PROPN VERB PROPN PUNCT PRON VERB VERB ADV PRON ADV VERB PRON ADJ
Energy in one form or another has been invested in it to get it up there.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	get it up	literal	identical	NOUN ADP NUM NOUN CCONJ DET VERB VERB VERB ADP PRON PART VERB PRON PART ADV
He says, you know when I came to this house I had to have split all my furniture into little bits so I could get it up the stairs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	get it up	literal	identical	PRON VERB PRON VERB ADV PRON VERB ADP DET NOUN PRON VERB PART VERB VERB ADJ ADJ NOUN ADP ADJ NOUN ADP PRON VERB VERB PRON PART DET NOUN
Me auntie got it up there and when she got up there they were selling them for nineteen pounds.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get it up	literal	inflection	PRON NOUN VERB PRON PART ADV CCONJ ADV PRON VERB ADV ADV PRON VERB VERB PRON ADP NUM NOUN
‘ Nervous as fuck — I was certain I wouldn't be able to get it up, I mean just certain, especially as I 'm still feeling the effects from getting pissed yesterday — and then, well … aroused, I suppose, when … when I realised you were.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get it up	figurative	identical	PUNCT ADJ ADP ADJ PUNCT PRON VERB ADJ PRON VERB VERB ADJ PART VERB PRON PART PRON VERB ADV ADJ ADV ADP PRON VERB ADV VERB DET NOUN ADP VERB ADJ NOUN PUNCT CCONJ ADV INTJ PUNCT VERB PRON VERB ADV PUNCT ADV PRON VERB PRON PUNCT
and then he got it up the back that far	0 0 0 1 1 1 0 0 0 0	get it up	literal	inflection	CCONJ ADV PRON VERB PRON ADP DET NOUN ADV ADV
The memories of yesterday's little discussion with Clint about Japanese prostitutes and not being able to get it up, and how the idea of being beaten by a fat old bint could be quite appealing ‘ as long as there were no electrodes’— it's kind of the norm by now.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get it up	literal	identical	DET NOUN ADP NOUN ADJ NOUN ADP PROPN ADP ADJ NOUN CCONJ ADV VERB ADJ PART VERB PRON PART CCONJ ADV DET NOUN ADP VERB VERB ADP DET ADJ ADJ NOUN VERB VERB ADV VERB PRON ADV ADV ADP ADV VERB DET NOUN PRON ADV ADP DET NOUN ADP ADV
She won't be able to get it up on her own anyway.	0 0 0 0 0 1 1 1 0 0 0 0	get it up	literal	identical	PRON VERB VERB ADJ PART VERB PRON PART ADP ADJ ADJ ADV
Are there any way I can, oh mind you, you 've to get it up anyway haven't you?	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	get it up	literal	identical	VERB ADV DET NOUN PRON VERB INTJ VERB PRON PRON VERB PART VERB PRON PART ADV VERB PRON
‘ They 've got it up the stairs and through the front door,’ he told them, the practical words giving nothing away about his mood.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get it up	literal	inflection	PUNCT PRON VERB VERB PRON PART DET NOUN CCONJ ADP DET ADJ ADJ PRON VERB PRON DET ADJ NOUN VERB NOUN ADV ADP ADJ NOUN
go on get it up there, go on get it up there for Christ sake eh er Christ getting cold Darren?	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	get it up	literal	identical	VERB PART VERB PRON PART ADV VERB PART VERB PRON PART ADV ADP PROPN NOUN INTJ INTJ PROPN VERB ADJ PROPN
Hewlett - Packard Co is going to third parties with its SoftBench CASE environment, particularly to get it up on Sun Microsystems Inc workstations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get it up	literal	identical	PROPN PUNCT PROPN PROPN VERB VERB ADP ADJ NOUN ADP ADJ PROPN NOUN NOUN ADV PART VERB PRON PART ADP PROPN PROPN PROPN NOUN
We got it up to date recently, but it was a major job and it always slips back, so.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get it up	literal	inflection	PRON VERB PRON PART ADP NOUN ADV CCONJ PRON VERB DET ADJ NOUN CCONJ PRON ADV VERB ADV ADV
Probably a child molester, probably couldn't get it up for anything normal.	0 0 0 0 0 0 1 1 1 0 0 0	get it up	figurative	identical	ADV DET NOUN NOUN ADV VERB VERB PRON PART ADP NOUN ADJ
Oh I, I was trying to get it up there.	0 0 0 0 0 0 1 1 1 0	get it up	literal	identical	INTJ PRON PRON VERB VERB PART VERB PRON PART ADV
not even want to and see what happens next time yo you get it up.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	get it up	literal	identical	ADV ADV VERB PART CCONJ VERB NOUN VERB ADJ NOUN INTJ PRON VERB PRON PART
No you wouldn't be ab once that's gone right down your windpipe you wouldn't get it up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	get it up	literal	identical	INTJ PRON VERB VERB ADV ADV DET VERB ADV ADP ADJ NOUN PRON VERB VERB PRON PART
Get it up to Terri.	1 1 1 0 0	get it up	literal	case	VERB PRON PART ADP PROPN
Belinda wondered how on earth they were going to get it up the stairs and through the house, but she sensibly decided that it was their concern, not hers, and anyway the bedroom needed to be vacuumed first.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get it up	literal	identical	PROPN VERB ADV ADP NOUN PRON VERB VERB PART VERB PRON PART DET NOUN CCONJ ADP DET NOUN CCONJ PRON ADV VERB ADP PRON VERB ADJ NOUN ADV PRON CCONJ ADV DET NOUN VERB PART VERB VERB ADV
